family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,name
Acanthaceae,Gerardia,digitata,Spreng.,tax. nov.,spec.,FALSE,"Syst. Veg., ed. 16 [Sprengel] 2: 808. 1825 [Jan-May 1825] ","Syst. Veg., ed. 16 [Sprengel]",1825,2: 808,14620-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,109368-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1825&rft.spage=808&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/822&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Jan-May 1825,NA,NA,Gerardia_digitata
Acanthaceae,Graptophyllum,medioauratum,Linden ex K.Koch,tax. nov.,spec.,FALSE,Wochenschr. Vereines Beförd. Gartenbaues Konigl. Preuss. Staaten 14(20): 159. 1871 [20 May 1871] (as medio-auratum),Wochenschr. Vereines Beförd. Gartenbaues Konigl. Preuss. Staaten,1871,14(20): 159,7877-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,60454912-2,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1871&rft.issue=20&rft.spage=159&rft.volume=14&rft_id=http://www.biodiversitylibrary.org/bibliography/5017&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,20 May 1871,NA,(as medio-auratum),Graptophyllum_medioauratum
Acanthaceae,Harpochilus,corrugatus,Zappi & F.A.Silva,tax. nov.,spec.,FALSE,Phytotaxa 545(2): 152. 2022 [10 May 2022] [epublished],Phytotaxa,2022,545(2): 152,20011462-1,FALSE,holotype RB RB00035784;isotype CEPEC CEPEC00025754;isotype IPA IPA49664;isotype K K001046211;isotype MO MO1404739;isotype NY NY000484263;isotype SPF;isotype UEC UEC39262;isotype US US2950612,"R.M.Harley, G.Bromley, A.M.Carvalho, J.L.Hage &amp; H.S.Brito",21212,11 Apr 1980,"Bahia (Brazil Northeast, Brazil, Southern America)","Mun. Caetité, 1,5 km ao sul de Brejinho das Ametistas, 900 m",77297581-1,TRUE,NA,10 May 2022,doi:10.11646/phytotaxa.545.2.4 Etymology: 'The specific epithet refers to the corrugated leaf as seen with the naked eye on both young and mature leaves'.,[epublished],Harpochilus_corrugatus
Acanthaceae,Hygrophila,angusta,Huber,tax. nov.,spec.,FALSE,"Bull. Herb. Boissier ser. 2, 1: 324. 1901 ",Bull. Herb. Boissier,1901,"ser. 2, 1: 324",573-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,125348-2,TRUE,NA,NA,NA,NA,Hygrophila_angusta
Acanthaceae,Jacobinia,breviloba,Lindau,tax. nov.,spec.,FALSE,Bull. Herb. Boissier 3: 486. 1895 ,Bull. Herb. Boissier,1895,3: 486,573-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,130991-2,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1895&rft.spage=486&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/49730&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,Jacobinia_breviloba
Acanthaceae,Jacobinia,lancifolia,Glaz.,tax. nov.,spec.,FALSE,Bull. Soc. Bot. France 58(Mém. 3f): 537. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 537,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,131006-2,FALSE,NA,NA,NA,NA,Jacobinia_lancifolia
Acanthaceae,Jacobinia,nervosa,Lindau,tax. nov.,spec.,FALSE,Bull. Soc. Bot. France 58(Mém. 3f): 537. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 537,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,131016-2,FALSE,NA,NA,NA,NA,Jacobinia_nervosa
Acanthaceae,Jacobinia,sarmentosa,Glaz.,tax. nov.,spec.,FALSE,Bull. Soc. Bot. France 58(Mém. 3f): 538. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 538,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,131029-2,FALSE,NA,NA,NA,NA,Jacobinia_sarmentosa
Acanthaceae,Justicia,blackii,Leonard,tax. nov.,spec.,FALSE,"Contr. U.S. Natl. Herb. 31: 508, fig. 189. 1958 ",Contr. U.S. Natl. Herb.,1958,"31: 508, fig. 189",605-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,132802-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/398472&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,Justicia_blackii
Acanthaceae,Justicia,capitata,Glaz.,tax. nov.,spec.,FALSE,Bull. Soc. Bot. France 58(Mém. 3f): 536. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 536,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,132824-2,FALSE,NA,NA,NA,NA,Justicia_capitata
Acanthaceae,Justicia,espiritosantensis,Aoyama & Indriunas,tax. nov.,spec.,FALSE,Phytotaxa 543(3): 189. 2022 [14 Apr 2022] [epublished],Phytotaxa,2022,543(3): 189,20011462-1,FALSE,holotype MBML;isotype RB,Demuner,1,16 Sep 1999,"Espírito Santo (Brazil Southeast, Brazil, Southern America)","Santa Teresa, Mata do Banestes",77297151-1,TRUE,NA,14 Apr 2022,"doi:10.11646/phytotaxa.543.3.3 Etymology: 'The epithet refers to Espírito Santo State, in Brazil'.",[epublished],Justicia_espiritosantensis
