name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,infraspecies,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,speciesAuthor,pageAsText,publicationYearNote,bhlLink,collectionNumber,collectorTeam,collectionDate1,locality,referenceRemarks,remarks,typeLocations
Margyricarpus_lanatus,Funez,Funez,,spec.,/n/77218445-1,Rosaceae,Margyricarpus,lanatus,tax. nov.,"Santa Catarina (Brazil South, Brazil, Southern America)",FALSE,FALSE,NA,TRUE,,Phytotaxa,2021,496(3): 284,20011462-1,citation,Phytotaxa 496(3): 284. 2021 [14 Apr 2021] [epublished],FALSE,TRUE,1.1,77218445-1,urn:lsid:ipni.org:names:77218445-1,wfo-1000027819,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,14 Apr 2021,NA,3092,J.A. Jarenkow &amp; M. Sobral,28 Feb 1996,"Lages, BR-116, ca. 15 km em direção a Vacaria",[epublished],doi:10.11646/phytotaxa.496.3.7 The specific epithet makes reference to the woolly aspect of this species.,holotype MBM MBM-212633;isotype FLOR FLOR-27863
Margyricarpus_microcarpus,Funez,Funez,,spec.,/n/77218446-1,Rosaceae,Margyricarpus,microcarpus,tax. nov.,"Santa Catarina (Brazil South, Brazil, Southern America)",FALSE,FALSE,NA,TRUE,,Phytotaxa,2021,496(3): 285,20011462-1,citation,Phytotaxa 496(3): 285. 2021 [14 Apr 2021] [epublished],FALSE,TRUE,1.1,77218446-1,urn:lsid:ipni.org:names:77218446-1,wfo-1000027820,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,14 Apr 2021,NA,8774,L.A. Funez et al.,24 Feb 2019,"Bom Jardim da Serra, Parque Nacional de São Joaquim, Campos de Santa Bárbara,",[epublished],doi:10.11646/phytotaxa.496.3.7 The specific epithet makes reference to the small size of the fruits of this species.,holotype FURB FURB-65014
