name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,infraspecies,inPowo,pageAsText,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,speciesAuthor,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,collectionNumber,collectorTeam,collectionDate1,locality,referenceRemarks,remarks,typeCoordinates,typeLocations,nameStatus,nameStatusType,bibliographicReference,typeChosenBy,originalTaxonDistribution,typeRemarks,originalRemarks,typeNote,basionymAuthorStr,otherLinks
Bernardia_monoica,J.F.Carrión & Cordeiro,J.F.Carrión & Cordeiro,,spec.,/n/77234162-1,Euphorbiaceae,Bernardia,monoica,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Brittonia,2021,2 Jun 2021,73(3): 327,561-2,citation,Brittonia 73(3): 327. 2021 [2 Jun 2021] [epublished],NA,FALSE,TRUE,1.1,77234162-1,urn:lsid:ipni.org:names:77234162-1,wfo-1000025768,TRUE,TRUE,TRUE,FALSE,FALSE,NA,2590,G.L.Esteves &amp; C.Kameyama,25 May 1993,"Mun. Una, estrada São José da Vitória-Una, 7.5 km da BR101, arredores da Faz. Santa Maria",[epublished],doi:10.1007/s12228-021-09670-z The specific epithet alludes to the monoecious breeding system of this species.,,holotype SP 266715;isotype HUEFS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bernardia_stylosa,J.F.Carrión & Amorim,J.F.Carrión & Amorim,,spec.,/n/77234163-1,Euphorbiaceae,Bernardia,stylosa,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Brittonia,2021,2 Jun 2021,73(3): 329,561-2,citation,Brittonia 73(3): 329. 2021 [2 Jun 2021] [epublished],NA,FALSE,TRUE,1.1,77234163-1,urn:lsid:ipni.org:names:77234163-1,wfo-1000025769,TRUE,TRUE,TRUE,FALSE,FALSE,NA,9775,"A.M.Amorim, J.L.Paixão &amp; C.S.Pessoa",17 Oct 2015,"Mun. Ibicuí, estrada de acesso a Iguaí. Serra das Piabas, 900–1000 m",[epublished],"doi:10.1007/s12228-021-09670-z The specific epithet refers to the conspicuous erect, bifid styles with recurved branches.",,holotype CEPEC;isotype HUESC;isotype NY;isotype RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleidion_praealtum,Croizat,Croizat,,spec.,/n/60119-2,Euphorbiaceae,Cleidion,praealtum,tax. nov.,"Mun. Humayta, near Tres Casas, Amazonas (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,J. Arnold Arbor.,1943,NA,24: 167,981-2,citation,"J. Arnold Arbor. 24: 167. 1943 , as 'prealtum'",NA,FALSE,TRUE,1.6,60119-2,urn:lsid:ipni.org:names:60119-2,wfo-0000872653,TRUE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1943&rft.spage=167&rft.volume=24&rft_id=http://www.biodiversitylibrary.org/bibliography/480&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,6458,B.A.Krukoff,NA,NA,as 'prealtum',See Croizat's spelling of the specific epithet in Trop. Woods 88: 31 (1946).,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cnidoscolus_mcvaughii,C.C.Oliveira & M.J.Silva,C.C.Oliveira & M.J.Silva,,spec.,/n/77219232-1,Euphorbiaceae,Cnidoscolus,mcvaughii,tax. nov.,"Goiás (Brazil West-Central, Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Phytotaxa,2021,13 May 2021,500(3): 187,20011462-1,citation,Phytotaxa 500(3): 187. 2021 [13 May 2021] [epublished],NA,FALSE,TRUE,1.1,77219232-1,urn:lsid:ipni.org:names:77219232-1,wfo-1000026136,TRUE,TRUE,TRUE,FALSE,FALSE,NA,514,C. C. Oliveira,14 Dec 2016,"São Domingos, Parque Estadual de Terra Ronca, em cima da gruta, 716m",[epublished],doi:10.11646/phytotaxa.500.3.3 The specific epithet honours American botanist Rogers McVaugh for his contributions to our taxonomic knowledge of the genus Cnidoscolus.,,holotype UB;isotype UFG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croton_albescens,Glaz.,Glaz.,,spec.,/n/69856-2,Euphorbiaceae,Croton,albescens,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,FALSE,NA,,Bull. Soc. Bot. France,1913,1912 publ 13 Sep 1913,59(Mém. 3g): 618,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 618. 1913 [1912 publ 13 Sep 1913] ,NA,FALSE,TRUE,1.4,69856-2,urn:lsid:ipni.org:names:69856-2,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,nom. inval. nom. nud.,nom. inval.,NA,NA,NA,NA,NA,NA,NA,NA
Croton_almadinensis,Caruzo & Riina,Caruzo & Riina,,spec.,/n/77260781-1,Euphorbiaceae,Croton,almadinensis,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Ann. Missouri Bot. Gard.,2021,1 Jul 2021,106(1): 119,1-2,citation,Ann. Missouri Bot. Gard. 106(1): 119. 2021 [1 Jul 2021] [epublished],NA,FALSE,TRUE,1.1,77260781-1,urn:lsid:ipni.org:names:77260781-1,wfo-1000026536,TRUE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=2021&rft.issue=1&rft.spage=119&rft.volume=106&rft_id=http://www.biodiversitylibrary.org/bibliography/702&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,2922,"P.Fiaschi, J.Paixão, L.C.Gomes, S.Sant’Ana et al.",21 Jun 2005,"Serra do Corcovado, 9.8 km a SW de Coarci na estrada para Almadina, dai N ate Fazenda São Jose, 650–750 m",[epublished],"doi:10.3417/2021669 Etymology: 'This species is named after the municipality of Almadina, in Bahia State'.",,holotype CEPEC;isotype MICH;isotype NY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croton_amaraliae,Riina & P.E.Berry,Riina & P.E.Berry,,spec.,/n/77260783-1,Euphorbiaceae,Croton,amaraliae,tax. nov.,"Amapá (Brazil North, Brazil, Southern America);Amazonas (Brazil North, Brazil, Southern America);Mato Grosso (Brazil West-Central, Brazil, Southern America);Pará (Brazil North, Brazil, Southern America);Rondônia (Brazil North, Brazil, Southern America);",FALSE,FALSE,NA,TRUE,NA,,Ann. Missouri Bot. Gard.,2021,1 Jul 2021,106(1): 123,1-2,citation,Ann. Missouri Bot. Gard. 106(1): 123. 2021 [1 Jul 2021] [epublished],NA,FALSE,TRUE,1.1,77260783-1,urn:lsid:ipni.org:names:77260783-1,wfo-1000026537,TRUE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=2021&rft.issue=1&rft.spage=123&rft.volume=106&rft_id=http://www.biodiversitylibrary.org/bibliography/702&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,872,"I.L.Amaral, N.Silva, O.P.Monteiro, J.Lima, L.Brako, W.D.Reese &amp; M.Dibben",22 Apr 1983,"Pará: Itaituba, estrada Santarém–Cuiabá BR 163, Km. 171, próximo a divisão Pará-MT",[epublished],"doi:10.3417/2021669 Etymology: 'This species is named in honor of Iêda Leão do Amaral, a researcher from the Instituto Nacional de Pesquisas da Amazônia (INPA)'.",,holotype INPA 112263;isotype MO 3296892;isotype NY;isotype US 3336275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croton_bacupariensis,Valduga & Iganci,Valduga & Iganci,,spec.,/n/77234846-1,Euphorbiaceae,Croton,bacupariensis,tax. nov.,"Rio Grande do Sul (Brazil South, Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Phytotaxa,2021,21 Dec 2021,528(4): 241,20011462-1,citation,Phytotaxa 528(4): 241. 2021 [21 Dec 2021] [epublished],NA,FALSE,TRUE,1.1,77234846-1,urn:lsid:ipni.org:names:77234846-1,wfo-1000026538,TRUE,TRUE,TRUE,FALSE,FALSE,NA,795,E.Valduga,29 May 2017,"Mostardas, Lagoa do Bacopari",[epublished],"doi:10.11646/phytotaxa.528.4.2 The specific epithet refers to the type locality, Praia do Bacupari.",,holotype ICN;isotype HUCS;isotype ICN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croton_decarianus,Glaz.,Glaz.,,spec.,/n/70111-2,Euphorbiaceae,Croton,decarianus,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Bull. Soc. Bot. France,1913,1912 publ 13 Sep 1913,59(Mém. 3g): 620,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 620. 1913 [1912 publ 13 Sep 1913] ,NA,FALSE,TRUE,1.6,70111-2,urn:lsid:ipni.org:names:70111-2,wfo-0000927797,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,nom. inval. nom. nud.,nom. inval.,NA,NA,NA,NA,NA,NA,NA,NA
Croton_echioideus,Baill.,Baill.,,spec.,/n/70139-2,Euphorbiaceae,Croton,echioideus,tax. nov.,"Bahia (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Adansonia,1864,Sep 1863-Aug 1864,4: 334,833-2,citation,Adansonia 4: 334. 1864 [Sep 1863-Aug 1864] (as echioideum),NA,FALSE,TRUE,1.2.2.2.1.1,70139-2,urn:lsid:ipni.org:names:70139-2,wfo-0000927885,TRUE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1864&rft.spage=334&rft.volume=4&rft_id=http://www.biodiversitylibrary.org/bibliography/600&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,3718,J. S. Blanchet,NA,Jacobina,(as echioideum),NA,,holotype P?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
