name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,infraspecies,inPowo,pageAsText,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,speciesAuthor,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,collectionNumber,collectorTeam,collectionDate1,locality,referenceRemarks,remarks,typeCoordinates,typeLocations,nameStatus,nameStatusType,bibliographicReference,typeChosenBy,originalTaxonDistribution,typeRemarks,originalRemarks,typeNote,basionymAuthorStr,otherLinks
Croton_eriospermum,Lam.,Lam.,,spec.,/n/70159-2,Euphorbiaceae,Croton,eriospermum,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Encycl. [J. Lamarck & al.],1786,16 Oct 1786,2(1): 211,906-2,citation,Encycl. [J. Lamarck & al.] 2(1): 211. 1786 [16 Oct 1786] ,NA,FALSE,TRUE,1.3,70159-2,urn:lsid:ipni.org:names:70159-2,wfo-0000927932,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1786&rft.issue=1&rft.spage=211&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/824&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croton_guaritensis,A.P.N.Pereira & Caruzo,A.P.N.Pereira & Caruzo,,spec.,/n/77297276-1,Euphorbiaceae,Croton,guaritensis,tax. nov.,"Rio Grande do Sul (Brazil South, Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Pl. Syst. Evol.,2022,18 Mar 2022,308(2)-14: 5,2733-2,citation,Pl. Syst. Evol. 308(2)-14: 5. 2022 [18 Mar 2022] [epublished],NA,FALSE,TRUE,1.1,77297276-1,urn:lsid:ipni.org:names:77297276-1,wfo-1000029752,TRUE,TRUE,TRUE,FALSE,FALSE,NA,77,"A.P.N.Pereira, M.B.R.Caruzo &amp; E.Valduga",9 Apr 2019,"Mun. Santana da Boa Vista, Cerro do Diogo",[epublished],"doi:10.1007/s00606-021-01803-x Etymology: 'The specifc epithet refers to the 'Guaritas do Camaquã' rock formations in southern Brazil, and is a reference to the type locality'.",,holotype HUFSP HUFSP601;isotype ICN;isotype MBM;isotype SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croton_hatschbachii,Sodré & M.J.Silva,Sodré & M.J.Silva,,spec.,/n/77299539-1,Euphorbiaceae,Croton,hatschbachii,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Acta Bot. Brasil.,2022,2 May 2022,"36-e2021abb0163: 19, figs. 1-6, 8, 9-10",1225-2,citation,"Acta Bot. Brasil. 36-e2021abb0163: 19, figs. 1-6, 8, 9-10. 2022 [2 May 2022] [epublished]",NA,FALSE,TRUE,1.3,77299539-1,urn:lsid:ipni.org:names:77299539-1,wfo-1000029753,TRUE,TRUE,TRUE,FALSE,FALSE,NA,3465,"R.C. Sodré, I.S. Santos &amp; T.P. Mendes",11 Jan 2019,"Mun. Grão Mogol: Parque Estadual de Grão Mogol, cerca de 1 km ao norte da cidade pela trilha do Barão, 890 m a. s. l.",[epublished],"Eponymy: 'The epithet honors Gert Günter Hatschbach, one of the most prolific collectors of plants of the Brazilian flora, and who collected the paratypes selected for the new species' doi:10.1590/0102-33062021abb0163",,holotype BOTU;isotype K;isotype NY;isotype RB;isotype UFG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croton_kallunkiae,Riina & Caruzo,Riina & Caruzo,,spec.,/n/77260790-1,Euphorbiaceae,Croton,kallunkiae,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America);Espírito Santo (Brazil Southeast, Brazil, Southern America);",FALSE,FALSE,NA,TRUE,NA,,Ann. Missouri Bot. Gard.,2021,1 Jul 2021,106(1): 128,1-2,citation,Ann. Missouri Bot. Gard. 106(1): 128. 2021 [1 Jul 2021] [epublished],NA,FALSE,TRUE,1.1,77260790-1,urn:lsid:ipni.org:names:77260790-1,wfo-1000026543,TRUE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=2021&rft.issue=1&rft.spage=128&rft.volume=106&rft_id=http://www.biodiversitylibrary.org/bibliography/702&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,332,J.A.Kallunki &amp; J.R.Pirani,18 Jan 1993,"Espírito Santo: Piuma, roadside at base of Morro Agá, c. 5 km S of Piuma on Rod. ES-60",[epublished],doi:10.3417/2021669 Etymology: The specific epithet honours Jacquelyn (Jackie) Kallunki from the New York Botanical Garden.,,holotype SP;isotype MO;isotype NY;isotype SPF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croton_lutzelburgii,Pax & K.Hoffm.,Pax & K.Hoffm.,,spec.,/n/70466-2,Euphorbiaceae,Croton,lutzelburgii,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,FALSE,NA,,Repert. Spec. Nov. Regni Veg.,1923,NA,19: 175,788-2,citation,Repert. Spec. Nov. Regni Veg. 19: 175. 1923 ,NA,FALSE,TRUE,1.3,70466-2,urn:lsid:ipni.org:names:70466-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1923&rft.spage=175&rft.volume=19&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croton_nettoanus,Glaz.,Glaz.,,spec.,/n/70590-2,Euphorbiaceae,Croton,nettoanus,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Bull. Soc. Bot. France,1913,1912 publ 13 Sep 1913,59(Mém. 3g): 615,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 615. 1913 [1912 publ 13 Sep 1913] ,NA,FALSE,TRUE,1.6,70590-2,urn:lsid:ipni.org:names:70590-2,wfo-0000931803,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,nom. inval. nom. nud.,nom. inval.,NA,NA,NA,NA,NA,NA,NA,NA
Croton_pluriglandulosus,Carn.-Torres & Riina,Carn.-Torres & Riina,,spec.,/n/77260792-1,Euphorbiaceae,Croton,pluriglandulosus,tax. nov.,"Ceará (Brazil Northeast, Brazil, Southern America);Paraíba (Brazil Northeast, Brazil, Southern America);Pernambuco (Brazil Northeast, Brazil, Southern America);Piauí (Brazil Northeast, Brazil, Southern America);Rio Grande do Norte (Brazil Northeast, Brazil, Southern America);Sergipe (Brazil Northeast, Brazil, Southern America);",FALSE,FALSE,NA,TRUE,NA,,Ann. Missouri Bot. Gard.,2021,1 Jul 2021,106(1): 131,1-2,citation,Ann. Missouri Bot. Gard. 106(1): 131. 2021 [1 Jul 2021] [epublished],NA,FALSE,TRUE,1.1,77260792-1,urn:lsid:ipni.org:names:77260792-1,wfo-1000026545,TRUE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=2021&rft.issue=1&rft.spage=131&rft.volume=106&rft_id=http://www.biodiversitylibrary.org/bibliography/702&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,s.n.,A.Fernandes &amp; P.Matos,6 Apr 1984,"Ceará: Guaraciaba do Norte, Chapada da Ibiapaba",[epublished],doi:10.3417/2021669 Etymology: 'named for its multiple acropetiolar glands'.,,holotype HUEFS 106386;isotype EAC 12440;isotype HUEFS 111094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croton_restingae,Sodré & Riina,Sodré & Riina,,spec.,/n/77315910-1,Euphorbiaceae,Croton,restingae,tax. nov.,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,NA,FALSE,NA,,Eur. J. Taxon.,2023,17 Apr 2023,864(1): 108,20016745-1,citation,Eur. J. Taxon. 864(1): 108. 2023 [17 Apr 2023] [epublished],NA,FALSE,TRUE,1.3,77315910-1,urn:lsid:ipni.org:names:77315910-1,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,3290,C. Farney et al.,18 Nov 1992,"Saquarema, Reserva Ecológica Estadual de Jacarepiá",[epublished],doi:10.5852/ejt.2023.864.2091 Etymology: name refers to the restinga vegetation where the species occurs.,,holotype RB 299275;isotype ASE 17676;isotype SLUI 5310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croton_rotundifolius,Glaz.,Glaz.,,spec.,/n/70806-2,Euphorbiaceae,Croton,rotundifolius,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Bull. Soc. Bot. France,1913,NA,59(Mém. 3g): 620,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 620. 1913 ,NA,FALSE,TRUE,1.6,70806-2,urn:lsid:ipni.org:names:70806-2,wfo-0000932218,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,nom. inval. nom. nud.,nom. inval.,NA,NA,NA,NA,NA,NA,NA,NA
Croton_sertanejus,Sodré & M.J.Silva,Sodré & M.J.Silva,,spec.,/n/77305496-1,Euphorbiaceae,Croton,sertanejus,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America);Minas Gerais (Brazil Southeast, Brazil, Southern America);Paraíba (Brazil Northeast, Brazil, Southern America);Pernambuco (Brazil Northeast, Brazil, Southern America);Piauí (Brazil Northeast, Brazil, Southern America);Sergipe (Brazil Northeast, Brazil, Southern America);",FALSE,FALSE,NA,TRUE,NA,,Eur. J. Taxon.,2022,22 Sep 2022,839: 16,20016745-1,citation,Eur. J. Taxon. 839: 16. 2022 [22 Sep 2022] ,NA,FALSE,TRUE,1.1.1.2,77305496-1,urn:lsid:ipni.org:names:77305496-1,wfo-1000040737,FALSE,TRUE,TRUE,FALSE,FALSE,NA,3350,"R.C.Sodré, A.O.Souza &amp; U.S.Amaral",20 Dec 2017,"BRAZIL: Bahia, Oliveira dos Brejinhos, 6 km ao Sul da cidade pela vicinal 'Corredor da Barra'",NA,"doi:10.5852/ejt.2022.839.1929 Etymology: ʻSertanejoʼ, in Portuguese, refers to people native to the Caatinga region, also known as ʻsertãoʼ, that extends to all the states of northeast Brazil and the northern Minas Gerais.",,holotype BOTU;isotype CEPEC;isotype NY;isotype TEPB;isotype UFG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croton_stellatorotatus,Sodré & M.J.Silva,Sodré & M.J.Silva,,spec.,/n/77299540-1,Euphorbiaceae,Croton,stellatorotatus,tax. nov.,"Bahia (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Acta Bot. Brasil.,2022,2 May 2022,"36-e2021abb0163: 23, figs. 1-6, 8, 11-12",1225-2,citation,"Acta Bot. Brasil. 36-e2021abb0163: 23, figs. 1-6, 8, 11-12. 2022 [2 May 2022] [epublished]",NA,FALSE,TRUE,1.2,77299540-1,urn:lsid:ipni.org:names:77299540-1,wfo-1000029754,TRUE,TRUE,TRUE,FALSE,FALSE,NA,3309,"R.C. Sodré, A.O. Souza &amp; U.S. Amaral",17 Dec 2017,"Abaíra, estrada Abaíra-Catolés, ca. 300 metros a leste do Riacho Machado, 878 m a. s. l.",[epublished],Etymology: 'The epithet stellatorotatus refers to the stellate-rotate trichomes that cover the vegetative and reproductive organs of the species' doi:10.1590/0102-33062021abb0163,,holotype BOTU;isotype NY;isotype UFG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croton_subasperrimum,"Secco, P.E.Berry & Rosário","Secco, P.E.Berry & Rosário",,spec.,/n/60440815-2,Euphorbiaceae,Croton,subasperrimum,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,644756,,Novon,2005,12 Dec 2005,15(4): 583 (-585; fig. 1),14256-2,citation,Novon 15(4): 583 (-585; fig. 1). 2005 [12 Dec 2005] ,NA,FALSE,TRUE,1.4,60440815-2,urn:lsid:ipni.org:names:60440815-2,wfo-0000805614,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/644756&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,PO3-7-3559,C. S. Rosario &amp; A. S. L. Silva,22 Nov 2000,"Mun. Canutama, rio Mucuim, margem direita do rio Purus, fazenda Morada do Sol",NA,NA,,holotype MH;isotype INPA;isotype MO;isotype RB;isotype WIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalechampia_gruningiana,Pax,Pax,,spec.,/n/76479-2,Euphorbiaceae,Dalechampia,gruningiana,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,231879,,Repert. Spec. Nov. Regni Veg.,1910,NA,8: 161,788-2,citation,Repert. Spec. Nov. Regni Veg. 8: 161. 1910 ,NA,FALSE,TRUE,1.3,76479-2,urn:lsid:ipni.org:names:76479-2,wfo-0000937285,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/231879&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discocarpus_duckeanus,Jabl.,Jabl.,,spec.,/n/82106-2,Euphorbiaceae,Discocarpus,duckeanus,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Mem. New York Bot. Gard.,1967,NA,17(1): 85,719-2,citation,Mem. New York Bot. Gard. 17(1): 85. 1967 ,NA,FALSE,TRUE,1.3,82106-2,urn:lsid:ipni.org:names:82106-2,wfo-0000944633,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1967&rft.issue=1&rft.spage=85&rft.volume=17&rft_id=http://www.biodiversitylibrary.org/bibliography/50489&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discocarpus_pedicellatus,Fiaschi & Cordeiro,Fiaschi & Cordeiro,,spec.,/n/60440164-2,Euphorbiaceae,Discocarpus,pedicellatus,tax. nov.,"Bahia (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Brittonia,2005,29 Sep 2005,57(3): 248 (-251; fig. 1),561-2,citation,Brittonia 57(3): 248 (-251; fig. 1). 2005 [29 Sep 2005] ,NA,FALSE,TRUE,1.1,60440164-2,urn:lsid:ipni.org:names:60440164-2,wfo-0000794067,FALSE,TRUE,TRUE,FALSE,FALSE,NA,1672,"P. Fiaschi, A. M. A. Amorim, S. C. Sant'Ana &amp; J. L. Paixao",11 Oct 2003,"Jussari, ca. 7.5 km da Estrada de Jussari para Palmira, ramal a esquerda",NA,NA,,holotype CEPEC;isotype HUEFS;isotype MBM;isotype MO;isotype NY;isotype RB;isotype SP;isotype SPF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discocarpus_spruceanus,Benth. ex Müll.Arg.,Benth. ex Müll.Arg.,,spec.,/n/306882-2,Euphorbiaceae,Discocarpus,spruceanus,tax. nov.,"Rio Negro above the mouth of the Casiquiare River, Amazonas (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,118169,,Linnaea,1863,Mar 1863,32(1): 78,703-2,citation,Linnaea 32(1): 78. 1863 [Mar 1863] ,NA,FALSE,TRUE,1.7,306882-2,urn:lsid:ipni.org:names:306882-2,wfo-0000944641,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/118169&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,3527,R.Spruce,NA,NA,NA,NA,,lectotype BM;isotype BR;isotype C;isotype E;isotype F;isotype G;isotype GH;isotype GOET;isotype K;isotype LD;isotype MO;isotype NY;isotype OXF;isotype P;isotype TCD;isotype W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drypetes_amazonica,Steyerm.,Steyerm.,,spec.,/n/85485-2,Euphorbiaceae,Drypetes,amazonica,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,"Publ. Field Mus. Nat. Hist., Bot. Ser.",1938,NA,17: 420,1054-2,citation,"Publ. Field Mus. Nat. Hist., Bot. Ser. 17: 420. 1938 ",NA,FALSE,TRUE,1.3,85485-2,urn:lsid:ipni.org:names:85485-2,wfo-0000946383,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1938&rft.spage=420&rft.volume=17&rft_id=http://www.biodiversitylibrary.org/bibliography/42246&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drypetes_krukovii,Monach.,Monach.,,spec.,/n/85500-2,Euphorbiaceae,Drypetes,krukovii,tax. nov.,Brazil (Amazonas) &amp; British Guiana,FALSE,FALSE,NA,TRUE,NA,,Phytologia,1948,NA,3: 34,1034-2,citation,Phytologia 3: 34. 1948 ,NA,FALSE,TRUE,1.2,85500-2,urn:lsid:ipni.org:names:85500-2,wfo-0000946536,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1948&rft.spage=34&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia_filifolia,Glaz.,Glaz.,,spec.,/n/101531-2,Euphorbiaceae,Euphorbia,filifolia,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Bull. Soc. Bot. France,1913,NA,59(Mém. 3g): 637,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 637. 1913 ,NA,FALSE,TRUE,1.4,101531-2,urn:lsid:ipni.org:names:101531-2,wfo-0000962086,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia_hebegyne,Pax & K.Hoffm. ex Emrich,Pax & K.Hoffm. ex Emrich,,spec.,/n/101590-2,Euphorbiaceae,Euphorbia,hebegyne,tax. nov.,"Rio Grande do Sul (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Revista Sudamer. Bot.,1937,NA,"4: 83, fig",1064-2,citation,"Revista Sudamer. Bot. 4: 83, fig. 1937 ",NA,FALSE,TRUE,1.4,101590-2,urn:lsid:ipni.org:names:101590-2,wfo-0000962462,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"[Gandhi; Simmons and Hayden, Brittonia 49: 173. 1997]",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia_lanata,Glaz.,Glaz.,,spec.,/n/101594-2,Euphorbiaceae,Euphorbia,lanata,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,FALSE,NA,,Bull. Soc. Bot. France,1913,NA,59(Mém. 3g): 638,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 638. 1913 ,NA,FALSE,TRUE,1.3,101594-2,urn:lsid:ipni.org:names:101594-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia_macrorrhiza,Glaz.,Glaz.,,spec.,/n/101716-2,Euphorbiaceae,Euphorbia,macrorrhiza,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,FALSE,NA,,Bull. Soc. Bot. France,1913,NA,59(Mém. 3g): 637,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 637. 1913 ,NA,FALSE,TRUE,1.4,101716-2,urn:lsid:ipni.org:names:101716-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia_paludosa,Glaz.,Glaz.,,spec.,/n/101806-2,Euphorbiaceae,Euphorbia,paludosa,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,FALSE,NA,,Bull. Soc. Bot. France,1913,NA,59(Mém. 3g): 638,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 638. 1913 ,NA,FALSE,TRUE,1.4,101806-2,urn:lsid:ipni.org:names:101806-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia_rhipsaloides,Glaz.,Glaz.,,spec.,/n/101951-2,Euphorbiaceae,Euphorbia,rhipsaloides,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,FALSE,NA,,Bull. Soc. Bot. France,1913,NA,59(Mém. 3g): 638,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 638. 1913 ,NA,FALSE,TRUE,1.4,101951-2,urn:lsid:ipni.org:names:101951-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hieronyma_heterotricha,Pax & K.Hoffm.,Pax & K.Hoffm.,,spec.,/n/122571-2,Euphorbiaceae,Hieronyma,heterotricha,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Pflanzenr. (Engler),1922,NA,"4, Fam. 147XV: 39",3295-2,citation,"Pflanzenr. (Engler) 4, Fam. 147XV: 39. 1922 ",NA,FALSE,TRUE,1.5,122571-2,urn:lsid:ipni.org:names:122571-2,wfo-0000982298,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hieronyma_mattogrossensis,Pax & K.Hoffm.,Pax & K.Hoffm.,,spec.,/n/122577-2,Euphorbiaceae,Hieronyma,mattogrossensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Pflanzenr. (Engler),1922,NA,"4, Fam. 147XV: 39",3295-2,citation,"Pflanzenr. (Engler) 4, Fam. 147XV: 39. 1922 ",NA,FALSE,TRUE,1.4,122577-2,urn:lsid:ipni.org:names:122577-2,wfo-0000982307,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jatropha_arborea,Glaz.,Glaz.,,spec.,/n/131436-2,Euphorbiaceae,Jatropha,arborea,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,FALSE,NA,,Bull. Soc. Bot. France,1913,NA,59(Mém. 3g): 629,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 629. 1913 ,NA,FALSE,TRUE,1.4,131436-2,urn:lsid:ipni.org:names:131436-2,wfo-0001273962,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jatropha_× ceballosii,Fern.Casas,Fern.Casas,,spec.,/n/77113932-1,Euphorbiaceae,Jatropha,ceballosii,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America)",TRUE,FALSE,NA,TRUE,NA,,Fontqueria,2011,29 Aug 2011,"56(23): 193 (-203; figs., map)",2210-2,citation,"Fontqueria 56(23): 193 (-203; figs., map). 2011 [29 Aug 2011] ",NA,FALSE,TRUE,1.1,77113932-1,urn:lsid:ipni.org:names:77113932-1,wfo-0000921202,FALSE,TRUE,TRUE,FALSE,FALSE,NA,Nf_2006-100,A.Ceballos Jiménez,26 Feb 2006,"Tareco: 4,4 km, balneario de Tareco",NA,NA,,holotype MBM;isotype MAF 837615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jatropha_guaranitica,Speg.,Speg.,,spec.,/n/30281979-2,Euphorbiaceae,Jatropha,guaranitica,tax. nov.,"Paraná (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Anales Soc. Ci. Argent.,1883,NA,16: 93 (-94),1416-2,citation,Anales Soc. Ci. Argent. 16: 93 (-94). 1883 ,NA,FALSE,TRUE,1.1.2.2.1.1,30281979-2,urn:lsid:ipni.org:names:30281979-2,wfo-0000219672,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1883&rft.spage=93&rft.volume=16&rft_id=http://www.biodiversitylibrary.org/bibliography/44792&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,s.n.,C. v. Gülich,May 1883,"in campis loco dicto Tacurupucú, Río Paraná",NA,NA,,holotype LP?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jatropha_hastifolia,Fern.Casas,Fern.Casas,,spec.,/n/70029793-1,Euphorbiaceae,Jatropha,hastifolia,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Fontqueria,2003,NA,55(21): 1 [109] (2003),2210-2,citation,Fontqueria 55(21): 1 [109] (2003). ,NA,FALSE,TRUE,1.1,70029793-1,urn:lsid:ipni.org:names:70029793-1,wfo-0000450856,FALSE,TRUE,TRUE,FALSE,FALSE,NA,388,G.Cavalcanti; M.R.Fonsêca; M.L.Guedes; N.G.Jesus; L.Passos,28 Feb 2000,Remanso: saida de Remanso a Pilão Arcado,NA,NA,,holotype CEN 45775;isotype ALCB 46408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kleinodendron_riosulense,L.B.Sm. & Downs,L.B.Sm. & Downs,,spec.,/n/133475-2,Euphorbiaceae,Kleinodendron,riosulense,tax. nov.,"Santa Catarina (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Sellowia,1964,NA,no. 16: 177,1217-2,citation,Sellowia no. 16: 177. 1964 ,NA,FALSE,TRUE,1.3,133475-2,urn:lsid:ipni.org:names:133475-2,wfo-0000221093,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
