name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,pageAsText,referenceRemarks,infraspecies,speciesAuthor,collectionNumber,collectorTeam,typeLocations,remarks,collectionDate1,locality,typeCoordinates,nameStatus,nameStatusType,typeRemarks,originalTaxonDistribution,typeNote,originalRemarks
Cordia_obscura,Cham.,Cham.,,spec.,/n/65472-2,Boraginaceae,Cordia,obscura,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Linnaea,1829,post Oct 1829,4(4): 480 (-481),703-2,citation,Linnaea 4(4): 480 (-481). 1829 [post Oct 1829] ,FALSE,TRUE,1.2.2.1.1.1,65472-2,urn:lsid:ipni.org:names:65472-2,wfo-0000620797,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.issue=4&rft.spage=480&rft.volume=4&rft_id=http://www.biodiversitylibrary.org/bibliography/626&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Cordia_obtusiloba,"Pedro-Silva, T.S.Silva & J.I.M.Melo","Pedro-Silva, T.S.Silva & J.I.M.Melo",,spec.,/n/77234864-1,Boraginaceae,Cordia,obtusiloba,tax. nov.,"Sergipe (Brazil, Southern America)",FALSE,FALSE,TRUE,,Harvard Pap. Bot.,2021,dt. 31 Dec 2021; publ. 17 Dec 2021,"26(2): 445, figs. 1-2",10651-2,citation,"Harvard Pap. Bot. 26(2): 445, figs. 1-2. 2021 [dt. 31 Dec 2021; publ. 17 Dec 2021] [epublished]",FALSE,TRUE,1.2,77234864-1,urn:lsid:ipni.org:names:77234864-1,wfo-1000026489,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,[epublished],NA,NA,419,E.M.Carneiro,holotype MOSS;isotype PEUFR,doi:10.3100/hpib.v26iss2.2021.n10 Etymology: 'The specific epithet refers to the obtuse apex lobes of the corolla.',6 Aug 1982,Nossa Senhora da Glória,,NA,NA,NA,NA,NA,NA
Cordia_pilosa,M.Stapf & Taroda,M.Stapf & Taroda,,spec.,/n/77107048-1,Boraginaceae,Cordia,pilosa,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America);Alagoas (Brazil Northeast, Brazil, Southern America);Sergipe (Brazil Northeast, Brazil, Southern America);",FALSE,FALSE,TRUE,,Novon,2010,9 Jun 2010,20(2): 212 (-214; fig. 1),14256-2,citation,Novon 20(2): 212 (-214; fig. 1). 2010 [9 Jun 2010] ,FALSE,TRUE,1.4,77107048-1,urn:lsid:ipni.org:names:77107048-1,wfo-0000746210,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/39922870&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,39922870,NA,NA,NA,228,M.N.S.Stapf,holotype HUEFS;isotype SJRP,NA,23 Jan 2004,"Entre Rios, rd. Conde-Esplanada",,NA,NA,NA,NA,NA,NA
Cordia_poliophylla,Fresen.,Fresen.,,spec.,/n/275029-2,Boraginaceae,Cordia,poliophylla,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Fl. Bras. (Martius),1857,28 Feb 1857,8(1): 26,629-2,citation,Fl. Bras. (Martius) 8(1): 26. 1857 [28 Feb 1857] ,FALSE,TRUE,1.10,275029-2,urn:lsid:ipni.org:names:275029-2,wfo-0000620861,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/146278&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,146278,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Cordia_restingae,M.Stapf,M.Stapf,,spec.,/n/77134699-1,Boraginaceae,Cordia,restingae,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America);Espírito Santo (Brazil Southeast, Brazil, Southern America);",FALSE,FALSE,TRUE,,Brittonia,2013,1 Jun 2013,65(2): 195,561-2,citation,Brittonia 65(2): 195. 2013 [1 Jun 2013] ,FALSE,TRUE,1.2,77134699-1,urn:lsid:ipni.org:names:77134699-1,wfo-0001317529,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,1136,N.G.Jesus,holotype HUEFS;isotype HUNEB,doi:10.1007/s12228-012-9268-7,23 Mar 2000,"Bahia: Entre Rios, RPPN Fazenda Lontra/Saudade, 120-150 m",,NA,NA,NA,NA,NA,NA
Cordia_rufescens,A.DC.,A.DC.,,spec.,/n/275038-2,Boraginaceae,Cordia,rufescens,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Prodr. [A. P. de Candolle],1845,1 Jan 1845,9: 476,1051-2,citation,Prodr. [A. P. de Candolle] 9: 476. 1845 [1 Jan 1845] ,FALSE,TRUE,1.9,275038-2,urn:lsid:ipni.org:names:275038-2,wfo-0000620916,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/162843&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,162843,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Cordia_salicifolia,Cham.,Cham.,,spec.,/n/275041-2,Boraginaceae,Cordia,salicifolia,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Linnaea,1829,post Oct 1829,4(4): 481 (-482),703-2,citation,Linnaea 4(4): 481 (-482). 1829 [post Oct 1829] ,FALSE,TRUE,1.2.2.1.1.2,275041-2,urn:lsid:ipni.org:names:275041-2,wfo-0000620925,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.issue=4&rft.spage=481&rft.volume=4&rft_id=http://www.biodiversitylibrary.org/bibliography/626&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Cordia_salicina,DC.,DC.,,spec.,/n/275042-2,Boraginaceae,Cordia,salicina,tax. nov.,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,,Prodr. [A. P. de Candolle],1845,1 Jan 1845,9: 492,1051-2,citation,Prodr. [A. P. de Candolle] 9: 492. 1845 [1 Jan 1845] ,FALSE,TRUE,1.6,275042-2,urn:lsid:ipni.org:names:275042-2,wfo-0000620926,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/162859&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,162859,NA,NA,NA,NA,NA,NA,"[Gandhi; Estrada, Fl. Colombia 14: 96. 1995]",NA,NA,,NA,NA,NA,NA,NA,NA
Cordia_scabrida,Fresen.,Fresen.,,spec.,/n/275048-2,Boraginaceae,Cordia,scabrida,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Fl. Bras. (Martius),1857,28 Feb 1857,"8(1): 11, t. 9, fig. 12",629-2,citation,"Fl. Bras. (Martius) 8(1): 11, t. 9, fig. 12. 1857 [28 Feb 1857] ",FALSE,TRUE,1.8,275048-2,urn:lsid:ipni.org:names:275048-2,wfo-0000620943,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/146271&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,146271,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Cordia_sellowiana,Cham.,Cham.,,spec.,/n/275052-2,Boraginaceae,Cordia,sellowiana,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Linnaea,1829,post Oct 1829,4(4): 478 (-479),703-2,citation,Linnaea 4(4): 478 (-479). 1829 [post Oct 1829] ,FALSE,TRUE,1.2.2.1.1.2,275052-2,urn:lsid:ipni.org:names:275052-2,wfo-0000620960,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.issue=4&rft.spage=478&rft.volume=4&rft_id=http://www.biodiversitylibrary.org/bibliography/626&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
