name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,publicationYearNote,bhlLink,pageAsText,infraspecies,remarks,speciesAuthor,locality
Heliconia_auriculata,Barreiros,Barreiros,,spec.,/n/119305-2,Heliconiaceae,Heliconia,auriculata,tax. nov.,Lanna 746 & Castellanos 25496,"Lanna, A.Castellanos","Canavieiras, Bahia (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bradea,1980,"3(13): 103, fig",1276-2,citation,"Bradea 3(13): 103, fig. 1980 ",FALSE,TRUE,holotype RB,1.4,119305-2,urn:lsid:ipni.org:names:119305-2,wfo-0000437040,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
Heliconia_aurorea,Emygdio & E.Santos,Emygdio & E.Santos,,spec.,/n/119306-2,Heliconiaceae,Heliconia,aurorea,tax. nov.,3759,L.Emygdio de Mello Filho et al.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bradea,1976,"2(16): 96, fig. 1",1276-2,citation,"Bradea 2(16): 96, fig. 1. 1976 ",FALSE,TRUE,holotype R,1.5,119306-2,urn:lsid:ipni.org:names:119306-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
Heliconia_bahiensis,Barreiros,Barreiros,,spec.,/n/119308-2,Heliconiaceae,Heliconia,bahiensis,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Rodriguésia,1978,"no. 44: 226 (-227), fig",1167-2,citation,"Rodriguésia no. 44: 226 (-227), fig. 1978 ",FALSE,TRUE,NA,1.4,119308-2,urn:lsid:ipni.org:names:119308-2,wfo-0000437066,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
Heliconia_burchellii,Baker,Baker,,spec.,/n/119318-2,Heliconiaceae,Heliconia,burchellii,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Ann. Bot. (Oxford),1893,7(2): 197,1756-2,citation,Ann. Bot. (Oxford) 7(2): 197. 1893 [Jun 1893] ,FALSE,TRUE,NA,1.6,119318-2,urn:lsid:ipni.org:names:119318-2,wfo-0000437203,FALSE,TRUE,TRUE,FALSE,FALSE,Jun 1893,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1893&rft.issue=2&rft.spage=197&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/136214&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA
Heliconia_burle-marxii,Emygdio,Emygdio,,spec.,/n/119320-2,Heliconiaceae,Heliconia,burle-marxii,tax. nov.,NA,NA,"Acre, Distrito Federal, Brazil (Southern America)",FALSE,FALSE,TRUE,,"Bol. Mus. Nac. Rio de Janeiro, Bot.",1957,"no. 16: [1], fig",4150-2,citation,"Bol. Mus. Nac. Rio de Janeiro, Bot. no. 16: [1], fig. 1957 ",FALSE,TRUE,NA,1.4,119320-2,urn:lsid:ipni.org:names:119320-2,wfo-0000437213,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
Heliconia_carajaensis,Barreiros,Barreiros,,spec.,/n/119325-2,Heliconiaceae,Heliconia,carajaensis,tax. nov.,917,C.Pereira,"Serra dos Carajas, Pará (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bradea,1980,"3(13): 104, fig",1276-2,citation,"Bradea 3(13): 104, fig. 1980 ",FALSE,TRUE,holotype HB,1.4,119325-2,urn:lsid:ipni.org:names:119325-2,wfo-0000437245,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
Heliconia_citrina,Emygdio & E.Santos,Emygdio & E.Santos,,spec.,/n/119333-2,Heliconiaceae,Heliconia,citrina,tax. nov.,27,Laclette,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bradea,1976,"2(16): 96 (-99), fig. 2",1276-2,citation,"Bradea 2(16): 96 (-99), fig. 2. 1976 ",FALSE,TRUE,holotype R,1.5,119333-2,urn:lsid:ipni.org:names:119333-2,wfo-0000437316,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
Heliconia_ferdinandi-coburgii,Szyszył. in Wawra,Szyszył. in Wawra,,spec.,/n/119364-2,Heliconiaceae,Heliconia,ferdinandi-coburgii,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,,Itin. Princ. S. Coburgi,1888,"2: 88, pl. 5",14558-2,citation,"Itin. Princ. S. Coburgi 2: 88, pl. 5. 1888 ",FALSE,TRUE,NA,1.6,119364-2,urn:lsid:ipni.org:names:119364-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
Heliconia_fluminensis,Emygdio & E.Santos,Emygdio & E.Santos,,spec.,/n/119367-2,Heliconiaceae,Heliconia,fluminensis,tax. nov.,2590,L.Emygdio de Mello Filho,Brazil (Southern America),FALSE,FALSE,TRUE,,Bradea,1976,"2(16): 99 (-100), fig. 3",1276-2,citation,"Bradea 2(16): 99 (-100), fig. 3. 1976 ",FALSE,TRUE,holotype R,1.5,119367-2,urn:lsid:ipni.org:names:119367-2,wfo-0000437590,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
Heliconia_goiasensis,Barreiros,Barreiros,,spec.,/n/119372-2,Heliconiaceae,Heliconia,goiasensis,tax. nov.,1016," L.T.Eiten,G.Eiten",Brazil (Southern America),FALSE,FALSE,TRUE,,Rodriguésia,1976,no. 41: 131,1167-2,citation,Rodriguésia no. 41: 131. 1976 ,FALSE,TRUE,holotype US,1.4,119372-2,urn:lsid:ipni.org:names:119372-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
