name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,infraspecies,pageAsText,speciesAuthor,collectionNumber,collectorTeam,typeLocations,collectionDate1,locality,referenceRemarks,remarks,typeCoordinates,originalTaxonDistribution,basionymAuthorStr,nameStatus,typeNote,originalRemarks,otherLinks,nameStatusType,bibliographicReference,typeChosenBy,typeRemarks
Archytaea_triflora,Mart.,Mart.,,spec.,/n/77216099-1,Clusiaceae,Archytaea,triflora,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Flora,1825,14 Jan 1825,8(1): 32,648-2,citation,Flora 8(1): 32. 1825 [14 Jan 1825] ,FALSE,TRUE,1.1,77216099-1,urn:lsid:ipni.org:names:77216099-1,wfo-0000543408,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1825&rft.issue=1&rft.spage=32&rft.volume=8&rft_id=http://www.biodiversitylibrary.org/bibliography/64&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonnetia_dinizii,Huber,Huber,,spec.,/n/34756-2,Clusiaceae,Bonnetia,dinizii,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bol. Mus. Paraense Emilio Goeldi,1913,NA,7: 302,6736-2,citation,Bol. Mus. Paraense Emilio Goeldi 7: 302. 1913 ,FALSE,TRUE,1.4,34756-2,urn:lsid:ipni.org:names:34756-2,wfo-0000568763,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calophyllum_angulare,A.C.Sm.,A.C.Sm.,,spec.,/n/42744-2,Clusiaceae,Calophyllum,angulare,tax. nov.,"Mato Grosso (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bull. Torrey Bot. Club,1933,NA,60: 379,586-2,citation,Bull. Torrey Bot. Club 60: 379. 1933 ,FALSE,TRUE,1.3,42744-2,urn:lsid:ipni.org:names:42744-2,wfo-0000581022,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1933&rft.spage=379&rft.volume=60&rft_id=http://www.biodiversitylibrary.org/bibliography/340&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caraipa_ampla,Ducke,Ducke,,spec.,/n/45017-2,Clusiaceae,Caraipa,ampla,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Arch. Jard. Bot. Rio de Janeiro,1922,NA,3: 218,848-2,citation,Arch. Jard. Bot. Rio de Janeiro 3: 218. 1922 ,FALSE,TRUE,1.3,45017-2,urn:lsid:ipni.org:names:45017-2,wfo-0000585937,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caraipa_aracaensis,Kubitzki,Kubitzki,,spec.,/n/274021-2,Clusiaceae,Caraipa,aracaensis,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Acta Amazonica,1987,NA,"16/17: 158 (-159), fig",1144-2,citation,"Acta Amazonica 16/17: 158 (-159), fig. 1987 ",FALSE,TRUE,1.3,274021-2,urn:lsid:ipni.org:names:274021-2,wfo-0000585939,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,15021,J.Murca Pires,holotype IAN,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caraipa_balbinensis,F.N.Cabral,F.N.Cabral,,spec.,/n/77159863-1,Clusiaceae,Caraipa,balbinensis,tax. nov.,"Amazonas (Brazil North, Brazil, Southern America)",FALSE,FALSE,TRUE,,Phytotaxa,2016,5 Dec 2016,286(4): 247,20011462-1,citation,Phytotaxa 286(4): 247. 2016 [5 Dec 2016] [epublished],FALSE,TRUE,1.2,77159863-1,urn:lsid:ipni.org:names:77159863-1,wfo-0001318685,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,6955,Cid Ferreira et al.,holotype INPA;isotype MO;isotype NY;isotype HBG,14 Mar 1986,"Presidente Figueiredo, canteiro de obras da Hidrelétrica de Balbina, estr. para Cachoeira Morena, 11 km a jusante a barragem, margem esq. do Rio Uatumã",[epublished],"doi:10.11646/phytotaxa.286.4.3 the epithet balbinensis refers to the locality Balbina (municipality of Presidente Figueiredo, Amazonas, Brazil), where the species occurs",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caraipa_caespitosa,F.N.Cabral,F.N.Cabral,,spec.,/n/77159865-1,Clusiaceae,Caraipa,caespitosa,tax. nov.,"Roraima (Brazil North, Brazil, Southern America);Amazonas (Brazil North, Brazil, Southern America);Colombia (Western South America, Southern America);Venezuela (Northern South America, Southern America);",FALSE,FALSE,TRUE,,Phytotaxa,2016,5 Dec 2016,286(4): 248,20011462-1,citation,Phytotaxa 286(4): 248. 2016 [5 Dec 2016] [epublished],FALSE,TRUE,1.2,77159865-1,urn:lsid:ipni.org:names:77159865-1,wfo-0001318686,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,13082,Cid Ferreira et al.,holotype INPA,23 Mar 2008,"Roraima: Caracaraí, Parque Nacional do Viruá, igarapé Anauá",[epublished],doi:10.11646/phytotaxa.286.4.3 the epithet caespitosa refers to the habit,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caraipa_excelsa,Ducke,Ducke,,spec.,/n/45021-2,Clusiaceae,Caraipa,excelsa,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Arch. Jard. Bot. Rio de Janeiro,1922,NA,3: 219,848-2,citation,Arch. Jard. Bot. Rio de Janeiro 3: 219. 1922 ,FALSE,TRUE,1.3,45021-2,urn:lsid:ipni.org:names:45021-2,wfo-0000585947,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caraipa_glabra,F.N.Cabral,F.N.Cabral,,spec.,/n/77164284-1,Clusiaceae,Caraipa,glabra,tax. nov.,"Amazonas (Brazil North, Brazil, Southern America)",FALSE,FALSE,TRUE,,Phytotaxa,2017,23 Jun 2017,311(1): 78,20011462-1,citation,Phytotaxa 311(1): 78. 2017 [23 Jun 2017] [epublished],FALSE,TRUE,1.2,77164284-1,urn:lsid:ipni.org:names:77164284-1,wfo-0001319174,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,581,F.N.Cabral et al.,holotype INPA INPA263969;isotype MO MO100828134;isotype UEC UEC182460,10 Oct 2012,"Presidente Figueiredo, Cachoeira de Iracema, 109 m",[epublished],doi:10.11646/phytotaxa.311.1.7 the epithet glabra refers to the absence of hairs on nearly all parts of the mature plant,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caraipa_heterocarpa,Ducke,Ducke,,spec.,/n/45029-2,Clusiaceae,Caraipa,heterocarpa,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bull. Mus. Hist. Nat. (Paris),1932,NA,ser. 2; 4: 742,576-2,citation,"Bull. Mus. Hist. Nat. (Paris) ser. 2; 4: 742. 1932 Archivos Jard. Bot. Rio Janeiro, 6: 67.  1933",FALSE,TRUE,1.3,45029-2,urn:lsid:ipni.org:names:45029-2,wfo-0000585958,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Archivos Jard. Bot. Rio Janeiro, 6: 67.  1933",NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
