name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,collectionNumber,collectorTeam,typeLocations,bhlLink,infraspecies,publicationYearNote,originalTaxonDistribution,speciesAuthor,collectionDate1,locality,referenceRemarks,remarks,typeCoordinates,pageAsText,typeNote,basionymAuthorStr
Chytroma_mexiana,R.Knuth,R.Knuth,,spec.,/n/58549-2,Lecythidaceae,Chytroma,mexiana,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Pflanzenr. (Engler),1939,"[Heft 105], 4, Fam. 219a: 136",3295-2,citation,"Pflanzenr. (Engler) [Heft 105], 4, Fam. 219a: 136. 1939 ",FALSE,TRUE,1.2,58549-2,urn:lsid:ipni.org:names:58549-2,wfo-0000774737,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Lecythis_oldemanii,Roosmalen,Roosmalen,,spec.,/n/60468343-2,Lecythidaceae,Lecythis,oldemanii,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,25 Jaar Boom Vrijheid,2004,"90, figs. 1-4",20019620-2,citation,"25 Jaar Boom Vrijheid 90, figs. 1-4. 2004 [Oct 2004] , as 'oldemani'; et in Field Guide Woody Pl. Amazon 4: 201 (2021)",FALSE,TRUE,1.3,60468343-2,urn:lsid:ipni.org:names:60468343-2,wfo-0001330146,TRUE,TRUE,TRUE,FALSE,FALSE,L230,M.G.M.Van Roosmalen,holotype INPA,NA,NA,Oct 2004,NA,NA,22 Nov 1997,"Nova Olinda, left bank of Rio Aripuanã, at edge of farmed terra preta do Índio",as 'oldemani'; et in Field Guide Woody Pl. Amazon 4: 201 (2021),"Eponymy: I am pleased to dedicate this species to Prof. Dr. Ir. R.A.A. Oldeman with whom I have collaborated since 1980. Among many other issues, he particularly inspired me early on to focus fieldwork on the role vertebrates play as dispersers and predators of seeds and seedlings and their impact on the composition and structure of Neotropical rain forest",,NA,NA,NA
