name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,collectionDate1,distribution,hybrid,hybridGenus,inPowo,locality,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,infraspecies,remarks,referenceRemarks,publicationYearNote,typeNote,originalTaxonDistribution,pageAsText,bhlLink,speciesAuthor,originalRemarks,typeCoordinates,typeRemarks,basionymAuthorStr
Amaryllis_minasgerais,Traub,Traub,,spec.,/n/10900-2,Amaryllidaceae,Amaryllis,minasgerais,tax. nov.,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Pl. Life (Stanford),1958,14(1): 31,2727-2,citation,Pl. Life (Stanford) 14(1): 31. 1958 ,FALSE,TRUE,NA,1.2,10900-2,urn:lsid:ipni.org:names:10900-2,wfo-0000759710,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Amaryllis_symonii,N.Funck,N.Funck,,spec.,/n/63049-1,Amaryllidaceae,Amaryllis,symonii,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Jorn. Hort. Prat.,1859,"ser. 2, 3: 242, t. 20",19987-2,citation,"Jorn. Hort. Prat. ser. 2, 3: 242, t. 20. 1859 ",FALSE,TRUE,NA,1.5,63049-1,urn:lsid:ipni.org:names:63049-1,wfo-0000759860,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hab.?,,NA,NA
Zephyranthes_pseudocolchicum,Kraenzl.,Kraenzl.,,spec.,/n/270981-2,Amaryllidaceae,Zephyranthes,pseudocolchicum,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Repert. Spec. Nov. Regni Veg.,1914,13: 118,788-2,citation,Repert. Spec. Nov. Regni Veg. 13: 118. 1914 ,FALSE,TRUE,NA,1.4,270981-2,urn:lsid:ipni.org:names:270981-2,wfo-0000752439,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,353393,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/353393&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,,NA,NA
