name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,pageAsText,publicationYearNote
Hedyosmum_acutifolium, in Cordemoy, in Cordemoy,,spec.,/n/277964-2,Chloranthaceae,Hedyosmum,acutifolium,tax. nov.,383,Clausen,Brazil (Southern America),FALSE,FALSE,TRUE,,Adansonia,1862,3: 306,833-2,citation,Adansonia 3: 306. 1862 ,FALSE,TRUE,lectotype P,1.1,277964-2,urn:lsid:ipni.org:names:277964-2,wfo-0001295533,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1862&rft.spage=306&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/600&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA
Hedyosmum_weddellianum,Cordem.,Cordem.,,spec.,/n/278001-2,Chloranthaceae,Hedyosmum,weddellianum,tax. nov.,539,C.Gaudichaud-Beaupré,Brazil (Southern America),FALSE,FALSE,FALSE,,Adansonia,1862,3: 306 (-307),833-2,citation,Adansonia 3: 306 (-307). 1862 ,FALSE,TRUE,lectotype P,1.3,278001-2,urn:lsid:ipni.org:names:278001-2,wfo-0001295534,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1862&rft.spage=306&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/600&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA
