name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,infraspecies,speciesAuthor,bhlLink,collectionNumber,collectorTeam,collectionDate1,locality,publicationYearNote,referenceRemarks,remarks,typeLocations,typeCoordinates,pageAsText,originalTaxonDistribution,typeNote,originalBasionymAuthorTeam,originalHybridParentage,typeRemarks,originalRemarks,bibliographicTypeInfo,typeName,nameStatus,nameStatusType,collectionDate2
Acanthophoenix_grandis,Bosschere,Bosschere,,spec.,/n/1674-2,Arecaceae,Acanthophoenix,grandis,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Ill. Hort.,1895,42: 185,1202-2,citation,Ill. Hort. 42: 185. 1895 ,FALSE,TRUE,1.2,1674-2,urn:lsid:ipni.org:names:1674-2,wfo-0000278615,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1895&rft.spage=185&rft.volume=42&rft_id=http://www.biodiversitylibrary.org/bibliography/131&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthosabal_caespitosa,Prosch.,Prosch.,,spec.,/n/1690-2,Arecaceae,Acanthosabal,caespitosa,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Gard. Chron.,1925,"ser. 3, 77: 92, figs. 35-38",1224-2,citation,"Gard. Chron. ser. 3, 77: 92, figs. 35-38. 1925 ",FALSE,TRUE,1.4,1690-2,urn:lsid:ipni.org:names:1690-2,wfo-0000280592,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocomia_corumbaensi,S.A.Vianna,S.A.Vianna,,spec.,/n/77176294-1,Arecaceae,Acrocomia,corumbaensi,tax. nov.,"Mato Grosso do Sul (Brazil West-Central, Brazil, Southern America)",FALSE,FALSE,TRUE,,Phytotaxa,2017,314(1): 46,20011462-1,citation,Phytotaxa 314(1): 46. 2017 [21 Jul 2017] [epublished],FALSE,TRUE,1.1,77176294-1,urn:lsid:ipni.org:names:77176294-1,wfo-0001316477,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,73,S.A.Vianna,28 Sep 2012,"Corumbá, Assentamento Antônio Maria Coelho",21 Jul 2017,[epublished],doi:10.11646/phytotaxa.314.1.2,holotype IAC 53.927;isotype FTG,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amylocarpus_maraya-y,Barb.Rodr.,Barb.Rodr.,,spec.,/n/12131-2,Arecaceae,Amylocarpus,maraya-y,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Contr. Jard. Bot. Rio de Janeiro,1902,3: 72,3500-2,citation,Contr. Jard. Bot. Rio de Janeiro 3: 72. 1902 ,FALSE,TRUE,1.3,12131-2,urn:lsid:ipni.org:names:12131-2,wfo-0000967658,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1902&rft.spage=72&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/68943&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amylocarpus_settipinnatus,Barb.Rodr.,Barb.Rodr.,,spec.,/n/12138-2,Arecaceae,Amylocarpus,settipinnatus,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Contr. Jard. Bot. Rio de Janeiro,1902,3: 72,3500-2,citation,Contr. Jard. Bot. Rio de Janeiro 3: 72. 1902 ,FALSE,TRUE,1.2,12138-2,urn:lsid:ipni.org:names:12138-2,wfo-0001350456,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1902&rft.spage=72&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/68943&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amylocarpus_syagroiles,Barb.Rodr.,Barb.Rodr.,,spec.,/n/12140-2,Arecaceae,Amylocarpus,syagroiles,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Contr. Jard. Bot. Rio de Janeiro,1902,3: 72,3500-2,citation,Contr. Jard. Bot. Rio de Janeiro 3: 72. 1902 ,FALSE,TRUE,1.2,12140-2,urn:lsid:ipni.org:names:12140-2,wfo-0001350459,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1902&rft.spage=72&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/68943&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astrocaryum_kewensis,Barb.Rodr.,Barb.Rodr.,,spec.,/n/25869-2,Arecaceae,Astrocaryum,kewensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Sert. Palm. Brasil.,1903,"2: 70, pl. 74",14377-2,citation,"Sert. Palm. Brasil. 2: 70, pl. 74. 1903 ",FALSE,TRUE,1.2,25869-2,urn:lsid:ipni.org:names:25869-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atitara_philipiana,Barb.Rodr.,Barb.Rodr.,,spec.,/n/26199-2,Arecaceae,Atitara,philipiana,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Contr. Jard. Bot. Rio de Janeiro,1902,3: 76,3500-2,citation,Contr. Jard. Bot. Rio de Janeiro 3: 76. 1902 ,FALSE,TRUE,1.3,26199-2,urn:lsid:ipni.org:names:26199-2,wfo-0000295266,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1902&rft.spage=76&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/68943&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Attabignya_minarum,"Balick, A.B.Anderson & Med.-Costa","Balick, A.B.Anderson & Med.-Costa",,spec.,/n/319734-2,Arecaceae,Attabignya,minarum,tax. nov.,"Mun. de Santa Fé: 11 km from town of Santa Fé, near stream called Logra do Rio, on Fazenda Santa María, Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,,Brittonia,1987,39: 27,561-2,citation,Brittonia 39: 27. 1987 ,FALSE,TRUE,1.5,319734-2,urn:lsid:ipni.org:names:319734-2,wfo-0000295774,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,1694,M.J.Balick et al.,NA,NA,NA,NA,[Gandhi 2 May 2000],holotype CEN;isotype NY,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Attalea_goeldiana,Huber,Huber,,spec.,/n/26566-2,Arecaceae,Attalea,goeldiana,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bull. Herb. Boissier,1906,"ser. 2, 6: 268",573-2,citation,"Bull. Herb. Boissier ser. 2, 6: 268. 1906 ",FALSE,TRUE,1.3,26566-2,urn:lsid:ipni.org:names:26566-2,wfo-0000296158,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
