name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,infraspecies,speciesAuthor,bhlLink,collectionNumber,collectorTeam,collectionDate1,locality,publicationYearNote,referenceRemarks,remarks,typeLocations,typeCoordinates,pageAsText,originalTaxonDistribution,typeNote,originalBasionymAuthorTeam,originalHybridParentage,typeRemarks,originalRemarks,bibliographicTypeInfo,typeName,nameStatus,nameStatusType,collectionDate2
Attalea_microclada,Burret,Burret,,spec.,/n/26577-2,Arecaceae,Attalea,microclada,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Notizbl. Bot. Gart. Berlin-Dahlem,1929,10: 520,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 10: 520. 1929 ,FALSE,TRUE,1.1.2.1,26577-2,urn:lsid:ipni.org:names:26577-2,wfo-0001090564,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1929&rft.spage=520&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Attalea_piassabossu,Bondar,Bondar,,spec.,/n/26581-2,Arecaceae,Attalea,piassabossu,tax. nov.,"Alegre, Bahia (Brazil, Southern America)",FALSE,FALSE,TRUE,,"Publ. Field Mus. Nat. Hist., Bot. Ser.",1942,22: 462,1054-2,citation,"Publ. Field Mus. Nat. Hist., Bot. Ser. 22: 462. 1942 ",FALSE,TRUE,1.2,26581-2,urn:lsid:ipni.org:names:26581-2,wfo-0000296443,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1942&rft.spage=462&rft.volume=22&rft_id=http://www.biodiversitylibrary.org/bibliography/42246&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,s.n.,G.G.Bondar,NA,NA,NA,NA,"According to Glassman (Illinois Biol. Monogr. 59: 188. 1999), this species is a hybrid.",lectotype F,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Attalea_salvadorensis,Glassman,Glassman,,spec.,/n/1014711-1,Arecaceae,Attalea,salvadorensis,tax. nov.,Brazil Northeast (Bahia).,FALSE,FALSE,TRUE,,"Taxon. Treatment Palm Subtribe Attaleinae (Tribe Cocoeae) (Illinois Biol. Monogr., 59)",1999,63 (1999),NA,citation,"Taxon. Treatment Palm Subtribe Attaleinae (Tribe Cocoeae) (Illinois Biol. Monogr., 59) 63 (1999). ",FALSE,TRUE,1.4,1014711-1,urn:lsid:ipni.org:names:1014711-1,wfo-0000296571,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,13016,Glassman,Aug 1976,"78km north of Salvador (vicinity of Amelia Rodrigues), near turnoff for Itapetingui, along highway BR324",1999,NA,NA,"holotype Herbarium, Field Museum of Natural History;isotype Herbário, Instituto de Botânica",,NA,Brazil Northeast (Bahia).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Attalea_salvadorensis,Glassman,Glassman,,spec.,/n/319684-2,Arecaceae,Attalea,salvadorensis,tax. nov.,"78 km north of Salvador (vicinity of Amelia Rodrigues), near turnoff for Itapetingui, along highway BR 324, mata secundario, in Atlantic coastal forest remnant, Bahia (Brazil, Southern America)",FALSE,FALSE,FALSE,,Illinois Biol. Monogr.,1999,"59: 63 (-65; figs. 51, 72, 77)",2333-2,citation,"Illinois Biol. Monogr. 59: 63 (-65; figs. 51, 72, 77). 1999 Alt. title: Tax. Treatm. Palm subtrib. Attaleinae",FALSE,TRUE,1.1.2.1,319684-2,urn:lsid:ipni.org:names:319684-2,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,13016,S.F.Glassman,NA,NA,NA,Alt. title: Tax. Treatm. Palm subtrib. Attaleinae,[Gandhi 24 Apr 2000],holotype F;isotype SP,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Attalea_× voeksii,Noblick ex Glassman,Noblick ex Glassman,,spec.,/n/1014724-1,Arecaceae,Attalea,voeksii,tax. nov.,Brazil Northeast (Bahia).,TRUE,FALSE,TRUE,,"Taxon. Treatment Palm Subtribe Attaleinae (Tribe Cocoeae) (Illinois Biol. Monogr., 59)",1999,191 (1999),NA,citation,"Taxon. Treatment Palm Subtribe Attaleinae (Tribe Cocoeae) (Illinois Biol. Monogr., 59) 191 (1999). ",FALSE,TRUE,1.3.2.1.1.1,1014724-1,urn:lsid:ipni.org:names:1014724-1,NA,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,4241,Noblick et al.,Aug 1985,"Fazenda Barra do Manguinho, Ramal direita, com entrada no km 10 do Rodovia Ilheus/Olivença",1999,NA,NA,"holotype CEPEC;isotype Universidade Estadual de Feira de Santana;isotype Herbarium, Field Museum of Natural History",,NA,Brazil Northeast (Bahia).,NA,Noblick ex,(A. funifera × humilis).,NA,NA,NA,NA,NA,NA,NA
Attalea_× voeksii,Noblick ex Glassman,Noblick ex Glassman,,spec.,/n/319732-2,Arecaceae,Attalea,voeksii,tax. nov.,"Fazenda Barra do Manguinho, Ramal direita, com entrada no km 10 do Rodovia Ilheus/Olivenca, Bahia (Brazil, Southern America)",TRUE,FALSE,FALSE,,Illinois Biol. Monogr.,1999,59: 191 (-192),2333-2,citation,Illinois Biol. Monogr. 59: 191 (-192). 1999 ,FALSE,TRUE,1.1.2.1.1.1,319732-2,urn:lsid:ipni.org:names:319732-2,wfo-0000296687,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,4241,L.R.Noblick et al.,NA,NA,NA,NA,[Gandhi 28 Apr 2000] parents: A. funifera (seed parent) X A. humilis (male),holotype CEPEC;isotype F;isotype HUEFS,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Attalea_wallisii,Huber,Huber,,spec.,/n/319733-2,Arecaceae,Attalea,wallisii,tax. nov.,"Rio Purus or Rio Acre, Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bull. Herb. Boissier,1906,"ser. 2, 6: 267",573-2,citation,"Bull. Herb. Boissier ser. 2, 6: 267. 1906 ",FALSE,TRUE,1.3,319733-2,urn:lsid:ipni.org:names:319733-2,wfo-0000296699,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,163-B,G.Huebner,NA,NA,NA,NA,"For lectotypification, Glassman referred to his earlier work (Fieldiana, Bot. 38: 53. 1975), but in that work, G. Huebner 163 was not designated as the LT.",lectotype B,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bactris_dardanoi,Med.-Costa,Med.-Costa,,spec.,/n/929261-1,Arecaceae,Bactris,dardanoi,tax. nov.,Brazil.,FALSE,FALSE,FALSE,,"Prog. Resum. Soc. Bot. Brasil, XXXVI Congr. Nac. Bot., Curitiba",1985,"217 (1985), without latin descr. or type",NA,citation,"Prog. Resum. Soc. Bot. Brasil, XXXVI Congr. Nac. Bot., Curitiba 217 (1985), without latin descr. or type. ",FALSE,TRUE,1.5,929261-1,urn:lsid:ipni.org:names:929261-1,wfo-0001357471,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,1985,NA,NA,NA,,NA,Brazil.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
×_Butyagrus alegretensis,K.Soares,K.Soares,,spec.,/n/77141121-1,Arecaceae,Butyagrus,alegretensis,tax. nov.,"Rio Grande do Sul (Brazil South, Brazil, Southern America)",FALSE,TRUE,TRUE,,Rodriguésia,2014,65(1): 134,1167-2,citation,Rodriguésia 65(1): 134. 2014 ,FALSE,TRUE,1.2,77141121-1,urn:lsid:ipni.org:names:77141121-1,wfo-0001316476,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,24,K.Soares et al.,13 Jul 2012,"Alegrete, no Cerro do Tigre (Ponte de Pedra)",NA,NA,NA,holotype HDCF 6264,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
×_Butyagrus paranaensis,"Engels, T.A.Meyer & K.Soares","Engels, T.A.Meyer & K.Soares",,spec.,/n/77303537-1,Arecaceae,Butyagrus,paranaensis,tax. nov.,"Paraná (Brazil South, Brazil, Southern America)",TRUE,TRUE,TRUE,,Hoehnea,2021,48-e412020: 1,2305-2,citation,Hoehnea 48-e412020: 1. 2021 [epublished],FALSE,TRUE,1.3,77303537-1,urn:lsid:ipni.org:names:77303537-1,wfo-1000040029,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,8000,M.E. Engels &amp; T.A. Meyer,12 Apr 2018,Coronel Domingos Soares,NA,[epublished],doi:10.1590/2236-8906-41/2020,holotype MBM;isotype FURB;isotype HCF;isotype HUEFS;isotype RB;isotype UPCB,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calamus_heliotropium,Buch.-Ham. ex Mart.,Buch.-Ham. ex Mart.,,spec.,/n/60459109-2,Arecaceae,Calamus,heliotropium,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Hist. Nat. Palm.,1838,3: 211,3767-2,citation,Hist. Nat. Palm. 3: 211. 1838 [23 Sep 1838] ,FALSE,TRUE,1.1,60459109-2,urn:lsid:ipni.org:names:60459109-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1838&rft.spage=211&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/506&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,23 Sep 1838,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calamus_melanacanthos,Mart.,Mart.,,spec.,/n/60459110-2,Arecaceae,Calamus,melanacanthos,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Hist. Nat. Palm.,1838,3: 211,3767-2,citation,Hist. Nat. Palm. 3: 211. 1838 [23 Sep 1838] ,FALSE,TRUE,1.1,60459110-2,urn:lsid:ipni.org:names:60459110-2,wfo-0001316720,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1838&rft.spage=211&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/506&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,23 Sep 1838,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calamus_mirabilis,Mart.,Mart.,,spec.,/n/60459111-2,Arecaceae,Calamus,mirabilis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Hist. Nat. Palm.,1838,3: 213,3767-2,citation,Hist. Nat. Palm. 3: 213. 1838 [23 Sep 1838] ,FALSE,TRUE,1.1,60459111-2,urn:lsid:ipni.org:names:60459111-2,wfo-0000758034,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1838&rft.spage=213&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/506&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,23 Sep 1838,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calamus_platyacanthos,Mart.,Mart.,,spec.,/n/60459112-2,Arecaceae,Calamus,platyacanthos,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Hist. Nat. Palm.,1838,3: 206,3767-2,citation,Hist. Nat. Palm. 3: 206. 1838 [23 Sep 1838] ,FALSE,TRUE,1.1,60459112-2,urn:lsid:ipni.org:names:60459112-2,wfo-0000759253,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1838&rft.spage=206&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/506&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,23 Sep 1838,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calamus_pseudorotang,Mart.,Mart.,,spec.,/n/60459113-2,Arecaceae,Calamus,pseudorotang,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Hist. Nat. Palm.,1838,3: 209,3767-2,citation,Hist. Nat. Palm. 3: 209. 1838 [23 Sep 1838] ,FALSE,TRUE,1.1,60459113-2,urn:lsid:ipni.org:names:60459113-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1838&rft.spage=209&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/506&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,23 Sep 1838,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calamus_ruber,Reinw. ex Mart.,Reinw. ex Mart.,,spec.,/n/60459114-2,Arecaceae,Calamus,ruber,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Hist. Nat. Palm.,1838,3: 209,3767-2,citation,Hist. Nat. Palm. 3: 209. 1838 [23 Sep 1838] ,FALSE,TRUE,1.1,60459114-2,urn:lsid:ipni.org:names:60459114-2,wfo-0000759862,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1838&rft.spage=209&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/506&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,23 Sep 1838,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chamaethrinax_hookeriana,H.Wendl. ex R.Pfister,H.Wendl. ex R.Pfister,,spec.,/n/665938-1,Arecaceae,Chamaethrinax,hookeriana,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Beitr. Vergl. Anat. Sabaleenbl.,1892,46,20018100-2,citation,Beitr. Vergl. Anat. Sabaleenbl. 46. 1892 ,FALSE,TRUE,1.1.2.2.1.2.2.1,665938-1,urn:lsid:ipni.org:names:665938-1,wfo-0000840503,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,Hab.?,NA,NA,NA,NA,NA
Cocos_camposportoana,Bondar,Bondar,,spec.,/n/62572-2,Arecaceae,Cocos,camposportoana,tax. nov.,"Bahia (Brazil, Southern America)",FALSE,FALSE,TRUE,,"Publ. Field Mus. Nat. Hist., Bot. Ser.",1942,22: 460,1054-2,citation,"Publ. Field Mus. Nat. Hist., Bot. Ser. 22: 460. 1942 hybrid",FALSE,TRUE,1.4,62572-2,urn:lsid:ipni.org:names:62572-2,wfo-0000903035,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1942&rft.spage=460&rft.volume=22&rft_id=http://www.biodiversitylibrary.org/bibliography/42246&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,hybrid,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cocos_chavisiana,Barb.Rodr.,Barb.Rodr.,,spec.,/n/62576-2,Arecaceae,Cocos,chavisiana,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Malpighia,1887,1: 445,707-2,citation,Malpighia 1: 445. 1887 ,FALSE,TRUE,1.2,62576-2,urn:lsid:ipni.org:names:62576-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1887&rft.spage=445&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/48603&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmoncus_philippiana,Barb.Rodr.,Barb.Rodr.,,spec.,/n/78688-2,Arecaceae,Desmoncus,philippiana,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Vellosia,1888,1: 38,3884-2,citation,Vellosia 1: 38. 1888 ,FALSE,TRUE,1.2,78688-2,urn:lsid:ipni.org:names:78688-2,wfo-0000941982,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1888&rft.spage=38&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/69100&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geonoma_telesiana,Lorenzi,Lorenzi,,spec.,/n/77105846-1,Arecaceae,Geonoma,telesiana,tax. nov.,"Mato Grosso (Brazil West-Central, Brazil, Southern America)",FALSE,FALSE,TRUE,,Brazil. Fl. Arec.,2010,"252 (-253; figs., map)",20011839-1,citation,"Brazil. Fl. Arec. 252 (-253; figs., map). 2010 ",FALSE,TRUE,1.1,77105846-1,urn:lsid:ipni.org:names:77105846-1,wfo-0000917849,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,6789,"H.Lorenzi, João Teles, K.Soares &amp; T.B.Flores",11 Dec 2009,"Município de Matinha, região da Serra do Roncador",NA,NA,as telesana,holotype HPL;isotype ESA;isotype SP,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lytocaryum_itapebiense,Noblick & Lorenzi,Noblick & Lorenzi,,spec.,/n/60453680-2,Arecaceae,Lytocaryum,itapebiense,tax. nov.,"Bahia (Brazil, Southern America)",FALSE,FALSE,TRUE,,Palms (1999+),2010,54(1): 13 (5-17; figs. 10-15),18729-2,citation,Palms (1999+) 54(1): 13 (5-17; figs. 10-15). 2010 [25 Mar 2010] (as itapebiensis),FALSE,TRUE,1.1.2.1,60453680-2,urn:lsid:ipni.org:names:60453680-2,wfo-0000916804,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,6496,"H. Lorenzi, L. R. Noblick, et al. [C. A. Guimaraes, J. E. dos Santos]",23 Jun 2008,Mun. de Itapebi,25 Mar 2010,(as itapebiensis),NA,holotype HPL;isotype CEPEC;isotype FTG;isotype K;isotype NY;isotype R;isotype SP,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
