name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,infraspecies,inPowo,pageAsText,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,collectorTeam,collectionDate1,locality,typeLocations,collectionNumber,speciesAuthor,remarks,referenceRemarks,typeCoordinates,basionymAuthorStr,typeNote,nameStatus,nameStatusType,originalTaxonDistribution,originalBasionymAuthorTeam,originalRemarks,bibliographicReference,bibliographicTypeInfo,typeChosenBy,collectionDate2,typeRemarks,typeName
Achyrophorus_bipontinae,Sch.Bip.,Sch.Bip.,,spec.,/n/317599-2,Asteraceae,Achyrophorus,bipontinae,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Commentat. Bot. (Sch. Bip.),1859,9 Aug 1959,21 (21-22),18163-2,citation,Commentat. Bot. (Sch. Bip.) 21 (21-22). 1859 [9 Aug 1959] ,FALSE,TRUE,1.3,317599-2,urn:lsid:ipni.org:names:317599-2,wfo-0000043848,FALSE,TRUE,TRUE,FALSE,FALSE,NA,G.A.[G.] Lindberg,NA,NA,NA,88,NA,[Gandhi 1 Apr 1999],NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achyrophorus_gardneri,Sch.Bip.,Sch.Bip.,,spec.,/n/317600-2,Asteraceae,Achyrophorus,gardneri,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Commentat. Bot. (Sch. Bip.),1859,9 Aug 1959,34,18163-2,citation,Commentat. Bot. (Sch. Bip.) 34. 1859 [9 Aug 1959] ,FALSE,TRUE,1.3,317600-2,urn:lsid:ipni.org:names:317600-2,wfo-0000119616,FALSE,TRUE,TRUE,FALSE,FALSE,NA,George Gardner,NA,NA,NA,s.n.,NA,[Gandhi 1 Apr 1999] nom. nov. for A. brasiliensis Gardn. 1845 (non Less.),NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achyrophorus_microcephalus,Sch.Bip.,Sch.Bip.,,spec.,/n/2601-2,Asteraceae,Achyrophorus,microcephalus,tax. nov.,"Rio Pardo, Brazil (Southern America)",FALSE,FALSE,NA,TRUE,NA,,Jahresber. Pollichia,1859,9 Aug 1859,16-17: 59,1267-2,citation,Jahresber. Pollichia 16-17: 59. 1859 [9 Aug 1859] Commentat. Bot. (Sch. Bip.) 27-28. 1859.,FALSE,TRUE,1.4,2601-2,urn:lsid:ipni.org:names:2601-2,wfo-0000107531,TRUE,TRUE,TRUE,FALSE,FALSE,NA,F.Sellow,NA,NA,null P?,s.n.,NA,NA,Commentat. Bot. (Sch. Bip.) 27-28. 1859.,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achyrophorus_selloi,Sch.Bip.,Sch.Bip.,,spec.,/n/2609-2,Asteraceae,Achyrophorus,selloi,tax. nov.,"Rio Pardo, Brazil (Southern America)",FALSE,FALSE,NA,TRUE,NA,,Commentat. Bot. (Sch. Bip.),1859,9 Aug 1859,29 (29-30),18163-2,citation,Commentat. Bot. (Sch. Bip.) 29 (29-30). 1859 [9 Aug 1859] ,FALSE,TRUE,1.3,2609-2,urn:lsid:ipni.org:names:2609-2,wfo-0000083528,FALSE,TRUE,TRUE,FALSE,FALSE,NA,F.Sellow,NA,NA,NA,s.n.,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achyrophorus_tenuisectus,Sch.Bip.,Sch.Bip.,,spec.,/n/317601-2,Asteraceae,Achyrophorus,tenuisectus,tax. nov.,"Santa Catarina (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Commentat. Bot. (Sch. Bip.),1859,9 Aug 1859,26 (26-27),18163-2,citation,Commentat. Bot. (Sch. Bip.) 26 (26-27). 1859 [9 Aug 1859] ,FALSE,TRUE,1.4,317601-2,urn:lsid:ipni.org:names:317601-2,wfo-0000013867,FALSE,TRUE,TRUE,FALSE,FALSE,NA,S.-R.Lenormand,NA,NA,NA,s.n.,NA,[Gandhi 1 Apr 1999],NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achyrophorus_trichocephalus,Sch.Bip.,Sch.Bip.,,spec.,/n/2623-2,Asteraceae,Achyrophorus,trichocephalus,tax. nov.,"Santa Catarina (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Commentat. Bot. (Sch. Bip.),1859,9 Aug 1859,26,18163-2,citation,Commentat. Bot. (Sch. Bip.) 26. 1859 [9 Aug 1859] ,FALSE,TRUE,1.3,2623-2,urn:lsid:ipni.org:names:2623-2,wfo-0000087164,FALSE,TRUE,TRUE,FALSE,FALSE,NA,S.-R.Lenormand,NA,NA,null LENORMAND HERB.,s.n.,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinella_anthemidoides,(Juss.) Malme,Malme,,spec.,/n/3975-2,Asteraceae,Actinella,anthemidoides,tax. nov.,"Rio Grande do Sul (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Ark. Bot.,1931,NA,24A(6): 73,536-2,citation,Ark. Bot. 24A(6): 73. 1931 ,FALSE,TRUE,1.4,3975-2,urn:lsid:ipni.org:names:3975-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,(Juss.),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinoseris_hatschbachii,Zardini,Zardini,,spec.,/n/4037-2,Asteraceae,Actinoseris,hatschbachii,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Bol. Mus. Bot. Munic.,1975,NA,23: 1 (-2; fig.),349-2,citation,Bol. Mus. Bot. Munic. 23: 1 (-2; fig.). 1975 ,FALSE,TRUE,1.2,4037-2,urn:lsid:ipni.org:names:4037-2,wfo-0000131299,FALSE,TRUE,TRUE,FALSE,FALSE,NA,G.Hatschbach,NA,NA,holotype LP,35366,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ageratum_serratum,Glaz.,Glaz.,,spec.,/n/7168-2,Asteraceae,Ageratum,serratum,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Bull. Soc. Bot. France,1909,NA,56(Mém. 3d): 382,578-2,citation,Bull. Soc. Bot. France 56(Mém. 3d): 382. 1909 ,FALSE,TRUE,1.5,7168-2,urn:lsid:ipni.org:names:7168-2,wfo-0000025183,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcantara_isabellae,Glaz.,Glaz.,,spec.,/n/8045-2,Asteraceae,Alcantara,isabellae,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Bull. Soc. Bot. France,1909,NA,56(Mém. 3d): 367,578-2,citation,Bull. Soc. Bot. France 56(Mém. 3d): 367. 1909 ,FALSE,TRUE,1.3.2.1,8045-2,urn:lsid:ipni.org:names:8045-2,wfo-0000134517,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,nom. inval.    Genus name invalid,nom. inval.,NA,NA,NA,NA,NA,NA,NA,NA,NA
