name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,infraspecies,inPowo,pageAsText,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,collectorTeam,collectionDate1,locality,typeLocations,collectionNumber,speciesAuthor,remarks,referenceRemarks,typeCoordinates,basionymAuthorStr,typeNote,nameStatus,nameStatusType,originalTaxonDistribution,originalBasionymAuthorTeam,originalRemarks,bibliographicReference,bibliographicTypeInfo,typeChosenBy,collectionDate2,typeRemarks,typeName
Alcantara_petroana,Glaz. ex G.M.Barroso,Glaz. ex G.M.Barroso,,spec.,/n/8046-2,Asteraceae,Alcantara,petroana,tax. nov.,"Goiás (Brazil, Southern America)",FALSE,FALSE,NA,FALSE,NA,,Loefgrenia,1969,NA,"36: [1], fig. 1",994-2,citation,"Loefgrenia 36: [1], fig. 1. 1969 ",FALSE,TRUE,1.6,8046-2,urn:lsid:ipni.org:names:8046-2,wfo-0000086854,FALSE,TRUE,TRUE,FALSE,FALSE,NA,R.M.Harley,NA,NA,holotype UB,11405,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcantara_petroana,Glaz.,Glaz.,,spec.,/n/8047-2,Asteraceae,Alcantara,petroana,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Bull. Soc. Bot. France,1909,NA,56(Mém. 3d): 367,578-2,citation,Bull. Soc. Bot. France 56(Mém. 3d): 367. 1909 ,FALSE,TRUE,1.3.2.1,8047-2,urn:lsid:ipni.org:names:8047-2,wfo-0000138124,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,nom. inval.    Genus name invalid,nom. inval.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alomia_cinerea,(Gardner) Benth. ex Baker,Benth. ex Baker,,spec.,/n/9487-2,Asteraceae,Alomia,cinerea,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,139752,,Fl. Bras. (Martius),1876,1 Feb 1876,6(2): 191,629-2,citation,Fl. Bras. (Martius) 6(2): 191. 1876 [1 Feb 1876] ,FALSE,TRUE,1.11,9487-2,urn:lsid:ipni.org:names:9487-2,wfo-0000006484,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/139752&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,(Gardner),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alomia_dubia,B.L.Rob.,B.L.Rob.,,spec.,/n/9490-2,Asteraceae,Alomia,dubia,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Proc. Amer. Acad. Arts,1906,NA,42: 33,775-2,citation,Proc. Amer. Acad. Arts 42: 33. 1906 ,FALSE,TRUE,1.1.2.1.1.1,9490-2,urn:lsid:ipni.org:names:9490-2,wfo-0000038053,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1906&rft.spage=33&rft.volume=42&rft_id=http://www.biodiversitylibrary.org/bibliography/3934&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alomia_regnellii,Malme,Malme,,spec.,/n/9504-2,Asteraceae,Alomia,regnellii,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Kongl. Svenska Vetensk.-Akad. Handl.,1899,NA,"32(5): 32, pl. 5, fig. 5",20010256-1,citation,"Kongl. Svenska Vetensk.-Akad. Handl. 32(5): 32, pl. 5, fig. 5. 1899 ",FALSE,TRUE,1.4,9504-2,urn:lsid:ipni.org:names:9504-2,wfo-0000063922,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1899&rft.issue=5&rft.spage=32&rft.volume=32&rft_id=http://www.biodiversitylibrary.org/bibliography/50688&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andromachia_maronii,André,André,,spec.,/n/12645-2,Asteraceae,Andromachia,maronii,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Rev. Hort. [Paris].,1887,NA,21: 496,1212-2,citation,Rev. Hort. [Paris]. 21: 496. 1887 ,FALSE,TRUE,1.3,12645-2,urn:lsid:ipni.org:names:12645-2,wfo-0000014444,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1887&rft.spage=496&rft.volume=21&rft_id=http://www.biodiversitylibrary.org/bibliography/109772&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angelphytum_hatschbachii,H.Rob.,H.Rob.,,spec.,/n/300877-2,Asteraceae,Angelphytum,hatschbachii,tax. nov.,"Mato Grosso (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Proc. Biol. Soc. Washington,1984,NA,97: 967,1044-2,citation,Proc. Biol. Soc. Washington 97: 967. 1984 ,FALSE,TRUE,1.3,300877-2,urn:lsid:ipni.org:names:300877-2,wfo-0000022516,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1984&rft.spage=967&rft.volume=97&rft_id=http://www.biodiversitylibrary.org/bibliography/3622&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,G.Hatschbach,NA,NA,holotype MBM;isotype US,46131,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angelphytum_matogrossense,G.M.Barroso,G.M.Barroso,,spec.,/n/13689-2,Asteraceae,Angelphytum,matogrossense,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Bol. Soc. Argent. Bot.,1980,NA,"19: 9, fig",1242-2,citation,"Bol. Soc. Argent. Bot. 19: 9, fig. 1980 ",FALSE,TRUE,1.5,13689-2,urn:lsid:ipni.org:names:13689-2,wfo-0000138702,FALSE,TRUE,TRUE,FALSE,FALSE,NA,G.Hatschbach,NA,NA,holotype RB,24639,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anomostephium_ellipticum,DC.,DC.,,spec.,/n/302091-2,Asteraceae,Anomostephium,ellipticum,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,151995,,Prodr. [A. P. de Candolle],1836,1-10 Oct 1836,5: 560,1051-2,citation,Prodr. [A. P. de Candolle] 5: 560. 1836 [1-10 Oct 1836] ,FALSE,TRUE,1.5,302091-2,urn:lsid:ipni.org:names:302091-2,wfo-0000131196,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/151995&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anomostephium_ovalifolium,DC.,DC.,,spec.,/n/302390-2,Asteraceae,Anomostephium,ovalifolium,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,151995,,Prodr. [A. P. de Candolle],1836,1-10 Oct 1836,5: 560,1051-2,citation,Prodr. [A. P. de Candolle] 5: 560. 1836 [1-10 Oct 1836] ,FALSE,TRUE,1.4,302390-2,urn:lsid:ipni.org:names:302390-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/151995&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antennaria_heteracantha,Speg.,Speg.,,spec.,/n/14706-2,Asteraceae,Antennaria,heteracantha,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Bol. Acad. Nac. Ci.,1889,NA,11: 621,857-2,citation,Bol. Acad. Nac. Ci. 11: 621. 1889 ,FALSE,TRUE,1.2,14706-2,urn:lsid:ipni.org:names:14706-2,wfo-0000129182,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=621&rft.volume=11&rft_id=http://www.biodiversitylibrary.org/bibliography/3645&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aristomenia_fruticosa,Vell.,Vell.,,spec.,/n/316842-2,Asteraceae,Aristomenia,fruticosa,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Fl. Flumin.,1829,1825 publ. 7 Sep-28 Nov 1829,346,932-2,citation,Fl. Flumin. 346. 1829 [1825 publ. 7 Sep-28 Nov 1829] ,FALSE,TRUE,1.3,316842-2,urn:lsid:ipni.org:names:316842-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.spage=346&rft_id=http://www.biodiversitylibrary.org/bibliography/745&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,lectotype NATL. LIBR. (RIO DE JANEIRO) (RIO DE JANEIRO),NA,NA,[Gandhi 3 Dec 1998],NA,,NA,Ic. Fl. Flumin. 8: t. 84. 1831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arrojadoa_praxeloides,Mattf.,Mattf.,,spec.,/n/20436-2,Asteraceae,Arrojadoa,praxeloides,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Notizbl. Bot. Gart. Berlin-Dahlem,1923,NA,8: 435,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 8: 435. 1923 ,FALSE,TRUE,1.2.2.1.1.1,20436-2,urn:lsid:ipni.org:names:20436-2,wfo-0000021680,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1923&rft.spage=435&rft.volume=8&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aspilia_andradelimae,J.U.Santos,J.U.Santos,,spec.,/n/323459-2,Asteraceae,Aspilia,andradelimae,tax. nov.,"Serra das Flores, Ceará (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot.",1985,23 Dec 1985,"2(1): 5 (-7; fig. 1, est. II)",1871-2,citation,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot. 2(1): 5 (-7; fig. 1, est. II). 1985 [23 Dec 1985] ",FALSE,TRUE,1.4,323459-2,urn:lsid:ipni.org:names:323459-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,"A.Fernandes, D.de A.Lima",NA,NA,holotype HPB,s.n.,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aspilia_asperrima,Baker,Baker,,spec.,/n/302652-2,Asteraceae,Aspilia,asperrima,tax. nov.,"Goiás (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,140059,,Fl. Bras. (Martius),1884,1 May 1884,6(3): 200,629-2,citation,Fl. Bras. (Martius) 6(3): 200. 1884 [1 May 1884] ,FALSE,TRUE,1.6,302652-2,urn:lsid:ipni.org:names:302652-2,wfo-0000037622,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/140059&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aspilia_burchellii,Baker,Baker,,spec.,/n/304067-2,Asteraceae,Aspilia,burchellii,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,140056,,Fl. Bras. (Martius),1884,1 May 1884,6(3): 194,629-2,citation,Fl. Bras. (Martius) 6(3): 194. 1884 [1 May 1884] ,FALSE,TRUE,1.6,304067-2,urn:lsid:ipni.org:names:304067-2,wfo-0000030180,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/140056&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aspilia_diniz-cruziana,J.U.Santos,J.U.Santos,,spec.,/n/306074-2,Asteraceae,Aspilia,diniz-cruziana,tax. nov.,"Serra do Caraca, cerca de 70 km a sudeste de Belo¹Horizonte, em direcao a Carapuca, Minas Gerais (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Revista Brasil. Bot.,1996,NA,"19(1): 102, fig",2800-2,citation,"Revista Brasil. Bot. 19(1): 102, fig. 1996 ",FALSE,TRUE,1.4,306074-2,urn:lsid:ipni.org:names:306074-2,wfo-0000121506,FALSE,TRUE,TRUE,FALSE,FALSE,NA,N.D.da Cruz et al.,NA,NA,holotype UEC,6426,NA,"Published as 'diniz-cruzeanae'. The species name honors the type collector, Neusa Diniz da Cruz.",NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aspilia_egleri,J.U.Santos,J.U.Santos,,spec.,/n/301164-2,Asteraceae,Aspilia,egleri,tax. nov.,"Diamantina, Minas Gerais (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Revista Brasil. Bot.,1996,NA,"19: 99, fig",2800-2,citation,"Revista Brasil. Bot. 19: 99, fig. 1996 ",FALSE,TRUE,1.4,301164-2,urn:lsid:ipni.org:names:301164-2,wfo-0000034982,FALSE,TRUE,TRUE,FALSE,FALSE,NA,W.A.Egler,NA,NA,holotype RB,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aspilia_malinvaudii,Glaz.,Glaz.,,spec.,/n/22129-2,Asteraceae,Aspilia,malinvaudii,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Bull. Soc. Bot. France,1910,NA,57(Mém. 3e): 412,578-2,citation,Bull. Soc. Bot. France 57(Mém. 3e): 412. 1910 ,FALSE,TRUE,1.3,22129-2,urn:lsid:ipni.org:names:22129-2,wfo-0000001397,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aspilia_paranensis,Malme,Malme,,spec.,/n/22136-2,Asteraceae,Aspilia,paranensis,tax. nov.,"Turma 23, hab. in campo, Paraná (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Kungl. Svenska Vetenskapsakad. Handl.,1933,NA,12(2): 88,20010248-1,citation,Kungl. Svenska Vetenskapsakad. Handl. 12(2): 88. 1933 ,FALSE,TRUE,1.5,22136-2,urn:lsid:ipni.org:names:22136-2,wfo-0000025520,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1933&rft.issue=2&rft.spage=88&rft.volume=12&rft_id=http://www.biodiversitylibrary.org/bibliography/50688&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,P.K.H.Dusén,NA,NA,holotype S,15646,NA,HT. collected on 19 Oct 1914,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aspilia_pseudocalea,G.H.L. da Silva & A.M.Teles,G.H.L. da Silva & A.M.Teles,,spec.,/n/77176300-1,Asteraceae,Aspilia,pseudocalea,tax. nov.,"Goiás (Brazil West-Central, Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Phytotaxa,2017,21 Jul 2017,314(1): 117,20011462-1,citation,Phytotaxa 314(1): 117. 2017 [21 Jul 2017] [epublished],FALSE,TRUE,1.1,77176300-1,urn:lsid:ipni.org:names:77176300-1,NA,TRUE,TRUE,TRUE,FALSE,FALSE,NA,"R.N.Ribeiro, D.O.Diniz-Neres, G.L.Soares-Feitosa, L.L.C.Antunes &amp; M.V.A.Soares",14 Mar 2015,"Alto Paraíso de Goiás, Parque Nacional da Chapada dos Veadeiros, em direção ao Morro do Japonês, 1186 m",holotype UFG;isotype MO;isotype RB;isotype UB,14,NA,doi:10.11646/phytotaxa.314.1.11,[epublished],,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aspilia_pusilla,Baker,Baker,,spec.,/n/300573-2,Asteraceae,Aspilia,pusilla,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,140056,,Fl. Bras. (Martius),1884,1 May 1884,6(3): 193,629-2,citation,Fl. Bras. (Martius) 6(3): 193. 1884 [1 May 1884] ,FALSE,TRUE,1.6,300573-2,urn:lsid:ipni.org:names:300573-2,wfo-0000059947,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/140056&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aspilia_serrulata,Baker,Baker,,spec.,/n/306153-2,Asteraceae,Aspilia,serrulata,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,140061,,Fl. Bras. (Martius),1884,1 May 1884,6(3): 204,629-2,citation,Fl. Bras. (Martius) 6(3): 204. 1884 [1 May 1884] ,FALSE,TRUE,1.6,306153-2,urn:lsid:ipni.org:names:306153-2,wfo-0000006944,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/140061&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
