name,authors,publishingAuthor,authorTeam,originalRemarks,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,locality,linkedPublication,publication,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,infraspecies,pageAsText,publicationYear,collectionNumber,collectorTeam,collectionDate1,typeLocations,typeCoordinates,speciesAuthor,collectionDate2,remarks,referenceRemarks,originalTaxonDistribution
Mostuea_brasiliensis,Huber,Huber,,NA,spec.,/n/164520-2,Loganiaceae,Mostuea,brasiliensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Arch. Jard. Bot. Rio de Janeiro,NA,1: 53,848-2,citation,Arch. Jard. Bot. Rio de Janeiro 1: 53. 1915 ,FALSE,TRUE,1.3,164520-2,urn:lsid:ipni.org:names:164520-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,1915,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Mostuea_muricata,Sobral & Lucia Rossi,Sobral & Lucia Rossi,,NA,spec.,/n/70029814-1,Loganiaceae,Mostuea,muricata,tax. nov.,"São Paulo (Brazil Southeast, Brazil, Southern America);Mato Grosso (Brazil West-Central, Brazil, Southern America);",FALSE,FALSE,TRUE,"São Carlos, Santa Eudóxia",,Novon,NA,13(3): 325,14256-2,citation,Novon 13(3): 325. 2003 ,FALSE,TRUE,1.1.2.1.1.4,70029814-1,urn:lsid:ipni.org:names:70029814-1,wfo-0001269541,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/643495&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,643495,2003,8049,M.Sobral. J.R.Stehmann,Nov 1993,holotype SP;isotype ICN;isotype MBM;isotype MO,,NA,NA,NA,NA,NA
Potalia_coronata,Struwe & V.A.Albert,Struwe & V.A.Albert,,NA,spec.,/n/77062954-1,Loganiaceae,Potalia,coronata,tax. nov.,"Amazonas (Brazil North, Brazil, Southern America);Colombia (Western South America, Southern America);Peru (Western South America, Southern America);",FALSE,FALSE,TRUE,"Municípo de Atalaia do Norte, Rio Javari, localidade Estirão do Equador a 3km da estrada do campo de pouso",,Syst. Bot.,27 Aug 2004,29(3): 679 (-681; fig.),1295-2,citation,Syst. Bot. 29(3): 679 (-681; fig.). 2004 [27 Aug 2004] ,FALSE,TRUE,1.2.2.1,77062954-1,urn:lsid:ipni.org:names:77062954-1,wfo-0001266369,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,2004,9908,C.A.Cid Ferreira et al.,2 Jan 1989,holotype NY;isotype INPA,,NA,18 Jan 1989,NA,NA,NA
Potalia_maguireorum,Struwe & V.A.Albert,Struwe & V.A.Albert,,NA,spec.,/n/317044-2,Loganiaceae,Potalia,maguireorum,tax. nov.,"Rio Negro, Rio Marie, ca. 30 km above mouth, village Macobeta, moist forest by river, Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Harvard Pap. Bot.,NA,"3: 189 (-191, fig. 3)",10651-2,citation,"Harvard Pap. Bot. 3: 189 (-191, fig. 3). 1998 ",FALSE,TRUE,1.1.1.4,317044-2,urn:lsid:ipni.org:names:317044-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,1998,79-216," C.E.Calderon, H.-H.Poppendieck,K.Kubitzki",NA,holotype NY;isotype US,,NA,NA,[Gandhi 4 Jan 1998],NA,NA
Spigelia_hurleyi,Fern.Casas,Fern.Casas,,NA,spec.,/n/20002791-1,Loganiaceae,Spigelia,hurleyi,tax. nov.,Brazil Southeast (Minas Gerais),FALSE,FALSE,TRUE,"Serra do Espinhaço, vicinity of Datas, 1300 m",,Fontqueria,NA,55(5): 23 (2001),2210-2,citation,Fontqueria 55(5): 23 (2001). ,FALSE,TRUE,1.2,20002791-1,urn:lsid:ipni.org:names:20002791-1,wfo-0001262469,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,2001,22551,"S.F.da Fonsêca; H.S.Irwin; R.Reis dos Santos, R.Souza",24 Jan 1969,holotype MO 3487201;isotype NY,,NA,NA,NA,NA,NA
Strychnos_blumenaviensis,Gilg,Gilg,,NA,spec.,/n/247285-2,Loganiaceae,Strychnos,blumenaviensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bot. Jahrb. Syst.,19 Jul 1898,"25(3, Beibl. 60): 36",553-2,citation,"Bot. Jahrb. Syst. 25(3, Beibl. 60): 36. 1898 [19 Jul 1898] ",FALSE,TRUE,1.1.2.1.1.3,247285-2,urn:lsid:ipni.org:names:247285-2,wfo-0001259525,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,1898,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Strychnos_calophylla,Gilg,Gilg,,NA,spec.,/n/247292-2,Loganiaceae,Strychnos,calophylla,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bot. Jahrb. Syst.,19 Jul 1898,"25(3, Beibl. 60): 37",553-2,citation,"Bot. Jahrb. Syst. 25(3, Beibl. 60): 37. 1898 [19 Jul 1898] ",FALSE,TRUE,1.1.2.1.1.3,247292-2,urn:lsid:ipni.org:names:247292-2,wfo-0001259547,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,1898,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Strychnos_concinna,Gilg,Gilg,,NA,spec.,/n/247296-2,Loganiaceae,Strychnos,concinna,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bot. Jahrb. Syst.,19 Jul 1898,"25(3, Beibl. 60): 39",553-2,citation,"Bot. Jahrb. Syst. 25(3, Beibl. 60): 39. 1898 [19 Jul 1898] ",FALSE,TRUE,1.1.2.1.1.3,247296-2,urn:lsid:ipni.org:names:247296-2,wfo-0001073991,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,1898,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Strychnos_ericetina,Barb.Rodr.,Barb.Rodr.,,NA,spec.,/n/247304-2,Loganiaceae,Strychnos,ericetina,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Vellosia,NA,"ed. 2, 1: 34, pl. 3, fig. B",3884-2,citation,"Vellosia ed. 2, 1: 34, pl. 3, fig. B. 1891 ",FALSE,TRUE,1.2.2.1.1.1,247304-2,urn:lsid:ipni.org:names:247304-2,wfo-0001259545,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,1891,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Strychnos_gigantea,Barb.Rodr.,Barb.Rodr.,,NA,spec.,/n/247309-2,Loganiaceae,Strychnos,gigantea,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Vellosia,NA,"ed. 2, 1: 37, pl. 3, fig. A",3884-2,citation,"Vellosia ed. 2, 1: 37, pl. 3, fig. A. 1891 ",FALSE,TRUE,1.2.2.1.1.1,247309-2,urn:lsid:ipni.org:names:247309-2,wfo-0001074068,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,1891,NA,NA,NA,NA,,NA,NA,NA,NA,NA
