name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,pageAsText,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,collectionNumber,collectorTeam,infraspecies,speciesAuthor,typeLocations,collectionDate1,locality,referenceRemarks,remarks,originalTaxonDistribution,typeCoordinates
Leucothoë_acicularis,Sleumer,Sleumer,,spec.,/n/139220-2,Ericaceae,Leucothoë,acicularis,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Bot. Jahrb. Syst.,1959,31 Jul 1959,78(4): 451,553-2,citation,Bot. Jahrb. Syst. 78(4): 451. 1959 [31 Jul 1959] ,FALSE,TRUE,1.4,139220-2,urn:lsid:ipni.org:names:139220-2,wfo-0001231079,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1959&rft.issue=4&rft.spage=451&rft.volume=78&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Leucothoë_angustissima,Glaz.,Glaz.,,spec.,/n/139230-2,Ericaceae,Leucothoë,angustissima,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bull. Soc. Bot. France,1910,NA,57(Mém. 3e): 430,578-2,citation,Bull. Soc. Bot. France 57(Mém. 3e): 430. 1910 ,FALSE,TRUE,1.4,139230-2,urn:lsid:ipni.org:names:139230-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Leucothoë_bradei,Sleumer,Sleumer,,spec.,/n/139239-2,Ericaceae,Leucothoë,bradei,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Notizbl. Bot. Gart. Berlin-Dahlem,1936,NA,13: 213,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 13: 213. 1936 ,FALSE,TRUE,1.3,139239-2,urn:lsid:ipni.org:names:139239-2,wfo-0001230875,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1936&rft.spage=213&rft.volume=13&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,13614,A.C.Brade,NA,NA,holotype RB,NA,NA,NA,NA,NA,
Leucothoë_chapadensis,Kin.-Gouv.,Kin.-Gouv.,,spec.,/n/139240-2,Ericaceae,Leucothoë,chapadensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Revista Brasil. Bot.,1981,NA,"4: 127, fig",2800-2,citation,"Revista Brasil. Bot. 4: 127, fig. 1981 ",FALSE,TRUE,1.3,139240-2,urn:lsid:ipni.org:names:139240-2,wfo-0001230947,FALSE,TRUE,TRUE,FALSE,FALSE,NA,6502,Anderson et al,NA,NA,holotype UNB,NA,NA,NA,NA,NA,
Leucothoë_duartei,Sleumer,Sleumer,,spec.,/n/139250-2,Ericaceae,Leucothoë,duartei,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bot. Jahrb. Syst.,1959,31 Jul 1959,78(4): 451,553-2,citation,Bot. Jahrb. Syst. 78(4): 451. 1959 [31 Jul 1959] ,FALSE,TRUE,1.4,139250-2,urn:lsid:ipni.org:names:139250-2,wfo-0001231092,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1959&rft.issue=4&rft.spage=451&rft.volume=78&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,2103,Duarte,NA,NA,holotype RB,NA,NA,NA,NA,NA,
Leucothoë_duckei,Huber,Huber,,spec.,/n/139251-2,Ericaceae,Leucothoë,duckei,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bull. Soc. Bot. Genève,1909,NA,"ser. 2, 1: 246, fig",579-2,citation,"Bull. Soc. Bot. Genève ser. 2, 1: 246, fig. 1909 ",FALSE,TRUE,1.3,139251-2,urn:lsid:ipni.org:names:139251-2,wfo-0000364527,FALSE,TRUE,TRUE,FALSE,FALSE,NA,8526,A.Ducke,NA,NA,holotype MG,NA,NA,NA,NA,NA,
Leucothoë_intermedia,Meisn.,Meisn.,,spec.,/n/139256-2,Ericaceae,Leucothoë,intermedia,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,141329,,Fl. Bras. (Martius),1863,10 Jul 1863,"7: 163, fig.",629-2,citation,"Fl. Bras. (Martius) 7: 163, fig. 1863 [10 Jul 1863] ",FALSE,TRUE,1.7,139256-2,urn:lsid:ipni.org:names:139256-2,wfo-0001230969,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/141329&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,329,J.F.Widgren,NA,NA,lectotype BR,NA,NA,NA,NA,NA,
Leucothoë_lycopodioides,Sleumer,Sleumer,,spec.,/n/139263-2,Ericaceae,Leucothoë,lycopodioides,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Bot. Jahrb. Syst.,1959,31 Jul 1959,78(4): 450,553-2,citation,Bot. Jahrb. Syst. 78(4): 450. 1959 [31 Jul 1959] ,FALSE,TRUE,1.4,139263-2,urn:lsid:ipni.org:names:139263-2,wfo-0001231078,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1959&rft.issue=4&rft.spage=450&rft.volume=78&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Leucothoë_minensis,Glaz. ex Sleumer,Glaz. ex Sleumer,,spec.,/n/139268-2,Ericaceae,Leucothoë,minensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Notizbl. Bot. Gart. Berlin-Dahlem,1935,NA,12: 480,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 12: 480. 1935 ,FALSE,TRUE,1.5,139268-2,urn:lsid:ipni.org:names:139268-2,wfo-0001230959,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=480&rft.volume=12&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,19572,A.F.M.Glaziou,NA,NA,lectotype K,NA,NA,NA,NA,NA,
Leucothoë_niederleinii,Sleumer,Sleumer,,spec.,/n/139276-2,Ericaceae,Leucothoë,niederleinii,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Notizbl. Bot. Gart. Berlin-Dahlem,1935,NA,12: 480,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 12: 480. 1935 ,FALSE,TRUE,1.3,139276-2,urn:lsid:ipni.org:names:139276-2,wfo-0001231080,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=480&rft.volume=12&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,5889," R.M.Klein,R.Reitz",NA,NA,neotype S,NA,NA,NA,NA,NA,
Leucothoë_rivularis,Sleumer,Sleumer,,spec.,/n/139295-2,Ericaceae,Leucothoë,rivularis,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Notizbl. Bot. Gart. Berlin-Dahlem,1935,NA,12: 481,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 12: 481. 1935 ,FALSE,TRUE,1.3,139295-2,urn:lsid:ipni.org:names:139295-2,wfo-0001230954,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=481&rft.volume=12&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Leucothoë_stenophylla,Loes.,Loes.,,spec.,/n/139296-2,Ericaceae,Leucothoë,stenophylla,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Flora,1889,NA,72 (n. s. 47): 77,648-2,citation,Flora 72 (n. s. 47): 77. 1889 ,FALSE,TRUE,1.2,139296-2,urn:lsid:ipni.org:names:139296-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Leucothoë_uleana,Sleumer,Sleumer,,spec.,/n/139299-2,Ericaceae,Leucothoë,uleana,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Notizbl. Bot. Gart. Berlin-Dahlem,1935,NA,12: 481,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 12: 481. 1935 ,FALSE,TRUE,1.3,139299-2,urn:lsid:ipni.org:names:139299-2,wfo-0001231083,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=481&rft.volume=12&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,4576,E.H.G.Ule,NA,NA,lectotype HBG,NA,NA,NA,NA,NA,
Sophoclesia_klotzschiana,Mansf.,Mansf.,,spec.,/n/240744-2,Ericaceae,Sophoclesia,klotzschiana,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Notizbl. Bot. Gart. Berlin-Dahlem,1925,NA,9: 441,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 9: 441. 1925 ,FALSE,TRUE,1.2,240744-2,urn:lsid:ipni.org:names:240744-2,wfo-0000499623,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1925&rft.spage=441&rft.volume=9&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Thibaudia_obovata,A.C.Sm.,A.C.Sm.,,spec.,/n/252650-2,Ericaceae,Thibaudia,obovata,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,401367,,Contr. U.S. Natl. Herb.,1932,NA,28: 431,605-2,citation,Contr. U.S. Natl. Herb. 28: 431. 1932 ,FALSE,TRUE,1.3,252650-2,urn:lsid:ipni.org:names:252650-2,wfo-0001047204,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/401367&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Thibaudia_roraimae,Mansf.,Mansf.,,spec.,/n/252672-2,Ericaceae,Thibaudia,roraimae,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Notizbl. Bot. Gart. Berlin-Dahlem,1925,NA,9: 437,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 9: 437. 1925 ,FALSE,TRUE,1.2,252672-2,urn:lsid:ipni.org:names:252672-2,wfo-0000408221,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1925&rft.spage=437&rft.volume=9&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
