name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,collectionNumber,collectorTeam,infraspecies,pageAsText,typeLocations,originalRemarks,locality,referenceRemarks,collectionDate1,remarks,typeCoordinates,speciesAuthor,bibliographicReference,typeChosenBy,typeName,bibliographicTypeInfo,originalTaxonDistribution,collectionDate2,typeRemarks,nameStatus,nameStatusType
Aiouea_pruinosa,S.Moore,S.Moore,,spec.,/n/7883-2,Lauraceae,Aiouea,pruinosa,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,"Trans. Linn. Soc. London, Bot.",1895,NA,"ser. 2, 4: 448",1084-2,citation,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 448. 1895 ",FALSE,TRUE,1.3,7883-2,urn:lsid:ipni.org:names:7883-2,wfo-0000524725,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aiouea_riedelii,Mez,Mez,,spec.,/n/7884-2,Lauraceae,Aiouea,riedelii,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Jahrb. Königl. Bot. Gart. Berlin,1889,NA,5: 37,1155-2,citation,Jahrb. Königl. Bot. Gart. Berlin 5: 37. 1889 ,FALSE,TRUE,1.2,7884-2,urn:lsid:ipni.org:names:7884-2,wfo-0000524727,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=37&rft.volume=5&rft_id=http://www.biodiversitylibrary.org/bibliography/79062&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aiouea_rondonii,A.Samp.,A.Samp.,,spec.,/n/7885-2,Lauraceae,Aiouea,rondonii,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas,1917,NA,"5, Bot. pt. 10: 10, pl. 7",16436-2,citation,"Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas 5, Bot. pt. 10: 10, pl. 7. 1917 ",FALSE,TRUE,1.4,7885-2,urn:lsid:ipni.org:names:7885-2,wfo-0000524728,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aiouea_severinii,Mez,Mez,,spec.,/n/7889-2,Lauraceae,Aiouea,severinii,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Jahrb. Königl. Bot. Gart. Berlin,1889,NA,5: 31,1155-2,citation,Jahrb. Königl. Bot. Gart. Berlin 5: 31. 1889 ,FALSE,TRUE,1.4,7889-2,urn:lsid:ipni.org:names:7889-2,wfo-0000524735,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=31&rft.volume=5&rft_id=http://www.biodiversitylibrary.org/bibliography/79062&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aiouea_tenuiflora,Nees ex Mez,Nees ex Mez,,spec.,/n/7891-2,Lauraceae,Aiouea,tenuiflora,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Jahrb. Königl. Bot. Gart. Berlin,1889,NA,5: 49,1155-2,citation,Jahrb. Königl. Bot. Gart. Berlin 5: 49. 1889 Nomen,FALSE,TRUE,1.4,7891-2,urn:lsid:ipni.org:names:7891-2,wfo-0000524741,TRUE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=49&rft.volume=5&rft_id=http://www.biodiversitylibrary.org/bibliography/79062&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,Nomen,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aiouea_warmingii,Mez,Mez,,spec.,/n/7893-2,Lauraceae,Aiouea,warmingii,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Jahrb. Königl. Bot. Gart. Berlin,1889,NA,5: 46,1155-2,citation,Jahrb. Königl. Bot. Gart. Berlin 5: 46. 1889 ,FALSE,TRUE,1.3,7893-2,urn:lsid:ipni.org:names:7893-2,wfo-0000524746,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=46&rft.volume=5&rft_id=http://www.biodiversitylibrary.org/bibliography/79062&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aniba_albida,Mez,Mez,,spec.,/n/13809-2,Lauraceae,Aniba,albida,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Jahrb. Königl. Bot. Gart. Berlin,1889,NA,5: 64,1155-2,citation,Jahrb. Königl. Bot. Gart. Berlin 5: 64. 1889 ,FALSE,TRUE,1.3,13809-2,urn:lsid:ipni.org:names:13809-2,wfo-0000536806,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=64&rft.volume=5&rft_id=http://www.biodiversitylibrary.org/bibliography/79062&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aniba_brittonii,Mez,Mez,,spec.,/n/13814-2,Lauraceae,Aniba,brittonii,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Jahrb. Königl. Bot. Gart. Berlin,1889,NA,5: 54,1155-2,citation,Jahrb. Königl. Bot. Gart. Berlin 5: 54. 1889 ,FALSE,TRUE,1.3,13814-2,urn:lsid:ipni.org:names:13814-2,wfo-0000536811,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=54&rft.volume=5&rft_id=http://www.biodiversitylibrary.org/bibliography/79062&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aniba_elliptica,A.C.Sm.,A.C.Sm.,,spec.,/n/13827-2,Lauraceae,Aniba,elliptica,tax. nov.,"Acre (Brazil, Southern America)",FALSE,FALSE,TRUE,,Phytologia,1935,NA,1: 115,1034-2,citation,Phytologia 1: 115. 1935 ,FALSE,TRUE,1.3,13827-2,urn:lsid:ipni.org:names:13827-2,wfo-0000536825,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=115&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aniba_flexuosa,A.C.Sm.,A.C.Sm.,,spec.,/n/13832-2,Lauraceae,Aniba,flexuosa,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Phytologia,1935,NA,1: 117,1034-2,citation,Phytologia 1: 117. 1935 ,FALSE,TRUE,1.3,13832-2,urn:lsid:ipni.org:names:13832-2,wfo-0000536831,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=117&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
