name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,bibliographicReference,citationType,collectionNumber,collectorTeam,collectionDate1,distribution,hybrid,hybridGenus,inPowo,locality,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeChosenBy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,pageAsText,infraspecies,speciesAuthor,typeCoordinates,referenceRemarks,remarks,originalRemarks,originalTaxonDistribution,basionymAuthorStr,typeRemarks,otherLinks,typeName,originalBasionymAuthorTeam,typeNote,collectionDate2,nameStatus,nameStatusType
Psychotria_hervinha,Glaz.,Glaz.,,spec.,/n/212872-2,Rubiaceae,Psychotria,hervinha,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bull. Soc. Bot. France,1909,NA,56(Mém. 3d): 354,578-2,citation,Bull. Soc. Bot. France 56(Mém. 3d): 354. 1909 ,FALSE,TRUE,NA,NA,1.4,212872-2,urn:lsid:ipni.org:names:212872-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psychotria_macahensis,Glaz.,Glaz.,,spec.,/n/213028-2,Rubiaceae,Psychotria,macahensis,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bull. Soc. Bot. France,1909,NA,56(Mém. 3d): 351,578-2,citation,Bull. Soc. Bot. France 56(Mém. 3d): 351. 1909 ,FALSE,TRUE,NA,NA,1.4,213028-2,urn:lsid:ipni.org:names:213028-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psychotria_rhomibractea,C.M.Taylor & M.T.Campos,C.M.Taylor & M.T.Campos,,spec.,/n/317576-2,Rubiaceae,Psychotria,rhomibractea,NA,tax. nov.,1483," C.F.da Silva, E.da C.Pereira,M.J.G.Hopkins",NA,"Reserva Florestal Ducke, Manaus-Itacoatiara raod, Km 26, 2°53'S, 59°58'W, Amazonas (Brazil, Southern America)",FALSE,FALSE,FALSE,NA,,Novon,1999,NA,"9(1): 118 (-119, fig.)",14256-2,citation,"Novon 9(1): 118 (-119, fig.). 1999 ",FALSE,TRUE,NA,holotype INPA;isotype MO,1.5,317576-2,urn:lsid:ipni.org:names:317576-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/640849&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,640849,NA,NA,,NA,[Gandhi 26 Mar 1999],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psychotria_sampaionis,Herter,Herter,,spec.,/n/213383-2,Rubiaceae,Psychotria,sampaionis,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Arq. Mus. Nac. Rio de Janeiro,1916,NA,"18: 14, 32",3790-2,citation,"Arq. Mus. Nac. Rio de Janeiro 18: 14, 32. 1916 ",FALSE,TRUE,NA,NA,1.3,213383-2,urn:lsid:ipni.org:names:213383-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psychotria_sessiliflora,Glaz.,Glaz.,,spec.,/n/213412-2,Rubiaceae,Psychotria,sessiliflora,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bull. Soc. Bot. France,1909,NA,56(Mém. 3d): 352,578-2,citation,Bull. Soc. Bot. France 56(Mém. 3d): 352. 1909 ,FALSE,TRUE,NA,NA,1.4,213412-2,urn:lsid:ipni.org:names:213412-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psychotria_woytkowskii,Dwyer & M.V.Hayden,Dwyer & M.V.Hayden,,spec.,/n/213619-2,Rubiaceae,Psychotria,woytkowskii,NA,tax. nov.,NA,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Ann. Missouri Bot. Gard.,1967,NA,54: 143,1-2,citation,Ann. Missouri Bot. Gard. 54: 143. 1967 ,FALSE,TRUE,NA,NA,1.5,213619-2,urn:lsid:ipni.org:names:213619-2,wfo-0000288107,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/20104026&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,20104026,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psyllocarpus_itakangapyra,"Sobrado, J.A.M.Carmo & R.M.Salas","Sobrado, J.A.M.Carmo & R.M.Salas",,spec.,/n/77296003-1,Rubiaceae,Psyllocarpus,itakangapyra,NA,tax. nov.,4415,"Viana, Cardoso, Hattori &amp; Salas",28 Oct 2009,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,"Itacambira, Serra Resplandescente, 'no caminho para a torre de Itacambira' [on the way to the Itacambira tower], 1304 m",,Eur. J. Taxon.,2022,30 Mar 2022,806: 163,20016745-1,citation,Eur. J. Taxon. 806: 163. 2022 [30 Mar 2022] [epublished],FALSE,TRUE,NA,holotype BHCB 134173;isotype CTES,1.3,77296003-1,urn:lsid:ipni.org:names:77296003-1,wfo-1000030910,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,[epublished],"doi:10.5852/ejt.2022.806.1713 Etymology: the epithet refers to the municipality of Itacambira, in the state of Minas Gerais..ʻItakangapyraʼ means ʻstone with a pointed headʼ and derives from the ancient Tupi, an extinct Tupi language that was spoken by the Tupi tribes that inhabited most of the Brazilian coast in the 16th century.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psyllocarpus_vianae,"Sobrado, J.A.M.Carmo & R.M.Salas","Sobrado, J.A.M.Carmo & R.M.Salas",,spec.,/n/77296004-1,Rubiaceae,Psyllocarpus,vianae,NA,tax. nov.,5887,"Viana, Salas, Sobrado &amp; Mota",17 Apr 2012,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,"Joaquim Felício, Serra do Cabral, campos rupestres, 1140 m",,Eur. J. Taxon.,2022,30 Mar 2022,806: 166,20016745-1,citation,Eur. J. Taxon. 806: 166. 2022 [30 Mar 2022] [epublished],FALSE,TRUE,NA,holotype BHCB 158411;isotype CTES,1.2,77296004-1,urn:lsid:ipni.org:names:77296004-1,wfo-1000030911,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,[epublished],doi:10.5852/ejt.2022.806.1713 Etymology: the epithet honours the Brazilian botanist Pedro Lage Viana.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Randia_claesii,R.M.Salas,R.M.Salas,,spec.,/n/77301547-1,Rubiaceae,Randia,claesii,NA,tax. nov.,98,"M.Vera, M.Peña-Chocarro &amp; J.de Egea Juvinel",19 Oct 2004,"Chaco (Argentina Northeast, Southern South America, Southern America);Formosa (Argentina Northeast, Southern South America, Southern America);Bolivia (Western South America, Southern America);Paraguay (Southern South America, Southern America);Goiás (Brazil West-Central, Brazil, Southern America);Mato Grosso (Brazil West-Central, Brazil, Southern America);Mato Grosso do Sul (Brazil West-Central, Brazil, Southern America);Tocantins (Brazil North, Brazil, Southern America);Maranhão (Brazil Northeast, Brazil, Southern America);Alagoas (Brazil Northeast, Brazil, Southern America);Bahia (Brazil Northeast, Brazil, Southern America);Ceará (Brazil Northeast, Brazil, Southern America);Paraná (Brazil South, Brazil, Southern America);Paraíba (Brazil Northeast, Brazil, Southern America);Pernambuco (Brazil Northeast, Brazil, Southern America);São Paulo (Brazil Southeast, Brazil, Southern America);",FALSE,FALSE,TRUE,Paraguay: Dpto. Presidente Hayes: Estancia Maroa,,Bol. Soc. Argent. Bot.,2021,20 Dec 2021,56(4): 582,1242-2,citation,Bol. Soc. Argent. Bot. 56(4): 582. 2021 [20 Dec 2021] [epublished],FALSE,TRUE,NA,holotype FCQ;isotype BM;isotype CTES;isotype MO,1.3,77301547-1,urn:lsid:ipni.org:names:77301547-1,wfo-1000028693,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,[epublished],doi:10.31055/1851.2372.v56.n4.32565 Etymology: The specific epithet honours Dr Claes G.R.Gustafsson.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Randia_heteromera,Judkevich & R.M.Salas,Judkevich & R.M.Salas,,spec.,/n/77211677-1,Rubiaceae,Randia,heteromera,NA,tax. nov.,56,M.D. Judkevich &amp; R.M. Salas,7 Sep 2014,"Corrientes (Argentina Northeast, Southern South America, Southern America);Chaco (Argentina Northeast, Southern South America, Southern America);Formosa (Argentina Northeast, Southern South America, Southern America);Misiones (Argentina Northeast, Southern South America, Southern America);Santa Fé (Argentina Northeast, Southern South America, Southern America);Mato Grosso do Sul (Brazil West-Central, Brazil, Southern America);Paraguay (Southern South America, Southern America);",FALSE,FALSE,TRUE,"Argentina: Corrientes. Dept. Capital, Riachuelo, sobre RN 12, 8 km Sur de Corrientes Capital, 51m",,Syst. Bot.,2020,11 Aug 2020,45(3): 608,1295-2,citation,Syst. Bot. 45(3): 608. 2020 [11 Aug 2020] [epublished],FALSE,TRUE,NA,holotype CTES;isotype SI,1.2,77211677-1,urn:lsid:ipni.org:names:77211677-1,wfo-1000024425,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,[epublished],doi:10.1600/036364420X15935295449916 The specific epithet refers to the variation in the number of corolla lobes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Relbunium_nigro-ramosum,Ehrend.,Ehrend.,,spec.,/n/218516-2,Rubiaceae,Relbunium,nigro-ramosum,NA,tax. nov.,NA,NA,NA,"Brazil, Paraguay, Argentina",FALSE,FALSE,TRUE,NA,,Bot. Jahrb. Syst.,1955,Aug 1955,76(4): 529,553-2,citation,Bot. Jahrb. Syst. 76(4): 529. 1955 [Aug 1955] ,FALSE,TRUE,NA,NA,1.4,218516-2,urn:lsid:ipni.org:names:218516-2,wfo-0000295397,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1955&rft.issue=4&rft.spage=529&rft.volume=76&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
