name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,collectionDate1,distribution,hybrid,hybridGenus,inPowo,locality,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,publicationYearNote,remarks,referenceRemarks,typeRemarks,typeCoordinates,bhlLink,infraspecies,speciesAuthor,originalTaxonDistribution,originalRemarks,bibliographicReference,bibliographicTypeInfo,typeChosenBy,typeName,pageAsText,originalHybridParentage,nameStatus,nameStatusType,typeNote,originalBasionymAuthorTeam,basionymStr,basionymAuthorStr,basionymId
Anathallis_sansoniana,Chiron & Guiard,Chiron & Guiard,,spec.,/n/77133152-1,Orchidaceae,Anathallis,sansoniana,tax. nov.,13007,Nelson Sanson ex Chiron,NA,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,Conceição do Castelo,,Richardiana,2013,13: 214,18831-2,citation,Richardiana 13: 214. 2013 [20 Apr 2013] [epublished],FALSE,TRUE,holotype MBML,1.1,77133152-1,urn:lsid:ipni.org:names:77133152-1,wfo-0001337256,TRUE,TRUE,TRUE,FALSE,FALSE,20 Apr 2013,NA,[epublished],NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anguloa_lurida,Link & Otto,Link & Otto,,spec.,/n/616510-1,Orchidaceae,Anguloa,lurida,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Verh. Vereins Beford. Gartenbaues Konigl. Preuss. Staaten,1824,"1: 289,  t. 6",8712-2,citation,"Verh. Vereins Beford. Gartenbaues Konigl. Preuss. Staaten 1: 289,  t. 6. 1824 ",FALSE,TRUE,NA,1.1.2.2,616510-1,urn:lsid:ipni.org:names:616510-1,wfo-0000981067,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1824&rft.spage=289&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/3668&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baptistonia_× regentii,V.P.Castro & Chiron,V.P.Castro & Chiron,,spec.,/n/77069770-1,Orchidaceae,Baptistonia,regentii,tax. nov.,s.n.,Régent,Jan 2005,"Bahia (Brazil Northeast, Brazil, Southern America)",TRUE,FALSE,TRUE,Serra das Tremps,,Richardiana,2005,5(4): 187,18831-2,citation,Richardiana 5(4): 187. 2005 ,FALSE,TRUE,holotype SP,1.3,77069770-1,urn:lsid:ipni.org:names:77069770-1,wfo-0000805396,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,cult. Niteroi by Carlos Régent from material collected in Bahia.,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bifrenaria_lindmanniana,Kraenzl.,Kraenzl.,,spec.,/n/32703-2,Orchidaceae,Bifrenaria,lindmanniana,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Ark. Bot.,1921,16(8): 25,536-2,citation,Ark. Bot. 16(8): 25. 1921 ,FALSE,TRUE,NA,1.3,32703-2,urn:lsid:ipni.org:names:32703-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1921&rft.issue=8&rft.spage=25&rft.volume=16&rft_id=http://www.biodiversitylibrary.org/bibliography/40761&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bifrenaria_× marciae,Campacci,Campacci,,spec.,/n/77313261-1,Orchidaceae,Bifrenaria,marciae,tax. nov.,s.n.,Marcia Sanae Morimoto,Nov 2021,"Minas Gerais (Brazil, Southern America)",TRUE,FALSE,FALSE,"Serra do Espinhaco, Botumirim, 1355 m alt.",,Colet. Orquídeas Brasil.,2022,"18: 718, plate [s.n.], figs. 1-4",20004826-2,citation,"Colet. Orquídeas Brasil. 18: 718, plate [s.n.], figs. 1-4. 2022 [Nov 2022] ",FALSE,TRUE,holotype ESA,1.2,77313261-1,urn:lsid:ipni.org:names:77313261-1,wfo-1000043676,FALSE,TRUE,TRUE,FALSE,FALSE,Nov 2022,NA,NA,Type collection made in July 2018; Floruit in cultus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bletia_urbana,Dressler,Dressler,,spec.,/n/33955-2,Orchidaceae,Bletia,urbana,tax. nov.,NA,NA,NA,"Distrito Federal (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Brittonia,1968,"20: 186, fig. 2",561-2,citation,"Brittonia 20: 186, fig. 2. 1968 ",FALSE,TRUE,NA,1.5,33955-2,urn:lsid:ipni.org:names:33955-2,wfo-0000346282,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brasilaelia_× nesyana,Campacci & Deusvando,Campacci & Deusvando,,spec.,/n/77112616-1,Orchidaceae,Brasilaelia,nesyana,tax. nov.,V-014,Nesy Lúcia Chagas Viggiano,Nov 2009,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",TRUE,FALSE,TRUE,"Domingos Martins, Biriricas, 750 m",,Colet. Orquídeas Brasil.,2011,9: 310 (-314; figs.),20004826-2,citation,Colet. Orquídeas Brasil. 9: 310 (-314; figs.). 2011 [25 May 2011] ,FALSE,TRUE,holotype ESA,1.4,77112616-1,urn:lsid:ipni.org:names:77112616-1,wfo-0000922966,FALSE,TRUE,TRUE,FALSE,FALSE,25 May 2011,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brassavola_caraiensis,Campacci & Rosim,Campacci & Rosim,,spec.,/n/77211954-1,Orchidaceae,Brassavola,caraiensis,tax. nov.,MAC-2013-019,Reginaldo de Vasconcelos Leitão &amp; Marcos Antonio Campacci,Oct 2013,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,"Caraí, 870 m (2850 ft)",,Colet. Orquídeas Brasil.,2020,16: 651,20004826-2,citation,Colet. Orquídeas Brasil. 16: 651. 2020 [25 Aug 2020] ,FALSE,TRUE,holotype ESA,1.1,77211954-1,urn:lsid:ipni.org:names:77211954-1,wfo-1000021391,FALSE,TRUE,TRUE,FALSE,FALSE,25 Aug 2020,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brassia_gireoudiana,Rchb.f. & Warsz.,Rchb.f. & Warsz.,,spec.,/n/329117-2,Orchidaceae,Brassia,gireoudiana,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Allg. Gartenzeitung (Otto & Dietrich),1854,22: 273,1411-2,citation,Allg. Gartenzeitung (Otto & Dietrich) 22: 273. 1854 ,FALSE,TRUE,NA,1.4,329117-2,urn:lsid:ipni.org:names:329117-2,wfo-0000405246,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1854&rft.spage=273&rft.volume=22&rft_id=http://www.biodiversitylibrary.org/bibliography/14651&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brassia_wyllisiana,K.G.Lacerda & V.P.Castro,K.G.Lacerda & V.P.Castro,,spec.,/n/77129140-1,Orchidaceae,Brassia,wyllisiana,tax. nov.,0121,Wyllis Souza da Silva &amp; V.P.Castro,NA,"Amazonas (Brazil North, Brazil, Southern America)",FALSE,FALSE,TRUE,Manaus,,Icon. Orchid. Brasil.,2012,3: t. 211,20006432-2,citation,Icon. Orchid. Brasil. 3: t. 211. 2012 [Oct 2012] ,FALSE,TRUE,holotype SP,1.3,77129140-1,urn:lsid:ipni.org:names:77129140-1,wfo-0001336020,FALSE,TRUE,TRUE,FALSE,FALSE,Oct 2012,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
