name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,originalTaxonDistribution,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,collectionNumber,collectorTeam,pageAsText,remarks,typeLocations,bhlLink,bibliographicReference,locality,typeChosenBy,referenceRemarks,infraspecies,speciesAuthor,originalRemarks,collectionDate1,typeCoordinates,typeRemarks,collectionDate2,basionymAuthorStr,nameStatus,nameStatusType,typeNote
Agrosticula_muralis,Raddi,Raddi,,spec.,/n/385356-1,Poaceae,Agrosticula,muralis,tax. nov.,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Agrostogr. Bras. [Raddi],1823,NA,33. t. 1. f. 2,10486-2,citation,Agrostogr. Bras. [Raddi] 33. t. 1. f. 2. 1823 ,FALSE,TRUE,1.4,385356-1,urn:lsid:ipni.org:names:385356-1,wfo-0000843073,FALSE,TRUE,TRUE,FALSE,FALSE,s.n.,Raddi,NA,NA,lectotype PI;isolectotype PI,NA,Taxon 55(2): 474. 2006 [22 Jun 2006] ,Invenitur in veteribus muris prope Rio-janeiro,Baldini &amp; Longhi-Wagner,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Agrostis_jurgensii,Hack.,Hack.,,spec.,/n/7670-2,Poaceae,Agrostis,jurgensii,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Repert. Spec. Nov. Regni Veg.,1909,NA,7: 318,788-2,citation,Repert. Spec. Nov. Regni Veg. 7: 318. 1909 ,FALSE,TRUE,1.3,7670-2,urn:lsid:ipni.org:names:7670-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,265534,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/265534&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Andropogon_× catarinensis,Norrmann & N.Nagah.,Norrmann & N.Nagah.,,spec.,/n/60460281-2,Poaceae,Andropogon,catarinensis,tax. nov.,"Santa Catarina (Brazil, Southern America)",TRUE,FALSE,TRUE,NA,,Darwiniana,2012,31 Jul 2012,"50(1): 120, figs. 3-4",900-2,citation,"Darwiniana 50(1): 120, figs. 3-4. 2012 [31 Jul 2012] [epublished]",FALSE,TRUE,1.1.2.1,60460281-2,urn:lsid:ipni.org:names:60460281-2,wfo-0001329535,TRUE,TRUE,TRUE,FALSE,FALSE,49,N. Nagahama &amp; G. A. Norrmann,NA,NA,holotype CORD;isotype CTES,NA,NA,Itapirubá,NA,[epublished],NA,NA,NA,22 Feb 2008,,NA,NA,NA,NA,NA,NA
Anthaenantiopsis_racemosa,Renvoize,Renvoize,,spec.,/n/272208-2,Poaceae,Anthaenantiopsis,racemosa,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Kew Bull.,1987,11 Nov 1987,42(4): 924,987-2,citation,Kew Bull. 42(4): 924. 1987 [11 Nov 1987] ,FALSE,TRUE,1.1.2.1.1.2,272208-2,urn:lsid:ipni.org:names:272208-2,wfo-0000847899,FALSE,TRUE,TRUE,FALSE,FALSE,6528,L.T.D.Dombrowski,NA,NA,holotype PKDC,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Apoclada_arenicola,McClure,McClure,,spec.,/n/16493-2,Poaceae,Apoclada,arenicola,tax. nov.,"Mato Grosso (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Smithsonian Contr. Bot.,1973,NA,"9: 9, figs. 1,2",1335-2,citation,"Smithsonian Contr. Bot. 9: 9, figs. 1,2. 1973 ",FALSE,TRUE,1.3,16493-2,urn:lsid:ipni.org:names:16493-2,wfo-0000848335,FALSE,TRUE,TRUE,FALSE,FALSE,11886,A.Chase,NA,NA,holotype US,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Aristida_acuminata,Hack.,Hack.,,spec.,/n/19123-2,Poaceae,Aristida,acuminata,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Repert. Spec. Nov. Regni Veg.,1909,NA,7: 313,788-2,citation,Repert. Spec. Nov. Regni Veg. 7: 313. 1909 ,FALSE,TRUE,1.4,19123-2,urn:lsid:ipni.org:names:19123-2,wfo-0000848464,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,265529,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/265529&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Aristida_gardneriana,Steud.,Steud.,,spec.,/n/327976-2,Poaceae,Aristida,gardneriana,tax. nov.,"Piaui (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Syn. Pl. Glumac.,1854,1855 publ. 2-3 Mar 1854,1(2): 137,8010-2,citation,Syn. Pl. Glumac. 1(2): 137. 1854 [1855 publ. 2-3 Mar 1854] ,FALSE,TRUE,1.4,327976-2,urn:lsid:ipni.org:names:327976-2,wfo-0000848836,FALSE,TRUE,TRUE,FALSE,FALSE,2371,George Gardner,NA,NA,null P?,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1854&rft.issue=2&rft.spage=137&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/83535&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Aristida_marginalis,Ekman,Ekman,,spec.,/n/19251-2,Poaceae,Aristida,marginalis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Ark. Bot.,1911,NA,"10, no. 17: 23, pl. 3, 6",536-2,citation,"Ark. Bot. 10, no. 17: 23, pl. 3, 6. 1911 ",FALSE,TRUE,1.3,19251-2,urn:lsid:ipni.org:names:19251-2,wfo-0000849040,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Aristida_sellowii,Mez,Mez,,spec.,/n/19343-2,Poaceae,Aristida,sellowii,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Repert. Spec. Nov. Regni Veg.,1921,NA,17: 148,788-2,citation,Repert. Spec. Nov. Regni Veg. 17: 148. 1921 ,FALSE,TRUE,1.4,19343-2,urn:lsid:ipni.org:names:19343-2,wfo-0000849363,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,181330,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/181330&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Aristida_succedanea,Henrard,Henrard,,spec.,/n/19997-2,Poaceae,Aristida,succedanea,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Meded. Rijks-Herb.,1932,1 Jul 1932,"58(A): 294, pl. 144",1232-2,citation,"Meded. Rijks-Herb. 58(A): 294, pl. 144. 1932 [1 Jul 1932] Without Latin diagnosis.  Mededeel. Rijks Herb. Leiden, Suppl. 54C: 740, fig. 1933",FALSE,TRUE,1.3,19997-2,urn:lsid:ipni.org:names:19997-2,wfo-0000849450,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Without Latin diagnosis.  Mededeel. Rijks Herb. Leiden, Suppl. 54C: 740, fig. 1933",NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
