name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,originalTaxonDistribution,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,collectionNumber,collectorTeam,pageAsText,remarks,typeLocations,bhlLink,bibliographicReference,locality,typeChosenBy,referenceRemarks,infraspecies,speciesAuthor,originalRemarks,collectionDate1,typeCoordinates,typeRemarks,collectionDate2,basionymAuthorStr,nameStatus,nameStatusType,typeNote
Arrozia_micrantha,Schrad. ex Kunth,Schrad. ex Kunth,,spec.,/n/316793-2,Poaceae,Arrozia,micrantha,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Enum. Pl. [Kunth],1833,Jul-Aug 1833,1: 11,1110-2,citation,Enum. Pl. [Kunth] 1: 11. 1833 [Jul-Aug 1833] ,FALSE,TRUE,1.5,316793-2,urn:lsid:ipni.org:names:316793-2,wfo-0000849712,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,[Gandhi 27 Nov 1998],NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1833&rft.spage=11&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/67381&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Arthropogon_lanceolatus,Filg.,Filg.,,spec.,/n/20870-2,Poaceae,Arthropogon,lanceolatus,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Bradea,1982,NA,3(36): 307 (-309; fig.),1276-2,citation,Bradea 3(36): 307 (-309; fig.). 1982 ,FALSE,TRUE,1.3,20870-2,urn:lsid:ipni.org:names:20870-2,wfo-0000849940,FALSE,TRUE,TRUE,FALSE,FALSE,2308,"L.Emygdio de Mello Filho, E.Lessa, Nobre de Mello, A.G.Andrade, F.Medeiros",NA,NA,holotype R,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Arthropogon_rupestris,Filg.,Filg.,,spec.,/n/302940-2,Poaceae,Arthropogon,rupestris,tax. nov.,"Serra do Caiapo, 17°12'S, 51°47'W, ca. 50 km S of Caiaponia on road to Jatai, Goiás (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Nordic J. Bot.,1996,NA,"16: 69, fig",2633-2,citation,"Nordic J. Bot. 16: 69, fig. 1996 ",FALSE,TRUE,1.3,302940-2,urn:lsid:ipni.org:names:302940-2,wfo-0000849942,FALSE,TRUE,TRUE,FALSE,FALSE,7390," T.R.Soderstrom,H.S.Irwin",NA,NA,holotype SP;isotype US,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Arthrostylidium_aristatum,Glaz. in E.G.Camus,Glaz. in E.G.Camus,,spec.,/n/20898-2,Poaceae,Arthrostylidium,aristatum,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bambusees (Camus),1913,NA,68,11891-2,citation,Bambusees (Camus) 68. 1913 ,FALSE,TRUE,1.4,20898-2,urn:lsid:ipni.org:names:20898-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Arthrostylidium_cachimboense,Lopes-Neto & P.L.Viana,Lopes-Neto & P.L.Viana,,spec.,/n/77299788-1,Poaceae,Arthrostylidium,cachimboense,tax. nov.,"Pará (Brazil North, Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Phytotaxa,2022,14 Jun 2022,550(2): 104,20011462-1,citation,Phytotaxa 550(2): 104. 2022 [14 Jun 2022] [epublished],FALSE,TRUE,1.2,77299788-1,urn:lsid:ipni.org:names:77299788-1,wfo-1000029496,TRUE,TRUE,TRUE,FALSE,FALSE,682,Lopes-Neto et al.,NA,"doi:10.11646/phytotaxa.550.2.2 Etymology: The specific epithet refers to the type locality, the Serra do Cachimbo.",holotype MG;isotype INPA;isotype RB,NA,NA,"Altamira, Reserva Biológica Nascentes da Serra do Cachimbo, Ramal principal da REBIONSC, 589 m",NA,[epublished],NA,NA,NA,25 May 2021,,NA,NA,NA,NA,NA,NA
Arundinaria_setifera,Hack.,Hack.,,spec.,/n/21036-2,Poaceae,Arundinaria,setifera,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Oesterr. Bot. Z.,1903,NA,53: 73,768-2,citation,Oesterr. Bot. Z. 53: 73. 1903 ,FALSE,TRUE,1.5,21036-2,urn:lsid:ipni.org:names:21036-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1903&rft.spage=73&rft.volume=53&rft_id=http://www.biodiversitylibrary.org/bibliography/40988&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Arundo_dioeca,Spreng.,Spreng.,,spec.,/n/21060-2,Poaceae,Arundo,dioeca,tax. nov.,"Monte Video, Brazil (Southern America)",FALSE,FALSE,FALSE,NA,,"Syst. Veg., ed. 16 [Sprengel]",1824,dated 1825; publ. in late 1824,1: 361,14620-2,citation,"Syst. Veg., ed. 16 [Sprengel] 1: 361. 1824 [dated 1825; publ. in late 1824] ",FALSE,TRUE,1.2.2.1.1.3,21060-2,urn:lsid:ipni.org:names:21060-2,wfo-0000850929,FALSE,TRUE,TRUE,FALSE,FALSE,s.n.,F.Sellow,NA,later homonym (non Lour. 1790); replaced by A. A. selloana Schultes & Schultes f. (1827),null B,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1824&rft.spage=361&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/822&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Axonopus_hitchcockii,G.A.Black,G.A.Black,,spec.,/n/27354-2,Poaceae,Axonopus,hitchcockii,tax. nov.,British Guiana &amp; Brazil (Amazonas &amp; Para),FALSE,FALSE,TRUE,NA,,Advancing Frontiers Pl. Sci.,1963,NA,5: 106,1663-2,citation,Advancing Frontiers Pl. Sci. 5: 106. 1963 Grasses Gen. Axon,FALSE,TRUE,1.3,27354-2,urn:lsid:ipni.org:names:27354-2,wfo-0000852847,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Grasses Gen. Axon,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Axonopus_perlongus,G.A.Black,G.A.Black,,spec.,/n/27389-2,Poaceae,Axonopus,perlongus,tax. nov.,"Mato Grosso (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Advancing Frontiers Pl. Sci.,1963,NA,5: 89,1663-2,citation,Advancing Frontiers Pl. Sci. 5: 89. 1963 Grasses Gen. Axon,FALSE,TRUE,1.3,27389-2,urn:lsid:ipni.org:names:27389-2,wfo-0000852898,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Grasses Gen. Axon,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Axonopus_rojasii,G.A.Black,G.A.Black,,spec.,/n/27411-2,Poaceae,Axonopus,rojasii,tax. nov.,Brazil (Rio Grande do Sul) &amp; Paraguay,FALSE,FALSE,TRUE,NA,,Advancing Frontiers Pl. Sci.,1963,NA,5: 100,1663-2,citation,Advancing Frontiers Pl. Sci. 5: 100. 1963 Grasses Gen. Axon,FALSE,TRUE,1.3,27411-2,urn:lsid:ipni.org:names:27411-2,wfo-0000852929,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Grasses Gen. Axon,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Briza_lindmanii,Ekman,Ekman,,spec.,/n/36639-2,Poaceae,Briza,lindmanii,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Ark. Bot.,1913,NA,"13, no. 10: 54, pl. 4",536-2,citation,"Ark. Bot. 13, no. 10: 54, pl. 4. 1913 ",FALSE,TRUE,1.4,36639-2,urn:lsid:ipni.org:names:36639-2,wfo-0000854733,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Bromus_spicatus,Nees,Nees,,spec.,/n/37169-2,Poaceae,Bromus,spicatus,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Fl. Bras. Enum. Pl.,1829,Mar-Jun 1829,2(1): 471,1544-2,citation,Fl. Bras. Enum. Pl. 2(1): 471. 1829 [Mar-Jun 1829] ; alt. title:  Agrost. Bras.,FALSE,TRUE,1.5,37169-2,urn:lsid:ipni.org:names:37169-2,wfo-0000856536,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.issue=1&rft.spage=471&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/6159&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,alt. title:  Agrost. Bras.,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Bromus_strictus,Brongn.,Brongn.,,spec.,/n/315503-2,Poaceae,Bromus,strictus,tax. nov.,"Santa Catarina (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,"Voy. Monde, Phan.",1831,1829 publ. Jan 1831,45,15399-2,citation,"Voy. Monde, Phan. 45. 1831 [1829 publ. Jan 1831] ",FALSE,TRUE,1.7,315503-2,urn:lsid:ipni.org:names:315503-2,wfo-0000856626,FALSE,TRUE,TRUE,FALSE,FALSE,s.n.,D'Urville,NA,[Gandhi 1 May 1998; Novon 8: 56. 1998],holotype P,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1831&rft.spage=45&rft_id=http://www.biodiversitylibrary.org/bibliography/57936&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Calamagrostis_capillaris,Nees ex Steud.,Nees ex Steud.,,spec.,/n/40411-2,Poaceae,Calamagrostis,capillaris,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Syn. Pl. Glumac.,1854,1855 publ. 12-13 Apr 1854,1(3): 188,8010-2,citation,Syn. Pl. Glumac. 1(3): 188. 1854 [1855 publ. 12-13 Apr 1854] ,FALSE,TRUE,1.5,40411-2,urn:lsid:ipni.org:names:40411-2,wfo-0000857142,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1854&rft.issue=3&rft.spage=188&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/83535&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Campuloa_cirrosus,Nees,Nees,,spec.,/n/395005-1,Poaceae,Campuloa,cirrosus,tax. nov.,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,FALSE,NA,,Fl. Bras. Enum. Pl.,1829,Mar-Jun 1829,2(1): 416 (-417),1544-2,citation,Fl. Bras. Enum. Pl. 2(1): 416 (-417). 1829 [Mar-Jun 1829] ; alt. title:  Agrost. Bras.,FALSE,TRUE,1.5,395005-1,urn:lsid:ipni.org:names:395005-1,wfo-0000858295,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.issue=1&rft.spage=416&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/6159&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,alt. title:  Agrost. Bras.,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Chaetaria_elliptica,Nees,Nees,,spec.,/n/319760-2,Poaceae,Chaetaria,elliptica,tax. nov.,"pascuis agrestibus, Piaui (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Fl. Bras. Enum. Pl.,1829,Mar-Jun 1829,2(1): 389,1544-2,citation,Fl. Bras. Enum. Pl. 2(1): 389. 1829 [Mar-Jun 1829] ; alt. title:  Agrost. Bras.,FALSE,TRUE,1.4,319760-2,urn:lsid:ipni.org:names:319760-2,wfo-0000858855,TRUE,TRUE,TRUE,FALSE,FALSE,s.n.,C.F.P.Martius,NA,[Gandhi 9 May 2000],lectotype M,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.issue=1&rft.spage=389&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/6159&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,alt. title:  Agrost. Bras.,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Chaetochloa_salzmanniana,Hitchc. & Chase,Hitchc. & Chase,,spec.,/n/54150-2,Poaceae,Chaetochloa,salzmanniana,tax. nov.,"Cultis aridis, Bahia (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Contr. U.S. Natl. Herb.,1913,NA,17: 265,605-2,citation,Contr. U.S. Natl. Herb. 17: 265. 1913 ,FALSE,TRUE,1.5,54150-2,urn:lsid:ipni.org:names:54150-2,wfo-0000859004,FALSE,TRUE,TRUE,FALSE,FALSE,s.n.,P.Salzmann,410227,nom. nov. for Panicum spharocarpum Salzm. 1853 (later homonym; non P. sphaerocarpon Ell. Dec 1816).,lectotype MPU;isotype BAA;isotype K;isotype US,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/410227&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Chloris_dusenii,Ekman,Ekman,,spec.,/n/56893-2,Poaceae,Chloris,dusenii,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Ark. Bot.,1911,NA,"10, no. 17: 26, pl. 4, 6",536-2,citation,"Ark. Bot. 10, no. 17: 26, pl. 4, 6. 1911 ",FALSE,TRUE,1.3,56893-2,urn:lsid:ipni.org:names:56893-2,wfo-0000859496,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Chloris_luetzelburgii,Hitchc.,Hitchc.,,spec.,/n/56907-2,Poaceae,Chloris,luetzelburgii,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Proc. Biol. Soc. Washington,1923,NA,36: 197,1044-2,citation,Proc. Biol. Soc. Washington 36: 197. 1923 ,FALSE,TRUE,1.3,56907-2,urn:lsid:ipni.org:names:56907-2,wfo-0000859558,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1923&rft.spage=197&rft.volume=36&rft_id=http://www.biodiversitylibrary.org/bibliography/3622&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Chusquea_anelythroides,Rupr. ex Döll,Rupr. ex Döll,,spec.,/n/316724-2,Poaceae,Chusquea,anelythroides,tax. nov.,"Sao Paulo (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Fl. Bras. (Martius),1880,1 Dec 1880,2(3): 206,629-2,citation,Fl. Bras. (Martius) 2(3): 206. 1880 [1 Dec 1880] ,FALSE,TRUE,1.5,316724-2,urn:lsid:ipni.org:names:316724-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,135349,[Gandhi 23 Nov 1998; Sorong],NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/135349&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Chusquea_calderoniae,K.V.A.Vidal & L.G.Clark,K.V.A.Vidal & L.G.Clark,,spec.,/n/77312749-1,Poaceae,Chusquea,calderoniae,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America);Minas Gerais (Brazil Southeast, Brazil, Southern America);",FALSE,FALSE,FALSE,NA,,Phytotaxa,2023,24 Jan 2023,579(4): 257,20011462-1,citation,Phytotaxa 579(4): 257. 2023 [24 Jan 2023] [epublished],FALSE,TRUE,1.1,77312749-1,urn:lsid:ipni.org:names:77312749-1,wfo-1000043566,TRUE,TRUE,TRUE,FALSE,FALSE,241,Vidal &amp; Clark,NA,doi:10.11646/phytotaxa.579.4.3 Etymology: the specific epithet honours the Argentinian bamboo researcher Cleofé E. Calderón (1929‒2007).,holotype HUEFS;isotype CEPEC;isotype ISC;isotype SP;isotype SPF;isotype US,NA,NA,"Bahia: Mun. Rio de Contas, fragmento de Mata Atlântica próximo à base do Pico das Almas, região de córrego do rio, nascente do Rio Brumado, c. 3.5 km de distância da estrada principal, 1489 m",NA,[epublished],NA,NA,NA,13 Jun 2016,,NA,NA,NA,NA,NA,NA
Chusquea_fimbriata,Steud.,Steud.,,spec.,/n/316737-2,Poaceae,Chusquea,fimbriata,tax. nov.,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Syn. Pl. Glumac.,1854,1855 publ. 12-13 Apr 1854,1(3): 338,8010-2,citation,Syn. Pl. Glumac. 1(3): 338. 1854 [1855 publ. 12-13 Apr 1854] ,FALSE,TRUE,1.4,316737-2,urn:lsid:ipni.org:names:316737-2,wfo-0000860007,FALSE,TRUE,TRUE,FALSE,FALSE,s.n.,L.Riedel,NA,[Gandhi 23 Nov 1998; Sorong],null US,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1854&rft.issue=3&rft.spage=338&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/83535&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Chusquea_jurgensii,Hack.,Hack.,,spec.,/n/58364-2,Poaceae,Chusquea,jurgensii,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Repert. Spec. Nov. Regni Veg.,1909,NA,7: 325,788-2,citation,Repert. Spec. Nov. Regni Veg. 7: 325. 1909 ,FALSE,TRUE,1.3,58364-2,urn:lsid:ipni.org:names:58364-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,265541,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/265541&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
