name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,infraspecies,inPowo,pageAsText,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,speciesAuthor,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,originalTaxonDistribution,referenceRemarks,collectionNumber,collectorTeam,collectionDate1,locality,typeLocations,typeCoordinates,remarks,typeNote,typeRemarks,basionymStr,basionymAuthorStr,basionymId,nameStatus,nameStatusType,originalRemarks
Chamissoa_frondosa,Hashim.,Hashim.,,spec.,/n/55501-2,Amaranthaceae,Chamissoa,frondosa,tax. nov.,"Sao Paulo (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Rodriguésia,1951,NA,"13, no. 25:[263], tab. 1",1167-2,citation,"Rodriguésia 13, no. 25:[263], tab. 1. 1951 ",NA,FALSE,TRUE,1.2,55501-2,urn:lsid:ipni.org:names:55501-2,wfo-0000599791,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlamyphorus_obvallatus,Klatt,Klatt,,spec.,/n/56703-2,Amaranthaceae,Chlamyphorus,obvallatus,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,FALSE,NA,,Leopoldina,1889,NA,25: 107,1248-2,citation,Leopoldina 25: 107. 1889 ,NA,FALSE,TRUE,1.2,56703-2,urn:lsid:ipni.org:names:56703-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=107&rft.volume=25&rft_id=http://www.biodiversitylibrary.org/bibliography/3921&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gomphrena_anti-lethargica,Silveira,Silveira,,spec.,/n/111864-2,Amaranthaceae,Gomphrena,anti-lethargica,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Floral. Mont.,1931,NA,"2: 41, tab. 19, 20",5697-2,citation,"Floral. Mont. 2: 41, tab. 19, 20. 1931 ",NA,FALSE,TRUE,1.2,111864-2,urn:lsid:ipni.org:names:111864-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gomphrena_aquatica,Glaz.,Glaz.,,spec.,/n/111867-2,Amaranthaceae,Gomphrena,aquatica,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,FALSE,NA,,Bull. Soc. Bot. France,1911,NA,58(Mém. 3f): 567,578-2,citation,Bull. Soc. Bot. France 58(Mém. 3f): 567. 1911 ,NA,FALSE,TRUE,1.3,111867-2,urn:lsid:ipni.org:names:111867-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gomphrena_brasiliana,L.,L.,,spec.,/n/111876-2,Amaranthaceae,Gomphrena,brasiliana,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Cent. Pl. II.,1756,2 Jun 1756,13,5339-2,citation,Cent. Pl. II. 13. 1756 [2 Jun 1756] ,NA,FALSE,TRUE,1.3,111876-2,urn:lsid:ipni.org:names:111876-2,wfo-0000705881,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1756&rft.spage=13&rft_id=http://www.biodiversitylibrary.org/bibliography/51985&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,,"The LT. information is from Kellogg (in Howard, Fl. Lesser Antilles 4(1): 148. 1988)","Breyne, Exot. Pl. Cent. t. 52. 1674-78.",NA,NA,NA,NA,NA,NA,NA
Gomphrena_depauperata,Glaz.,Glaz.,,spec.,/n/111916-2,Amaranthaceae,Gomphrena,depauperata,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,FALSE,NA,,Bull. Soc. Bot. France,1911,NA,58(Mém. 3f): 567,578-2,citation,Bull. Soc. Bot. France 58(Mém. 3f): 567. 1911 ,NA,FALSE,TRUE,1.3,111916-2,urn:lsid:ipni.org:names:111916-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gomphrena_equisetiformis,R.E.Fr.,R.E.Fr.,,spec.,/n/111935-2,Amaranthaceae,Gomphrena,equisetiformis,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Ark. Bot.,1920,14 Feb 1920,"16, no. 13: 16, pl. 1",536-2,citation,"Ark. Bot. 16, no. 13: 16, pl. 1. 1920 [14 Feb 1920] ",NA,FALSE,TRUE,1.1.2.1.1.1,111935-2,urn:lsid:ipni.org:names:111935-2,wfo-0000705991,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gomphrena_mariae,S.Moore,S.Moore,,spec.,/n/111991-2,Amaranthaceae,Gomphrena,mariae,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,"Trans. Linn. Soc. London, Bot.",1895,NA,"ser. 2, 4: 444",1084-2,citation,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 444. 1895 ",NA,FALSE,TRUE,1.2,111991-2,urn:lsid:ipni.org:names:111991-2,wfo-0000706108,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gomphrena_vermicularis,L.,L.,,spec.,/n/112125-2,Amaranthaceae,Gomphrena,vermicularis,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Sp. Pl.,1753,1 May 1753,1: 224,1071-2,citation,Sp. Pl. 1: 224. 1753 [1 May 1753] ,NA,FALSE,TRUE,1.3,112125-2,urn:lsid:ipni.org:names:112125-2,wfo-0000706310,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1753&rft.spage=224&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/669&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hebanthe_philippo-coburgii,Zahlbr. in Wawra,Zahlbr. in Wawra,,spec.,/n/118168-2,Amaranthaceae,Hebanthe,philippo-coburgii,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Itin. Princ. S. Coburgi,1888,NA,"2: 57, pl. 10",14558-2,citation,"Itin. Princ. S. Coburgi 2: 57, pl. 10. 1888 ",NA,FALSE,TRUE,1.5,118168-2,urn:lsid:ipni.org:names:118168-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mogiphanes_ramosissima,Mart.,Mart.,,spec.,/n/162971-2,Amaranthaceae,Mogiphanes,ramosissima,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Nov. Gen. Sp. Pl. (Martius),1826,Apr-Jun 1826,2(1): 31,16214-2,citation,Nov. Gen. Sp. Pl. (Martius) 2(1): 31. 1826 [Apr-Jun 1826] ,NA,FALSE,TRUE,1.4,162971-2,urn:lsid:ipni.org:names:162971-2,wfo-0000372679,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1826&rft.issue=1&rft.spage=31&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/450&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,s.n.,C.F.P.Martius,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Telanthera_bettzickiana,Regel,Regel,,spec.,/n/61458-1,Amaranthaceae,Telanthera,bettzickiana,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Index Seminum [St.Petersburg (Petropolitanus)],1862,NA,28 (Jan 1862),978-2,citation,Index Seminum [St.Petersburg (Petropolitanus)] 28 (Jan 1862). ,NA,FALSE,TRUE,1.1.2.2.1.1,61458-1,urn:lsid:ipni.org:names:61458-1,wfo-0000410260,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,"also published in Gartenflora, 11: 178 (May 1862)",NA,NA,NA,NA,NA,NA,NA,Bras.?
Telanthera_geniculata,S.Moore,S.Moore,,spec.,/n/288907-2,Amaranthaceae,Telanthera,geniculata,tax. nov.,"Mato Grosso (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,"Trans. Linn. Soc. London, Bot.",1895,NA,"ser. 2, 4: 443",1084-2,citation,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 443. 1895 ",NA,FALSE,TRUE,1.3,288907-2,urn:lsid:ipni.org:names:288907-2,wfo-0000410275,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,S.L.Moore,NA,NA,holotype BM,,[Gandhi 6 Feb 1998; type],NA,NA,NA,NA,NA,NA,NA,NA
Trommsdorffia_argentata,Mart.,Mart.,,spec.,/n/316104-2,Amaranthaceae,Trommsdorffia,argentata,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Nov. Gen. Sp. Pl. (Martius),1826,Apr-Jun 1826,2(1): 40,16214-2,citation,Nov. Gen. Sp. Pl. (Martius) 2(1): 40. 1826 [Apr-Jun 1826] ,NA,FALSE,TRUE,1.3,316104-2,urn:lsid:ipni.org:names:316104-2,wfo-0000410117,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1826&rft.issue=1&rft.spage=40&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/450&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,,"[Gandhi 5 Aug 1998] According to Holub (Preslia 70: 181.¹1998), Martius published this name in: Beitr. Kenntnis Fam.¹Amaranthaceae, 130, Bonn 1825.",NA,NA,NA,NA,NA,NA,NA,NA
Trommsdorffia_aurata,Mart.,Mart.,,spec.,/n/303597-2,Amaranthaceae,Trommsdorffia,aurata,tax. nov.,"Rio Negro, Brazil (Southern America)",FALSE,FALSE,NA,TRUE,NA,,Nov. Gen. Sp. Pl. (Martius),1826,Apr-Jun 1826,2(1): 41,16214-2,citation,Nov. Gen. Sp. Pl. (Martius) 2(1): 41. 1826 [Apr-Jun 1826] ,NA,FALSE,TRUE,1.4,303597-2,urn:lsid:ipni.org:names:303597-2,wfo-0000410076,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1826&rft.issue=1&rft.spage=41&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/450&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,C.F.P.Martius,NA,NA,holotype M,,The generic name Trommsdorffia (Amaranthaceae) is a later homonym of¹Trommsdorffia (Asteraceae),NA,NA,NA,NA,NA,NA,NA,NA
Trommsdorffia_pulverulenta,Mart.,Mart.,,spec.,/n/301053-2,Amaranthaceae,Trommsdorffia,pulverulenta,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Nov. Gen. Sp. Pl. (Martius),1826,Apr-Jun 1826,"2(1): 40, t. 42",16214-2,citation,"Nov. Gen. Sp. Pl. (Martius) 2(1): 40, t. 42. 1826 [Apr-Jun 1826] ",NA,FALSE,TRUE,1.4,301053-2,urn:lsid:ipni.org:names:301053-2,wfo-0001046094,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1826&rft.issue=1&rft.spage=40&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/450&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,T.Haenke,NA,NA,holotype M,,"According to Holub (Preslia 70: 181. 1998), this name was¹published by Martius in Beitr. Kenntnis Fam. Amaranthaceae,¹131, Bonn 1825.",NA,NA,NA,NA,NA,NA,NA,NA
