name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,pageAsText,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,referenceRemarks,suppressed,topCopy,version,id,fqId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,infraspecies,publicationYearNote,wfoId,speciesAuthor,collectionNumber,collectorTeam,collectionDate1,locality,remarks,typeLocations,typeCoordinates,originalTaxonDistribution,nameStatus,nameStatusType,typeNote,typeRemarks,originalRemarks,bibliographicReference,typeChosenBy,collectionDate2
Cestrum_ramulosum,Francey,Francey,,spec.,/n/53729-2,Solanaceae,Cestrum,ramulosum,tax. nov.,"Pernambuco (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Candollea,1935,6: 163,885-2,citation,Candollea 6: 163. 1935 ,NA,FALSE,TRUE,1.4,53729-2,urn:lsid:ipni.org:names:53729-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,wfo-0001020841,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaetochilus_lateriflorus,Vahl,Vahl,,spec.,/n/54076-2,Solanaceae,Chaetochilus,lateriflorus,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Enum. Pl. [Vahl],1804,1: 101,5500-2,citation,Enum. Pl. [Vahl] 1: 101. 1804 ,NA,FALSE,TRUE,1.4,54076-2,urn:lsid:ipni.org:names:54076-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,wfo-0001021016,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyphomandra_kuhlmanniana,J.Guaranha & Mattos,J.Guaranha & Mattos,,spec.,/n/897530-1,Solanaceae,Cyphomandra,kuhlmanniana,tax. nov.,Brazil.,FALSE,FALSE,TRUE,NA,,Loefgrenia,1981,75: 1 (1981),994-2,citation,Loefgrenia 75: 1 (1981). ,NA,FALSE,TRUE,1.3,897530-1,urn:lsid:ipni.org:names:897530-1,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,1981,NA,NA,NA,NA,NA,NA,NA,NA,,Brazil.,NA,NA,NA,NA,NA,NA,NA,NA
Datura_insignis,Barb.Rodr.,Barb.Rodr.,,spec.,/n/76941-2,Solanaceae,Datura,insignis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Vellosia,1891,"ed. 2, 1: 62",3884-2,citation,"Vellosia ed. 2, 1: 62. 1891 ",NA,FALSE,TRUE,1.5,76941-2,urn:lsid:ipni.org:names:76941-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,wfo-0001021315,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Franciscea_eximia,Scheidw. ex Moore & Ayres,Scheidw. ex Moore & Ayres,,spec.,/n/105584-2,Solanaceae,Franciscea,eximia,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Gard. Mag. Bot.,1850,1: 16,11468-2,citation,Gard. Mag. Bot. 1: 16. 1850 ,NA,FALSE,TRUE,1.6,105584-2,urn:lsid:ipni.org:names:105584-2,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1850&rft.spage=16&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/120787&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,[Gandhi; LT],NA,,NA,NA,NA,"Moore & Ayres, Gard. Mag. Bot. 2: 177, t. 1850. 1850.",NA,NA,NA,NA,NA
Franciscea_lindeniana,Planch.,Planch.,,spec.,/n/316466-2,Solanaceae,Franciscea,lindeniana,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Belgique Hort.,1865,"15: 100, t. 16",4831-2,citation,"Belgique Hort. 15: 100, t. 16. 1865 ",NA,FALSE,TRUE,1.4,316466-2,urn:lsid:ipni.org:names:316466-2,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1865&rft.spage=100&rft.volume=15&rft_id=http://www.biodiversitylibrary.org/bibliography/5932&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,wfo-0001021667,NA,NA,NA,NA,NA,[Gandhi 30 Sep 1998],NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Franciscea_macrantha,Lem.,Lem.,,spec.,/n/105585-2,Solanaceae,Franciscea,macrantha,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Jard. Fleur.,1853,"3: 349, t. 249",3674-2,citation,"Jard. Fleur. 3: 349, t. 249. 1853 ",NA,FALSE,TRUE,1.4,105585-2,urn:lsid:ipni.org:names:105585-2,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1853&rft.spage=349&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/164946&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,wfo-0001021668,NA,NA,NA,NA,NA,[Gandhi; LT],NA,,NA,NA,NA,"Lem., Jard. Fleur. 3: t. 249. 1853.",NA,NA,NA,NA,NA
Lycianthes_amazonica,Costa-Silva & Agra,Costa-Silva & Agra,,spec.,/n/77233911-1,Solanaceae,Lycianthes,amazonica,tax. nov.,"Pará (Brazil North, Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Phytotaxa,2021,527(1): 53,20011462-1,citation,Phytotaxa 527(1): 53. 2021 [26 Nov 2021] [epublished],[epublished],FALSE,TRUE,1.1,77233911-1,urn:lsid:ipni.org:names:77233911-1,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,26 Nov 2021,wfo-1000027755,NA,348,M.N.Silva et al.,15 May 1983,"Municipality of Itaituba, Estrada Santarém-Cuiabá, BR 163, km 1007 a 1012","doi:10.11646/phytotaxa.527.1.5 The specific epithet refers to the area of its distribution, as it was only found in the Amazon.",holotype RB 851548;isotype INPA 113470;isotype K 1071890;isotype MG 11859;isotype NY 1291273;isotype US 01936228,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Markea_parviflora,Ducke,Ducke,,spec.,/n/153419-2,Solanaceae,Markea,parviflora,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Bull. Mus. Hist. Nat. (Paris),1932,(ser. 2) 4: 747,576-2,citation,Bull. Mus. Hist. Nat. (Paris) (ser. 2) 4: 747. 1932 as Marcka,as Marcka,FALSE,TRUE,1.4,153419-2,urn:lsid:ipni.org:names:153419-2,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,wfo-0001023551,NA,NA,NA,NA,NA,"[Gandhi; Hunziker, Kurtziana 25: 110. 1997]",NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Markea_peckoltiorum,Gilg,Gilg,,spec.,/n/153420-2,Solanaceae,Markea,peckoltiorum,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bot. Jahrb. Syst.,1910,"44(2-3, Beibl. 101): 17",553-2,citation,"Bot. Jahrb. Syst. 44(2-3, Beibl. 101): 17. 1910 [22 Mar 1910] ",NA,FALSE,TRUE,1.5,153420-2,urn:lsid:ipni.org:names:153420-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,22 Mar 1910,wfo-0001023553,NA,NA,NA,NA,NA,"[Gandhi; Hunziker, Kurtziana 25: 111. 1997]",NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
