name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,infraspecies,inPowo,pageAsText,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,speciesAuthor,typeNote,collectorTeam,typeLocations,collectionNumber,collectionDate1,locality,remarks,typeCoordinates,referenceRemarks,originalRemarks,bibliographicReference,typeChosenBy,basionymAuthorStr
Balsamona_pinto,Vand.,Vand.,,spec.,/n/28816-2,Lythraceae,Balsamona,pinto,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Fasc. Pl.,1771,NA,15 (lam. 3),18920-2,citation,Fasc. Pl. 15 (lam. 3). 1771 ,FALSE,TRUE,1.3,28816-2,urn:lsid:ipni.org:names:28816-2,wfo-0000558953,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,Lam. 3,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Cuphea_brachyantha,Koehne,Koehne,,spec.,/n/72307-2,Lythraceae,Cuphea,brachyantha,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Pflanzenr. (Engler),1903,NA,"4, Fam. 216: 132",3295-2,citation,"Pflanzenr. (Engler) 4, Fam. 216: 132. 1903 ",FALSE,TRUE,1.5,72307-2,urn:lsid:ipni.org:names:72307-2,wfo-0000629856,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Cuphea_karwinskii,Koehne,Koehne,,spec.,/n/275428-2,Lythraceae,Cuphea,karwinskii,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,142928,,Fl. Bras. (Martius),1877,1 Oct 1877,13(2): 234,629-2,citation,Fl. Bras. (Martius) 13(2): 234. 1877 [1 Oct 1877] ,FALSE,TRUE,1.9,275428-2,urn:lsid:ipni.org:names:275428-2,wfo-0000630123,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/142928&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,W.F.Karwinski von Karwin,neotype M,s.n.,NA,NA,NA,,NA,NA,NA,NA,NA
Cuphea_laminuligera,Koehne,Koehne,,spec.,/n/275430-2,Lythraceae,Cuphea,laminuligera,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,142928,,Fl. Bras. (Martius),1877,1 Oct 1877,13(2): 234,629-2,citation,Fl. Bras. (Martius) 13(2): 234. 1877 [1 Oct 1877] ,FALSE,TRUE,1.9,275430-2,urn:lsid:ipni.org:names:275430-2,wfo-0000630129,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/142928&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,H.G.Galeotti,lectotype BR,2993,NA,NA,NA,,NA,NA,NA,NA,NA
Cuphea_rubro-virens,T.B.Cavalc.,T.B.Cavalc.,,spec.,/n/275447-2,Lythraceae,Cuphea,rubro-virens,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Bol. Bot. Univ. São Paulo,1989,NA,"11: 71 (-72), figs. 13-20",1869-2,citation,"Bol. Bot. Univ. São Paulo 11: 71 (-72), figs. 13-20. 1989 ",FALSE,TRUE,1.5,275447-2,urn:lsid:ipni.org:names:275447-2,wfo-0000630392,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,Cordeiro et al. CFCR,holotype SPF,9113,NA,NA,NA,,NA,NA,NA,NA,NA
Diplusodon_grahamiae,T.B.Cavalc.,T.B.Cavalc.,,spec.,/n/77098684-1,Lythraceae,Diplusodon,grahamiae,tax. nov.,"Goiás (Brazil West-Central, Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Acta Bot. Brasil.,2007,NA,21(4): 810 (-811; figs. 7-12),1225-2,citation,Acta Bot. Brasil. 21(4): 810 (-811; figs. 7-12). 2007 ,FALSE,TRUE,1.1,77098684-1,urn:lsid:ipni.org:names:77098684-1,wfo-0000743755,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,G.Hatschbach &amp; E.Barbosa,holotype MBM,59326,12 Jun 1993,"Água Fria de Goiás, estação repetidora da Telebrasília de Roncador",as grahamae,,NA,NA,NA,NA,NA
Lythrum_carthagenense,Jacq.,Jacq.,,spec.,/n/147975-2,Lythraceae,Lythrum,carthagenense,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Enum. Syst. Pl.,1760,NA,22,4624-2,citation,Enum. Syst. Pl. 22. 1760 ,FALSE,TRUE,1.1.2.1.1.3,147975-2,urn:lsid:ipni.org:names:147975-2,wfo-0000366751,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1760&rft.spage=22&rft_id=http://www.biodiversitylibrary.org/bibliography/737&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
