name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,distribution,hybrid,hybridGenus,inPowo,pageAsText,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,publicationYearNote,originalTaxonDistribution,infraspecies,speciesAuthor,referenceRemarks,collectionDate1,locality,typeCoordinates
Cissus_fuscoferrugineus,Kuhlm.,Kuhlm.,,spec.,/n/59287-2,Vitaceae,Cissus,fuscoferrugineus,tax. nov.,NA,NA,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Anais Reunião Sul-Amer. Bot.,1940,"3: 84, tab. 12",4693-2,citation,"Anais Reunião Sul-Amer. Bot. 3: 84, tab. 12. 1940 ",FALSE,TRUE,NA,1.4,59287-2,urn:lsid:ipni.org:names:59287-2,wfo-0000606305,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,
Cissus_terete-caulis,Larrañaga,Larrañaga,,spec.,/n/59387-2,Vitaceae,Cissus,terete-caulis,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Escritos Damaso Antonio Larranaga,1922,1: 411,1322-2,citation,Escritos Damaso Antonio Larranaga 1: 411. 1922 Pub. Inst. Hist. Geog. Uruguay,FALSE,TRUE,NA,1.1.1.2,59387-2,urn:lsid:ipni.org:names:59387-2,wfo-0000606945,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,Pub. Inst. Hist. Geog. Uruguay,NA,NA,
