name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,collectionDate1,distribution,hybrid,hybridGenus,inPowo,locality,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,pageAsText,remarks,bhlLink,referenceRemarks,typeCoordinates,infraspecies,originalTaxonDistribution,speciesAuthor,basionymStr,basionymAuthorStr,basionymId,typeRemarks,originalRemarks,typeName,collectionDate2
Achetaria_latifolia,V.C.Souza,V.C.Souza,,spec.,/n/77065836-1,Scrophulariaceae,Achetaria,latifolia,tax. nov.,2270,"J.Fontella-Pereira, N.Marquete, D.Araújo &amp; M.C.Valente",5 Feb 1986,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,"Cabo Frio. Ao lado da estrada Cabo Frio - Arraial do Cabo, a 28km da Praia da Iguaba e a 3km do trevo de Cabo Frio",,Bot. J. Linn. Soc.,2005,12 May 2005,148(1): 73 (-75; fig. 1),1172-2,citation,Bot. J. Linn. Soc. 148(1): 73 (-75; fig. 1). 2005 [12 May 2005] ,FALSE,TRUE,holotype RB,1.2,77065836-1,urn:lsid:ipni.org:names:77065836-1,wfo-0000515953,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agalinis_bandeirensis,Barringer,Barringer,,spec.,/n/271792-2,Scrophulariaceae,Agalinis,bandeirensis,tax. nov.,2754,H.S.Irwin,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Brittonia,1987,NA,"39: 353, fig",561-2,citation,"Brittonia 39: 353, fig. 1987 ",FALSE,TRUE,holotype NY,1.3,271792-2,urn:lsid:ipni.org:names:271792-2,wfo-0000522742,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agalinis_itambensis,V.C.Souza & S.I.Elias,V.C.Souza & S.I.Elias,,spec.,/n/322143-2,Scrophulariaceae,Agalinis,itambensis,tax. nov.,21114," Jr., W.Forster,V.C.Souza, J.P.Souza, S.I.Elias, L.Capellari",NA,"Santo Antonio do Itambé, subida do Pico do Itambé, 1500 m, 18°24'5.6S, 43°19'1.9W, Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Novon,2001,7 Dec 2001,11(4): 484 (-486; fig. 1),14256-2,citation,Novon 11(4): 484 (-486; fig. 1). 2001 [7 Dec 2001] ,FALSE,TRUE,holotype ESA;isotype BHCB;isotype SPF,1.5,322143-2,urn:lsid:ipni.org:names:322143-2,wfo-0000522783,FALSE,TRUE,TRUE,FALSE,FALSE,642547,[Gandhi 12 Jun 2002],http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/642547&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agalinis_marianae,V.C.Souza,V.C.Souza,,spec.,/n/77312888-1,Scrophulariaceae,Agalinis,marianae,tax. nov.,s.n.,C.V.Vidal,23 Apr 2019,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,FALSE,"Mariana, Alegria Norte, Campo rupestre ferruginoso, 1353 m",,Acta Bot. Brasil.,2022,12 Sep 2022,36-e20210318: 3,1225-2,citation,Acta Bot. Brasil. 36-e20210318: 3. 2022 [12 Sep 2022] [epublished],FALSE,TRUE,holotype BHCB 190343;isotype ESA;isotype RB,1.3,77312888-1,urn:lsid:ipni.org:names:77312888-1,wfo-1000043579,TRUE,TRUE,TRUE,FALSE,FALSE,NA,doi:10.1590/0102-3306-ABB-2021-0318,NA,[epublished],,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agalinis_nana,S.I.Elias & V.C.Souza,S.I.Elias & V.C.Souza,,spec.,/n/322144-2,Scrophulariaceae,Agalinis,nana,tax. nov.,325," G.S.Rolim,S.I.Elias",NA,"Sao Roque de Minas, Parque Nacional da Serra da Canastra, Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Novon,2001,7 Dec 2001,11(4): 486 (-487; fig. 2),14256-2,citation,Novon 11(4): 486 (-487; fig. 2). 2001 [7 Dec 2001] ,FALSE,TRUE,holotype ESA;isotype HUFU,1.5,322144-2,urn:lsid:ipni.org:names:322144-2,wfo-0000522799,FALSE,TRUE,TRUE,FALSE,FALSE,642549,[Gandhi 12 Jun 2002],http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/642549&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agalinis_ramulifera,Barringer,Barringer,,spec.,/n/271800-2,Scrophulariaceae,Agalinis,ramulifera,tax. nov.,III-962,A.F.Regnell,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Brittonia,1987,NA,"39: 355, fig",561-2,citation,"Brittonia 39: 355, fig. 1987 ",FALSE,TRUE,holotype LE,1.3,271800-2,urn:lsid:ipni.org:names:271800-2,wfo-0000522835,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alonsoa_minor,Edwin,Edwin,,spec.,/n/9544-2,Scrophulariaceae,Alonsoa,minor,tax. nov.,NA,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,"Fieldiana, Bot.",1967,NA,31: 229,626-2,citation,"Fieldiana, Bot. 31: 229. 1967 ",FALSE,TRUE,NA,1.3,9544-2,urn:lsid:ipni.org:names:9544-2,wfo-0000527256,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ameroglossum_alatum,"E.M.Almeida, A.M.Wanderley & L.P.Felix","E.M.Almeida, A.M.Wanderley & L.P.Felix",,spec.,/n/77216325-1,Scrophulariaceae,Ameroglossum,alatum,tax. nov.,461,E.M.Almeida &amp; A.M.Wanderley,21 Aug 2012,"Alagoas (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,"Maravilha, 729 m",,Eur. J. Taxon.,2021,15 Apr 2021,746: 6,20016745-1,citation,Eur. J. Taxon. 746: 6. 2021 [15 Apr 2021] [epublished],FALSE,TRUE,holotype EAN;isotype K,1.2,77216325-1,urn:lsid:ipni.org:names:77216325-1,wfo-1000025442,TRUE,TRUE,TRUE,FALSE,FALSE,NA,doi:10.5852/ejt.2021.746.1313,NA,[epublished],,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ameroglossum_asperifolium,"E.M.Almeida, J.M.P.Cordeiro & L.P.Felix","E.M.Almeida, J.M.P.Cordeiro & L.P.Felix",,spec.,/n/77216326-1,Scrophulariaceae,Ameroglossum,asperifolium,tax. nov.,15160,"L.P.Felix, E.M.Almeida, J.P.Araújo &amp; J.M.P.Cordeiro",28 Oct 2014,"Alagoas (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,"Ibateguara, Sitio Bananeiras, 512 m",,Eur. J. Taxon.,2021,15 Apr 2021,746: 9,20016745-1,citation,Eur. J. Taxon. 746: 9. 2021 [15 Apr 2021] [epublished],FALSE,TRUE,holotype EAN;isotype IMA;isotype IPA;isotype K;isotype RB,1.2,77216326-1,urn:lsid:ipni.org:names:77216326-1,wfo-1000025443,TRUE,TRUE,TRUE,FALSE,FALSE,NA,doi:10.5852/ejt.2021.746.1313,NA,[epublished],,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ameroglossum_bicolor,"E.M.Almeida, A.M.Wanderley & L.P.Felix","E.M.Almeida, A.M.Wanderley & L.P.Felix",,spec.,/n/77216327-1,Scrophulariaceae,Ameroglossum,bicolor,tax. nov.,1229,"E.M.Almeida, E.M.Almeida &amp; M.Fernandes",21 Aug 2014,"Pernambuco (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,"Agrestina, Lajedo do Boi, 428 m",,Eur. J. Taxon.,2021,15 Apr 2021,746: 12,20016745-1,citation,Eur. J. Taxon. 746: 12. 2021 [15 Apr 2021] [epublished],FALSE,TRUE,holotype EAN;isotype IPA;isotype K;isotype RB;isotype UFP,1.2,77216327-1,urn:lsid:ipni.org:names:77216327-1,wfo-1000025444,TRUE,TRUE,TRUE,FALSE,FALSE,NA,doi:10.5852/ejt.2021.746.1313,NA,[epublished],,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
