name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,infraspecies,inPowo,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,collectionNumber,collectorTeam,collectionDate1,speciesAuthor,typeLocations,pageAsText,nameStatus,nameStatusType
Clematis_triloba,A.St.-Hil.,A.St.-Hil.,,spec.,/n/30343946-2,Ranunculaceae,Clematis,triloba,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,,Fl. Bras. Merid. (A. St.-Hil.).,1825,NA,1: 3,8262-2,citation,Fl. Bras. Merid. (A. St.-Hil.). 1: 3. 1825 ,FALSE,TRUE,1.1.2.1.1.1,30343946-2,urn:lsid:ipni.org:names:30343946-2,wfo-0000610809,TRUE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1825&rft.spage=3&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/45474&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,"nom. illeg. later homonym    non Thunb. (1800), nec B. Heyne ex Roth (1825).",nom. illeg.
Ranunculus_spaniophyllus,Lourteig,Lourteig,,spec.,/n/217650-2,Ranunculaceae,Ranunculus,spaniophyllus,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,,Mem. Soc. Ci. Nat. La Salle,1956,NA,"16: 139, fig. 20, tab. 8",2515-2,citation,"Mem. Soc. Ci. Nat. La Salle 16: 139, fig. 20, tab. 8. 1956 ",FALSE,TRUE,1.5,217650-2,urn:lsid:ipni.org:names:217650-2,wfo-0000462174,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
