name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,collectionDate1,distribution,hybrid,hybridGenus,inPowo,locality,pageAsText,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,referenceRemarks,suppressed,topCopy,typeCoordinates,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,remarks,infraspecies,speciesAuthor,originalRemarks
Aralia_ferruginea,Glaz.,Glaz.,,spec.,/n/17486-2,Araliaceae,Aralia,ferruginea,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,NA,,Bull. Soc. Bot. France,1909,NA,56(Mém. 3d): 332,578-2,citation,Bull. Soc. Bot. France 56(Mém. 3d): 332. 1909 ,NA,FALSE,TRUE,,NA,1.3,17486-2,urn:lsid:ipni.org:names:17486-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Didymopanax_piauhyensis,Rizzini,Rizzini,,spec.,/n/80100-2,Araliaceae,Didymopanax,piauhyensis,tax. nov.,287,Ramalho,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Rodriguésia,1976,NA,no. 41: 167 (-168),1167-2,citation,Rodriguésia no. 41: 167 (-168). 1976 ,NA,FALSE,TRUE,,holotype RB,1.3,80100-2,urn:lsid:ipni.org:names:80100-2,wfo-0000943201,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Didymopanax_simplicifolius,Hoehne,Hoehne,,spec.,/n/80105-2,Araliaceae,Didymopanax,simplicifolius,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas,1915,NA,"Annexo 5, Bot. pt. 6: 59, pl. 128",16436-2,citation,"Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas Annexo 5, Bot. pt. 6: 59, pl. 128. 1915 ",NA,FALSE,TRUE,,NA,1.3,80105-2,urn:lsid:ipni.org:names:80105-2,wfo-0000943211,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Panax_longe-petiolatus,Pohl ex DC.,Pohl ex DC.,,spec.,/n/91497-1,Araliaceae,Panax,longe-petiolatus,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Prodr. [A. P. de Candolle],1830,late Sep 1830,4: 253,1051-2,citation,Prodr. [A. P. de Candolle] 4: 253. 1830 [late Sep 1830] (as longe-petiolatum),(as longe-petiolatum),FALSE,TRUE,,NA,1.1.2.2.1.2.2.1.1.1,91497-1,urn:lsid:ipni.org:names:91497-1,wfo-0000263638,TRUE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1830&rft.spage=253&rft.volume=4&rft_id=http://www.biodiversitylibrary.org/bibliography/286&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,"“longe” is an adverb (not an adjective); in the epithet longe-petiolatus (= longly petioled), the two words can stand independently, and the hyphen is permitted",NA,NA,NA
