name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,collectionDate1,distribution,hybrid,hybridGenus,inPowo,locality,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,referenceRemarks,remarks,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,infraspecies,pageAsText,bhlLink,speciesAuthor
Aenigmanu_alvareziae,W.W.Thomas,W.W.Thomas,,spec.,/n/77220559-1,Picramniaceae,Aenigmanu,alvareziae,tax. nov.,6979,R.B. Foster &amp; al.,10 Sep 1979,"Peru (Western South America, Southern America);Acre (Brazil North, Brazil, Southern America);",FALSE,FALSE,TRUE,"Peru: Madre de Dios: Parque Nacional del Manu, Rio Manu, Cocha Cashu station, 350m",,Taxon,2021,6 Oct 2021,70(6): 1241,812-2,citation,Taxon 70(6): 1241. 2021 [6 Oct 2021] [epublished],[epublished],"doi:10.1002/tax.12588 The name honours Dr. Patricia Álvarez-Loayza, long-time researcher in Manu National Park, who provided DNA material, field observations, photos and other material for this study.",FALSE,TRUE,holotype F V0363339F;isotype NY 04274001;isotype USM,1.2,77220559-1,urn:lsid:ipni.org:names:77220559-1,wfo-1000025342,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA
Picramnia_andradelimae,Pirani,Pirani,,spec.,/n/304664-2,Picramniaceae,Picramnia,andradelimae,tax. nov.,50-559,D.Andrade-Lima,NA,"Pernambuco (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Bol. Bot. Univ. São Paulo,1990,NA,"12: 167, figs. 262-275",1869-2,citation,"Bol. Bot. Univ. São Paulo 12: 167, figs. 262-275. 1990 ",NA,NA,FALSE,TRUE,holotype SPF,1.4,304664-2,urn:lsid:ipni.org:names:304664-2,wfo-0001257418,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA
