name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,infraspecies,pageAsText,collectionNumber,collectorTeam,typeLocations,speciesAuthor,remarks,referenceRemarks,collectionDate1,locality,typeCoordinates,originalTaxonDistribution
Echinodorus_austro-americanus,Rataj,Rataj,,spec.,/n/88148-2,Alismataceae,Echinodorus,austro-americanus,tax. nov.,"Peru, Bolivia, S. Brazil, Parag., Argent",FALSE,FALSE,TRUE,,Darwiniana,1970,NA,"16: 18, fig. 4",900-2,citation,"Darwiniana 16: 18, fig. 4. 1970 ",FALSE,TRUE,1.3,88148-2,urn:lsid:ipni.org:names:88148-2,wfo-0000766367,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Echinodorus_densinervis,Somogyi,Somogyi,,spec.,/n/77112457-1,Alismataceae,Echinodorus,densinervis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Phyton (Horn),2011,1 Jun 2011,51(1): 151 (149-152),2721-2,citation,Phyton (Horn) 51(1): 151 (149-152). 2011 [1 Jun 2011] ,FALSE,TRUE,1.2,77112457-1,urn:lsid:ipni.org:names:77112457-1,wfo-0000921433,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,s.n.,Pohl,holotype M 0088673;isotype BR 841048,NA,NA,NA,NA,Brasilia,,NA
Echinodorus_horemani,Rataj,Rataj,,spec.,/n/88175-2,Alismataceae,Echinodorus,horemani,tax. nov.,"Paraná (Brazil, Southern America)",FALSE,FALSE,TRUE,,Folia Geobot. Phytotax.,1970,NA,"5: 214, fig. 1C",1561-2,citation,"Folia Geobot. Phytotax. 5: 214, fig. 1C. 1970 ",FALSE,TRUE,1.3,88175-2,urn:lsid:ipni.org:names:88175-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Echinodorus_longistylis,Buchenau,Buchenau,,spec.,/n/88182-2,Alismataceae,Echinodorus,longistylis,tax. nov.,British Guiana to Brazil,FALSE,FALSE,FALSE,,Pflanzenr. (Engler),1903,NA,15: 34,3295-2,citation,Pflanzenr. (Engler) 15: 34. 1903 ,FALSE,TRUE,1.9,88182-2,urn:lsid:ipni.org:names:88182-2,wfo-0001417332,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1903&rft.spage=34&rft.volume=15&rft_id=http://www.biodiversitylibrary.org/bibliography/250&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
