name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,collectionNumber,collectorTeam,pageAsText,typeLocations,infraspecies,remarks,referenceRemarks,speciesAuthor,collectionDate1,locality,typeCoordinates,originalRemarks,bibliographicReference,typeChosenBy,typeRemarks,nameStatus,nameStatusType,originalTaxonDistribution,typeNote,bibliographicTypeInfo,typeName,basionymStr,basionymAuthorStr,basionymId,collectionDate2,originalBasionymAuthorTeam,originalHybridParentage,otherLinks
Ebermaiera_macahensis,Glaz.,Glaz.,,spec.,/n/86559-2,Acanthaceae,Ebermaiera,macahensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1911,NA,58(Mém. 3f): 531,578-2,citation,Bull. Soc. Bot. France 58(Mém. 3f): 531. 1911 ,FALSE,TRUE,1.5,86559-2,urn:lsid:ipni.org:names:86559-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eranthemum_velutinum,W.Bull,W.Bull,,spec.,/n/313791-2,Acanthaceae,Eranthemum,velutinum,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Cat. New Beautiful Rare Pl. [W. Bull],1886,NA,8,17626-2,citation,Cat. New Beautiful Rare Pl. [W. Bull] 8. 1886 ,FALSE,TRUE,1.3,313791-2,urn:lsid:ipni.org:names:313791-2,wfo-0000670650,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1886&rft.spage=8&rft_id=http://www.biodiversitylibrary.org/bibliography/110080&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,"non (Lindau) Boerlage 1899. [Gandhi; B. L. Burtt, Edinburgh¹J. Bot. 54: 253. 1997]",NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerardia_brasiliensis,Spreng.,Spreng.,,spec.,/n/109354-2,Acanthaceae,Gerardia,brasiliensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,"Syst. Veg., ed. 16 [Sprengel]",1825,Jan-May 1825,2: 806,14620-2,citation,"Syst. Veg., ed. 16 [Sprengel] 2: 806. 1825 [Jan-May 1825] ",FALSE,TRUE,1.1.2.1.1.2,109354-2,urn:lsid:ipni.org:names:109354-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1825&rft.spage=806&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/822&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,s.n.,F.Sellow,NA,NA,NA,"[Gandhi; Fieldiana, Bot. 39: 61]",NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerardia_digitata,Spreng.,Spreng.,,spec.,/n/109368-2,Acanthaceae,Gerardia,digitata,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,"Syst. Veg., ed. 16 [Sprengel]",1825,Jan-May 1825,2: 808,14620-2,citation,"Syst. Veg., ed. 16 [Sprengel] 2: 808. 1825 [Jan-May 1825] ",FALSE,TRUE,1.1.2.1.1.2,109368-2,urn:lsid:ipni.org:names:109368-2,wfo-0000701656,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1825&rft.spage=808&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/822&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graptophyllum_medioauratum,Linden ex K.Koch,Linden ex K.Koch,,spec.,/n/60454912-2,Acanthaceae,Graptophyllum,medioauratum,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Wochenschr. Vereines Beförd. Gartenbaues Konigl. Preuss. Staaten,1871,20 May 1871,14(20): 159,7877-2,citation,Wochenschr. Vereines Beförd. Gartenbaues Konigl. Preuss. Staaten 14(20): 159. 1871 [20 May 1871] (as medio-auratum),FALSE,TRUE,1.1,60454912-2,urn:lsid:ipni.org:names:60454912-2,wfo-0000745954,TRUE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1871&rft.issue=20&rft.spage=159&rft.volume=14&rft_id=http://www.biodiversitylibrary.org/bibliography/5017&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,(as medio-auratum),NA,NA,NA,,NA,NA,NA,NA,nom. inval.    K. Koch did not accept the name,nom. inval.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harpochilus_corrugatus,Zappi & F.A.Silva,Zappi & F.A.Silva,,spec.,/n/77297581-1,Acanthaceae,Harpochilus,corrugatus,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,,Phytotaxa,2022,10 May 2022,545(2): 152,20011462-1,citation,Phytotaxa 545(2): 152. 2022 [10 May 2022] [epublished],FALSE,TRUE,1.1,77297581-1,urn:lsid:ipni.org:names:77297581-1,wfo-1000030170,TRUE,TRUE,TRUE,FALSE,FALSE,NA,21212,"R.M.Harley, G.Bromley, A.M.Carvalho, J.L.Hage &amp; H.S.Brito",NA,holotype RB RB00035784;isotype CEPEC CEPEC00025754;isotype IPA IPA49664;isotype K K001046211;isotype MO MO1404739;isotype NY NY000484263;isotype SPF;isotype UEC UEC39262;isotype US US2950612,NA,doi:10.11646/phytotaxa.545.2.4 Etymology: 'The specific epithet refers to the corrugated leaf as seen with the naked eye on both young and mature leaves'.,[epublished],NA,11 Apr 1980,"Mun. Caetité, 1,5 km ao sul de Brejinho das Ametistas, 900 m",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hygrophila_angusta,Huber,Huber,,spec.,/n/125348-2,Acanthaceae,Hygrophila,angusta,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bull. Herb. Boissier,1901,NA,"ser. 2, 1: 324",573-2,citation,"Bull. Herb. Boissier ser. 2, 1: 324. 1901 ",FALSE,TRUE,1.3,125348-2,urn:lsid:ipni.org:names:125348-2,wfo-0000726757,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacobinia_breviloba,Lindau,Lindau,,spec.,/n/130991-2,Acanthaceae,Jacobinia,breviloba,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Herb. Boissier,1895,NA,3: 486,573-2,citation,Bull. Herb. Boissier 3: 486. 1895 ,FALSE,TRUE,1.1.2.1,130991-2,urn:lsid:ipni.org:names:130991-2,wfo-0001043927,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1895&rft.spage=486&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/49730&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacobinia_lancifolia,Glaz.,Glaz.,,spec.,/n/131006-2,Acanthaceae,Jacobinia,lancifolia,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1911,NA,58(Mém. 3f): 537,578-2,citation,Bull. Soc. Bot. France 58(Mém. 3f): 537. 1911 ,FALSE,TRUE,1.3,131006-2,urn:lsid:ipni.org:names:131006-2,wfo-0001043940,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacobinia_nervosa,Lindau,Lindau,,spec.,/n/131016-2,Acanthaceae,Jacobinia,nervosa,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1911,NA,58(Mém. 3f): 537,578-2,citation,Bull. Soc. Bot. France 58(Mém. 3f): 537. 1911 ,FALSE,TRUE,1.1.2.1.1.1,131016-2,urn:lsid:ipni.org:names:131016-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacobinia_sarmentosa,Glaz.,Glaz.,,spec.,/n/131029-2,Acanthaceae,Jacobinia,sarmentosa,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1911,NA,58(Mém. 3f): 538,578-2,citation,Bull. Soc. Bot. France 58(Mém. 3f): 538. 1911 ,FALSE,TRUE,1.3,131029-2,urn:lsid:ipni.org:names:131029-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
