name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,collectionDate1,distribution,hybrid,hybridGenus,inPowo,locality,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,referenceRemarks,remarks,suppressed,topCopy,typeCoordinates,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,pageAsText,bhlLink,infraspecies,typeRemarks,speciesAuthor,nameStatus,nameStatusType,bibliographicReference,bibliographicTypeInfo,typeChosenBy,typeName,originalRemarks,originalTaxonDistribution,typeNote
Paepalanthus_milho-verdensis,Silveira,Silveira,,spec.,/n/180458-2,Eriocaulaceae,Paepalanthus,milho-verdensis,tax. nov.,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Floral. Mont.,1928,NA,"131, tab. 82",5697-2,citation,"Floral. Mont. 131, tab. 82. 1928 ",NA,NA,FALSE,TRUE,,NA,1.3,180458-2,urn:lsid:ipni.org:names:180458-2,wfo-0000486245,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paepalanthus_niveo-niger,Silveira,Silveira,,spec.,/n/281944-2,Eriocaulaceae,Paepalanthus,niveo-niger,tax. nov.,692,A.A.da Silveira,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Floral. Mont.,1928,NA,"246, tab",5697-2,citation,"Floral. Mont. 246, tab. 1928 ",NA,NA,FALSE,TRUE,,holotype R,1.5,281944-2,urn:lsid:ipni.org:names:281944-2,wfo-0000486496,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paepalanthus_oreodoxus,Andrino & Gonella,Andrino & Gonella,,spec.,/n/77217702-1,Eriocaulaceae,Paepalanthus,oreodoxus,tax. nov.,1245,"P.M.Gonella, R.S.Ribeiro, G.A.da Silva &amp; A.P.Araújo",8 Jun 2020,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,"Conselheiro Pena, Serra do Padre Ângelo, Pico do Padre Ângelo, platô do topo do pico, 1480 m",,Pl. Ecol. Evol.,2021,23 Mar 2021,154(1): 139,20011731-1,citation,Pl. Ecol. Evol. 154(1): 139. 2021 [23 Mar 2021] ,NA,doi:10.5091/plecevo.2021.1770,FALSE,TRUE,,holotype SPF;isotype BHCB;isotype DIAM;isotype MBML;isotype RB,1.2,77217702-1,urn:lsid:ipni.org:names:77217702-1,wfo-1000028271,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paepalanthus_paganuccii,Giul. & M.J.G.Andrade,Giul. & M.J.G.Andrade,,spec.,/n/77304607-1,Eriocaulaceae,Paepalanthus,paganuccii,tax. nov.,10917,L.P. Queiroz et al.,7 Sep 2005,"Bahia (Brazil Northeast, Brazil, Southern America);Maranhão (Brazil Northeast, Brazil, Southern America);Tocantins (Brazil North, Brazil, Southern America);",FALSE,FALSE,TRUE,"Bahia: Município de Pilão Arcado, Barra do Iuiu, 436 m",,Phytotaxa,2022,1 Sep 2022,560(2): 140,20011462-1,citation,Phytotaxa 560(2): 140. 2022 [1 Sep 2022] [epublished],[epublished],"doi:10.11646/phytotaxa.560.2.1 Etymology: name honours Prof. Dr. Luciano Paganucci de Queiroz from the Universidade Estadual de Feira de Santana, Bahia, Brazil, for collecting the holotype and specially for his relevant contributions to the botanical studies of the Brazilian Semiarid region.",FALSE,TRUE,,holotype HUEFS 101058,1.1,77304607-1,urn:lsid:ipni.org:names:77304607-1,wfo-1000040630,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paepalanthus_rufo-albus,Silveira,Silveira,,spec.,/n/180600-2,Eriocaulaceae,Paepalanthus,rufo-albus,tax. nov.,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Floral. Mont.,1928,NA,"94, tab. 60, 61",5697-2,citation,"Floral. Mont. 94, tab. 60, 61. 1928 ",NA,NA,FALSE,TRUE,,NA,1.3,180600-2,urn:lsid:ipni.org:names:180600-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paepalanthus_sinuosus,Echtern. & Trovó,Echtern. & Trovó,,spec.,/n/77220121-1,Eriocaulaceae,Paepalanthus,sinuosus,tax. nov.,1760,A.A.Arantes et al.,17 Feb 2006,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,"Capitólio, região da represa de Furnas, cachoeira abaixo da trilha da Pedreira Souza",,Syst. Bot.,2021,29 Mar 2021,46(1): 29,1295-2,citation,Syst. Bot. 46(1): 29. 2021 [29 Mar 2021] [epublished],[epublished],doi:10.1600/036364421X16128061189521 The specific epithet refers to the slender and sinuous stem.,FALSE,TRUE,,holotype HUFU;isotype OUPR,1.1,77220121-1,urn:lsid:ipni.org:names:77220121-1,wfo-1000028272,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paepalanthus_wurdackii,Moldenke,Moldenke,,spec.,/n/180731-2,Eriocaulaceae,Paepalanthus,wurdackii,tax. nov.,NA,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Phytologia,1963,NA,9: 187,1034-2,citation,Phytologia 9: 187. 1963 ,NA,NA,FALSE,TRUE,,NA,1.3,180731-2,urn:lsid:ipni.org:names:180731-2,wfo-0000488576,FALSE,TRUE,TRUE,FALSE,FALSE,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1963&rft.spage=187&rft.volume=9&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syngonanthus_acephalus,Hensold,Hensold,,spec.,/n/285766-2,Eriocaulaceae,Syngonanthus,acephalus,tax. nov.,6789," K.Mägdefrau,V.Vareschi",NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Ann. Missouri Bot. Gard.,1991,NA,"78: 434, figs. 3H, I, 6",1-2,citation,"Ann. Missouri Bot. Gard. 78: 434, figs. 3H, I, 6. 1991 ",NA,NA,FALSE,TRUE,,holotype VEN;isotype MO,1.3,285766-2,urn:lsid:ipni.org:names:285766-2,wfo-0000563339,FALSE,TRUE,TRUE,FALSE,FALSE,28001816,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/28001816&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syngonanthus_culcitosus,Echtern.,Echtern.,,spec.,/n/77220123-1,Eriocaulaceae,Syngonanthus,culcitosus,tax. nov.,2612,"L.Echternacht, M.Trovó &amp; M.S.Freitas",1 Feb 2015,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,"Capitólio, região da represa de Furnas, Chapadão da Babilônia, Serra do Turvo, próximo as pedreiras, nos flancos do Rio da Capivara, em cachoeira que corta a estrada, no caminho para a Cachoeira da Pedreira, 1019 m",,Syst. Bot.,2021,29 Mar 2021,46(1): 31,1295-2,citation,Syst. Bot. 46(1): 31. 2021 [29 Mar 2021] [epublished],[epublished],"doi:10.1600/036364421X16128061189521 The specific epithet refers to the branched stems and colonies of individuals, forming fluffy pillows or mats.",FALSE,TRUE,,holotype HUFU;isotype B;isotype OUPR;isotype SPF,1.1,77220123-1,urn:lsid:ipni.org:names:77220123-1,wfo-1000029185,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syngonanthus_nigro-albus,Silveira,Silveira,,spec.,/n/248317-2,Eriocaulaceae,Syngonanthus,nigro-albus,tax. nov.,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Floral. Mont.,1928,NA,"350, tab. 222",5697-2,citation,"Floral. Mont. 350, tab. 222. 1928 ",NA,NA,FALSE,TRUE,,NA,1.2,248317-2,urn:lsid:ipni.org:names:248317-2,wfo-0000566059,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syngonanthus_polyaxis,Echtern. & M.T.C.Watan.,Echtern. & M.T.C.Watan.,,spec.,/n/77219862-1,Eriocaulaceae,Syngonanthus,polyaxis,tax. nov.,2405,"L.Echternacht, T.V.Bastos, M.S.Freitas &amp; A.P.L.Werlang",19 Apr 2014,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,"Rio Pardo de Minas, Parque Estadual da Serra Nova. Alto da serra, passando pela estrada até Gerais Santana, 983 m",,Phytotaxa,2021,31 May 2021,505(2): 194,20011462-1,citation,Phytotaxa 505(2): 194. 2021 [31 May 2021] [epublished],[epublished],"doi:10.11646/phytotaxa.505.2.5 The epithet polyaxis comes from the Greek, meaning 'many axes', in reference to the different parts composing the synflorescence, a unique characteristic within the genus.",FALSE,TRUE,,holotype OUPR;isotype B;isotype HUFU;isotype NY;isotype P;isotype RB;isotype SPF,1.1,77219862-1,urn:lsid:ipni.org:names:77219862-1,wfo-1000029186,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syngonanthus_retrorso-ciliatus,Silveira,Silveira,,spec.,/n/248364-2,Eriocaulaceae,Syngonanthus,retrorso-ciliatus,tax. nov.,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Floral. Mont.,1928,NA,"347, tab. 220",5697-2,citation,"Floral. Mont. 347, tab. 220. 1928 ",NA,NA,FALSE,TRUE,,NA,1.2,248364-2,urn:lsid:ipni.org:names:248364-2,wfo-0000566548,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syngonanthus_yapacanensis,Moldenke,Moldenke,,spec.,/n/285787-2,Eriocaulaceae,Syngonanthus,yapacanensis,tax. nov.,30782,B.Maguire et al.,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,FALSE,NA,,Mem. New York Bot. Gard.,1953,NA,8: 102,719-2,citation,Mem. New York Bot. Gard. 8: 102. 1953 ,NA,NA,FALSE,TRUE,,holotype NY;isotype F;isotype MO,1.2,285787-2,urn:lsid:ipni.org:names:285787-2,wfo-0000567386,FALSE,TRUE,TRUE,FALSE,FALSE,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1953&rft.spage=102&rft.volume=8&rft_id=http://www.biodiversitylibrary.org/bibliography/50489&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
