name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,publicationYearNote,bhlLink,infraspecies,collectionNumber,collectorTeam,collectionDate1,locality,referenceRemarks,remarks,typeLocations,speciesAuthor
Rapatea_wettsteinii,Suess.,Suess.,,spec.,/n/217821-2,Rapateaceae,Rapatea,wettsteinii,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Repert. Spec. Nov. Regni Veg.,1932,30: 275,788-2,citation,Repert. Spec. Nov. Regni Veg. 30: 275. 1932 ,FALSE,TRUE,1.3,217821-2,urn:lsid:ipni.org:names:217821-2,wfo-0000509881,FALSE,TRUE,TRUE,FALSE,FALSE,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1932&rft.spage=275&rft.volume=30&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saxo-fridericia_inermis,Ducke,Ducke,,spec.,/n/228701-2,Rapateaceae,Saxo-fridericia,inermis,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Arq. Inst. Biol. Veg.,1938,4(1): 1,851-2,citation,Arq. Inst. Biol. Veg. 4(1): 1. 1938 [Jun 1938] ,FALSE,TRUE,1.5,228701-2,urn:lsid:ipni.org:names:228701-2,wfo-0000525065,FALSE,TRUE,TRUE,FALSE,FALSE,Jun 1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
