name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,collectionDate1,distribution,hybrid,hybridGenus,inPowo,locality,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,referenceRemarks,remarks,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,infraspecies,speciesAuthor,typeNote
Anomospermum_ulei,Diels,Diels,,spec.,/n/14481-2,Menispermaceae,Anomospermum,ulei,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bot. Jahrb. Syst.,1907,2 Aug 1907,40(2): 142,553-2,citation,"Bot. Jahrb. Syst. 40(2): 142. 1907 [2 Aug 1907] Name only; Verhandl. Bot. Ver. Brandenburg, 50: 73. 1908","Name only; Verhandl. Bot. Ver. Brandenburg, 50: 73. 1908",NA,FALSE,TRUE,NA,1.1.2.1.1.1,14481-2,urn:lsid:ipni.org:names:14481-2,NA,TRUE,FALSE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.issue=2&rft.spage=142&rft.volume=40&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA
Cionomene_javariensis,Krukoff,Krukoff,,spec.,/n/58876-2,Menispermaceae,Cionomene,javariensis,tax. nov.,24137,"G.T.Prance, T.D.Pennington, J.M.Ramos, R.J.Hill",NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Phytologia,1978,NA,"41: 241, fig",1034-2,citation,"Phytologia 41: 241, fig. 1978 ",NA,NA,FALSE,TRUE,holotype INPA,1.3,58876-2,urn:lsid:ipni.org:names:58876-2,wfo-0000605561,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1978&rft.spage=241&rft.volume=41&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA
Cissampelos_pilgeri,Diels,Diels,,spec.,/n/59233-2,Menispermaceae,Cissampelos,pilgeri,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Pflanzenr. (Engler),1910,NA,"4, Fam. 94: 306",3295-2,citation,"Pflanzenr. (Engler) 4, Fam. 94: 306. 1910 ",NA,NA,FALSE,TRUE,NA,1.1.2.1.1.1,59233-2,urn:lsid:ipni.org:names:59233-2,wfo-0000605898,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA
Cissampelos_vitis,Vell.,Vell.,,spec.,/n/321199-2,Menispermaceae,Cissampelos,vitis,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Fl. Flumin. Icon.,1831,1827 publ. 29 Oct 1831,10: t. 137,12892-2,citation,Fl. Flumin. Icon. 10: t. 137. 1831 [1827 publ. 29 Oct 1831] ,NA,[Gandhi 8 Jun 2001],FALSE,TRUE,NA,1.4,321199-2,urn:lsid:ipni.org:names:321199-2,wfo-0000605941,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,T. 137
Cocculus_platyphyllus,A.St.-Hil.,A.St.-Hil.,,spec.,/n/315598-2,Menispermaceae,Cocculus,platyphyllus,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Fl. Bras. Merid. (A. St.-Hil.).,1825,NA,1: 59,8262-2,citation,Fl. Bras. Merid. (A. St.-Hil.). 1: 59. 1825 ,NA,[Gandhi 12 May 1998],FALSE,TRUE,NA,1.3,315598-2,urn:lsid:ipni.org:names:315598-2,wfo-0000613612,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1825&rft.spage=59&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/45474&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA
Detandra_pubistaminea,K.Schum.,K.Schum.,,spec.,/n/78751-2,Menispermaceae,Detandra,pubistaminea,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bot. Jahrb. Syst.,1893,24 Feb 1893,"15(5, Beibl. 38): 4; 17: 503, f. 1",553-2,citation,"Bot. Jahrb. Syst. 15(5, Beibl. 38): 4; 17: 503, f. 1. 1893 [24 Feb 1893] ",NA,NA,FALSE,TRUE,NA,1.4,78751-2,urn:lsid:ipni.org:names:78751-2,wfo-0000642471,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA
Disciphania_clausa,Diels,Diels,,spec.,/n/82135-2,Menispermaceae,Disciphania,clausa,tax. nov.,NA,NA,NA,"Acre &amp; Amazonas, Brazil (Southern America)",FALSE,FALSE,TRUE,NA,,Pflanzenr. (Engler),1910,NA,"IV, Fam. 94: 176",3295-2,citation,"Pflanzenr. (Engler) IV, Fam. 94: 176. 1910 ",NA,NA,FALSE,TRUE,NA,1.1.2.1.1.1,82135-2,urn:lsid:ipni.org:names:82135-2,wfo-0000651868,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1910&rft.spage=176&rft.volume=94&rft_id=http://www.biodiversitylibrary.org/bibliography/250&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA
Disciphania_cryptobotrya,Barneby,Barneby,,spec.,/n/82139-2,Menispermaceae,Disciphania,cryptobotrya,tax. nov.,NA,NA,NA,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Mem. New York Bot. Gard.,1970,NA,20(2): 152,719-2,citation,Mem. New York Bot. Gard. 20(2): 152. 1970 ,NA,NA,FALSE,TRUE,NA,1.3,82139-2,urn:lsid:ipni.org:names:82139-2,wfo-0000651873,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1970&rft.issue=2&rft.spage=152&rft.volume=20&rft_id=http://www.biodiversitylibrary.org/bibliography/50489&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA
Disciphania_glaziovii,Taub. ex Diels,Taub. ex Diels,,spec.,/n/82145-2,Menispermaceae,Disciphania,glaziovii,tax. nov.,NA,NA,NA,"Mato Grosso (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Pflanzenr. (Engler),1910,NA,"IV, Fam. 94: 176",3295-2,citation,"Pflanzenr. (Engler) IV, Fam. 94: 176. 1910 ",NA,NA,FALSE,TRUE,NA,1.1.2.1.1.2,82145-2,urn:lsid:ipni.org:names:82145-2,wfo-0001083826,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1910&rft.spage=176&rft.volume=94&rft_id=http://www.biodiversitylibrary.org/bibliography/250&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA
Disciphania_micrantha,Diels,Diels,,spec.,/n/82153-2,Menispermaceae,Disciphania,micrantha,tax. nov.,NA,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Verh. Bot. Vereins Prov. Brandenburg,1908,NA,50: 73,823-2,citation,Verh. Bot. Vereins Prov. Brandenburg 50: 73. 1908 ,NA,NA,FALSE,TRUE,NA,1.1.2.1.1.1,82153-2,urn:lsid:ipni.org:names:82153-2,wfo-0000651889,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=73&rft.volume=50&rft_id=http://www.biodiversitylibrary.org/bibliography/49731&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA
Elissarrhena_longipes,Miers,Miers,,spec.,/n/580797-1,Menispermaceae,Elissarrhena,longipes,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,"& Collection: ' In Brasilia septentrionali: v. s. in herb, variis Rio Negro (Spruce, 1538)' (vide the 1867 publ.)",,Ann. Mag. Nat. Hist.,1864,Feb 1864,"ser. 3, 13: 124, adnot.",520-2,citation,"Ann. Mag. Nat. Hist. ser. 3, 13: 124, adnot. 1864 [Feb 1864] ; later publ.: 20: 169. Sep 1867",later publ.: 20: 169. Sep 1867,"On p. 124 and the footnote, the genus name Elissarrhena and its single species name E. longipes were together validated in a diagnosis given in the key",FALSE,TRUE,NA,1.3.1.5,580797-1,urn:lsid:ipni.org:names:580797-1,wfo-0000666386,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA
Hyperbaena_graciliflora,Miers,Miers,,spec.,/n/60470105-2,Menispermaceae,Hyperbaena,graciliflora,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,north Brazil,,Contr. Bot.,1871,Nov-Dec 1871,3: 295,17449-2,citation,Contr. Bot. 3: 295. 1871 [Nov-Dec 1871] ,NA,NA,FALSE,TRUE,NA,1.1,60470105-2,urn:lsid:ipni.org:names:60470105-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1871&rft.spage=295&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/129755&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA
Hyperbaena_moricandii,Miers,Miers,,spec.,/n/60470106-2,Menispermaceae,Hyperbaena,moricandii,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Contr. Bot.,1871,Nov-Dec 1871,3: 296,17449-2,citation,Contr. Bot. 3: 296. 1871 [Nov-Dec 1871] ,NA,NA,FALSE,TRUE,NA,1.1,60470106-2,urn:lsid:ipni.org:names:60470106-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1871&rft.spage=296&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/129755&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA
Hyperbaena_solimoesana,Moldenke,Moldenke,,spec.,/n/126100-2,Menispermaceae,Hyperbaena,solimoesana,tax. nov.,NA,NA,NA,Brazil (Amazonas); Brit. Guiana,FALSE,FALSE,TRUE,NA,,Phytologia,1938,NA,1: 277,1034-2,citation,Phytologia 1: 277. 1938 ,NA,NA,FALSE,TRUE,NA,1.3,126100-2,urn:lsid:ipni.org:names:126100-2,wfo-0001232098,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1938&rft.spage=277&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA
Hyperbaena_tweediei,Miers ex Benth.,Miers ex Benth.,,spec.,/n/60470102-2,Menispermaceae,Hyperbaena,tweediei,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,Woods near Portoalegre and on the Rio Grande do Sul,,"J. Proc. Linn. Soc., Bot.",1861,NA,5(Suppl. 2): 50,3151-2,citation,"J. Proc. Linn. Soc., Bot. 5(Suppl. 2): 50. 1861 ",NA,NA,FALSE,TRUE,NA,1.1,60470102-2,urn:lsid:ipni.org:names:60470102-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA
Odontocarya_miersiana,Barneby,Barneby,,spec.,/n/172180-2,Menispermaceae,Odontocarya,miersiana,tax. nov.,NA,NA,NA,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Mem. New York Bot. Gard.,1970,NA,20(2): 95,719-2,citation,Mem. New York Bot. Gard. 20(2): 95. 1970 ,NA,NA,FALSE,TRUE,NA,1.3,172180-2,urn:lsid:ipni.org:names:172180-2,wfo-0001266177,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1970&rft.issue=2&rft.spage=95&rft.volume=20&rft_id=http://www.biodiversitylibrary.org/bibliography/50489&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA
Somphoxylon_magnifolium,A.C.Sm.,A.C.Sm.,,spec.,/n/240659-2,Menispermaceae,Somphoxylon,magnifolium,tax. nov.,NA,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,J. Arnold Arbor.,1939,NA,20: 292,981-2,citation,J. Arnold Arbor. 20: 292. 1939 ,NA,NA,FALSE,TRUE,NA,1.4,240659-2,urn:lsid:ipni.org:names:240659-2,wfo-0001083964,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1939&rft.spage=292&rft.volume=20&rft_id=http://www.biodiversitylibrary.org/bibliography/480&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA
Taubertia_peltata,K.Schum.,K.Schum.,,spec.,/n/249669-2,Menispermaceae,Taubertia,peltata,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bot. Jahrb. Syst.,1893,24 Feb 1893,"15(5, Beibl. 38): 3; 17: 503, f. 1",553-2,citation,"Bot. Jahrb. Syst. 15(5, Beibl. 38): 3; 17: 503, f. 1. 1893 [24 Feb 1893] ",NA,NA,FALSE,TRUE,NA,1.4,249669-2,urn:lsid:ipni.org:names:249669-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA
