name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,collectionDate1,distribution,hybrid,hybridGenus,inPowo,locality,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,referenceRemarks,remarks,suppressed,topCopy,typeCoordinates,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,infraspecies,pageAsText,speciesAuthor,bhlLink,typeNote,originalTaxonDistribution,originalRemarks,typeRemarks
Cardiospermum_giganteum,Barb.Rodr.,Barb.Rodr.,,spec.,/n/45466-2,Sapindaceae,Cardiospermum,giganteum,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Pl. Jard. Rio de Janeiro,1893,NA,"3: 9, pl. 2",3655-2,citation,"Pl. Jard. Rio de Janeiro 3: 9, pl. 2. 1893 ",NA,NA,FALSE,TRUE,,NA,1.3,45466-2,urn:lsid:ipni.org:names:45466-2,wfo-0000587872,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
Cardiospermum_terete,Larrañaga,Larrañaga,,spec.,/n/45481-2,Sapindaceae,Cardiospermum,terete,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Escritos Damaso Antonio Larranaga,1922,NA,1: 395,1322-2,citation,Escritos Damaso Antonio Larranaga 1: 395. 1922 Pub. Inst. Hist. Geog. Uruguay,Pub. Inst. Hist. Geog. Uruguay,NA,FALSE,TRUE,,NA,1.1.1.2,45481-2,urn:lsid:ipni.org:names:45481-2,wfo-0000587917,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
Casimira_cardiophylla,Nied.,Nied.,,spec.,/n/251849-2,Sapindaceae,Casimira,cardiophylla,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg,1926,NA,8: 60,8771-2,citation,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg 8: 60. 1926 ,NA,NA,FALSE,TRUE,,NA,1.3,251849-2,urn:lsid:ipni.org:names:251849-2,wfo-0001351391,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
Casimira_cuneifolia,Kralik,Kralik,,spec.,/n/251865-2,Sapindaceae,Casimira,cuneifolia,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl.",1908,NA,79: 278,610-2,citation,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl. 79: 278. 1908 ",NA,NA,FALSE,TRUE,,NA,1.3,251865-2,urn:lsid:ipni.org:names:251865-2,wfo-0001351394,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=278&rft.volume=79&rft_id=http://www.biodiversitylibrary.org/bibliography/6733&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA
Casimira_hetero-alata,Kralik,Kralik,,spec.,/n/251888-2,Sapindaceae,Casimira,hetero-alata,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl.",1908,NA,79: 277,610-2,citation,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl. 79: 277. 1908 ",NA,NA,FALSE,TRUE,,NA,1.3,251888-2,urn:lsid:ipni.org:names:251888-2,wfo-0001351397,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=277&rft.volume=79&rft_id=http://www.biodiversitylibrary.org/bibliography/6733&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA
Casimira_jussieuana,Nied.,Nied.,,spec.,/n/251898-2,Sapindaceae,Casimira,jussieuana,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Pflanzenr. (Engler),1928,NA,"[Heft 91] 4, Fam. 141, pt. 1: 169",3295-2,citation,"Pflanzenr. (Engler) [Heft 91] 4, Fam. 141, pt. 1: 169. 1928 ",NA,NA,FALSE,TRUE,,NA,1.3,251898-2,urn:lsid:ipni.org:names:251898-2,wfo-0001351398,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
Cupania_undulata,Linden ex Guillaumin,Linden ex Guillaumin,,spec.,/n/72273-2,Sapindaceae,Cupania,undulata,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bull. Mus. Hist. Nat. (Paris),1926,NA,31: 478. 1925; 32: 411,576-2,citation,Bull. Mus. Hist. Nat. (Paris) 31: 478. 1925; 32: 411. 1926 ,NA,NA,FALSE,TRUE,,NA,1.3,72273-2,urn:lsid:ipni.org:names:72273-2,wfo-0000629650,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1926&rft.spage=478&rft.volume=31&rft_id=http://www.biodiversitylibrary.org/bibliography/68686&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA
Melicocca_geniculata,Spreng.,Spreng.,,spec.,/n/783673-1,Sapindaceae,Melicocca,geniculata,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,"Syst. Veg., ed. 16 [Sprengel]",1825,Jan-May 1825,2: 220,14620-2,citation,"Syst. Veg., ed. 16 [Sprengel] 2: 220. 1825 [Jan-May 1825] ",NA,NA,FALSE,TRUE,,NA,1.1.2.2.1.1,783673-1,urn:lsid:ipni.org:names:783673-1,wfo-0000453183,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1825&rft.spage=220&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/822&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,Bras,NA
Schmidelia_insulana,Ridl.,Ridl.,,spec.,/n/229721-2,Sapindaceae,Schmidelia,insulana,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,"J. Linn. Soc., Bot.",1890,NA,27: 25,682-2,citation,"J. Linn. Soc., Bot. 27: 25. 1890 ",NA,NA,FALSE,TRUE,,NA,1.4,229721-2,urn:lsid:ipni.org:names:229721-2,wfo-0000493262,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1890&rft.spage=25&rft.volume=27&rft_id=http://www.biodiversitylibrary.org/bibliography/350&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA
Serjania_divaricaticocca,Somner & Acev.-Rodr.,Somner & Acev.-Rodr.,,spec.,/n/322767-2,Sapindaceae,Serjania,divaricaticocca,tax. nov.,593,"G.V.Somner, H.Q.Boudet Fernandes, P.Acevedo-Rodriguez",NA,"Mun. Santa Teresa, Valssugana Velha, Estaçao Biológica de Santa Lucia, west slope of Rio Tingui, gorge below waterfall by Alto do Itapinhoa, Espirito Santo (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Brittonia,2001,28 Feb 2002,53(4): 481 (478; fig. 2),561-2,citation,Brittonia 53(4): 481 (478; fig. 2). 2001 [28 Feb 2002] ,NA,as S. divaricocca,FALSE,TRUE,,holotype RBR;isotype CTES;isotype MBML;isotype RB;isotype NY;isotype US,1.6,322767-2,urn:lsid:ipni.org:names:322767-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
