name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,pageAsText,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,collectionNumber,collectorTeam,collectionDate1,locality,publicationYearNote,referenceRemarks,remarks,typeCoordinates,typeLocations,infraspecies,typeNote,basionymAuthorStr,speciesAuthor,originalTaxonDistribution
Barbacenia_amphirupia,Mello-Silva & Andr.Cabral,Mello-Silva & Andr.Cabral,,spec.,/n/77312132-1,Velloziaceae,Barbacenia,amphirupia,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,FALSE,NA,,Ann. Missouri Bot. Gard.,2022,107(1): 35,1-2,citation,Ann. Missouri Bot. Gard. 107(1): 35. 2022 [25 Mar 2022] [epublished],FALSE,TRUE,1.1,77312132-1,urn:lsid:ipni.org:names:77312132-1,wfo-1000043443,TRUE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=2022&rft.issue=1&rft.spage=35&rft.volume=107&rft_id=http://www.biodiversitylibrary.org/bibliography/702&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,330,L.Daneu,23 May 2010,"Almadina, Serra do Corcovado, 9.8 km a SW de Coaraci na estrada para Almadina, daí N até a Fazenda São José",25 Mar 2022,[epublished],doi:10.3417/2022685 Etymology: 'The epithet amphirupia indicates the occurrence of the species both over granite/gneiss and sandstone'.,,holotype SPF;isotype CEPEC;isotype RB,NA,NA,NA,NA,NA
Barbacenia_burle-marxii,L.B.Sm. & Ayensu,L.B.Sm. & Ayensu,,spec.,/n/29349-2,Velloziaceae,Barbacenia,burle-marxii,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Smithsonian Contr. Bot.,1976,"no. 30: 15 (-16), pl. 7, 31 a, b",1335-2,citation,"Smithsonian Contr. Bot. no. 30: 15 (-16), pl. 7, 31 a, b. 1976 ",FALSE,TRUE,1.3,29349-2,urn:lsid:ipni.org:names:29349-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,16014," E.S.Ayensu,Lyman B.Smith",NA,NA,NA,NA,NA,,holotype US,NA,NA,NA,NA,NA
Barbacenia_maritima,Mello-Silva & Andr.Cabral,Mello-Silva & Andr.Cabral,,spec.,/n/77312133-1,Velloziaceae,Barbacenia,maritima,tax. nov.,"São Paulo (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,FALSE,NA,,Ann. Missouri Bot. Gard.,2022,107(1): 45,1-2,citation,Ann. Missouri Bot. Gard. 107(1): 45. 2022 [25 Mar 2022] [epublished],FALSE,TRUE,1.1,77312133-1,urn:lsid:ipni.org:names:77312133-1,wfo-1000043444,TRUE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=2022&rft.issue=1&rft.spage=45&rft.volume=107&rft_id=http://www.biodiversitylibrary.org/bibliography/702&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,2724,I.Cordeiro,13 Aug 2001,"Peruíbe, Jureia, Estação Ecológica Jureia-Itatins, núcleo Arpoador, Praia do Arpoador, 10 m",25 Mar 2022,[epublished],doi:10.3417/2022685,,holotype SPF [2 sheets];isotype SP,NA,NA,NA,NA,NA
Pleurostima_fanniae,N.L.Menezes,N.L.Menezes,,spec.,/n/896673-1,Velloziaceae,Pleurostima,fanniae,tax. nov.,Brazil.,FALSE,FALSE,TRUE,NA,,Bol. Bot. Univ. São Paulo,1980,"8: 65 (1980), as 'fanniei'",1869-2,citation,"Bol. Bot. Univ. São Paulo 8: 65 (1980), as 'fanniei'. ",FALSE,TRUE,1.1.2.1.1.3,896673-1,urn:lsid:ipni.org:names:896673-1,wfo-0000725237,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,1980,NA,NA,,NA,NA,NA,NA,NA,Brazil.
Vellozia_elegans,Hook.f.,Hook.f.,,spec.,/n/286787-2,Velloziaceae,Vellozia,elegans,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bot. Mag.,1869,95: t. 5803,864-2,citation,Bot. Mag. 95: t. 5803. 1869 ,FALSE,TRUE,1.3,286787-2,urn:lsid:ipni.org:names:286787-2,wfo-0000751488,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
