name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,pageAsText,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,collectionNumber,collectorTeam,collectionDate1,locality,referenceRemarks,remarks,typeCoordinates,typeLocations,infraspecies,speciesAuthor,originalTaxonDistribution,typeRemarks,nameStatus,nameStatusType,originalRemarks,bibliographicReference,typeChosenBy
Adenocalymma_apparicioanum,J.C.Gomes,J.C.Gomes,,spec.,/n/4265-2,Bignoniaceae,Adenocalymma,apparicioanum,tax. nov.,"Ceará (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Arch. Jard. Bot. Rio de Janeiro,1950,NA,"9: [223], fig",848-2,citation,"Arch. Jard. Bot. Rio de Janeiro 9: [223], fig. 1950 , as 'apparicianum'",FALSE,TRUE,1.5,4265-2,urn:lsid:ipni.org:names:4265-2,wfo-0000780771,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,as 'apparicianum',NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adenocalymma_gracile,Bureau,Bureau,,spec.,/n/4293-2,Bignoniaceae,Adenocalymma,gracile,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bull. Soc. Bot. France,1911,NA,58(Mém. 3f): 523,578-2,citation,Bull. Soc. Bot. France 58(Mém. 3f): 523. 1911 ,FALSE,TRUE,1.4,4293-2,urn:lsid:ipni.org:names:4293-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adenocalymma_guillemini,DC.,DC.,,spec.,/n/4297-2,Bignoniaceae,Adenocalymma,guillemini,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,162569,,Prodr. [A. P. de Candolle],1845,1 Jan 1845,9: 202,1051-2,citation,Prodr. [A. P. de Candolle] 9: 202. 1845 [1 Jan 1845] ,FALSE,TRUE,1.5,4297-2,urn:lsid:ipni.org:names:4297-2,wfo-0000780817,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/162569&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adenocalymma_microcarpa,J.C.Gomes,J.C.Gomes,,spec.,/n/4319-2,Bignoniaceae,Adenocalymma,microcarpa,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Arch. Jard. Bot. Rio de Janeiro,1950,NA,"9: 225, fig",848-2,citation,"Arch. Jard. Bot. Rio de Janeiro 9: 225, fig. 1950 ",FALSE,TRUE,1.2,4319-2,urn:lsid:ipni.org:names:4319-2,wfo-0000780851,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adenocalymma_ubatubensis,Assis & Semir,Assis & Semir,,spec.,/n/317992-2,Bignoniaceae,Adenocalymma,ubatubensis,tax. nov.,"Ubatuba, Picinguaba, Sao Paulo (Brazil, Southern America)",FALSE,FALSE,TRUE,640867,,Novon,1999,NA,"9(2): 136 (-138, fig.)",14256-2,citation,"Novon 9(2): 136 (-138, fig.). 1999 ",FALSE,TRUE,1.6,317992-2,urn:lsid:ipni.org:names:317992-2,wfo-0000780898,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/640867&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,74,Rosana Romero et al.,NA,NA,NA,[Gandhi 4 Jun 1999],,holotype HRCB;isotype MO;isotype SP;isotype UEC,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amphilophium_effusus,Huber,Huber,,spec.,/n/11596-2,Bignoniaceae,Amphilophium,effusus,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bol. Mus. Goeldi Hist. Nat. Ethnogr.,1909,NA,5: 399,4221-2,citation,Bol. Mus. Goeldi Hist. Nat. Ethnogr. 5: 399. 1909 ,FALSE,TRUE,1.3,11596-2,urn:lsid:ipni.org:names:11596-2,wfo-0001349720,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anemopaegma_leucanthum,J.C.Gomes,J.C.Gomes,,spec.,/n/13581-2,Bignoniaceae,Anemopaegma,leucanthum,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Rodriguésia,1964,NA,"23-24: [69], fig. 1",1167-2,citation,"Rodriguésia 23-24: [69], fig. 1. 1964 ",FALSE,TRUE,1.2,13581-2,urn:lsid:ipni.org:names:13581-2,wfo-0000780603,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anemopaegma_platypus,K.Schum.,K.Schum.,,spec.,/n/13607-2,Bignoniaceae,Anemopaegma,platypus,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Nat. Pflanzenfam. [Engler & Prantl],1894,NA,"4, Abt. 3b: 215",14495-2,citation,"Nat. Pflanzenfam. [Engler & Prantl] 4, Abt. 3b: 215. 1894 ",FALSE,TRUE,1.5,13607-2,urn:lsid:ipni.org:names:13607-2,wfo-0001350926,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anemopaegma_roseo-luteum,Kraenzl.,Kraenzl.,,spec.,/n/13614-2,Bignoniaceae,Anemopaegma,roseo-luteum,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Notizbl. Königl. Bot. Gart. Berlin,1915,NA,6: 373,3558-2,citation,Notizbl. Königl. Bot. Gart. Berlin 6: 373. 1915 ,FALSE,TRUE,1.2,13614-2,urn:lsid:ipni.org:names:13614-2,wfo-0000781012,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1915&rft.spage=373&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anemopaegma_sylvestre,S.Moore,S.Moore,,spec.,/n/13624-2,Bignoniaceae,Anemopaegma,sylvestre,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,"Trans. Linn. Soc. London, Bot.",1895,NA,"ser. 2, 4: 421",1084-2,citation,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 421. 1895 ",FALSE,TRUE,1.2,13624-2,urn:lsid:ipni.org:names:13624-2,wfo-0000781022,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
