name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,pageAsText,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,collectionNumber,collectorTeam,collectionDate1,locality,referenceRemarks,remarks,typeCoordinates,typeLocations,infraspecies,speciesAuthor,originalTaxonDistribution,typeRemarks,nameStatus,nameStatusType,originalRemarks,bibliographicReference,typeChosenBy
Arrabidaea_mazagana,Huber,Huber,,spec.,/n/20244-2,Bignoniaceae,Arrabidaea,mazagana,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bol. Mus. Paraense Hist. Nat. Ethnogr.,1898,NA,2: 512,858-2,citation,Bol. Mus. Paraense Hist. Nat. Ethnogr. 2: 512. 1898 ,FALSE,TRUE,1.2,20244-2,urn:lsid:ipni.org:names:20244-2,wfo-0000781163,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bignonia_imperatoris-maximilianii,Wawra,Wawra,,spec.,/n/32895-2,Bignoniaceae,Bignonia,imperatoris-maximilianii,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bot. Ergebn.,1866,NA,"73, tab. 10",15821-2,citation,"Bot. Ergebn. 73, tab. 10. 1866 ",FALSE,TRUE,1.4,32895-2,urn:lsid:ipni.org:names:32895-2,wfo-0000780627,FALSE,TRUE,TRUE,FALSE,FALSE,NA,156,"H.Wawra, F.de P.Maly",NA,NA,NA,NA,,holotype W,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bignonia_platidactyla,Barb.Rodr.,Barb.Rodr.,,spec.,/n/32949-2,Bignoniaceae,Bignonia,platidactyla,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Vellosia,1891,NA,"ed. 2, 1: 51, tab. 11",3884-2,citation,"Vellosia ed. 2, 1: 51, tab. 11. 1891 as platydactyla",FALSE,TRUE,1.2,32949-2,urn:lsid:ipni.org:names:32949-2,wfo-0000781665,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,as platydactyla,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bignonia_roseoalba,Ridl.,Ridl.,,spec.,/n/32969-2,Bignoniaceae,Bignonia,roseoalba,tax. nov.,"Fernando de Noronha, Brazil (Southern America)",FALSE,FALSE,TRUE,NA,,"J. Linn. Soc., Bot.",1890,NA,27: 52,682-2,citation,"J. Linn. Soc., Bot. 27: 52. 1890 ",FALSE,TRUE,1.2.2.1,32969-2,urn:lsid:ipni.org:names:32969-2,wfo-0000780623,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1890&rft.spage=52&rft.volume=27&rft_id=http://www.biodiversitylibrary.org/bibliography/350&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clytostoma_itatiaiensis,J.C.Gomes,J.C.Gomes,,spec.,/n/61660-2,Bignoniaceae,Clytostoma,itatiaiensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Arch. Jard. Bot. Rio de Janeiro,1950,NA,"9: 226, fig",848-2,citation,"Arch. Jard. Bot. Rio de Janeiro 9: 226, fig. 1950 ",FALSE,TRUE,1.2,61660-2,urn:lsid:ipni.org:names:61660-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colea_pinnatifolia,Luetzelb.,Luetzelb.,,spec.,/n/62954-2,Bignoniaceae,Colea,pinnatifolia,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Estud. Bot. Nordéste,1923,NA,3: 119,16335-2,citation,Estud. Bot. Nordéste 3: 119. 1923 Nomen²Insp. Fed. Obras Secc. Publ. 57,FALSE,TRUE,1.2,62954-2,urn:lsid:ipni.org:names:62954-2,wfo-0000782001,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,Nomen²Insp. Fed. Obras Secc. Publ. 57,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cuspidaria_cordata,A.Mattos,A.Mattos,,spec.,/n/73037-2,Bignoniaceae,Cuspidaria,cordata,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Rodriguésia,1980,NA,32 (no. 54): 67,1167-2,citation,Rodriguésia 32 (no. 54): 67. 1980 ,FALSE,TRUE,1.2.2.1.1.1,73037-2,urn:lsid:ipni.org:names:73037-2,wfo-0000782070,FALSE,TRUE,TRUE,FALSE,FALSE,NA,1980," A.Mattos Filho,C.Rizzini",NA,NA,NA,NA,,holotype RB,NA,NA,NA,NA,NA,NA,NA,NA,NA
Danielia_splendens,Corr.Mello ex B.Verl.,Corr.Mello ex B.Verl.,,spec.,/n/109424-1,Bignoniaceae,Danielia,splendens,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Rev. Hort. [Paris].,1868,15 Apr 1868,1868: 154,1212-2,citation,Rev. Hort. [Paris]. 1868: 154. [15 Apr 1868] ,FALSE,TRUE,1.1.2.2.1.2.2.1.1.1,109424-1,urn:lsid:ipni.org:names:109424-1,wfo-0000782131,FALSE,TRUE,TRUE,TRUE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1868&rft.spage=154&rft.volume=1868&rft_id=http://www.biodiversitylibrary.org/bibliography/109772&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,BraS,NA,NA
Distictella_lohmanniae,A.Pool,A.Pool,,spec.,/n/77102481-1,Bignoniaceae,Distictella,lohmanniae,tax. nov.,"Amazonas (Brazil North, Brazil, Southern America)",FALSE,FALSE,TRUE,40331141,,Ann. Missouri Bot. Gard.,2009,Nov 2009,96(2): 304 (-305; fig. 3A-C),1-2,citation,Ann. Missouri Bot. Gard. 96(2): 304 (-305; fig. 3A-C). 2009 [Nov 2009] ,FALSE,TRUE,1.4,77102481-1,urn:lsid:ipni.org:names:77102481-1,wfo-0000912315,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/40331141&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,20,L.G.Lohmann &amp; C.F. da Silva,14 Jul 1995,"Amazonas: Reserva Florestal Ducke, Manaus-Itacoatiara, Km 26, 20 m",NA,NA,,holotype MO;isotype INPA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Distictis_rosea,Kraenzl.,Kraenzl.,,spec.,/n/82405-2,Bignoniaceae,Distictis,rosea,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,181300,,Repert. Spec. Nov. Regni Veg.,1921,NA,17: 118,788-2,citation,Repert. Spec. Nov. Regni Veg. 17: 118. 1921 ,FALSE,TRUE,1.3,82405-2,urn:lsid:ipni.org:names:82405-2,wfo-0000782238,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/181300&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hanburyophyton_xanthinum,Bureau,Bureau,,spec.,/n/117311-2,Bignoniaceae,Hanburyophyton,xanthinum,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn,1893,NA,1893: 111,1089-2,citation,Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn 1893: 111. ,FALSE,TRUE,1.2,117311-2,urn:lsid:ipni.org:names:117311-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1893&rft.spage=111&rft.volume=1893&rft_id=http://www.biodiversitylibrary.org/bibliography/7547&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacaranda_corcovadensis,Glaz.,Glaz.,,spec.,/n/130910-2,Bignoniaceae,Jacaranda,corcovadensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bull. Soc. Bot. France,1911,NA,58(Mém. 3f): 529,578-2,citation,Bull. Soc. Bot. France 58(Mém. 3f): 529. 1911 ,FALSE,TRUE,1.3,130910-2,urn:lsid:ipni.org:names:130910-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacaranda_goiasensis,Vattimo,Vattimo,,spec.,/n/130923-2,Bignoniaceae,Jacaranda,goiasensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Arch. Jard. Bot. Rio de Janeiro,1983,1982,"26: 39, fig",848-2,citation,"Arch. Jard. Bot. Rio de Janeiro 26: 39, fig. 1983 1982 ",FALSE,TRUE,1.3,130923-2,urn:lsid:ipni.org:names:130923-2,wfo-0000778861,FALSE,TRUE,TRUE,FALSE,FALSE,NA,195,Magnago,NA,NA,NA,NA,,holotype RB,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacaranda_hirsuta,Vattimo,Vattimo,,spec.,/n/130927-2,Bignoniaceae,Jacaranda,hirsuta,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Rodriguésia,1980,NA,"32 (no. 54): 15, fig",1167-2,citation,"Rodriguésia 32 (no. 54): 15, fig. 1980 ",FALSE,TRUE,1.3,130927-2,urn:lsid:ipni.org:names:130927-2,wfo-0000778857,FALSE,TRUE,TRUE,FALSE,FALSE,NA,sn,Prance et al,NA,NA,NA,NA,,holotype INPA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacaranda_roberti,S.Moore,S.Moore,,spec.,/n/130955-2,Bignoniaceae,Jacaranda,roberti,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,35439999,,J. Bot.,1907,NA,45: 405,678-2,citation,J. Bot. 45: 405. 1907 ,FALSE,TRUE,1.3,130955-2,urn:lsid:ipni.org:names:130955-2,wfo-0000780662,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/35439999&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacaranda_rondoniae,Vattimo,Vattimo,,spec.,/n/130956-2,Bignoniaceae,Jacaranda,rondoniae,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Rodriguésia,1980,NA,23 (no. 52): 11,1167-2,citation,Rodriguésia 23 (no. 52): 11. 1980 ,FALSE,TRUE,1.3,130956-2,urn:lsid:ipni.org:names:130956-2,wfo-0000778858,FALSE,TRUE,TRUE,FALSE,FALSE,NA,196,"Mota, Coelho",NA,NA,NA,NA,,holotype INPA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lundia_damazii,C.DC.,C.DC.,,spec.,/n/144646-2,Bignoniaceae,Lundia,damazii,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bull. Herb. Boissier,1905,NA,"ser. 2, 5: 230",573-2,citation,"Bull. Herb. Boissier ser. 2, 5: 230. 1905 ",FALSE,TRUE,1.1.2.1,144646-2,urn:lsid:ipni.org:names:144646-2,wfo-0000778945,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Martinella_tomentosa,Kataoka & L.G.Lohmann,Kataoka & L.G.Lohmann,,spec.,/n/77217117-1,Bignoniaceae,Martinella,tomentosa,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,PhytoKeys,2021,13 May 2021,"177: 110, fig. 11",20011997-1,citation,"PhytoKeys 177: 110, fig. 11. 2021 [13 May 2021] [epublished]",FALSE,TRUE,1.4,77217117-1,urn:lsid:ipni.org:names:77217117-1,wfo-1000027835,TRUE,TRUE,TRUE,FALSE,FALSE,NA,39,M.A.D. de Souza &amp; C.F. da Silva,19 Jun 1995,"Manaus, Reserva Florestal Adolfo Ducke, Rodovia Manaus Itacoatiara, km 26",[epublished],doi:10.3897/phytokeys.177.64465 Etymology: 'The species epithet relates to the distinguished tomentose indumentum in leaves and branches of M. tomentosa'.,,holotype SPF 102015;isotype MO;isotype INPA 179938,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melloa_duseniana,Kraenzl.,Kraenzl.,,spec.,/n/156726-2,Bignoniaceae,Melloa,duseniana,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,181303,,Repert. Spec. Nov. Regni Veg.,1921,NA,17: 121,788-2,citation,Repert. Spec. Nov. Regni Veg. 17: 121. 1921 ,FALSE,TRUE,1.3,156726-2,urn:lsid:ipni.org:names:156726-2,wfo-0000779058,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/181303&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Memora_acutiloba,Bureau,Bureau,,spec.,/n/157085-2,Bignoniaceae,Memora,acutiloba,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bull. Soc. Bot. France,1911,NA,58(Mém. 3f): 523,578-2,citation,Bull. Soc. Bot. France 58(Mém. 3f): 523. 1911 ,FALSE,TRUE,1.3,157085-2,urn:lsid:ipni.org:names:157085-2,wfo-0001214920,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Memora_madeirensis,A.Samp.,A.Samp.,,spec.,/n/157116-2,Bignoniaceae,Memora,madeirensis,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Anais Reunião Sul-Amer. Bot.,1940,NA,3: 168,4693-2,citation,Anais Reunião Sul-Amer. Bot. 3: 168. 1940 ,FALSE,TRUE,1.2,157116-2,urn:lsid:ipni.org:names:157116-2,wfo-0000779087,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Memora_pirottana,Buscal.,Buscal.,,spec.,/n/157125-2,Bignoniaceae,Memora,pirottana,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Ann. Bot. (Rome),1911,NA,"9: 118, tab. 4",7704-2,citation,"Ann. Bot. (Rome) 9: 118, tab. 4. 1911 ",FALSE,TRUE,1.2,157125-2,urn:lsid:ipni.org:names:157125-2,wfo-0000778985,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1911&rft.spage=118&rft.volume=9&rft_id=http://www.biodiversitylibrary.org/bibliography/3626&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paratecoma_diandra,Kuhlm.,Kuhlm.,,spec.,/n/183034-2,Bignoniaceae,Paratecoma,diandra,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Bol. Minist. Agric. Serv. Florest. Brasil,1931,NA,"no. 4: 3, tab. 1",17902-2,citation,"Bol. Minist. Agric. Serv. Florest. Brasil no. 4: 3, tab. 1. 1931 Novo Genero Bignoniac",FALSE,TRUE,1.2,183034-2,urn:lsid:ipni.org:names:183034-2,wfo-0000779460,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,Novo Genero Bignoniac,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Petastoma_malmei,Kraenzl.,Kraenzl.,,spec.,/n/191138-2,Bignoniaceae,Petastoma,malmei,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,181242,,Repert. Spec. Nov. Regni Veg.,1921,NA,17: 60,788-2,citation,Repert. Spec. Nov. Regni Veg. 17: 60. 1921 ,FALSE,TRUE,1.4,191138-2,urn:lsid:ipni.org:names:191138-2,wfo-0000779451,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/181242&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pithecoxanium_sciuripabulum,Corr.Mello,Corr.Mello,,spec.,/n/200866-2,Bignoniaceae,Pithecoxanium,sciuripabulum,tax. nov.,"Sao Paulo (Brazil, Southern America)",FALSE,FALSE,FALSE,NA,,Arq. Mus. Paranaense,NA,dt; Dec 1952; publ. early ? 1953,9: 53,9792-2,citation,Arq. Mus. Paranaense 9: 53. 1952 [dt; Dec 1952; publ. early ? 1953] ,FALSE,TRUE,1.1.2.2,200866-2,urn:lsid:ipni.org:names:200866-2,wfo-0001351328,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"Date: on p. 7, adnot., Carlos Stellfeld signed the date 31/12/53",,NA,NA,NA,NA,NA,nom. inval.    Latin description lacking,nom. inval.,NA,NA,NA
Pleonotoma_dispar,Kraenzl.,Kraenzl.,,spec.,/n/202075-2,Bignoniaceae,Pleonotoma,dispar,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,181305,,Repert. Spec. Nov. Regni Veg.,1921,NA,17: 123,788-2,citation,Repert. Spec. Nov. Regni Veg. 17: 123. 1921 ,FALSE,TRUE,1.3,202075-2,urn:lsid:ipni.org:names:202075-2,wfo-0000779263,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/181305&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pleonotoma_macrotis,Kraenzl.,Kraenzl.,,spec.,/n/202081-2,Bignoniaceae,Pleonotoma,macrotis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,181306,,Repert. Spec. Nov. Regni Veg.,1921,NA,17: 124,788-2,citation,Repert. Spec. Nov. Regni Veg. 17: 124. 1921 ,FALSE,TRUE,1.3,202081-2,urn:lsid:ipni.org:names:202081-2,wfo-0000779300,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/181306&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
