name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,collectionDate1,distribution,hybrid,hybridGenus,inPowo,locality,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,referenceRemarks,remarks,suppressed,topCopy,typeCoordinates,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,bibliographicReference,bibliographicTypeInfo,typeChosenBy,typeNote,pageAsText,typeRemarks,infraspecies,speciesAuthor,originalTaxonDistribution,basionymAuthorStr,originalRemarks
Passiflora_ita,"Mezzonato, R.S.Ribeiro & Gonella","Mezzonato, R.S.Ribeiro & Gonella",,spec.,/n/77254941-1,Passifloraceae,Passiflora,ita,tax. nov.,1565,P.M.Gonella et al.,21 Aug 2020,"Minas Gerais (Brazil Southeast, Brazil, Southern America);Espírito Santo (Brazil Southeast, Brazil, Southern America);",FALSE,FALSE,TRUE,"Minas Gerais, Conselheiro Pena, Serra do Padre Ângelo, Pico do Padre Ângelo, 1480 m",,Willdenowia,2021,14 Dec 2021,51(3): 372,3087-2,citation,Willdenowia 51(3): 372. 2021 [14 Dec 2021] [epublished],[epublished],"doi:10.3372/wi.51.51305 The specific epithet is a noun in apposition, originating in the noun itá of the Tupi-Guarani language, meaning 'rock' (Carvalho 1987). The epithet alludes to the rupicolous habit of the species, growing among and over rocks.",FALSE,TRUE,,holotype CESJ;isotype MBML,1.1,77254941-1,urn:lsid:ipni.org:names:77254941-1,wfo-1000028307,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Passiflora_jorgeana,Mezzonato,Mezzonato,,spec.,/n/77254961-1,Passifloraceae,Passiflora,jorgeana,tax. nov.,592,"L.S.B. Calazans, R.T.Valadares &amp; J.G.Rando",20 Mar 2016,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,"Barreiras, estrada de terra de acesso à Cachoeira do Acaba-Vidas, 724 m",,Novon,2021,5 Feb 2021,29: 2,14256-2,citation,Novon 29: 2. 2021 [5 Feb 2021] [epublished],[epublished],"doi:10.3417/2020630 Named in memory of Jorge Mário Pires, the first author’s father and her eternal personal and professional inspiration. Additionally, 'Jorge' comes from the Greek, meaning 'one who works on the land', which is appropriate for a Passiflora that survives in the very narrow Cerrado from Barreiras, surrounded by extensive crops.",FALSE,TRUE,,holotype RB,1.1,77254961-1,urn:lsid:ipni.org:names:77254961-1,wfo-1000028308,TRUE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=2021&rft.spage=2&rft.volume=29&rft_id=http://www.biodiversitylibrary.org/bibliography/744&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Passiflora_lonchophora,Harms,Harms,,spec.,/n/185032-2,Passifloraceae,Passiflora,lonchophora,tax. nov.,NA,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Notizbl. Bot. Gart. Berlin-Dahlem,1929,NA,10: 813,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 10: 813. 1929 ,NA,NA,FALSE,TRUE,,NA,1.3,185032-2,urn:lsid:ipni.org:names:185032-2,wfo-0000480259,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1929&rft.spage=813&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Passiflora_maguirei,Killip,Killip,,spec.,/n/185050-2,Passifloraceae,Passiflora,maguirei,tax. nov.,NA,NA,NA,British Guiana &amp; Brazil (Amazonas),FALSE,FALSE,TRUE,NA,,Bull. Torrey Bot. Club,1948,NA,75: 415,586-2,citation,Bull. Torrey Bot. Club 75: 415. 1948 ,NA,NA,FALSE,TRUE,,NA,1.3,185050-2,urn:lsid:ipni.org:names:185050-2,wfo-0000480218,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1948&rft.spage=415&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/340&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Passiflora_mediterrana,Vell.,Vell.,,spec.,/n/324158-2,Passifloraceae,Passiflora,mediterrana,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Fl. Flumin. Icon.,1831,1827 publ. 29 Oct 1831,9: t. 72,12892-2,citation,Fl. Flumin. Icon. 9: t. 72. 1831 [1827 publ. 29 Oct 1831] ,NA,NA,FALSE,TRUE,,NA,1.3,324158-2,urn:lsid:ipni.org:names:324158-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Passiflora_muralis,Barb.Rodr.,Barb.Rodr.,,spec.,/n/185082-2,Passifloraceae,Passiflora,muralis,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Vellosia,1891,NA,"ed. 2, 1: 29, pl. 13b",3884-2,citation,"Vellosia ed. 2, 1: 29, pl. 13b. 1891 ",NA,NA,FALSE,TRUE,,NA,1.2,185082-2,urn:lsid:ipni.org:names:185082-2,wfo-0001090880,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Passiflora_neumannii,A.Cels & J.F.Cels,A.Cels & J.F.Cels,,spec.,/n/1013952-1,Passifloraceae,Passiflora,neumannii,tax. nov.,NA,NA,NA,Brazil.,FALSE,FALSE,TRUE,NA,,Ann. Fl. Pomone,1838,1838,1837–38: 251 (1838),6785-2,citation,Ann. Fl. Pomone 1837–38: 251 (1838). ,NA,NA,FALSE,TRUE,,NA,1.3.1.3,1013952-1,urn:lsid:ipni.org:names:1013952-1,wfo-0000480073,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brazil.,NA,NA
Passiflora_purii,"Mezzonato, L.M.C.Lima & Gelli de Faria","Mezzonato, L.M.C.Lima & Gelli de Faria",,spec.,/n/77312890-1,Passifloraceae,Passiflora,purii,tax. nov.,239,A.P.G.de Faria &amp; L.M.C.Lima,25 Jan 2021,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,FALSE,Município de Rio Preto,,Acta Bot. Brasil.,2022,28 Oct 2022,36-e20220147: 2,1225-2,citation,Acta Bot. Brasil. 36-e20220147: 2. [28 Oct 2022] [epublished],[epublished],"doi:10.1590/1677-941X-ABB-2022-0122 Etymology: the specific epithet honours the Puri ethnicity, which, before the arrival of the Portuguese, inhabited the regions of SM located in the basins of the Paraíba do Sul River and the upper Rio Doce.",FALSE,TRUE,,holotype CESJ;isotype RB,1.2,77312890-1,urn:lsid:ipni.org:names:77312890-1,wfo-1000043581,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Passiflora_timboensis,T.S.Nunes & L.P.Queiroz,T.S.Nunes & L.P.Queiroz,,spec.,/n/77147497-1,Passifloraceae,Passiflora,timboensis,tax. nov.,7027,"Amorim, Jardim, Ferreira, Perdiz, Paixão &amp; Gomes",18 Dec 2007,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,"Mun. Amargosa, Serra do Timbó, com acesso pelo Morro Pelado",,Syst. Bot.,2014,9 Jul 2014,39(4): 1167,1295-2,citation,"Syst. Bot. 39(4): 1167. 2014 [9 Jul 2014] [epublished], as 'timboënsis'","[epublished], as 'timboënsis'",doi:10.1600/036364414X682553,FALSE,TRUE,,holotype HUEFS;isotype CEPEC;isotype NY;isotype K,1.1,77147497-1,urn:lsid:ipni.org:names:77147497-1,NA,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Passiflora_tranversalis,M.A.M.Azevedo,M.A.M.Azevedo,,spec.,/n/77099638-1,Passifloraceae,Passiflora,tranversalis,tax. nov.,3085,P.Dusén,16 Jan 1904,"Paraná (Brazil South, Brazil, Southern America);Ceará (Brazil Northeast, Brazil, Southern America);Minas Gerais (Brazil Southeast, Brazil, Southern America);São Paulo (Brazil Southeast, Brazil, Southern America);Santa Catarina (Brazil South, Brazil, Southern America);Rio Grande do Sul (Brazil South, Brazil, Southern America);",FALSE,FALSE,TRUE,"Balsa Nova, Serrinha",,Brittonia,2008,1 Dec 2008,60(4): 314 (-317; fig. 3),561-2,citation,Brittonia 60(4): 314 (-317; fig. 3). 2008 [1 Dec 2008] ,NA,NA,FALSE,TRUE,,holotype R,1.2,77099638-1,urn:lsid:ipni.org:names:77099638-1,wfo-0001034933,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tacsonia_coccinea,Barb.Rodr.,Barb.Rodr.,,spec.,/n/248991-2,Passifloraceae,Tacsonia,coccinea,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Vellosia,1888,NA,"1: 26, pl. II",3884-2,citation,"Vellosia 1: 26, pl. II. 1888 ",NA,NA,FALSE,TRUE,,NA,1.3,248991-2,urn:lsid:ipni.org:names:248991-2,wfo-0001091260,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1888&rft.spage=26&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/69100&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
