name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,otherLinks,remarks,bhlLink,infraspecies,pageAsText,publicationYearNote,speciesAuthor,referenceRemarks,collectionDate1,locality,typeCoordinates,typeNote,originalRemarks,nameStatus,nameStatusType,typeRemarks,originalTaxonDistribution
Ipomoea_paranaenensis,Hoehne,Hoehne,,spec.,/n/129554-2,Convolvulaceae,Ipomoea,paranaenensis,tax. nov.,NA,NA,"Paraná (Brazil, Southern America)",FALSE,FALSE,FALSE,,Bol. Agric. (Sao Paulo),1934,"35: 474, tab",9000-2,citation,"Bol. Agric. (Sao Paulo) 35: 474, tab. 1934 ",FALSE,TRUE,NA,1.2,129554-2,urn:lsid:ipni.org:names:129554-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Ipomoea_pickelii,Hoehne,Hoehne,,spec.,/n/129581-2,Convolvulaceae,Ipomoea,pickelii,tax. nov.,NA,NA,"Pernambuco (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bol. Agric. (Sao Paulo),1934,"35: 477, tab",9000-2,citation,"Bol. Agric. (Sao Paulo) 35: 477, tab. 1934 ",FALSE,TRUE,NA,1.2,129581-2,urn:lsid:ipni.org:names:129581-2,wfo-0000155111,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Ipomoea_sampaionis,Herter,Herter,,spec.,/n/129680-2,Convolvulaceae,Ipomoea,sampaionis,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,,Arq. Mus. Nac. Rio de Janeiro,1916,"18: 13, 28",3790-2,citation,"Arq. Mus. Nac. Rio de Janeiro 18: 13, 28. 1916 ",FALSE,TRUE,NA,1.2,129680-2,urn:lsid:ipni.org:names:129680-2,wfo-0000155117,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Ipomoea_supersticiosa,Barb.Rodr.,Barb.Rodr.,,spec.,/n/129740-2,Convolvulaceae,Ipomoea,supersticiosa,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Vellosia,1891,"ed. 2, 1: 61, pl. 17",3884-2,citation,"Vellosia ed. 2, 1: 61, pl. 17. 1891 as superstitiosa",FALSE,TRUE,NA,1.2,129740-2,urn:lsid:ipni.org:names:129740-2,wfo-0000155124,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,as superstitiosa,NA,NA,,NA,NA,NA,NA,NA,NA
Jacquemontia_atlantica,S.C.Nepom. & Buril,S.C.Nepom. & Buril,,spec.,/n/77313423-1,Convolvulaceae,Jacquemontia,atlantica,tax. nov.,1717,Staples et al.,"Alagoas (Brazil Northeast, Brazil, Southern America);Bahia (Brazil Northeast, Brazil, Southern America);Paraíba (Brazil Northeast, Brazil, Southern America);Pernambuco (Brazil Northeast, Brazil, Southern America);Rio Grande do Norte (Brazil Northeast, Brazil, Southern America);Sergipe (Brazil Northeast, Brazil, Southern America);",FALSE,FALSE,FALSE,,Syst. Bot.,2022,47(3): 761,1295-2,citation,Syst. Bot. 47(3): 761. 2022 [16 Sep 2022] [epublished],FALSE,TRUE,holotype PEUFR,1.1,77313423-1,urn:lsid:ipni.org:names:77313423-1,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,"doi:10.1600/036364422X16573019348292 Etymology: name refers to the species' area of occurrence, the Atlantic Forest, and honours this phytogeographic domain whose preservation is urgent.",NA,NA,NA,16 Sep 2022,NA,[epublished],10 Nov 2015,"Pernambuco: Igarassu, R.P.P.N. Fazenda Tabatinga, in patch of Atlantic forest between ocean beach and main road (Hwy PE-49), near gate to prawn farm-aquaculture area.",,NA,NA,NA,NA,NA,NA
Jacquemontia_mattogrossensis,Hoehne,Hoehne,,spec.,/n/131131-2,Convolvulaceae,Jacquemontia,mattogrossensis,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,"Anexos Mem. Inst. Butantan, Secc. Bot.",1922,"1, Fasc. 6: 54, pl. 9",3497-2,citation,"Anexos Mem. Inst. Butantan, Secc. Bot. 1, Fasc. 6: 54, pl. 9. 1922 ",FALSE,TRUE,NA,1.3,131131-2,urn:lsid:ipni.org:names:131131-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Keraunea_brasiliensis,Cheek & Sim.-Bianch.,Cheek & Sim.-Bianch.,,spec.,/n/77131207-1,Convolvulaceae,Keraunea,brasiliensis,tax. nov.,PCD 5263,"Passos, Guedes, Stannard and Saar","Bahia (Brazil Northeast, Brazil, Southern America);Minas Gerais (Brazil Southeast, Brazil, Southern America);",FALSE,FALSE,TRUE,,Nordic J. Bot.,2013,31(4): 454,2633-2,citation,Nordic J. Bot. 31(4): 454. 2013 [22 Jul 2013] [epublished],FALSE,TRUE,holotype SPF;isotype ALCB;isotype CEPEC;isotype K,1.2,77131207-1,urn:lsid:ipni.org:names:77131207-1,wfo-0001318860,TRUE,TRUE,TRUE,FALSE,FALSE,NA,doi:10.1111/j.1756-1051.2013.00096.x,NA,NA,NA,22 Jul 2013,NA,[epublished],8 Feb 1997,"Bahia, Mun. Caetité, Caminho da Fazenda Boa Vista par Urânio, 560 m",,NA,NA,NA,NA,NA,NA
Keraunea_bullata,Moonlight & D.B.O.S.Cardoso,Moonlight & D.B.O.S.Cardoso,,spec.,/n/77314429-1,Convolvulaceae,Keraunea,bullata,tax. nov.,9176,"M.L.Guedes, D.M.Loureiro &amp; D.L.Santana","Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,FALSE,,PhytoKeys,2023,219: 159,20011997-1,citation,PhytoKeys 219: 159. 2023 [20 Feb 2023] [epublished],FALSE,TRUE,holotype ALCB ALCB075866,1.2,77314429-1,urn:lsid:ipni.org:names:77314429-1,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,doi:10.3897/phytokeys.219.101779,NA,NA,NA,20 Feb 2023,NA,[epublished],NA,"Mun. Jequié, Bairro Suíça",,NA,NA,NA,NA,NA,NA
Keraunea_capixaba,Lombardi,Lombardi,,spec.,/n/77143340-1,Convolvulaceae,Keraunea,capixaba,tax. nov.,891,G.S.Siqueira,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,,Phytotaxa,2014,181(1): 54,20011462-1,citation,Phytotaxa 181(1): 54. 2014 [26 Sep 2014] [epublished],FALSE,TRUE,holotype CVRD;isotype HRCB;isotype K;isotype SP,1.1,77143340-1,urn:lsid:ipni.org:names:77143340-1,wfo-0001318861,TRUE,TRUE,TRUE,FALSE,FALSE,NA,doi:10.11646/phytotaxa.181.1.4,NA,NA,NA,26 Sep 2014,NA,[epublished],25 Sep 2013,"Jaguaré, perto da Comunidade São Jorge de Paduá, sentido para Fátima, 95 m",,NA,NA,NA,NA,NA,NA
Keraunea_confusa,Moonlight & D.B.O.S.Cardoso,Moonlight & D.B.O.S.Cardoso,,spec.,/n/77314430-1,Convolvulaceae,Keraunea,confusa,tax. nov.,1819,J.A.Lombardi &amp; A.Salino,"Bahia (Brazil Northeast, Brazil, Southern America);Minas Gerais (Brazil Southeast, Brazil, Southern America);",FALSE,FALSE,FALSE,,PhytoKeys,2023,219: 163,20011997-1,citation,PhytoKeys 219: 163. 2023 [20 Feb 2023] [epublished],FALSE,TRUE,holotype BHCB BHCB017209;isotype HRCB;isotype K K001395055;isotype UEC UEC117783,1.2,77314430-1,urn:lsid:ipni.org:names:77314430-1,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,doi:10.3897/phytokeys.219.101779 Etymology: 'the epithet refers to the confusion that has surrounded the taxonomic history of this species'.,NA,NA,NA,20 Feb 2023,NA,[epublished],25 May 1997,"Bahia: Mun. Januária, distrito de Fabião, junto ao Abrigo do Malhador",,NA,NA,NA,NA,NA,NA
Keraunea_velutina,Moonlight & D.B.O.S.Cardoso,Moonlight & D.B.O.S.Cardoso,,spec.,/n/77314431-1,Convolvulaceae,Keraunea,velutina,tax. nov.,257,J.G.Costa,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,FALSE,,PhytoKeys,2023,219: 165,20011997-1,citation,PhytoKeys 219: 165. 2023 [20 Feb 2023] [epublished],FALSE,TRUE,holotype RB 00852871,1.2,77314431-1,urn:lsid:ipni.org:names:77314431-1,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,doi:10.3897/phytokeys.219.101779,NA,NA,NA,20 Feb 2023,NA,[epublished],10 Sep 2013,"Mun. Cardoso Moreira, Santíssimo, Fazenda Borges",,NA,NA,NA,NA,NA,NA
Maripa_spectabilis,Choisy,Choisy,,spec.,/n/153261-2,Convolvulaceae,Maripa,spectabilis,tax. nov.,s.n.,C.F.P.Martius,Brazil (Southern America),FALSE,FALSE,TRUE,,Prodr. [A. P. de Candolle],1845,9: 327,1051-2,citation,Prodr. [A. P. de Candolle] 9: 327. 1845 [1 Jan 1845] ,FALSE,TRUE,lectotype M,1.6,153261-2,urn:lsid:ipni.org:names:153261-2,wfo-0001219827,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/162694&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,162694,1 Jan 1845,NA,NA,NA,NA,,Convolvulaceas da Amazonia,NA,NA,NA,NA,NA
Merremia_heringeri,K.Afzel.,K.Afzel.,,spec.,/n/157714-2,Convolvulaceae,Merremia,heringeri,tax. nov.,NA,NA,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,,Svensk Bot. Tidskr.,1966,60: 487,2967-2,citation,Svensk Bot. Tidskr. 60: 487. 1966 ,FALSE,TRUE,NA,1.3,157714-2,urn:lsid:ipni.org:names:157714-2,wfo-0000155157,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1966&rft.spage=487&rft.volume=60&rft_id=http://www.biodiversitylibrary.org/bibliography/79156&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Prevostea_capitata,Dammer,Dammer,,spec.,/n/210159-2,Convolvulaceae,Prevostea,capitata,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1897,"23(5, Beibl. 57): 36",553-2,citation,"Bot. Jahrb. Syst. 23(5, Beibl. 57): 36. 1897 [27 Aug 1897] ",FALSE,TRUE,NA,1.3,210159-2,urn:lsid:ipni.org:names:210159-2,wfo-0001297155,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,27 Aug 1897,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Volvulus_orbinaxa,Morley,Morley,,spec.,/n/266424-2,Convolvulaceae,Volvulus,orbinaxa,tax. nov.,602,Silva,Brazil (Southern America),FALSE,FALSE,FALSE,,Fl. Neotrop. Monogr.,1976,15: 264,944-2,citation,Fl. Neotrop. Monogr. 15: 264. 1976 Flora Neotrop. Monogr. 15,FALSE,TRUE,holotype MIN,1.3,266424-2,urn:lsid:ipni.org:names:266424-2,wfo-0000155894,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,Flora Neotrop. Monogr. 15,NA,NA,,NA,NA,NA,NA,NA,NA
