name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,otherLinks,remarks,bhlLink,infraspecies,pageAsText,publicationYearNote,speciesAuthor,referenceRemarks,collectionDate1,locality,typeCoordinates,typeNote,originalRemarks,nameStatus,nameStatusType,typeRemarks,originalTaxonDistribution
Evolvulus_bahiensis,Helwig,Helwig,,spec.,/n/102583-2,Convolvulaceae,Evolvulus,bahiensis,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Notizbl. Bot. Gart. Berlin-Dahlem,1927,10: 106,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 10: 106. 1927 ,FALSE,TRUE,NA,1.4,102583-2,urn:lsid:ipni.org:names:102583-2,wfo-0001296808,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1927&rft.spage=106&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Evolvulus_elaegnifolius,Dammer,Dammer,,spec.,/n/102606-2,Convolvulaceae,Evolvulus,elaegnifolius,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1897,"23(5, Beibl. 57): 38",553-2,citation,"Bot. Jahrb. Syst. 23(5, Beibl. 57): 38. 1897 [27 Aug 1897] ",FALSE,TRUE,NA,1.5,102606-2,urn:lsid:ipni.org:names:102606-2,wfo-0001296816,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,27 Aug 1897,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Evolvulus_erectus,Glaz.,Glaz.,,spec.,/n/102611-2,Convolvulaceae,Evolvulus,erectus,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Bull. Soc. Bot. France,1911,58(Mém. 3f): 490,578-2,citation,Bull. Soc. Bot. France 58(Mém. 3f): 490. 1911 ,FALSE,TRUE,NA,1.5,102611-2,urn:lsid:ipni.org:names:102611-2,wfo-0000155036,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Evolvulus_graminifolius,Dammer,Dammer,,spec.,/n/102642-2,Convolvulaceae,Evolvulus,graminifolius,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1897,"23(5, Beibl. 57): 38",553-2,citation,"Bot. Jahrb. Syst. 23(5, Beibl. 57): 38. 1897 [27 Aug 1897] ",FALSE,TRUE,NA,1.5,102642-2,urn:lsid:ipni.org:names:102642-2,wfo-0001296830,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,27 Aug 1897,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Evolvulus_longipedicellatus,D.Santos & Buril,D.Santos & Buril,,spec.,/n/77314300-1,Convolvulaceae,Evolvulus,longipedicellatus,tax. nov.,156,M.E.R. Junqueira,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,FALSE,,Syst. Bot.,2022,47(3): 835,1295-2,citation,Syst. Bot. 47(3): 835. 2022 [16 Sep 2022] [epublished],FALSE,TRUE,holotype HUEFS;isotype SP,1.1,77314300-1,urn:lsid:ipni.org:names:77314300-1,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,doi:10.1600/036364422X16573019348346 Etymology: name refers to the pedicel length in relation to the floral peduncle.,NA,NA,NA,16 Sep 2022,NA,[epublished],3 Dec 2002,"Morro do Chapeu, beira da mata",,NA,NA,NA,NA,NA,NA
Evolvulus_longitubulosus,Helwig,Helwig,,spec.,/n/102665-2,Convolvulaceae,Evolvulus,longitubulosus,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Notizbl. Bot. Gart. Berlin-Dahlem,1927,10: 102,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 10: 102. 1927 ,FALSE,TRUE,NA,1.4,102665-2,urn:lsid:ipni.org:names:102665-2,wfo-0001296839,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1927&rft.spage=102&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Evolvulus_rosmarinifolius,Dammer,Dammer,,spec.,/n/102692-2,Convolvulaceae,Evolvulus,rosmarinifolius,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1897,"23(5, Beibl. 57): 38",553-2,citation,"Bot. Jahrb. Syst. 23(5, Beibl. 57): 38. 1897 [27 Aug 1897] ",FALSE,TRUE,NA,1.5,102692-2,urn:lsid:ipni.org:names:102692-2,wfo-0001296852,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,27 Aug 1897,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Evolvulus_veadeirensis,D.Santos & C.Amorim,D.Santos & C.Amorim,,spec.,/n/77314575-1,Convolvulaceae,Evolvulus,veadeirensis,tax. nov.,6643,"Silva, J.M., J. Cordeiro &amp; J. Vaz","Goiás (Brazil West-Central, Brazil, Southern America)",FALSE,FALSE,FALSE,,Syst. Bot.,2022,47(4): 1094,1295-2,citation,Syst. Bot. 47(4): 1094. 2022 [12 Dec 2022] [epublished],FALSE,TRUE,holotype MBM;isotype BHCB,1.1,77314575-1,urn:lsid:ipni.org:names:77314575-1,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,"doi:10.1600/036364422X16674053033868 Etymology: name refers to Chapada dos Veadeiros, where the species is, so far, endemic.",NA,NA,NA,12 Dec 2022,NA,[epublished],22 May 2008,"Alto Paraiso de Goias, Cristais Waterfalls",,NA,NA,NA,NA,NA,NA
Evolvulus_ﬂavus,"A.N.T.Bandeira, Buril & J.I.M.Melo","A.N.T.Bandeira, Buril & J.I.M.Melo",,spec.,/n/77174578-1,Convolvulaceae,Evolvulus,ﬂavus,tax. nov.,122,Bandeira,"Paraíba (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,,Nordic J. Bot.,2016,35(1): 20,2633-2,citation,Nordic J. Bot. 35(1): 20. 2016 [2017 publ. 13 Oct 2016] [epublished],FALSE,TRUE,holotype RB;isotype ACAM;isotype K;isotype NY,1.3,77174578-1,urn:lsid:ipni.org:names:77174578-1,wfo-0001319163,TRUE,TRUE,TRUE,FALSE,FALSE,NA,doi:10.1111/njb.01268,NA,NA,NA,2017 publ. 13 Oct 2016,NA,[epublished],28 Mar 2016,"Cajazeiras municipality, Engenheiro Ávidos Ecological Park (EAEP), 478 m",,NA,NA,NA,NA,NA,NA
Ipomoea_cephalantha,Dammer,Dammer,,spec.,/n/129229-2,Convolvulaceae,Ipomoea,cephalantha,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,,Bot. Jahrb. Syst.,1897,"23(5, Beibl. 57): 39",553-2,citation,"Bot. Jahrb. Syst. 23(5, Beibl. 57): 39. 1897 [27 Aug 1897] ",FALSE,TRUE,NA,1.3,129229-2,urn:lsid:ipni.org:names:129229-2,wfo-0000155086,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,27 Aug 1897,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
