name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,infraspecies,referenceRemarks,speciesAuthor,publicationYearNote,pageAsText,remarks,collectionDate1,locality,originalTaxonDistribution,typeCoordinates
Xyris_angustifolia,Poulsen,Poulsen,,spec.,/n/269974-2,Xyridaceae,Xyris,angustifolia,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,,Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn,1892,1891: 147,1089-2,citation,Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn 1891: 147. 1892 ,FALSE,TRUE,NA,1.2,269974-2,urn:lsid:ipni.org:names:269974-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1892&rft.spage=147&rft.volume=1891&rft_id=http://www.biodiversitylibrary.org/bibliography/7547&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Xyris_araracuarae,Maguire & L.B.Sm.,Maguire & L.B.Sm.,,spec.,/n/269978-2,Xyridaceae,Xyris,araracuarae,tax. nov.,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Mem. New York Bot. Gard.,1964,10(5): 34,719-2,citation,Mem. New York Bot. Gard. 10(5): 34. 1964 ,FALSE,TRUE,NA,1.1.2.1.1.2,269978-2,urn:lsid:ipni.org:names:269978-2,wfo-0000608806,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1964&rft.issue=5&rft.spage=34&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/50489&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Xyris_augusto-coburgi,Szyszył. in Wawra,Szyszył. in Wawra,,spec.,/n/269984-2,Xyridaceae,Xyris,augusto-coburgi,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,,Itin. Princ. S. Coburgi,1888,"2: 94, pl. 14",14558-2,citation,"Itin. Princ. S. Coburgi 2: 94, pl. 14. 1888 ",FALSE,TRUE,NA,1.3,269984-2,urn:lsid:ipni.org:names:269984-2,wfo-0001146213,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Xyris_glaziowii,L.A.Nilsson,L.A.Nilsson,,spec.,/n/270063-2,Xyridaceae,Xyris,glaziowii,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Kongl. Svenska Vetensk.-Akad. Handl.,1892,"24(14): 61, pl. 6",20010256-1,citation,"Kongl. Svenska Vetensk.-Akad. Handl. 24(14): 61, pl. 6. 1892 ",FALSE,TRUE,NA,1.4,270063-2,urn:lsid:ipni.org:names:270063-2,wfo-0000611100,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1892&rft.issue=14&rft.spage=61&rft.volume=24&rft_id=http://www.biodiversitylibrary.org/bibliography/50688&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Xyris_teretifolia,Poulsen,Poulsen,,spec.,/n/270207-2,Xyridaceae,Xyris,teretifolia,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,,Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn,1892,1891: 144,1089-2,citation,Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn 1891: 144. 1892 ,FALSE,TRUE,NA,1.2,270207-2,urn:lsid:ipni.org:names:270207-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1892&rft.spage=144&rft.volume=1891&rft_id=http://www.biodiversitylibrary.org/bibliography/7547&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,
