name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,collectionDate1,distribution,hybrid,hybridGenus,inPowo,locality,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,referenceRemarks,remarks,suppressed,topCopy,typeLocations,version,id,fqId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,infraspecies,pageAsText,wfoId,bhlLink,typeCoordinates,speciesAuthor,typeRemarks,typeNote,collectionDate2,bibliographicReference,bibliographicTypeInfo,typeChosenBy,typeName,originalRemarks,originalTaxonDistribution
Echites_spigeliiflorus,Stadelm.,Stadelm.,,spec.,/n/88730-2,Apocynaceae,Echites,spigeliiflorus,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Flora,1841,NA,"24(1, Beibl.): 58",648-2,citation,"Flora 24(1, Beibl.): 58. 1841 ",NA,as E. spigeliaeflora,FALSE,TRUE,NA,1.3.2.1.1.3,88730-2,urn:lsid:ipni.org:names:88730-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,wfo-0000947824,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echites_zuccariniana,Stadelm.,Stadelm.,,spec.,/n/88767-2,Apocynaceae,Echites,zuccariniana,tax. nov.,1383,J.B.E.Pohl,NA,"Trahiras, Minas Gerais (Brazil, Southern America)",FALSE,FALSE,FALSE,NA,,Flora,1841,NA,"24(1, Beibl.): 76",648-2,citation,"Flora 24(1, Beibl.): 76. 1841 ",NA,NA,FALSE,TRUE,lectotype W;isotype M,1.3.2.1.1.1,88767-2,urn:lsid:ipni.org:names:88767-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,wfo-0000947908,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hancornia_fluminensis,Glaz.,Glaz.,,spec.,/n/117313-2,Apocynaceae,Hancornia,fluminensis,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bull. Soc. Bot. France,1910,NA,57(Mém. 3e): 448,578-2,citation,Bull. Soc. Bot. France 57(Mém. 3e): 448. 1910 ,NA,NA,FALSE,TRUE,NA,1.5,117313-2,urn:lsid:ipni.org:names:117313-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,wfo-0001072366,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laxoplumeria_longipetiolata,J.F.Morales,J.F.Morales,,spec.,/n/77177551-1,Apocynaceae,Laxoplumeria,longipetiolata,tax. nov.,112,Kawasaki,12 Nov 1987,"Amazonas (Brazil North, Brazil, Southern America)",FALSE,FALSE,TRUE,"Boca do rio Içana, local chamado Boa Vista (antigo Grilo)",,Phytotaxa,2018,6 Mar 2018,343(1): 39,20011462-1,citation,Phytotaxa 343(1): 39. 2018 [6 Mar 2018] [epublished],[epublished],doi:10.11646/phytotaxa.343.1.3,FALSE,TRUE,holotype WAG;isotype MO;isotype NY,1.1,77177551-1,urn:lsid:ipni.org:names:77177551-1,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,wfo-1000005128,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laxoplumeria_verticillata,J.F.Morales & I.L.Morais,J.F.Morales & I.L.Morais,,spec.,/n/77177552-1,Apocynaceae,Laxoplumeria,verticillata,tax. nov.,15670,Mendes-Magalhães,16 Nov 1959,"Minas Gerais (Brazil Southeast, Brazil, Southern America);Bahia (Brazil Northeast, Brazil, Southern America);",FALSE,FALSE,TRUE,"Minas Gerais: Novo Cruzeiro, Estrela, estrada para Lufa",,Phytotaxa,2018,6 Mar 2018,343(1): 45,20011462-1,citation,Phytotaxa 343(1): 45. 2018 [6 Mar 2018] [epublished],[epublished],doi:10.11646/phytotaxa.343.1.3,FALSE,TRUE,holotype BHCB;isotype CR;isotype MO;isotype WAG,1.2,77177552-1,urn:lsid:ipni.org:names:77177552-1,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,wfo-1000005129,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mandevilla_bullata,J.F.Morales & L.Kollmann,J.F.Morales & L.Kollmann,,spec.,/n/77222856-1,Apocynaceae,Mandevilla,bullata,tax. nov.,15044,"N.Roque, C.M.Sakuragui, R.M.Harley, P.T.Sano &amp; V.C.Souza",15 Mar 1994,"Bahia (Brazil Northeast, Brazil, Southern America);Minas Gerais (Brazil Southeast, Brazil, Southern America);Goiás (Brazil West-Central, Brazil, Southern America);",FALSE,FALSE,TRUE,"Minas Gerais, divisa entre municipios de Espinosa e Montezuma, a 35 km de Serra do Pau D`Arco, 1300-1400 m",,Darwiniana,2020,3 Sep 2020,"n.s., 8(2): 451",900-2,citation,"Darwiniana n.s., 8(2): 451. 2020 [3 Sep 2020] [epublished]",[epublished],doi:10.14522/darwiniana.2020.82.903 The name refers to the bullate leaf blade.,FALSE,TRUE,holotype SP;isotype CR;isotype K 000989062; 000989063,1.2,77222856-1,urn:lsid:ipni.org:names:77222856-1,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,wfo-1000023569,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mandevilla_declinata,"J.F.Morales, A.P.Fontana & L.Kollmann","J.F.Morales, A.P.Fontana & L.Kollmann",,spec.,/n/77314571-1,Apocynaceae,Mandevilla,declinata,tax. nov.,5702,"A. P. Fontana, J. F. Morales and M. Demuner",22 Nov 2008,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,FALSE,"Afonso Claudio, Serra Pelada, Pedra dos Tres Pontoes",,Syst. Bot.,2022,12 Dec 2022,47(4): 1081,1295-2,citation,Syst. Bot. 47(4): 1081. 2022 [12 Dec 2022] [epublished],[epublished],"doi:10.1600/036364422X16674053033912 Etymology: name refers to the habit, usually with the main stem declinate or curving downwards at the steep slopes of rocky outcrops.",FALSE,TRUE,holotype MBML MBML036948,1.1,77314571-1,urn:lsid:ipni.org:names:77314571-1,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mandevilla_fornograndensis,"J.F.Morales, L.Kollmann & Fraga","J.F.Morales, L.Kollmann & Fraga",,spec.,/n/77314572-1,Apocynaceae,Mandevilla,fornograndensis,tax. nov.,967,"A. P. Fontana, L. Kollmann and R. L. Kollmann",30 Oct 2004,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,FALSE,"Castelo, Forno Grande, Forninho, 1600 m",,Syst. Bot.,2022,12 Dec 2022,47(4): 1082,1295-2,citation,Syst. Bot. 47(4): 1082. 2022 [12 Dec 2022] [epublished],[epublished],doi:10.1600/036364422X16674053033912,FALSE,TRUE,holotype MBML MBML024116,1.1,77314572-1,urn:lsid:ipni.org:names:77314572-1,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mandevilla_manicorensis,"C.A.Coelho, B.S.Amorim & J.F.Morales","C.A.Coelho, B.S.Amorim & J.F.Morales",,spec.,/n/77210787-1,Apocynaceae,Mandevilla,manicorensis,tax. nov.,205,C.Almeida &amp; A.Castro,22 Dec 2018,"Amazonas (Brazil North, Brazil, Southern America)",FALSE,FALSE,TRUE,"Municipality of Manicoré, estrada do Hotel de Selva",,Syst. Bot.,2020,13 May 2020,45(2): 323,1295-2,citation,Syst. Bot. 45(2): 323. 2020 [13 May 2020] [epublished],[epublished],doi:10.1600/036364420X15862838474060,FALSE,TRUE,holotype INPA;isotype HUEFS;isotype MO;isotype RB,1.2,77210787-1,urn:lsid:ipni.org:names:77210787-1,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,wfo-1000023570,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mandevilla_mysteriosa,"J.F.Morales, A.P.Fontana & Fraga","J.F.Morales, A.P.Fontana & Fraga",,spec.,/n/77314573-1,Apocynaceae,Mandevilla,mysteriosa,tax. nov.,1071,"A.P.Fontana, C.Esgario, R.C. de Brito, F.Fadini and L.N.Lima",15 Nov 2004,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,FALSE,"Sao Roque do Canaa, Alto Misterioso, Pedra 2",,Syst. Bot.,2022,12 Dec 2022,47(4): 1085,1295-2,citation,Syst. Bot. 47(4): 1085. 2022 [12 Dec 2022] [epublished],[epublished],"doi:10.1600/036364422X16674053033912 Etymology: name refers to the type locality Alto Misterioso (Mysterious Hill), a formation of inselbergs located at Sao Roque do Canaa, Espirito Santo.",FALSE,TRUE,holotype MBML MBML024054,1.1,77314573-1,urn:lsid:ipni.org:names:77314573-1,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mandevilla_obovata,"J.F.Morales, A.P.Fontana & Fraga","J.F.Morales, A.P.Fontana & Fraga",,spec.,/n/77314574-1,Apocynaceae,Mandevilla,obovata,tax. nov.,9785,"L. Kollmann, A. P. Fontana and K. Brahim",17 May 2007,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,FALSE,"Sao Roque de Canaa, Pedra dos Tres Carneiros",,Syst. Bot.,2022,12 Dec 2022,47(4): 1085,1295-2,citation,Syst. Bot. 47(4): 1085. 2022 [12 Dec 2022] [epublished],[epublished],doi:10.1600/036364422X16674053033912 Etymology: name refers to the obovate shape of its leaf blades.,FALSE,TRUE,holotype MBML MBML030700;isotype CR,1.1,77314574-1,urn:lsid:ipni.org:names:77314574-1,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mandevilla_parvifolia,K.Schum.,K.Schum.,,spec.,/n/152030-2,Apocynaceae,Mandevilla,parvifolia,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bot. Jahrb. Syst.,1907,2 Aug 1907,40(2): 163,553-2,citation,Bot. Jahrb. Syst. 40(2): 163. 1907 [2 Aug 1907] ,NA,NA,FALSE,TRUE,NA,1.3,152030-2,urn:lsid:ipni.org:names:152030-2,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.issue=2&rft.spage=163&rft.volume=40&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neurolobium_cymosum,Baill.,Baill.,,spec.,/n/169686-2,Apocynaceae,Neurolobium,cymosum,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bull. Mens. Soc. Linn. Paris,1888,NA,1: 749,877-2,citation,Bull. Mens. Soc. Linn. Paris 1: 749. 1888 ,NA,NA,FALSE,TRUE,NA,1.2,169686-2,urn:lsid:ipni.org:names:169686-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,wfo-0000251809,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1888&rft.spage=749&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/10532&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odontadenia_gracilis,K.Schum.,K.Schum.,,spec.,/n/172136-2,Apocynaceae,Odontadenia,gracilis,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bull. Soc. Bot. France,1910,NA,57(Mém. 3e): 455,578-2,citation,Bull. Soc. Bot. France 57(Mém. 3e): 455. 1910 ,NA,NA,FALSE,TRUE,NA,1.3,172136-2,urn:lsid:ipni.org:names:172136-2,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prestonia_sericocalyx,Malme,Malme,,spec.,/n/210143-2,Apocynaceae,Prestonia,sericocalyx,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bih. Kongl. Svenska Vetensk.-Akad. Handl.,1899,NA,"24, Afd. 3, No. 10: 29",546-2,citation,"Bih. Kongl. Svenska Vetensk.-Akad. Handl. 24, Afd. 3, No. 10: 29. 1899 ",NA,NA,FALSE,TRUE,NA,1.2,210143-2,urn:lsid:ipni.org:names:210143-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,wfo-0000283123,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tabernaemontana_cathariensis,A.DC.,A.DC.,,spec.,/n/328994-2,Apocynaceae,Tabernaemontana,cathariensis,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Prodr. [A. P. de Candolle],1844,mid Mar 1844,8: 365,1051-2,citation,Prodr. [A. P. de Candolle] 8: 365. 1844 [mid Mar 1844] ,NA,NA,FALSE,TRUE,NA,1.4,328994-2,urn:lsid:ipni.org:names:328994-2,FALSE,FALSE,TRUE,FALSE,FALSE,NA,163321,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/163321&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tabernaemontana_× hybrida,Hand.-Mazz.,Hand.-Mazz.,,spec.,/n/290429-2,Apocynaceae,Tabernaemontana,hybrida,tax. nov.,NA,NA,NA,"Sao Paulo (Brazil, Southern America)",TRUE,FALSE,FALSE,NA,,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl.",1910,Advance separate,"79: 9, tab. 33, fig. 1",610-2,citation,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl. 79: 9, tab. 33, fig. 1. 1910 Advance separate Denkschr. Akad. Wissensch. Wien 79: 384, tab. 33, fig. 1, 1931","Denkschr. Akad. Wissensch. Wien 79: 384, tab. 33, fig. 1, 1931",Tabernaemontana australis X salzmannii ?,FALSE,TRUE,NA,1.2,290429-2,urn:lsid:ipni.org:names:290429-2,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,wfo-0000319902,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1910&rft.spage=9&rft.volume=79&rft_id=http://www.biodiversitylibrary.org/bibliography/6733&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tabernaemontana_ovalifolia,Glaz.,Glaz.,,spec.,/n/248889-2,Apocynaceae,Tabernaemontana,ovalifolia,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bull. Soc. Bot. France,1910,NA,57(Mém. 3e): 452,578-2,citation,Bull. Soc. Bot. France 57(Mém. 3e): 452. 1910 ,NA,NA,FALSE,TRUE,NA,1.3,248889-2,urn:lsid:ipni.org:names:248889-2,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tabernaemontana_rauwolfiae,A.DC.,A.DC.,,spec.,/n/248897-2,Apocynaceae,Tabernaemontana,rauwolfiae,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Prodr. [A. P. de Candolle],1844,mid Mar 1844,8: 364,1051-2,citation,Prodr. [A. P. de Candolle] 8: 364. 1844 [mid Mar 1844] ,NA,NA,FALSE,TRUE,NA,1.5,248897-2,urn:lsid:ipni.org:names:248897-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,163320,wfo-0000320078,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/163320&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
