name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,collectionDate1,distribution,hybrid,hybridGenus,inPowo,locality,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,referenceRemarks,remarks,suppressed,topCopy,typeLocations,version,id,fqId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,infraspecies,pageAsText,wfoId,bhlLink,typeCoordinates,speciesAuthor,typeRemarks,typeNote,collectionDate2,bibliographicReference,bibliographicTypeInfo,typeChosenBy,typeName,originalRemarks,originalTaxonDistribution
Allamanda_alagoana,J.W.Alves-Silva & T.S.Coutinho,J.W.Alves-Silva & T.S.Coutinho,,spec.,/n/77327135-1,Apocynaceae,Allamanda,alagoana,tax. nov.,1829,J.W. Alves-Silva et al.,15 Nov 2022,"Alagoas (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,FALSE,"Flexeiras, Fazenda Jitituba",,Phytotaxa,2023,13 Sep 2023,613(2): 188,20011462-1,citation,Phytotaxa 613(2): 188. 2023 [13 Sep 2023] [epublished],[epublished],"doi:10.11646/phytotaxa.613.2.8 Etymology: name refers to the endemic distribution of the species in the state of Alagoas, Brazil.",FALSE,TRUE,holotype MAC;isotype UFMT,1.1,77327135-1,urn:lsid:ipni.org:names:77327135-1,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anechites_amazonicus,Markgr.,Markgr.,,spec.,/n/13195-2,Apocynaceae,Anechites,amazonicus,tax. nov.,RB17480,A.Ducke,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Notizbl. Bot. Gart. Berlin-Dahlem,1926,NA,9: 960,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 9: 960. 1926 ,NA,NA,FALSE,TRUE,lectotype RB,1.2.2.1,13195-2,urn:lsid:ipni.org:names:13195-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,wfo-0000972764,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1926&rft.spage=960&rft.volume=9&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anisolobus_lancifolius,K.Schum.,K.Schum.,,spec.,/n/13986-2,Apocynaceae,Anisolobus,lancifolius,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bull. Soc. Bot. France,1910,NA,57(Mém. 3e): 455,578-2,citation,Bull. Soc. Bot. France 57(Mém. 3e): 455. 1910 ,NA,NA,FALSE,TRUE,NA,1.3,13986-2,urn:lsid:ipni.org:names:13986-2,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aspidosperma_ellipsocarpum,Duarte,Duarte,,spec.,/n/60466409-2,Apocynaceae,Aspidosperma,ellipsocarpum,tax. nov.,9664,A. P. Duarte,27 Mar 1966,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,FALSE,"forests of Rio Doce valley beside the Rio-Bahia highway, near km 751",,Bol. Mus. Hist. Nat. Univ. Fed. Minas Gerais,1968,Oct 1968,"1: 9, fig. 3",16544-2,citation,"Bol. Mus. Hist. Nat. Univ. Fed. Minas Gerais 1: 9, fig. 3. 1968 [Oct 1968] ",NA,NA,FALSE,TRUE,holotype RB,1.1,60466409-2,urn:lsid:ipni.org:names:60466409-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,wfo-0001354140,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aspidosperma_gilbertii,Duarte,Duarte,,spec.,/n/60466408-2,Apocynaceae,Aspidosperma,gilbertii,tax. nov.,NA,"A. P. Duarte, B. Gilbert, E. B. Heringer &amp; Edmundo Pereira",25 Oct 1965,Brazil (Southern America),FALSE,FALSE,TRUE,sandstone outcrop beside the Brasilia-Fortaleza road,,Bol. Mus. Hist. Nat. Univ. Fed. Minas Gerais,1968,Oct 1968,"1: 6, fig. 2",16544-2,citation,"Bol. Mus. Hist. Nat. Univ. Fed. Minas Gerais 1: 6, fig. 2. 1968 [Oct 1968] ",NA,"Eponymy: Benjamin Gilbert, a chemist",FALSE,TRUE,holotype RB,1.1,60466408-2,urn:lsid:ipni.org:names:60466408-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,wfo-0001329950,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aspidosperma_heringeri,Duarte,Duarte,,spec.,/n/60466407-2,Apocynaceae,Aspidosperma,heringeri,tax. nov.,10746,E. P. Heringer,Oct 1965,Brazil (Southern America),FALSE,FALSE,TRUE,"vicinity of Brasilia, in the humid brush of Catetinho",,Bol. Mus. Hist. Nat. Univ. Fed. Minas Gerais,1968,Oct 1968,"1: 2, fig. 1",16544-2,citation,"Bol. Mus. Hist. Nat. Univ. Fed. Minas Gerais 1: 2, fig. 1. 1968 [Oct 1968] (as heringerii)",(as heringerii),"Eponymy: Ezechias Paulo Heringer, a botanist & friend of the author",FALSE,TRUE,holotype RB,1.1.2.1,60466407-2,urn:lsid:ipni.org:names:60466407-2,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,wfo-0001329949,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Couma_pentaphylla,Huber,Huber,,spec.,/n/67220-2,Apocynaceae,Couma,pentaphylla,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bol. Mus. Paraense Emilio Goeldi,1913,NA,7: 124,6736-2,citation,Bol. Mus. Paraense Emilio Goeldi 7: 124. 1913 Nomen nudum,Nomen nudum,NA,FALSE,TRUE,NA,1.2,67220-2,urn:lsid:ipni.org:names:67220-2,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dipladenia_ayuruocana,Glaz.,Glaz.,,spec.,/n/81424-2,Apocynaceae,Dipladenia,ayuruocana,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bull. Soc. Bot. France,1910,NA,57(Mém. 3e): 458,578-2,citation,Bull. Soc. Bot. France 57(Mém. 3e): 458. 1910 ,NA,NA,FALSE,TRUE,NA,1.3,81424-2,urn:lsid:ipni.org:names:81424-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,wfo-0001072475,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echites_densevenulosus,Stadelm.,Stadelm.,,spec.,/n/318446-2,Apocynaceae,Echites,densevenulosus,tax. nov.,s.n.,C.F.P.Martius,NA,"Porto d'Estrella, Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Flora,1841,NA,"24(1, Beibl.): 47",648-2,citation,"Flora 24(1, Beibl.): 47. 1841 ",NA,NA,FALSE,TRUE,lectotype M,1.3.2.1.1.2,318446-2,urn:lsid:ipni.org:names:318446-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,wfo-0000947523,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echites_sampaionis,Herter,Herter,,spec.,/n/88721-2,Apocynaceae,Echites,sampaionis,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Arq. Mus. Nac. Rio de Janeiro,1916,NA,"18: 13, 28",3790-2,citation,"Arq. Mus. Nac. Rio de Janeiro 18: 13, 28. 1916 ",NA,NA,FALSE,TRUE,NA,1.3.2.1,88721-2,urn:lsid:ipni.org:names:88721-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,wfo-0001072421,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
