name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,collectionNumber,collectorTeam,publicationYearNote,referenceRemarks,remarks,typeLocations,wfoId,pageAsText,infraspecies,speciesAuthor,collectionDate1,locality,typeCoordinates
Dichapetalum_amazonicum,K.Krause ex Mildbr.,K.Krause ex Mildbr.,,spec.,/n/79405-2,Dichapetalaceae,Dichapetalum,amazonicum,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,FALSE,,Notizbl. Bot. Gart. Berlin-Dahlem,1931,11: 135,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 11: 135. 1931 ,FALSE,TRUE,1.3,79405-2,urn:lsid:ipni.org:names:79405-2,FALSE,FALSE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1931&rft.spage=135&rft.volume=11&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dichapetalum_coelhoorum,Prance,Prance,,spec.,/n/79411-2,Dichapetalaceae,Dichapetalum,coelhoorum,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Fl. Neotrop. Monogr.,1972,"10: 22, figs.. 7A-E, 10",944-2,citation,"Fl. Neotrop. Monogr. 10: 22, figs.. 7A-E, 10. 1972 [20 Apr 1972] (as coelhoi)",FALSE,TRUE,1.2.2.1,79411-2,urn:lsid:ipni.org:names:79411-2,TRUE,TRUE,TRUE,FALSE,FALSE,NA,68-119," L.Coelho, J.Lima,B.W.de Albuquerque",20 Apr 1972,(as coelhoi),"Eponymy (p. 24): ... Coelho brothers, Luiz and Dionisio”",holotype NY,wfo-0000645155,NA,NA,NA,NA,NA,
