name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectorTeam,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,collectionNumber,collectionDate1,locality,typeCoordinates,typeLocations,referenceRemarks,remarks,pageAsText,infraspecies,speciesAuthor
Chionanthus_monteazulensis,Zavatin & Lombardi,Zavatin & Lombardi,,spec.,/n/77323784-1,Oleaceae,Chionanthus,monteazulensis,tax. nov.,D.A. Zavatin et al.,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,FALSE,,Phytotaxa,2023,20 Jul 2023,603(3): 290,20011462-1,citation,Phytotaxa 603(3): 290. 2023 [20 Jul 2023] [epublished],FALSE,TRUE,1.1,77323784-1,urn:lsid:ipni.org:names:77323784-1,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,1015,4 Oct 2022,"Monte Azul, Serra dos Marombas, 1165 m",,holotype SPF;isotype HRCB;isotype P,[epublished],doi:10.11646/phytotaxa.603.3.8,NA,NA,NA
Linociera_mandiocana,Glaz.,Glaz.,,spec.,/n/140737-2,Oleaceae,Linociera,mandiocana,tax. nov.,NA,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1910,NA,57(Mém. 3e): 448,578-2,citation,Bull. Soc. Bot. France 57(Mém. 3e): 448. 1910 ,FALSE,TRUE,1.4,140737-2,urn:lsid:ipni.org:names:140737-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
