name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,pageAsText,publicationYearNote,collectionNumber,collectorTeam,infraspecies,referenceRemarks,speciesAuthor,typeLocations,remarks,collectionDate1,locality,typeCoordinates,originalTaxonDistribution,nameStatus,nameStatusType,bibliographicReference,bibliographicTypeInfo,typeChosenBy,typeNote,typeRemarks
Oxalis_lutzelburgii,R.Knuth,R.Knuth,,spec.,/n/178189-2,Oxalidaceae,Oxalis,lutzelburgii,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Notizbl. Bot. Gart. Berlin-Dahlem,1923,8: 425,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 8: 425. 1923 ,FALSE,TRUE,1.1.2.2.1.1,178189-2,urn:lsid:ipni.org:names:178189-2,wfo-0001276411,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1923&rft.spage=425&rft.volume=8&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_mairaryensis,R.Knuth,R.Knuth,,spec.,/n/178206-2,Oxalidaceae,Oxalis,mairaryensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Notizbl. Bot. Gart. Berlin-Dahlem,1919,7: 289,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 7: 289. 1919 ,FALSE,TRUE,1.1.2.2.1.2,178206-2,urn:lsid:ipni.org:names:178206-2,wfo-0000387413,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1919&rft.spage=289&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_mattogrossensis,Fredr.,Fredr.,,spec.,/n/178218-2,Oxalidaceae,Oxalis,mattogrossensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bih. Kongl. Svenska Vetensk.-Akad. Handl.,1896,"22, Afd. 3, No. 10: 9, pl. 1",546-2,citation,"Bih. Kongl. Svenska Vetensk.-Akad. Handl. 22, Afd. 3, No. 10: 9, pl. 1. 1896 ",FALSE,TRUE,1.1.2.2.1.3,178218-2,urn:lsid:ipni.org:names:178218-2,wfo-0001089417,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_noronhae,Oliv. in Hook.,Oliv. in Hook.,,spec.,/n/281883-2,Oxalidaceae,Oxalis,noronhae,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Hooker's Icon. Pl.,1877,"13: 21, t. 1226",967-2,citation,"Hooker's Icon. Pl. 13: 21, t. 1226. 1877 ",FALSE,TRUE,1.2.2.2.1.2,281883-2,urn:lsid:ipni.org:names:281883-2,wfo-0001276410,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1877&rft.spage=21&rft.volume=13&rft_id=http://www.biodiversitylibrary.org/bibliography/16059&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,s.n.,C.R.Darwin,NA,NA,NA,lectotype K,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_pernambucensis,R.Knuth,R.Knuth,,spec.,/n/178329-2,Oxalidaceae,Oxalis,pernambucensis,tax. nov.,"Pernambuco (Brazil, Southern America)",FALSE,FALSE,TRUE,,Repert. Spec. Nov. Regni Veg.,1940,48: 2,788-2,citation,Repert. Spec. Nov. Regni Veg. 48: 2. 1940 ,FALSE,TRUE,1.1.2.2.1.2,178329-2,urn:lsid:ipni.org:names:178329-2,wfo-0000386851,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1940&rft.spage=2&rft.volume=48&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_piauhyensis,R.Knuth,R.Knuth,,spec.,/n/178337-2,Oxalidaceae,Oxalis,piauhyensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Notizbl. Bot. Gart. Berlin-Dahlem,1919,7: 294,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 7: 294. 1919 ,FALSE,TRUE,1.1.2.2.1.2,178337-2,urn:lsid:ipni.org:names:178337-2,wfo-0001089430,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1919&rft.spage=294&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_praetervisa,R.Knuth,R.Knuth,,spec.,/n/178365-2,Oxalidaceae,Oxalis,praetervisa,tax. nov.,"Ceará (Brazil, Southern America)",FALSE,FALSE,TRUE,,Pflanzenr. (Engler),1930,"[Heft 95] 4, Fam. 130: 51",3295-2,citation,"Pflanzenr. (Engler) [Heft 95] 4, Fam. 130: 51. 1930 ",FALSE,TRUE,1.1.2.2.1.2,178365-2,urn:lsid:ipni.org:names:178365-2,wfo-0000386724,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_riedelii,Norlind,Norlind,,spec.,/n/178423-2,Oxalidaceae,Oxalis,riedelii,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Ark. Bot.,1926,"20A, no. 4: 15, pl. 2, fig. 3",536-2,citation,"Ark. Bot. 20A, no. 4: 15, pl. 2, fig. 3. 1926 ",FALSE,TRUE,1.1.2.2.1.2,178423-2,urn:lsid:ipni.org:names:178423-2,wfo-0000386761,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_sylvicola,Ridl.,Ridl.,,spec.,/n/178523-2,Oxalidaceae,Oxalis,sylvicola,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,"J. Linn. Soc., Bot.",1890,"27: 25, pl. 2",682-2,citation,"J. Linn. Soc., Bot. 27: 25, pl. 2. 1890 ",FALSE,TRUE,1.1.2.2.1.2,178523-2,urn:lsid:ipni.org:names:178523-2,wfo-0000387054,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1890&rft.spage=25&rft.volume=27&rft_id=http://www.biodiversitylibrary.org/bibliography/350&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_tenuicalyculata,R.Knuth,R.Knuth,,spec.,/n/178531-2,Oxalidaceae,Oxalis,tenuicalyculata,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Notizbl. Bot. Gart. Berlin-Dahlem,1919,7: 293,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 7: 293. 1919 ,FALSE,TRUE,1.1.2.2.1.2,178531-2,urn:lsid:ipni.org:names:178531-2,wfo-0000387073,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1919&rft.spage=293&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_tubarensis,R.Knuth,R.Knuth,,spec.,/n/178565-2,Oxalidaceae,Oxalis,tubarensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Notizbl. Bot. Gart. Berlin-Dahlem,1919,7: 310,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 7: 310. 1919 ,FALSE,TRUE,1.1.2.2.1.1,178565-2,urn:lsid:ipni.org:names:178565-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1919&rft.spage=310&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_werdermannii,R.Knuth,R.Knuth,,spec.,/n/178600-2,Oxalidaceae,Oxalis,werdermannii,tax. nov.,"Pernambuco (Brazil, Southern America)",FALSE,FALSE,TRUE,,Repert. Spec. Nov. Regni Veg.,1935,38: 196,788-2,citation,Repert. Spec. Nov. Regni Veg. 38: 196. 1935 ,FALSE,TRUE,1.1.2.2.1.2,178600-2,urn:lsid:ipni.org:names:178600-2,wfo-0000390771,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=196&rft.volume=38&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
