name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,bibliographicReference,citationType,collectionNumber,collectorTeam,collectionDate1,distribution,hybrid,hybridGenus,inPowo,locality,pageAsText,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeChosenBy,typeLocations,version,id,fqId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,infraspecies,speciesAuthor,originalTaxonDistribution,publicationYearNote,referenceRemarks,remarks,typeCoordinates,originalRemarks,nameStatus,nameStatusType,typeNote,bibliographicTypeInfo,typeName,typeRemarks,originalBasionymAuthorTeam,wfoId,basionymAuthorStr,collectionDate2
Austrocephalocereus_albicephalus,Buining & Brederoo,Buining & Brederoo,,spec.,/n/27097-2,Cactaceae,Austrocephalocereus,albicephalus,NA,tax. nov.,H348,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Kakteen And. Sukk.,1973,"24(4): 73 (-75), figs",3349-2,citation,"Kakteen And. Sukk. 24(4): 73 (-75), figs. 1973 ",FALSE,TRUE,NA,holotype U,1.3,27097-2,urn:lsid:ipni.org:names:27097-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austrocephalocereus_dolichospermaticus,Buining & Brederoo,Buining & Brederoo,,spec.,/n/27098-2,Cactaceae,Austrocephalocereus,dolichospermaticus,NA,tax. nov.,H395,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Kakteen And. Sukk.,1974,"25(4): 76 (-77), fig",3349-2,citation,"Kakteen And. Sukk. 25(4): 76 (-77), fig. 1974 ",FALSE,TRUE,NA,holotype U,1.4,27098-2,urn:lsid:ipni.org:names:27098-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austrocephalocereus_estevesii,Buining & Brederoo,Buining & Brederoo,,spec.,/n/27100-2,Cactaceae,Austrocephalocereus,estevesii,NA,tax. nov.,H432,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Cact. Succ. J. (Los Angeles),1975,"47: 267 (-271), figs",1964-2,citation,"Cact. Succ. J. (Los Angeles) 47: 267 (-271), figs. 1975 ",FALSE,TRUE,NA,holotype U,1.5,27100-2,urn:lsid:ipni.org:names:27100-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Borzicactus_madisoniorum,Hutchison,Hutchison,,spec.,/n/35128-2,Cactaceae,Borzicactus,madisoniorum,NA,tax. nov.,NA,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,NA,,Cact. Succ. J. (Los Angeles),1963,35: 167,1964-2,citation,Cact. Succ. J. (Los Angeles) 35: 167. 1963 ,FALSE,TRUE,NA,NA,1.6,35128-2,urn:lsid:ipni.org:names:35128-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brasilicereus_breviflorus,F.Ritter,F.Ritter,,spec.,/n/273454-2,Cactaceae,Brasilicereus,breviflorus,NA,tax. nov.,1337,F.Ritter,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Kakteen Südamerika,1979,"1: 228, fig",11126-2,citation,"Kakteen Südamerika 1: 228, fig. 1979 ",FALSE,TRUE,NA,holotype U,1.3,273454-2,urn:lsid:ipni.org:names:273454-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brasiliparodia_catarinensis,F.Ritter,F.Ritter,,spec.,/n/36128-2,Cactaceae,Brasiliparodia,catarinensis,NA,tax. nov.,1401a,F.Ritter,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Kakteen Südamerika,1979,1: 152,11126-2,citation,Kakteen Südamerika 1: 152. 1979 ,FALSE,TRUE,NA,holotype U,1.4,36128-2,urn:lsid:ipni.org:names:36128-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"According to Doweld [Succulenty (Moscow) 2(3): 24. 1999], F. Ritter did not indicate a HT. for this species",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buiningia_brevicylindrica,Buining in Krainz,Buining in Krainz,,spec.,/n/37915-2,Cactaceae,Buiningia,brevicylindrica,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Kakteen (H. Krainz),1971,"CIV, fig",14712-2,citation,"Kakteen (H. Krainz) CIV, fig. 1971 ",FALSE,TRUE,NA,holotype ZSS,1.4,37915-2,urn:lsid:ipni.org:names:37915-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cactus_bahiensis,Britton & Rose,Britton & Rose,,spec.,/n/39524-2,Cactaceae,Cactus,bahiensis,Cacti Eastern Brazil 374. 2004 ,tax. nov.,19935,Rose; Russell,NA,Brazil (Southern America),FALSE,FALSE,TRUE,"Bahia, Mun. Marcionílio Sousa",32127558,,Cactaceae (Britton & Rose),1922,3: 234,9105-2,citation,Cactaceae (Britton & Rose) 3: 234. 1922 ,FALSE,TRUE,N.P.Taylor &amp; Zappi,lectotype US,1.1.2.1.1.2,39524-2,urn:lsid:ipni.org:names:39524-2,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/32127558&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cactus_teres,Vell.,Vell.,,spec.,/n/309825-2,Cactaceae,Cactus,teres,NA,tax. nov.,NA,NA,NA,"Baia de Guanabara, Mun. Niteroi, Island of Santa Cruz, Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,NA,,Fl. Flumin.,1829,207,932-2,citation,Fl. Flumin. 207. 1829 [1825 publ. 7 Sep-28 Nov 1829] ,FALSE,TRUE,NA,NA,1.7,309825-2,urn:lsid:ipni.org:names:309825-2,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.spage=207&rft_id=http://www.biodiversitylibrary.org/bibliography/745&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,1825 publ. 7 Sep-28 Nov 1829,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cactus_tunicatus,Lehm.,Lehm.,,spec.,/n/39928-2,Cactaceae,Cactus,tunicatus,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Index Seminum [Hamburg],1827,"16, adnot. 6",20008491-2,citation,"Index Seminum [Hamburg] 16, adnot. 6. 1827 ",FALSE,TRUE,NA,NA,1.5.2.1.1.1,39928-2,urn:lsid:ipni.org:names:39928-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,Lehmann cited the name as: Cactus tunicatus. (Cereus.),,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cactus_zehntneri,Britton & Rose,Britton & Rose,,spec.,/n/39952-2,Cactaceae,Cactus,zehntneri,Cacti Eastern Brazil 383. 2004 ,tax. nov.,19728,Rose; Russell,NA,Brazil (Southern America),FALSE,FALSE,TRUE,"Bahia, Mun. Juazeiro",32127560,,Cactaceae (Britton & Rose),1922,"3: 236, fig. 248",9105-2,citation,"Cactaceae (Britton & Rose) 3: 236, fig. 248. 1922 ",FALSE,TRUE,N.P.Taylor &amp; Zappi,lectotype US,1.1.2.1.1.1.1.4,39952-2,urn:lsid:ipni.org:names:39952-2,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/32127560&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephalocereus_machrisii,E.Y.Dawson,E.Y.Dawson,,spec.,/n/52163-2,Cactaceae,Cephalocereus,machrisii,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Los Angeles County Mus. Contr. Sci.,1957,"10: 1, t. 1-3",3700-2,citation,"Los Angeles County Mus. Contr. Sci. 10: 1, t. 1-3. 1957 ",FALSE,TRUE,NA,NA,1.4,52163-2,urn:lsid:ipni.org:names:52163-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephalocereus_purpureus,Gürke,Gürke,,spec.,/n/52189-2,Cactaceae,Cephalocereus,purpureus,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Monatsschr. Kakteenk.,1908,18: 86,5497-2,citation,Monatsschr. Kakteenk. 18: 86. 1908 ,FALSE,TRUE,NA,NA,1.4,52189-2,urn:lsid:ipni.org:names:52189-2,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=86&rft.volume=18&rft_id=http://www.biodiversitylibrary.org/bibliography/51655&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephalocereus_ulei,Gürke,Gürke,,spec.,/n/52211-2,Cactaceae,Cephalocereus,ulei,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Monatsschr. Kakteenk.,1908,18: 85,5497-2,citation,Monatsschr. Kakteenk. 18: 85. 1908 ,FALSE,TRUE,NA,NA,1.4,52211-2,urn:lsid:ipni.org:names:52211-2,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=85&rft.volume=18&rft_id=http://www.biodiversitylibrary.org/bibliography/51655&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereus_adscendens,Gürke,Gürke,,spec.,/n/52761-2,Cactaceae,Cereus,adscendens,Cacti Eastern Brazil 426. 2004 ,tax. nov.,7072,Ule,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Monatsschr. Kakteenk.,1908,18: 66,5497-2,citation,Monatsschr. Kakteenk. 18: 66. 1908 ,FALSE,TRUE,N.P.Taylor &amp; Zappi,lectotype B,1.1.2.4.1.2,52761-2,urn:lsid:ipni.org:names:52761-2,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=66&rft.volume=18&rft_id=http://www.biodiversitylibrary.org/bibliography/51655&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereus_baumannii,Lem.,Lem.,,spec.,/n/30379877-2,Cactaceae,Cereus,baumannii,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Hort. Universel,1844,5: 126 (-127),9951-2,citation,Hort. Universel 5: 126 (-127). 1844 (as baumanni),FALSE,TRUE,NA,NA,1.1.2.3,30379877-2,urn:lsid:ipni.org:names:30379877-2,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,(as baumanni),specific name honors: Constantin Auguste Napoléon Baumann (1804-1884).,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereus_baumannii,Fenzl,Fenzl,,spec.,/n/52811-2,Cactaceae,Cereus,baumannii,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,NA,,Verh. K.K. Zool.-Bot. Ges. Wien,1886,36: 294,5616-2,citation,"Verh. K.K. Zool.-Bot. Ges. Wien 36: 294. 1886 , as 'baumanni'",FALSE,TRUE,NA,NA,1.1.2.3.1.1.2.1.1.2,52811-2,urn:lsid:ipni.org:names:52811-2,TRUE,FALSE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1886&rft.spage=294&rft.volume=36&rft_id=http://www.biodiversitylibrary.org/bibliography/13275&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,as 'baumanni',NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereus_coccineus,DC.,DC.,,spec.,/n/52898-2,Cactaceae,Cereus,coccineus,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,153271,,Prodr. [A. P. de Candolle],1828,3: 469,1051-2,citation,Prodr. [A. P. de Candolle] 3: 469. 1828 [mid Mar 1828] ,FALSE,TRUE,NA,NA,1.1.2.2.1.1.2.1.1.3,52898-2,urn:lsid:ipni.org:names:52898-2,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/153271&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,mid Mar 1828,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereus_crassisepalus,Buining & Brederoo,Buining & Brederoo,,spec.,/n/52921-2,Cactaceae,Cereus,crassisepalus,NA,tax. nov.,HU 169,W.Uebelmann &amp; L.Horst,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Kakteen (H. Krainz),1973,CIVb. Lief. 53,14712-2,citation,Kakteen (H. Krainz) CIVb. Lief. 53. 1973 ,FALSE,TRUE,NA,holotype U,1.1.2.3.1.4,52921-2,urn:lsid:ipni.org:names:52921-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereus_dybowskii,Rol.-Goss.,Rol.-Goss.,,spec.,/n/52944-2,Cactaceae,Cereus,dybowskii,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,327328,,Bull. Soc. Bot. France,1909,55: 695,578-2,citation,Bull. Soc. Bot. France 55: 695. 1909 ,FALSE,TRUE,NA,NA,1.1.2.3.1.3,52944-2,urn:lsid:ipni.org:names:52944-2,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/327328&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereus_goebelianus,Vaupel,Vaupel,,spec.,/n/52999-2,Cactaceae,Cereus,goebelianus,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Z. Sukkulentenk.,1923,1923: 58,8633-2,citation,Z. Sukkulentenk. 1923: 58. ,FALSE,TRUE,NA,NA,1.1.2.3.1.2,52999-2,urn:lsid:ipni.org:names:52999-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereus_leucostele,Gürke,Gürke,,spec.,/n/53090-2,Cactaceae,Cereus,leucostele,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Monatsschr. Kakteenk.,1908,18: 53,5497-2,citation,Monatsschr. Kakteenk. 18: 53. 1908 ,FALSE,TRUE,NA,NA,1.1.2.3.1.2,53090-2,urn:lsid:ipni.org:names:53090-2,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=53&rft.volume=18&rft_id=http://www.biodiversitylibrary.org/bibliography/51655&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereus_luetzelburgii,Vaupel,Vaupel,,spec.,/n/53100-2,Cactaceae,Cereus,luetzelburgii,NA,tax. nov.,22,P.von Lützelburg,NA,"Bahia (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,NA,,Z. Sukkulentenk.,1923,1923: 57,8633-2,citation,Z. Sukkulentenk. 1923: 57. ,FALSE,TRUE,NA,null B,1.1.2.3.1.3,53100-2,urn:lsid:ipni.org:names:53100-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereus_minensis,Werderm.,Werderm.,,spec.,/n/53132-2,Cactaceae,Cereus,minensis,Cacti Eastern Brazil 286. 2004 ,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Brasil. Sauelenkakteen,1933,93,14724-2,citation,Brasil. Sauelenkakteen 93. 1933 ,FALSE,TRUE,N.P.Taylor &amp; Zappi,NA,1.2.2.3.1.2,53132-2,urn:lsid:ipni.org:names:53132-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Published illustration,"Lectotype: Werderm., Bras. Säulenkakt.: 112, photograph captioned 'Cereus minensis Werderm.' (1933)",NA,NA,NA,NA,NA
Cereus_multiplex,Pfeiff.,Pfeiff.,,spec.,/n/30171220-2,Cactaceae,Cereus,multiplex,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Enum. Diagn. Cact.,1837,70 (-71),11074-2,citation,Enum. Diagn. Cact. 70 (-71). 1837 [19-25 Feb 1837] ,FALSE,TRUE,NA,NA,1.1.2.3.1.1,30171220-2,urn:lsid:ipni.org:names:30171220-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,19-25 Feb 1837,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
