name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,bibliographicReference,citationType,collectionNumber,collectorTeam,collectionDate1,distribution,hybrid,hybridGenus,inPowo,locality,pageAsText,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeChosenBy,typeLocations,version,id,fqId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,infraspecies,speciesAuthor,originalTaxonDistribution,publicationYearNote,referenceRemarks,remarks,typeCoordinates,originalRemarks,nameStatus,nameStatusType,typeNote,bibliographicTypeInfo,typeName,typeRemarks,originalBasionymAuthorTeam,wfoId,basionymAuthorStr,collectionDate2
Acanthocereus_albicaulis,Britton & Rose,Britton & Rose,,spec.,/n/1633-2,Cactaceae,Acanthocereus,albicaulis,Cacti Eastern Brazil 272. 2004 ,tax. nov.,19808,Rose; Russell,1915,Brazil (Southern America),FALSE,FALSE,TRUE,"Bahia, Barrinha",32089033,,Cactaceae (Britton & Rose),1920,"2: 125, fig. 187",9105-2,citation,"Cactaceae (Britton & Rose) 2: 125, fig. 187. 1920 ",FALSE,TRUE,N.P.Taylor &amp; Zappi,lectotype US,1.1.2.1.4.4,1633-2,urn:lsid:ipni.org:names:1633-2,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/32089033&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthocereus_brasiliensis,Britton & Rose,Britton & Rose,,spec.,/n/1634-2,Cactaceae,Acanthocereus,brasiliensis,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,32089033,,Cactaceae (Britton & Rose),1920,"2: 125, fig",9105-2,citation,"Cactaceae (Britton & Rose) 2: 125, fig. 1920 ",FALSE,TRUE,NA,NA,1.1.1.3,1634-2,urn:lsid:ipni.org:names:1634-2,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/32089033&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arrojadoa_beateae,P.J.Braun & Esteves,P.J.Braun & Esteves,,spec.,/n/272680-2,Cactaceae,Arrojadoa,beateae,NA,tax. nov.,261,E.Esteves Pereira,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Kakteen And. Sukk.,1989,"40: 254, figs",3349-2,citation,"Kakteen And. Sukk. 40: 254, figs. 1989 ",FALSE,TRUE,NA,holotype UFG,1.3.2.1.1.2,272680-2,urn:lsid:ipni.org:names:272680-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arrojadoa_canudosensis,Buining & Brederoo,Buining & Brederoo,,spec.,/n/20428-2,Cactaceae,Arrojadoa,canudosensis,NA,tax. nov.,NA,NA,NA,"Bahia (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,NA,,Cact. Succ. J. (Los Angeles),1972,"44: 111, figs. 1-4",1964-2,citation,"Cact. Succ. J. (Los Angeles) 44: 111, figs. 1-4. 1972 ",FALSE,TRUE,NA,holotype U,1.3.2.1.1.3,20428-2,urn:lsid:ipni.org:names:20428-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arrojadoa_flava,Gonzaga & Engels,Gonzaga & Engels,,spec.,/n/77319044-1,Cactaceae,Arrojadoa,flava,NA,tax. nov.,9.900,Engels &amp; Liebsch.,7 Sep 2022,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,FALSE,"Ibitiara, Cadeia do Espinhaço, Chapada Diamantina",NA,,Phytotaxa,2023,597(1): 74,20011462-1,citation,Phytotaxa 597(1): 74. 2023 [10 May 2023] [epublished],FALSE,TRUE,NA,holotype RB 840645;isotype UPCB,1.1,77319044-1,urn:lsid:ipni.org:names:77319044-1,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,10 May 2023,[epublished],doi:10.11646/phytotaxa.597.1.8 Etymology: the specific epithet refers to the yellow colour of the flowers.,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arrojadoa_heimenii,Van Heek & W.Strecker,Van Heek & W.Strecker,,spec.,/n/1008895-1,Cactaceae,Arrojadoa,heimenii,NA,tax. nov.,20528,P. Braun,NA,Brazil Southeast (Minas Gerais).,FALSE,FALSE,TRUE,Engenheiro Dolabela,NA,,Kakteen And. Sukk.,1999,50(6): 137 (1999),3349-2,citation,Kakteen And. Sukk. 50(6): 137 (1999). ,FALSE,TRUE,NA,holotype UFG,1.5,1008895-1,urn:lsid:ipni.org:names:1008895-1,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,Brazil Southeast (Minas Gerais).,1999,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arrojadoa_horstiana,P.J.Braun & Heimen,P.J.Braun & Heimen,,spec.,/n/20432-2,Cactaceae,Arrojadoa,horstiana,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Kakteen And. Sukk.,1981,"32: 189, figs",3349-2,citation,"Kakteen And. Sukk. 32: 189, figs. 1981 ",FALSE,TRUE,NA,NA,1.3.2.1.1.2,20432-2,urn:lsid:ipni.org:names:20432-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arrojadoa_santosii,R.M.King & H.Rob.,R.M.King & H.Rob.,,spec.,/n/20440-2,Cactaceae,Arrojadoa,santosii,NA,tax. nov.,8143,"R.M.King, T.S.dos Santos, S.A.Mori, J.L.Hage",NA,"Bahia (Brazil, Southern America)",FALSE,FALSE,FALSE,NA,NA,,Phytologia,1979,"44: 464, fig",1034-2,citation,"Phytologia 44: 464, fig. 1979 ",FALSE,TRUE,NA,holotype RB,1.3.2.1.1.1,20440-2,urn:lsid:ipni.org:names:20440-2,FALSE,FALSE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1979&rft.spage=464&rft.volume=44&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthrocereus_itabiriticola,P.J.Braun,P.J.Braun,,spec.,/n/272712-2,Cactaceae,Arthrocereus,itabiriticola,NA,tax. nov.,330,"L.Horst, W.Uebelmann",NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Kakteen And. Sukk.,1986,"37(11): 237, figs",3349-2,citation,"Kakteen And. Sukk. 37(11): 237, figs. 1986 ",FALSE,TRUE,NA,holotype ZSS,1.3,272712-2,urn:lsid:ipni.org:names:272712-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthrocereus_odorus,F.Ritter,F.Ritter,,spec.,/n/20864-2,Cactaceae,Arthrocereus,odorus,NA,tax. nov.,1354,F.Ritter,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Kakteen Südamerika,1979,"1: 225, fig",11126-2,citation,"Kakteen Südamerika 1: 225, fig. 1979 ",FALSE,TRUE,NA,holotype U,1.3,20864-2,urn:lsid:ipni.org:names:20864-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
