name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,collectionNumber,collectorTeam,collectionDate1,locality,referenceRemarks,remarks,typeLocations,typeCoordinates,pageAsText,typeRemarks,infraspecies,speciesAuthor,basionymAuthorStr,originalTaxonDistribution,originalHybridParentage,typeNote,bibliographicReference,typeChosenBy,nameStatus,nameStatusType,originalRemarks
Aechmea_correia-arauji,E.Pereira & Moutinho,E.Pereira & Moutinho,,spec.,/n/5404-2,Bromeliaceae,Aechmea,correia-arauji,tax. nov.,"Bahia (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bradea,1980,NA,"3(12): 85 (-86), fig",1276-2,citation,"Bradea 3(12): 85 (-86), fig. 1980 ",FALSE,TRUE,1.3,5404-2,urn:lsid:ipni.org:names:5404-2,wfo-0000337570,FALSE,TRUE,TRUE,FALSE,FALSE,NA,11,L.K.Correia de Araujo,NA,NA,NA,NA,holotype HB,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aechmea_emmerichii,Leme,Leme,,spec.,/n/271686-2,Bromeliaceae,Aechmea,emmerichii,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bradea,1987,NA,"4(39): 309 (-310), fig",1276-2,citation,"Bradea 4(39): 309 (-310), fig. 1987 ",FALSE,TRUE,1.2,271686-2,urn:lsid:ipni.org:names:271686-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,1048,A.Seidel,NA,NA,NA,NA,holotype HB,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aechmea_limae,Leme,Leme,,spec.,/n/77110391-1,Bromeliaceae,Aechmea,limae,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,,Phytotaxa,2011,4 Feb 2011,"16: 9(-10; fig. 2C-E, 3N-Q)",20011462-1,citation,"Phytotaxa 16: 9(-10; fig. 2C-E, 3N-Q). 2011 [4 Feb 2011] ",FALSE,TRUE,1.4,77110391-1,urn:lsid:ipni.org:names:77110391-1,wfo-0000922501,FALSE,TRUE,TRUE,FALSE,FALSE,NA,6307,Leme,Mar 2010,"Ituberá, Fazenda Michelin, Sapucaia, Mata do Pacangê",NA,"Ending of the specific epitet limai was corrected to limae in according with Art. 60.11 Note 4, Ex. 29 and Rec. 60.C.1a of the ICBN (2006)",holotype RB,,NA,Cultivated from  the material collected in May 2004 by Lima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aechmea_linharesiorum,Leme,Leme,,spec.,/n/318702-2,Bromeliaceae,Aechmea,linharesiorum,tax. nov.,"Santa Terezinha, Pedra Branca, Bahia (Brazil, Southern America)",FALSE,FALSE,TRUE,,Harvard Pap. Bot.,1999,8 Sep 1999,"4(1): 145 (-147, fig. 8)",10651-2,citation,"Harvard Pap. Bot. 4(1): 145 (-147, fig. 8). 1999 [8 Sep 1999] ",FALSE,TRUE,1.3,318702-2,urn:lsid:ipni.org:names:318702-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,2791,E.M.C.Leme,NA,NA,NA,"[Gandhi 27 Sep 1999] As linharesii; Leme stated (p. 146) that the epithet honors Sandra and Adilson Linhares. The type collection, originally collected by Sandra Linhares and Roberto Menescal in Nov 1994, flowered in cultivation.",holotype HB,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aechmea_roberto-anselmi,E.Pereira & Leme,E.Pereira & Leme,,spec.,/n/271753-2,Bromeliaceae,Aechmea,roberto-anselmi,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,J. Bromeliad Soc.,1985,NA,35: 171 (-172),3393-2,citation,J. Bromeliad Soc. 35: 171 (-172). 1985 ,FALSE,TRUE,1.3,271753-2,urn:lsid:ipni.org:names:271753-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,94,E.M.C.Leme,NA,NA,NA,NA,holotype HB,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcantarea_roberto-kautskyi,Leme,Leme,,spec.,/n/318704-2,Bromeliaceae,Alcantarea,roberto-kautskyi,tax. nov.,"Baixo Gandu, Espirito Santo (Brazil, Southern America)",FALSE,FALSE,TRUE,,Harvard Pap. Bot.,1999,8 Sep 1999,"4(1): 148 (-150, fig. 10)",10651-2,citation,"Harvard Pap. Bot. 4(1): 148 (-150, fig. 10). 1999 [8 Sep 1999] ",FALSE,TRUE,1.4,318704-2,urn:lsid:ipni.org:names:318704-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,1053,R.A.Kautsky,NA,NA,NA,"[Gandhi 27 Sep 1999] The type collection, originally collected by W. Zaslawski & E. Colnago, flowered in cultivation.",holotype HB,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ananas_genesio-linesii,Reitz,Reitz,,spec.,/n/12332-2,Bromeliaceae,Ananas,genesio-linesii,tax. nov.,"Distrito Federal (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bull. Bromeliad Soc.,1968,NA,"18: 109, figs",5109-2,citation,"Bull. Bromeliad Soc. 18: 109, figs. 1968 ",FALSE,TRUE,1.3,12332-2,urn:lsid:ipni.org:names:12332-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anoplophytum_binoti,É.Morren ex Baker,É.Morren ex Baker,,spec.,/n/14501-2,Bromeliaceae,Anoplophytum,binoti,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Handb. Bromel.,1889,Aug-Oct 1889,200,3845-2,citation,Handb. Bromel. 200. 1889 [Aug-Oct 1889] In synon,FALSE,TRUE,1.7,14501-2,urn:lsid:ipni.org:names:14501-2,wfo-0000340159,TRUE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=200&rft_id=http://www.biodiversitylibrary.org/bibliography/51681&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,In synon,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bakeria_tillandsioides,André,André,,spec.,/n/28762-2,Bromeliaceae,Bakeria,tillandsioides,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Rev. Hort. [Paris].,1889,NA,"61: 84, tab",1212-2,citation,"Rev. Hort. [Paris]. 61: 84, tab. 1889 ",FALSE,TRUE,1.2,28762-2,urn:lsid:ipni.org:names:28762-2,wfo-0000340923,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=84&rft.volume=61&rft_id=http://www.biodiversitylibrary.org/bibliography/109772&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Billbergia_celeriana,Baker,Baker,,spec.,/n/33114-2,Bromeliaceae,Billbergia,celeriana,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Handb. Bromel.,1889,Aug-Oct 1889,41,3845-2,citation,Handb. Bromel. 41. 1889 [Aug-Oct 1889] ,FALSE,TRUE,1.4,33114-2,urn:lsid:ipni.org:names:33114-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=41&rft_id=http://www.biodiversitylibrary.org/bibliography/51681&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
