name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,distribution,hybrid,hybridGenus,inPowo,pageAsText,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,infraspecies,referenceRemarks,collectionDate1,locality,speciesAuthor,bibliographicReference,typeChosenBy,bibliographicTypeInfo,nameStatus,nameStatusType,typeNote,originalRemarks,remarks
Apodanthera_bradei,Mart.Crov.,Mart.Crov.,,spec.,/n/16685-2,Cucurbitaceae,Apodanthera,bradei,tax. nov.,NA,NA,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Notul. Syst. (Paris),1954,NA,15: 44,1020-2,citation,Notul. Syst. (Paris) 15: 44. 1954 ,FALSE,TRUE,NA,1.2,16685-2,urn:lsid:ipni.org:names:16685-2,wfo-0000540764,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1954&rft.spage=44&rft.volume=15&rft_id=http://www.biodiversitylibrary.org/bibliography/314&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apodanthera_hatschbachii,C.Jeffrey,C.Jeffrey,,spec.,/n/302686-2,Cucurbitaceae,Apodanthera,hatschbachii,tax. nov.,48074," R.Kummrow,G.Hatschbach","Bahia (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Kew Bull.,1992,4 Nov 1992,47(3): 521,987-2,citation,Kew Bull. 47(3): 521. 1992 [4 Nov 1992] ,FALSE,TRUE,holotype CEPEC;isotype K,1.5,302686-2,urn:lsid:ipni.org:names:302686-2,wfo-0000540779,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apodanthera_lasiocalyx,Cogn.,Cogn.,,spec.,/n/16696-2,Cucurbitaceae,Apodanthera,lasiocalyx,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Pflanzenr. (Engler),1916,NA,"4, Fam. 275 1: 58",3295-2,citation,"Pflanzenr. (Engler) 4, Fam. 275 1: 58. 1916 ",FALSE,TRUE,NA,1.2,16696-2,urn:lsid:ipni.org:names:16696-2,wfo-0000540785,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apodanthera_trifoliata,Cogn.,Cogn.,,spec.,/n/16709-2,Cucurbitaceae,Apodanthera,trifoliata,tax. nov.,NA,NA,"Piaui (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Pflanzenr. (Engler),1916,NA,"IV, Fam. 275, I: 66",3295-2,citation,"Pflanzenr. (Engler) IV, Fam. 275, I: 66. 1916 ",FALSE,TRUE,NA,1.2,16709-2,urn:lsid:ipni.org:names:16709-2,wfo-0000540808,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cayaponia_saldanhaei,Cogn.,Cogn.,,spec.,/n/50618-2,Cucurbitaceae,Cayaponia,saldanhaei,tax. nov.,NA,NA,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Bull. Acad. Roy. Sci. Belgique,1887,NA,"ser. 3, 14: 361",9037-2,citation,"Bull. Acad. Roy. Sci. Belgique ser. 3, 14: 361. 1887 ",FALSE,TRUE,NA,1.2,50618-2,urn:lsid:ipni.org:names:50618-2,wfo-0000591622,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cayaponia_schenckii,Cogn.,Cogn.,,spec.,/n/50619-2,Cucurbitaceae,Cayaponia,schenckii,tax. nov.,NA,NA,"Santa Catarina (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Bull. Acad. Roy. Sci. Belgique,1888,NA,"ser. 3, 16: 244",9037-2,citation,"Bull. Acad. Roy. Sci. Belgique ser. 3, 16: 244. 1888 ",FALSE,TRUE,NA,1.2,50619-2,urn:lsid:ipni.org:names:50619-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cayaponia_ulei,Cogn. ex Harms,Cogn. ex Harms,,spec.,/n/50629-2,Cucurbitaceae,Cayaponia,ulei,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Repert. Spec. Nov. Regni Veg.,1926,NA,22: 342,788-2,citation,Repert. Spec. Nov. Regni Veg. 22: 342. 1926 ,FALSE,TRUE,NA,1.4,50629-2,urn:lsid:ipni.org:names:50629-2,wfo-0000591643,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1926&rft.spage=342&rft.volume=22&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyclanthera_kuhlmanniana,Toledo,Toledo,,spec.,/n/73618-2,Cucurbitaceae,Cyclanthera,kuhlmanniana,tax. nov.,NA,NA,"Sao Paulo (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Arq. Bot. Estado Sao Paulo,1952,NA,"3: 21, tab 6, fig. B",850-2,citation,"Arq. Bot. Estado Sao Paulo 3: 21, tab 6, fig. B. 1952 ",FALSE,TRUE,NA,1.3,73618-2,urn:lsid:ipni.org:names:73618-2,wfo-0000631981,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyclanthera_trigonoloba,Toledo,Toledo,,spec.,/n/73642-2,Cucurbitaceae,Cyclanthera,trigonoloba,tax. nov.,NA,NA,"Sao Paulo (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Arq. Bot. Estado Sao Paulo,1952,NA,"3: 19, tab. 5",850-2,citation,"Arq. Bot. Estado Sao Paulo 3: 19, tab. 5. 1952 ",FALSE,TRUE,NA,1.4,73642-2,urn:lsid:ipni.org:names:73642-2,wfo-0000632029,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elaterium_pickelii,Harms,Harms,,spec.,/n/89496-2,Cucurbitaceae,Elaterium,pickelii,tax. nov.,NA,NA,"Pernambuco (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Notizbl. Bot. Gart. Berlin-Dahlem,1933,NA,11: 774,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 11: 774. 1933 ,FALSE,TRUE,NA,1.2,89496-2,urn:lsid:ipni.org:names:89496-2,wfo-0000665274,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1933&rft.spage=774&rft.volume=11&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
