name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,remarks,suppressed,topCopy,typeLocations,version,id,fqId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,infraspecies,wfoId,bhlLink,pageAsText,locality,speciesAuthor,referenceRemarks,bibliographicReference,typeChosenBy,collectionDate1,typeCoordinates,typeRemarks,originalRemarks
Calolisianthus_macranthus,Gilg,Gilg,,spec.,/n/42699-2,Gentianaceae,Calolisianthus,macranthus,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1896,22 May 1896,22(2): 346,553-2,citation,Bot. Jahrb. Syst. 22(2): 346. 1896 [22 May 1896] ,NA,FALSE,TRUE,NA,1.4,42699-2,urn:lsid:ipni.org:names:42699-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,wfo-0000580890,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/206722&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,206722,NA,NA,NA,NA,NA,NA,,NA,NA
Chelonanthus_candidus,Malme,Malme,,spec.,/n/55940-2,Gentianaceae,Chelonanthus,candidus,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Ark. Bot.,1904,NA,"3, no. 12: 13, pl. 2, fig.3",536-2,citation,"Ark. Bot. 3, no. 12: 13, pl. 2, fig.3. 1904 ",NA,FALSE,TRUE,NA,1.2,55940-2,urn:lsid:ipni.org:names:55940-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,wfo-0000600696,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Erythraea_brasiliensis,Gilg-Ben.,Gilg-Ben.,,spec.,/n/96507-2,Gentianaceae,Erythraea,brasiliensis,tax. nov.,NA,NA,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,,Notizbl. Bot. Gart. Berlin-Dahlem,1933,NA,11: 903,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 11: 903. 1933 ,NA,FALSE,TRUE,NA,1.3,96507-2,urn:lsid:ipni.org:names:96507-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,wfo-0000679354,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1933&rft.spage=903&rft.volume=11&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Helia_loeseneriana,Gilg,Gilg,,spec.,/n/118837-2,Gentianaceae,Helia,loeseneriana,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1896,22 May 1896,22(2): 346,553-2,citation,Bot. Jahrb. Syst. 22(2): 346. 1896 [22 May 1896] ,NA,FALSE,TRUE,NA,1.3,118837-2,urn:lsid:ipni.org:names:118837-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,wfo-0000717201,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1896&rft.issue=2&rft.spage=346&rft.volume=22&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Lisianthius_acutangulus,Mart.,Mart.,,spec.,/n/141384-2,Gentianaceae,Lisianthius,acutangulus,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Flora,1838,NA,"21(2, Beibl.): 49)",648-2,citation,"Flora 21(2, Beibl.): 49). 1838 ",later homonym (non Ruiz & Pav. 1799).,FALSE,TRUE,NA,1.5,141384-2,urn:lsid:ipni.org:names:141384-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Lisianthius_albus,Spruce ex Progel,Spruce ex Progel,,spec.,/n/141389-2,Gentianaceae,Lisianthius,albus,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Fl. Bras. (Martius),1865,1 Dec 1865,6(1): 237,629-2,citation,Fl. Bras. (Martius) 6(1): 237. 1865 [1 Dec 1865] ,NA,FALSE,TRUE,NA,1.4.2.1.1.5,141389-2,urn:lsid:ipni.org:names:141389-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,wfo-0000364745,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/139511&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,139511,NA,NA,NA,NA,NA,NA,,NA,NA
Lisianthius_amoenus,Miq.,Miq.,,spec.,/n/141391-2,Gentianaceae,Lisianthius,amoenus,tax. nov.,NA,NA,"Pará (Brazil, Southern America)",FALSE,FALSE,TRUE,,Linnaea,1846,NA,19: 139,703-2,citation,Linnaea 19: 139. 1846 ,NA,FALSE,TRUE,NA,1.4,141391-2,urn:lsid:ipni.org:names:141391-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,wfo-0000364782,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/108513&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,108513,NA,NA,NA,NA,NA,NA,,NA,NA
Lisianthius_arboreus,Spruce ex Progel,Spruce ex Progel,,spec.,/n/315857-2,Gentianaceae,Lisianthius,arboreus,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Fl. Bras. (Martius),1865,1 Dec 1865,6(1): 240,629-2,citation,Fl. Bras. (Martius) 6(1): 240. 1865 [1 Dec 1865] ,NA,FALSE,TRUE,NA,1.7,315857-2,urn:lsid:ipni.org:names:315857-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,wfo-0001063212,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/139512&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,139512,NA,NA,NA,NA,NA,NA,,NA,NA
Lisianthius_martii,Griseb.,Griseb.,,spec.,/n/141449-2,Gentianaceae,Lisianthius,martii,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Gen. Sp. Gent.,1838,1839 publ. Oct 1838,187,4925-2,citation,Gen. Sp. Gent. 187. 1838 [1839 publ. Oct 1838] ,NA,FALSE,TRUE,NA,1.6,141449-2,urn:lsid:ipni.org:names:141449-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,wfo-0000364788,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/35366553&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,35366553,NA,NA,NA,NA,NA,NA,,NA,NA
Lisianthius_obtusifolius,Griseb.,Griseb.,,spec.,/n/141456-2,Gentianaceae,Lisianthius,obtusifolius,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Gen. Sp. Gent.,1838,1839 publ. Oct 1838,175,4925-2,citation,Gen. Sp. Gent. 175. 1838 [1839 publ. Oct 1838] ,NA,FALSE,TRUE,NA,1.5,141456-2,urn:lsid:ipni.org:names:141456-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,wfo-0000367389,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/35366541&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,35366541,NA,NA,NA,NA,NA,NA,,NA,NA
Lisianthius_spruceanus,Benth.,Benth.,,spec.,/n/141492-2,Gentianaceae,Lisianthius,spruceanus,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Hooker's J. Bot. Kew Gard. Misc.,1854,NA,6: 202,7304-2,citation,Hooker's J. Bot. Kew Gard. Misc. 6: 202. 1854 ,NA,FALSE,TRUE,NA,1.4,141492-2,urn:lsid:ipni.org:names:141492-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,wfo-0001063226,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1854&rft.spage=202&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/236&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Lisianthius_uliginosus,Griseb.,Griseb.,,spec.,/n/141500-2,Gentianaceae,Lisianthius,uliginosus,tax. nov.,s.n.,P.Salzmann,"Bahia (Brazil, Southern America)",FALSE,FALSE,TRUE,,Gen. Sp. Gent.,1838,1839 publ. Oct 1838,181,4925-2,citation,Gen. Sp. Gent. 181. 1838 [1839 publ. Oct 1838] ,NA,FALSE,TRUE,lectotype G;isotype F;isotype GH;isotype NY;isotype US,1.5,141500-2,urn:lsid:ipni.org:names:141500-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,wfo-0000364636,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/35366547&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,35366547,NA,NA,NA,NA,NA,NA,,NA,NA
Symbolanthus_baltae,Weberb. & Gilg,Weberb. & Gilg,,spec.,/n/246994-2,Gentianaceae,Symbolanthus,baltae,tax. nov.,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Repert. Spec. Nov. Regni Veg.,1906,NA,2: 56,788-2,citation,Repert. Spec. Nov. Regni Veg. 2: 56. 1906 ,NA,FALSE,TRUE,NA,1.5,246994-2,urn:lsid:ipni.org:names:246994-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,wfo-0001063244,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/234010&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,234010,NA,NA,NA,NA,NA,NA,,NA,NA
