name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,collectionNumber,collectorTeam,collectionDate1,locality,typeCoordinates,typeLocations,referenceRemarks,remarks,infraspecies,pageAsText,speciesAuthor,typeRemarks,originalRemarks,nameStatus,nameStatusType,originalTaxonDistribution
Begonia_albopicta,Regel ex Regel,Regel ex Regel,,spec.,/n/30371-2,Begoniaceae,Begonia,albopicta,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Gartenflora,1886,NA,35: 402,1200-2,citation,Gartenflora 35: 402. 1886 ,FALSE,TRUE,1.1.1.2,30371-2,urn:lsid:ipni.org:names:30371-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1886&rft.spage=402&rft.volume=35&rft_id=http://www.biodiversitylibrary.org/bibliography/6769&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Begonia_campos-portoana,Brade,Brade,,spec.,/n/30445-2,Begoniaceae,Begonia,campos-portoana,tax. nov.,"Santa Catarina (Brazil, Southern America)",FALSE,FALSE,TRUE,,Arch. Jard. Bot. Rio de Janeiro,1954,NA,"13: 85, tab. 9.",848-2,citation,"Arch. Jard. Bot. Rio de Janeiro 13: 85, tab. 9. 1954 ",FALSE,TRUE,1.3,30445-2,urn:lsid:ipni.org:names:30445-2,wfo-0000823583,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Begonia_carolineifolia,Regel,Regel,,spec.,/n/104377-1,Begoniaceae,Begonia,carolineifolia,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Gartenflora,1852,Sep 1852,1: 259 (t. 25),1200-2,citation,Gartenflora 1: 259 (t. 25). 1852 [Sep 1852] (as caroliniaefolia),FALSE,TRUE,1.2.2.1,104377-1,urn:lsid:ipni.org:names:104377-1,wfo-0000823603,TRUE,TRUE,TRUE,TRUE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1852&rft.spage=259&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/6769&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,Cultivated in Belgium,,NA,(as caroliniaefolia),NA,NA,NA,NA,NA,Mexic,NA,NA,NA
Begonia_fulvo-setulosa,Brade,Brade,,spec.,/n/30578-2,Begoniaceae,Begonia,fulvo-setulosa,tax. nov.,"Sao Paulo (Brazil, Southern America)",FALSE,FALSE,TRUE,,Arq. Serv. Florest.,1944,NA,"2, no. 1: 22, tab. 3",8356-2,citation,"Arq. Serv. Florest. 2, no. 1: 22, tab. 3. 1944 ",FALSE,TRUE,1.2,30578-2,urn:lsid:ipni.org:names:30578-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Begonia_fuscicaulis,Brade,Brade,,spec.,/n/30579-2,Begoniaceae,Begonia,fuscicaulis,tax. nov.,"Santa Catarina (Brazil, Southern America)",FALSE,FALSE,TRUE,,Arch. Jard. Bot. Rio de Janeiro,1957,NA,"15: 34, tab. 4",848-2,citation,"Arch. Jard. Bot. Rio de Janeiro 15: 34, tab. 4. 1957 as fuscocaulis",FALSE,TRUE,1.2,30579-2,urn:lsid:ipni.org:names:30579-2,NA,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,,NA,as fuscocaulis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Begonia_jairi,Brade,Brade,,spec.,/n/30671-2,Begoniaceae,Begonia,jairi,tax. nov.,"Espirito Santo (Brazil, Southern America)",FALSE,FALSE,TRUE,,Arch. Jard. Bot. Rio de Janeiro,1950,NA,"10: 135, tab. 5",848-2,citation,"Arch. Jard. Bot. Rio de Janeiro 10: 135, tab. 5. 1950 ",FALSE,TRUE,1.2,30671-2,urn:lsid:ipni.org:names:30671-2,wfo-0000824411,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Begonia_konder-reisiana,L.B.Sm. & R.C.Sm.,L.B.Sm. & R.C.Sm.,,spec.,/n/30685-2,Begoniaceae,Begonia,konder-reisiana,tax. nov.,"Santa Catarina (Brazil, Southern America)",FALSE,FALSE,TRUE,,Fl. Ilustr. Catarin.,1972,NA,"[Bego]: 35, t. 10",2164-2,citation,"Fl. Ilustr. Catarin. [Bego]: 35, t. 10. 1972 ",FALSE,TRUE,1.3,30685-2,urn:lsid:ipni.org:names:30685-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,4061,"R.Reitz, R.M.Klein",NA,NA,,holotype US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Begonia_lansbergeae,L.Linden & Rodigas,L.Linden & Rodigas,,spec.,/n/30690-2,Begoniaceae,Begonia,lansbergeae,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Ill. Hort.,1893,NA,"40: 41, pl. 174",1202-2,citation,"Ill. Hort. 40: 41, pl. 174. 1893 ",FALSE,TRUE,1.3,30690-2,urn:lsid:ipni.org:names:30690-2,wfo-0000824517,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1893&rft.spage=41&rft.volume=40&rft_id=http://www.biodiversitylibrary.org/bibliography/131&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Begonia_littoralis,M.D.Miranda & E.L.Jacques,M.D.Miranda & E.L.Jacques,,spec.,/n/77325750-1,Begoniaceae,Begonia,littoralis,tax. nov.,"São Paulo (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,FALSE,,Phytotaxa,2023,22 Aug 2023,609(2): 131,20011462-1,citation,Phytotaxa 609(2): 131. 2023 [22 Aug 2023] [epublished],FALSE,TRUE,1.1,77325750-1,urn:lsid:ipni.org:names:77325750-1,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,208,M.D.Miranda &amp; M.R.Miranda,11 Apr 2020,"Município de Ubatuba, Camburi das Pedras, estrada para Praia do Camburi, sobre pedras na cachoeira, c. 145 m",,holotype RBR RBR00055572,[epublished],doi:10.11646/phytotaxa.609.2.5,NA,NA,NA,NA,NA,NA,NA,NA
Begonia_macahensis,Glaz.,Glaz.,,spec.,/n/30726-2,Begoniaceae,Begonia,macahensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1909,NA,56(Mém. 3d): 324,578-2,citation,Bull. Soc. Bot. France 56(Mém. 3d): 324. 1909 ,FALSE,TRUE,1.3,30726-2,urn:lsid:ipni.org:names:30726-2,wfo-0001266772,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
