name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,collectionNumber,collectorTeam,remarks,typeLocations,bhlLink,publicationYearNote,infraspecies,pageAsText,referenceRemarks,collectionDate1,locality,typeCoordinates,speciesAuthor,originalBasionymAuthorTeam,originalTaxonDistribution,nameStatus,nameStatusType,typeRemarks
Piratinera_glaucifolia,Ducke,Ducke,,spec.,/n/60449804-2,Moraceae,Piratinera,glaucifolia,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Arch. Jard. Bot. Rio de Janeiro,1922,"3: 24, footnote (29)",848-2,citation,"Arch. Jard. Bot. Rio de Janeiro 3: 24, footnote (29). 1922 ",FALSE,TRUE,1.1.2.1,60449804-2,urn:lsid:ipni.org:names:60449804-2,wfo-0000510067,FALSE,TRUE,TRUE,FALSE,FALSE,17265,A. Ducke,An alternative name to Brosimum glaucifolium Ducke (1922).,holotype RB,NA,NA,NA,NA,NA,26 Aug 1918,"montium Arumanduba prope Almeirim, 1.",,NA,NA,NA,NA,NA,NA
Piratinera_lecointei,Ducke,Ducke,,spec.,/n/60449806-2,Moraceae,Piratinera,lecointei,tax. nov.,"Pará (Brazil, Southern America)",FALSE,FALSE,TRUE,,Arch. Jard. Bot. Rio de Janeiro,1922,"3: 24, footnote (28-29)",848-2,citation,"Arch. Jard. Bot. Rio de Janeiro 3: 24, footnote (28-29). 1922 (as  Le Cointei)",FALSE,TRUE,1.1.2.1,60449806-2,urn:lsid:ipni.org:names:60449806-2,wfo-0000510068,TRUE,TRUE,TRUE,FALSE,FALSE,15694,A. Ducke,"An alternative name to Brosimum lecointei Ducke (1922). The LT. information is from Berg, Fl. Neotrop. Monogr. 7: 181. 1972.",lectotype RB;isolectotype BM;isolectotype F;isolectotype G;isolectotype NY;isolectotype P;isolectotype U;isolectotype US,NA,NA,NA,NA,(as  Le Cointei),27 Feb 1915,"Oriximiná, ad flumen Trombetas inferius",,NA,NA,NA,NA,NA,NA
Piratinera_ovatifolia,Ducke,Ducke,,spec.,/n/77093741-1,Moraceae,Piratinera,ovatifolia,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Arch. Jard. Bot. Rio de Janeiro,1922,"3: 24, footnote (25-26)",848-2,citation,"Arch. Jard. Bot. Rio de Janeiro 3: 24, footnote (25-26). 1922 ",FALSE,TRUE,1.2,77093741-1,urn:lsid:ipni.org:names:77093741-1,wfo-0000510069,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,An alternative name to Brosimum ovatifolium Ducke (1922),NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Piratinera_parinarioides,Ducke,Ducke,,spec.,/n/77093742-1,Moraceae,Piratinera,parinarioides,tax. nov.,"Pará (Brazil, Southern America)",FALSE,FALSE,TRUE,,Arch. Jard. Bot. Rio de Janeiro,1922,"3: 24, footnote (27-28)",848-2,citation,"Arch. Jard. Bot. Rio de Janeiro 3: 24, footnote (27-28). 1922 ",FALSE,TRUE,1.2,77093742-1,urn:lsid:ipni.org:names:77093742-1,wfo-0000510070,FALSE,TRUE,TRUE,FALSE,FALSE,15109,A. Ducke,"An alternative name to Brosimum parinarioides Ducke (1922). The LT. information is from Berg, Fl. Neotrop. Monogr. 7: 206. 1972.",lectotype RB,NA,NA,NA,NA,NA,7 Dec 1913,"silvis ad Obidos, terris altis",,NA,NA,NA,NA,NA,NA
Piratinera_potabilis,Ducke,Ducke,,spec.,/n/77093743-1,Moraceae,Piratinera,potabilis,tax. nov.,"Pará (Brazil, Southern America)",FALSE,FALSE,TRUE,,Arch. Jard. Bot. Rio de Janeiro,1922,"3: 24, footnote (26)",848-2,citation,"Arch. Jard. Bot. Rio de Janeiro 3: 24, footnote (26). 1922 ",FALSE,TRUE,1.2,77093743-1,urn:lsid:ipni.org:names:77093743-1,wfo-0000510072,FALSE,TRUE,TRUE,FALSE,FALSE,10521,A. Ducke,"An alternative name to Brosimum potabile Ducke (1922). The LT. information is from Berg, Fl. Neotrop. Monogr. 7: 204. 1972.",lectotype RB;isolectotype B;isolectotype F;isolectotype G;isolectotype MG;isolectotype P;isolectotype US,NA,NA,NA,NA,NA,22 Jan 1910,prope Faro,,NA,NA,NA,NA,NA,NA
Piratinera_rigida,Ducke,Ducke,,spec.,/n/77093744-1,Moraceae,Piratinera,rigida,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Arch. Jard. Bot. Rio de Janeiro,1922,"3: 24, footnote (27)",848-2,citation,"Arch. Jard. Bot. Rio de Janeiro 3: 24, footnote (27). 1922 ",FALSE,TRUE,1.2,77093744-1,urn:lsid:ipni.org:names:77093744-1,wfo-0000510073,FALSE,TRUE,TRUE,FALSE,FALSE,14966,A. Ducke,An alternative name to Brosimum rigidum Ducke (1922).,holotype RB,NA,NA,NA,NA,NA,12 Oct 1913,terris altis flumina Cuminá-mirim et Ariramba (regione fluminis Trombetas) silva primaria,,NA,NA,NA,NA,NA,NA
Sorocea_ganevii,R.M.Castro,R.M.Castro,,spec.,/n/77085277-1,Moraceae,Sorocea,ganevii,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,,Neodiversity,2006,1(2): 18 (-20; fig. 4),20008383-1,citation,Neodiversity 1(2): 18 (-20; fig. 4). 2006 [25 Oct 2006] ,FALSE,TRUE,1.1,77085277-1,urn:lsid:ipni.org:names:77085277-1,wfo-0000507979,FALSE,TRUE,TRUE,FALSE,FALSE,8405,G.Pereira-Silva et al.,NA,holotype HUEFS;isotype CEN,NA,25 Oct 2006,NA,NA,NA,17 Jan 2004,"Rio de Contas, road to Jussiape, 10km from Igreja Matriz",,NA,NA,NA,NA,NA,NA
Sorocea_grandis,Warb.,Warb.,,spec.,/n/240955-2,Moraceae,Sorocea,grandis,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1913,59(Mém. 3g): 644,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 644. 1913 ,FALSE,TRUE,1.4,240955-2,urn:lsid:ipni.org:names:240955-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Sorocea_macrogyna,Lanj. & Wess.Boer,Lanj. & Wess.Boer,,spec.,/n/240963-2,Moraceae,Sorocea,macrogyna,tax. nov.,Brazil &amp; Colombia,FALSE,FALSE,TRUE,,Acta Bot. Neerl.,1962,"11: 459, tab. 10, fig. 1, 2",1640-2,citation,"Acta Bot. Neerl. 11: 459, tab. 10, fig. 1, 2. 1962 ",FALSE,TRUE,1.4,240963-2,urn:lsid:ipni.org:names:240963-2,wfo-0001084960,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Sorocea_spinosa,Warb.,Warb.,,spec.,/n/240970-2,Moraceae,Sorocea,spinosa,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1913,59(Mém. 3g): 644,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 644. 1913 ,FALSE,TRUE,1.4,240970-2,urn:lsid:ipni.org:names:240970-2,wfo-0001084703,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
