name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,collectionNumber,collectorTeam,remarks,typeLocations,bhlLink,publicationYearNote,infraspecies,pageAsText,referenceRemarks,collectionDate1,locality,typeCoordinates,speciesAuthor,originalBasionymAuthorTeam,originalTaxonDistribution,nameStatus,nameStatusType,typeRemarks
Ficus_fluminensis,Warb.,Warb.,,spec.,/n/104529-2,Moraceae,Ficus,fluminensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1913,59(Mém. 3g): 641,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 641. 1913 ,FALSE,TRUE,1.4,104529-2,urn:lsid:ipni.org:names:104529-2,wfo-0001084878,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Ficus_fulvisemma,Warb.,Warb.,,spec.,/n/104532-2,Moraceae,Ficus,fulvisemma,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1913,59(Mém. 3g): 642,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 642. 1913 ,FALSE,TRUE,1.4,104532-2,urn:lsid:ipni.org:names:104532-2,wfo-0001084880,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Ficus_fulvistipula,Warb.,Warb.,,spec.,/n/104533-2,Moraceae,Ficus,fulvistipula,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1913,59(Mém. 3g): 643,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 643. 1913 ,FALSE,TRUE,1.4,104533-2,urn:lsid:ipni.org:names:104533-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Ficus_goyazensis,Warb.,Warb.,,spec.,/n/104547-2,Moraceae,Ficus,goyazensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1913,59(Mém. 3g): 642,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 642. 1913 ,FALSE,TRUE,1.4,104547-2,urn:lsid:ipni.org:names:104547-2,wfo-0001084881,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Ficus_griseo-puberula,Warb.,Warb.,,spec.,/n/104553-2,Moraceae,Ficus,griseo-puberula,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1913,59(Mém. 3g): 641,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 641. 1913 ,FALSE,TRUE,1.4,104553-2,urn:lsid:ipni.org:names:104553-2,wfo-0001084882,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Ficus_hatsbachii,C.C.Berg & Carauta,C.C.Berg & Carauta,,spec.,/n/326805-2,Moraceae,Ficus,hatsbachii,tax. nov.,"Mun. Vila Bela da Sma. Trinidale, Rio Guaporé, between Vila Bela and Barra do Sararé, Mato Grosso (Brazil, Southern America)",FALSE,FALSE,FALSE,,Brittonia,2003,54(4): 243 (fig. 5),561-2,citation,Brittonia 54(4): 243 (fig. 5). 2003 [16 Apr 2003] ,FALSE,TRUE,1.1.2.1.1.2,326805-2,urn:lsid:ipni.org:names:326805-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,67033,G.Hatschbach et al.,NA,holotype RB;isotype BG,NA,16 Apr 2003,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Ficus_immersa,Warb.,Warb.,,spec.,/n/104574-2,Moraceae,Ficus,immersa,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1913,59(Mém. 3g): 641,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 641. 1913 ,FALSE,TRUE,1.4,104574-2,urn:lsid:ipni.org:names:104574-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Ficus_inclusa,Warb.,Warb.,,spec.,/n/104576-2,Moraceae,Ficus,inclusa,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1913,59(Mém. 3g): 642,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 642. 1913 ,FALSE,TRUE,1.4,104576-2,urn:lsid:ipni.org:names:104576-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Ficus_involucrata,Warb.,Warb.,,spec.,/n/104578-2,Moraceae,Ficus,involucrata,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1913,59(Mém. 3g): 642,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 642. 1913 ,FALSE,TRUE,1.4,104578-2,urn:lsid:ipni.org:names:104578-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Ficus_melocarpa,Warb.,Warb.,,spec.,/n/104630-2,Moraceae,Ficus,melocarpa,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1913,59(Mém. 3g): 642,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 642. 1913 ,FALSE,TRUE,1.4,104630-2,urn:lsid:ipni.org:names:104630-2,wfo-0001084884,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Ficus_mourae,Warb.,Warb.,,spec.,/n/104647-2,Moraceae,Ficus,mourae,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1913,59(Mém. 3g): 643,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 643. 1913 ,FALSE,TRUE,1.4,104647-2,urn:lsid:ipni.org:names:104647-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Ficus_nigripes,Warb.,Warb.,,spec.,/n/104654-2,Moraceae,Ficus,nigripes,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1913,59(Mém. 3g): 642,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 642. 1913 ,FALSE,TRUE,1.4,104654-2,urn:lsid:ipni.org:names:104654-2,wfo-0001084886,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Ficus_obovata,Warb.,Warb.,,spec.,/n/104657-2,Moraceae,Ficus,obovata,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1913,59(Mém. 3g): 642,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 642. 1913 ,FALSE,TRUE,1.4,104657-2,urn:lsid:ipni.org:names:104657-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Ficus_rectinervis,Warb. ex Glaz.,Warb. ex Glaz.,,spec.,/n/104701-2,Moraceae,Ficus,rectinervis,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Mém. Soc. Bot. France,1906,52(Mém. 3g): 642,720-2,citation,Mém. Soc. Bot. France 52(Mém. 3g): 642. 1906 ,FALSE,TRUE,1.5,104701-2,urn:lsid:ipni.org:names:104701-2,wfo-0001084762,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/508384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,508384,NA,NA,NA,,NA,NA,NA,nom. inval. nom. nud.,nom. inval.,NA
Ficus_sapiifolia,Warb.,Warb.,,spec.,/n/104713-2,Moraceae,Ficus,sapiifolia,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1913,59(Mém. 3g): 642,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 642. 1913 ,FALSE,TRUE,1.4,104713-2,urn:lsid:ipni.org:names:104713-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
