name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,infraspecies,originalTaxonDistribution,publicationYearNote,speciesAuthor,collectionNumber,collectorTeam,collectionDate1,locality,referenceRemarks,remarks,typeCoordinates,typeLocations,pageAsText
Claytonia_odorata,Barb.Rodr.,Barb.Rodr.,,spec.,/n/60005-2,Portulacaceae,Claytonia,odorata,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Vellosia,1888,1: 22,3884-2,citation,Vellosia 1: 22. 1888 ,FALSE,TRUE,1.2,60005-2,urn:lsid:ipni.org:names:60005-2,wfo-0000609062,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1888&rft.spage=22&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/69100&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Portulaca_catingaensis,Poelln.,Poelln.,,spec.,/n/208545-2,Portulacaceae,Portulaca,catingaensis,tax. nov.,"Pernambuco (Brazil, Southern America)",FALSE,FALSE,TRUE,,Repert. Spec. Nov. Regni Veg.,1941,50: 109,788-2,citation,Repert. Spec. Nov. Regni Veg. 50: 109. 1941 ,FALSE,TRUE,1.3,208545-2,urn:lsid:ipni.org:names:208545-2,wfo-0001265043,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1941&rft.spage=109&rft.volume=50&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Portulaca_costata,Poelln.,Poelln.,,spec.,/n/208556-2,Portulacaceae,Portulaca,costata,tax. nov.,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bol. Soc. Brot.,1941,"sér. 2, 15: 33",550-2,citation,"Bol. Soc. Brot. sér. 2, 15: 33. 1941 ",FALSE,TRUE,1.4,208556-2,urn:lsid:ipni.org:names:208556-2,wfo-0001265191,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Portulaca_diversifolia,Poelln.,Poelln.,,spec.,/n/208568-2,Portulacaceae,Portulaca,diversifolia,tax. nov.,"Rio Grande do Sul (Brazil, Southern America)",FALSE,FALSE,TRUE,,Repert. Spec. Nov. Regni Veg.,1933,33: 160,788-2,citation,Repert. Spec. Nov. Regni Veg. 33: 160. 1933 ,FALSE,TRUE,1.3,208568-2,urn:lsid:ipni.org:names:208568-2,wfo-0001265184,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1933&rft.spage=160&rft.volume=33&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Portulaca_irwinii,D.Legrand,D.Legrand,,spec.,/n/208614-2,Portulacaceae,Portulaca,irwinii,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,,Comun. Bot. Mus. Hist. Nat. Montevideo,1970,"no. 53: 2, fig",2549-2,citation,"Comun. Bot. Mus. Hist. Nat. Montevideo no. 53: 2, fig. 1970 ",FALSE,TRUE,1.3,208614-2,urn:lsid:ipni.org:names:208614-2,wfo-0000490611,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Portulaca_minutiflora,Poelln.,Poelln.,,spec.,/n/208632-2,Portulacaceae,Portulaca,minutiflora,tax. nov.,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,,Repert. Spec. Nov. Regni Veg.,1941,50: 107,788-2,citation,Repert. Spec. Nov. Regni Veg. 50: 107. 1941 ,FALSE,TRUE,1.3,208632-2,urn:lsid:ipni.org:names:208632-2,wfo-0001264867,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1941&rft.spage=107&rft.volume=50&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Portulaca_regnelliana,D.Legrand,D.Legrand,,spec.,/n/208688-2,Portulacaceae,Portulaca,regnelliana,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Comun. Bot. Mus. Hist. Nat. Montevideo,1953,"2 (no. 27): 6, tab. 3",2549-2,citation,"Comun. Bot. Mus. Hist. Nat. Montevideo 2 (no. 27): 6, tab. 3. 1953 ",FALSE,TRUE,1.3,208688-2,urn:lsid:ipni.org:names:208688-2,wfo-0001264966,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Portulaca_saxi-sacchari,Poelln.,Poelln.,,spec.,/n/208694-2,Portulacaceae,Portulaca,saxi-sacchari,tax. nov.,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,,Repert. Spec. Nov. Regni Veg.,1940,49: 210,788-2,citation,Repert. Spec. Nov. Regni Veg. 49: 210. 1940 ,FALSE,TRUE,1.2,208694-2,urn:lsid:ipni.org:names:208694-2,wfo-0001265187,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1940&rft.spage=210&rft.volume=49&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Portulaca_stipitata,D.Legrand,D.Legrand,,spec.,/n/208701-2,Portulacaceae,Portulaca,stipitata,tax. nov.,"Pernambuco (Brazil, Southern America)",FALSE,FALSE,TRUE,,Anais Reunião Sul-Amer. Bot.,1940,"3: 98, fig",4693-2,citation,"Anais Reunião Sul-Amer. Bot. 3: 98, fig. 1940 ",FALSE,TRUE,1.3,208701-2,urn:lsid:ipni.org:names:208701-2,wfo-0000489322,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Portulaca_ulei,Poelln.,Poelln.,,spec.,/n/208709-2,Portulacaceae,Portulaca,ulei,tax. nov.,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,,Repert. Spec. Nov. Regni Veg.,1941,50: 108,788-2,citation,Repert. Spec. Nov. Regni Veg. 50: 108. 1941 ,FALSE,TRUE,1.3,208709-2,urn:lsid:ipni.org:names:208709-2,wfo-0001264868,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1941&rft.spage=108&rft.volume=50&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
