name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,collectionDate1,distribution,hybrid,hybridGenus,inPowo,locality,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,referenceRemarks,remarks,suppressed,topCopy,typeCoordinates,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,infraspecies,originalTaxonDistribution,speciesAuthor,pageAsText,collectionDate2,bibliographicReference,typeChosenBy,originalBasionymAuthorTeam,nameStatus,nameStatusType,typeRemarks
Moutabea_arianiae,Jans.-Jac. & Maas,Jans.-Jac. & Maas,,spec.,/n/77104910-1,Polygalaceae,Moutabea,arianiae,tax. nov.,12298,G.Cremers,18 Apr 1991,"French Guiana (Northern South America, Southern America);Amapá (Brazil North, Brazil, Southern America);",FALSE,FALSE,TRUE,"Basin of lower Oyapock R., Savane Roche du Quatorze Juillet, 50m",,Blumea,2010,16 Apr 2010,55(1): 86 (-87; fig. 1),549-2,citation,Blumea 55(1): 86 (-87; fig. 1). 2010 [16 Apr 2010] (as arianae),(as arianae),Etymology: “in honour of Arian Jacobs-Brouwer who discovered it while studying the Polygalaceae for the Flora of the Guianas.”,FALSE,TRUE,,holotype L;isotype B;isotype CAY;isotype MO;isotype NY;isotype P;isotype US,1.1.2.1,77104910-1,urn:lsid:ipni.org:names:77104910-1,wfo-0000746781,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mundia_brasiliensis,Kunth,Kunth,,spec.,/n/60455171-2,Polygalaceae,Mundia,brasiliensis,tax. nov.,C1 1061,A. F. C. P. Saint-Hilaire,1816,"Sao Paulo (Brazil, Southern America)",FALSE,FALSE,FALSE,prov. de Saint-Paul,,Nov. Gen. Sp. [H.B.K.],1823,24 Mar 1823,5(23): 307 (ed. fol.); 392 (ed. qto.),1023-2,citation,Nov. Gen. Sp. [H.B.K.] 5(23): 307 (ed. fol.); 392 (ed. qto.). 1823 [24 Mar 1823] ,NA,NA,FALSE,TRUE,,lectotype P,1.1,60455171-2,urn:lsid:ipni.org:names:60455171-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1823&rft.issue=23&rft.spage=307&rft.volume=5&rft_id=http://www.biodiversitylibrary.org/bibliography/640&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,Novon 20(3): 320. 2010 [13 Sep 2010] ,J.F.B.Pastore &amp; D.B.O.S.Cardoso,NA,NA,NA,NA
Polygala_alfredi,Chodat,Chodat,,spec.,/n/205357-2,Polygalaceae,Polygala,alfredi,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Mém. Soc. Phys. Genève,1893,NA,"31, pt. 2, no. 2: 172, t. 21",723-2,citation,"Mém. Soc. Phys. Genève 31, pt. 2, no. 2: 172, t. 21. 1893 ",NA,NA,FALSE,TRUE,,NA,1.1.2.1.1.2,205357-2,urn:lsid:ipni.org:names:205357-2,wfo-0001100105,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polygala_bahiensis,Chodat,Chodat,,spec.,/n/205403-2,Polygalaceae,Polygala,bahiensis,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Mém. Soc. Phys. Genève,1893,NA,"31, pt. 2, no. 2: 49, t. 15",723-2,citation,"Mém. Soc. Phys. Genève 31, pt. 2, no. 2: 49, t. 15. 1893 ",NA,NA,FALSE,TRUE,,NA,1.1.2.1.1.2,205403-2,urn:lsid:ipni.org:names:205403-2,wfo-0000484416,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polygala_bennettii,Chodat,Chodat,,spec.,/n/205409-2,Polygalaceae,Polygala,bennettii,tax. nov.,NA,NA,NA,Brazil &amp; Paraguay,FALSE,FALSE,TRUE,NA,,Mém. Soc. Phys. Genève,1889,NA,"30, pt. 2, no. 8: 113, t. 32",723-2,citation,"Mém. Soc. Phys. Genève 30, pt. 2, no. 8: 113, t. 32. 1889 ",NA,NA,FALSE,TRUE,,NA,1.1.2.1.1.3,205409-2,urn:lsid:ipni.org:names:205409-2,wfo-0000484401,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polygala_bevilacquae,Marques,Marques,,spec.,/n/77061720-1,Polygalaceae,Polygala,bevilacquae,tax. nov.,393,O.Cesar,18 Jan 1985,"São Paulo (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,Itirapina,,Hoehnea,2003,30 Dec 2003,30(3): 213 (-215; fig.),2305-2,citation,Hoehnea 30(3): 213 (-215; fig.). 2003 [30 Dec 2003] ,NA,NA,FALSE,TRUE,,holotype HRCB;isotype RB,1.2,77061720-1,urn:lsid:ipni.org:names:77061720-1,wfo-0000484436,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polygala_bracteglandulosa,Chodat ex Grondona,Chodat ex Grondona,,spec.,/n/205428-2,Polygalaceae,Polygala,bracteglandulosa,tax. nov.,NA,NA,NA,"Mato Grosso (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Darwiniana,1949,NA,"9: 32, fig. 5",900-2,citation,"Darwiniana 9: 32, fig. 5. 1949 ",NA,NA,FALSE,TRUE,,NA,1.1.2.1.1.1,205428-2,urn:lsid:ipni.org:names:205428-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polygala_bringelii,J.F.B.Pastore & Antar,J.F.B.Pastore & Antar,,spec.,/n/77219129-1,Polygalaceae,Polygala,bringelii,tax. nov.,380,G.M.Antar &amp; L.F.Nascimento,24 Jan 2014,"Tocantins (Brazil North, Brazil, Southern America)",FALSE,FALSE,TRUE,"Mateiros, Próximo a Fazenda Lua Cheia, acessado pela antiga estrada São Felix Mateiros, 543 m",,Eur. J. Taxon.,2021,16 Aug 2021,762: 135,20016745-1,citation,Eur. J. Taxon. 762: 135. 2021 [16 Aug 2021] [epublished],[epublished],"doi:10.5852/ejt.2021.762.1459 The specific epithet honours Dr João Bernardo de Azevedo Bringel Junior, a prominent Brazilian synanterologist and connoisseur of the Cerrado flora.",FALSE,TRUE,,holotype CTBS 3715;isotype SPF SPF00220131,1.2,77219129-1,urn:lsid:ipni.org:names:77219129-1,wfo-1000028497,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polygala_densiflora,A.St.-Hil. & Moq.,A.St.-Hil. & Moq.,,spec.,/n/60471048-2,Polygalaceae,Polygala,densiflora,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Ann. Soc. Roy. Sci. Orléans,1828,17 Nov 1828,9: 49,20022482-1,citation,Ann. Soc. Roy. Sci. Orléans 9: 49. 1828 [17 Nov 1828] ,NA,NA,FALSE,TRUE,,NA,1.2,60471048-2,urn:lsid:ipni.org:names:60471048-2,NA,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,nom. illeg. later homonym    non Blume (1825),nom. illeg.,NA
Polygala_dichotoma,Chodat,Chodat,,spec.,/n/205498-2,Polygalaceae,Polygala,dichotoma,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Mém. Soc. Phys. Genève,1893,NA,"31, pt. 2, no. 2: 77, t. 16",723-2,citation,"Mém. Soc. Phys. Genève 31, pt. 2, no. 2: 77, t. 16. 1893 ",NA,NA,FALSE,TRUE,,NA,1.1.2.1.1.2,205498-2,urn:lsid:ipni.org:names:205498-2,wfo-0000484254,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
