name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,distribution,hybrid,hybridGenus,inPowo,pageAsText,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,publicationYearNote,collectionDate1,locality,referenceRemarks,remarks,typeCoordinates,infraspecies,speciesAuthor,nameStatus,nameStatusType,otherLinks,bibliographicReference,typeChosenBy,basionymAuthorStr,typeRemarks,originalRemarks,originalTaxonDistribution
Byrsonima_karstenii,W.R.Anderson,W.R.Anderson,,spec.,/n/273578-2,Malpighiaceae,Byrsonima,karstenii,tax. nov.,1074,T.Lasser,"Distrito Federal (Brazil, Southern America)",FALSE,FALSE,TRUE,12875042,,Contr. Univ. Michigan Herb.,1990,17: 43 (-44),1151-2,citation,Contr. Univ. Michigan Herb. 17: 43 (-44). 1990 ,FALSE,TRUE,holotype US,1.2.1.2,273578-2,urn:lsid:ipni.org:names:273578-2,wfo-0000576895,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/12875042&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Byrsonima_rubrobracteata,W.R.Anderson,W.R.Anderson,,spec.,/n/38927-2,Malpighiaceae,Byrsonima,rubrobracteata,tax. nov.,45128," R.Boyan,S.S.Tillett, C.L.Tillett","Thompson Camp, Mt. Ayanganna, upper Mazaruni River basin, 1418 m, Brazil (Southern America)",FALSE,FALSE,TRUE,NA,,Mem. New York Bot. Gard.,1981,"32: 105 (-106), fig",719-2,citation,"Mem. New York Bot. Gard. 32: 105 (-106), fig. 1981 ",FALSE,TRUE,holotype MICH,1.3,38927-2,urn:lsid:ipni.org:names:38927-2,wfo-0000577014,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1981&rft.spage=105&rft.volume=32&rft_id=http://www.biodiversitylibrary.org/bibliography/50489&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Byrsonima_spruceana,Kralik,Kralik,,spec.,/n/38941-2,Malpighiaceae,Byrsonima,spruceana,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Nat. Pflanzenfam. Nachtr. [Engler & Prantl],1897,1: 207,17977-2,citation,Nat. Pflanzenfam. Nachtr. [Engler & Prantl] 1: 207. 1897 ,FALSE,TRUE,NA,1.6,38941-2,urn:lsid:ipni.org:names:38941-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1897&rft.spage=207&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/4635&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Byrsonima_steyermarkii,W.R.Anderson,W.R.Anderson,,spec.,/n/38942-2,Malpighiaceae,Byrsonima,steyermarkii,tax. nov.,97979,J.A.Steyermark,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Mem. New York Bot. Gard.,1981,"32: 105 (-106), fig",719-2,citation,"Mem. New York Bot. Gard. 32: 105 (-106), fig. 1981 ",FALSE,TRUE,holotype VEN,1.2,38942-2,urn:lsid:ipni.org:names:38942-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1981&rft.spage=105&rft.volume=32&rft_id=http://www.biodiversitylibrary.org/bibliography/50489&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Byrsonima_uvulifera,Spruce in Nied.,Spruce in Nied.,,spec.,/n/38950-2,Malpighiaceae,Byrsonima,uvulifera,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Byrsonima,1901,"pt. 2, 37",14507-2,citation,"Byrsonima pt. 2, 37. 1901 ",FALSE,TRUE,NA,1.3,38950-2,urn:lsid:ipni.org:names:38950-2,wfo-0001076176,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camarea_glazioviana,Nied.,Nied.,,spec.,/n/43657-2,Malpighiaceae,Camarea,glazioviana,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Malpigh. Amer.,1912,2: 51,16457-2,citation,Malpigh. Amer. 2: 51. 1912 ,FALSE,TRUE,NA,1.2,43657-2,urn:lsid:ipni.org:names:43657-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clonodia_ovata,Nied.,Nied.,,spec.,/n/61348-2,Malpighiaceae,Clonodia,ovata,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg,1926,8: 62,8771-2,citation,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg 8: 62. 1926 ,FALSE,TRUE,NA,1.3,61348-2,urn:lsid:ipni.org:names:61348-2,wfo-0000612068,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clonodia_sessilis,Nied.,Nied.,,spec.,/n/61353-2,Malpighiaceae,Clonodia,sessilis,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg,1926,8: 63,8771-2,citation,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg 8: 63. 1926 ,FALSE,TRUE,NA,1.3,61353-2,urn:lsid:ipni.org:names:61353-2,wfo-0000612073,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clonodia_tenuifolia,Nied.,Nied.,,spec.,/n/61354-2,Malpighiaceae,Clonodia,tenuifolia,tax. nov.,736,Alph.Robert,"Corumba, Mato Grosso do Sul (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Meded. Rijks-Herb.,1913,19: 74,1232-2,citation,Meded. Rijks-Herb. 19: 74. 1913 ,FALSE,TRUE,lectotype BM;isotype K,1.4,61354-2,urn:lsid:ipni.org:names:61354-2,wfo-0000612074,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,[Gandhi 10 Apr 1998; LT. data],,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diacidia_aracaensis,W.R.Anderson,W.R.Anderson,,spec.,/n/78873-2,Malpighiaceae,Diacidia,aracaensis,tax. nov.,14993,J.Murca Pires,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Mem. New York Bot. Gard.,1981,"32: 68 (-70), fig",719-2,citation,"Mem. New York Bot. Gard. 32: 68 (-70), fig. 1981 ",FALSE,TRUE,holotype IAN,1.3,78873-2,urn:lsid:ipni.org:names:78873-2,wfo-0000642762,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1981&rft.spage=68&rft.volume=32&rft_id=http://www.biodiversitylibrary.org/bibliography/50489&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diacidia_duckeana,Maguire,Maguire,,spec.,/n/78875-2,Malpighiaceae,Diacidia,duckeana,tax. nov.,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Mem. New York Bot. Gard.,1953,8: 124,719-2,citation,Mem. New York Bot. Gard. 8: 124. 1953 ,FALSE,TRUE,NA,1.1.2.1.1.1,78875-2,urn:lsid:ipni.org:names:78875-2,wfo-0000642765,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1953&rft.spage=124&rft.volume=8&rft_id=http://www.biodiversitylibrary.org/bibliography/50489&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dicella_amazonica,Pires,Pires,,spec.,/n/79191-2,Malpighiaceae,Dicella,amazonica,tax. nov.,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Bol. Tecn. Inst. Agron. N.,1960,no. 38: 27,860-2,citation,Bol. Tecn. Inst. Agron. N. no. 38: 27. 1960 ,FALSE,TRUE,NA,1.3,79191-2,urn:lsid:ipni.org:names:79191-2,wfo-0000644934,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dicella_lancifolia,A.Juss.,A.Juss.,,spec.,/n/79200-2,Malpighiaceae,Dicella,lancifolia,tax. nov.,313,A.L.P.da Silva Manso,"Cuiabá, Mato Grosso (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,"Ann. Sci. Nat., Bot.",1840,"sér. 2, 8: 323",525-2,citation,"Ann. Sci. Nat., Bot. sér. 2, 8: 323. 1840 ",FALSE,TRUE,lectotype BR,1.4,79200-2,urn:lsid:ipni.org:names:79200-2,wfo-0000644945,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diplopterys_cururuensis,B.Gates,B.Gates,,spec.,/n/81737-2,Malpighiaceae,Diplopterys,cururuensis,tax. nov.,10803,W.R.Anderson,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Fl. Neotrop. Monogr.,1982,no. 30: 215,944-2,citation,Fl. Neotrop. Monogr. no. 30: 215. 1982 ,FALSE,TRUE,holotype IAN,1.3,81737-2,urn:lsid:ipni.org:names:81737-2,wfo-0000650354,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteropterys_aceroides,Griseb.,Griseb.,,spec.,/n/30036542-2,Malpighiaceae,Heteropterys,aceroides,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Linnaea,1839,13(2): 228 (-230),703-2,citation,Linnaea 13(2): 228 (-230). 1839 [Sep-Oct 1839] ,FALSE,TRUE,NA,1.1.2.1.1.1,30036542-2,urn:lsid:ipni.org:names:30036542-2,wfo-0000721345,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1839&rft.issue=2&rft.spage=228&rft.volume=13&rft_id=http://www.biodiversitylibrary.org/bibliography/626&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Sep-Oct 1839,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteropterys_ambigua,Kralik,Kralik,,spec.,/n/121130-2,Malpighiaceae,Heteropterys,ambigua,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl.",1908,79: 282,610-2,citation,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl. 79: 282. 1908 ",FALSE,TRUE,NA,1.3,121130-2,urn:lsid:ipni.org:names:121130-2,wfo-0000721356,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=282&rft.volume=79&rft_id=http://www.biodiversitylibrary.org/bibliography/6733&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteropterys_chodatiana,Skottsb.,Skottsb.,,spec.,/n/121182-2,Malpighiaceae,Heteropterys,chodatiana,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Kongl. Svenska Vetensk.-Akad. Handl.,1901,"35(6): 21, pl. 4",20010256-1,citation,"Kongl. Svenska Vetensk.-Akad. Handl. 35(6): 21, pl. 4. 1901 ",FALSE,TRUE,NA,1.4,121182-2,urn:lsid:ipni.org:names:121182-2,wfo-0000721398,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1901&rft.issue=6&rft.spage=21&rft.volume=35&rft_id=http://www.biodiversitylibrary.org/bibliography/50688&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteropterys_discolor,A.Juss.,A.Juss.,,spec.,/n/300079-2,Malpighiaceae,Heteropterys,discolor,tax. nov.,NA,A.F.C.P.de Saint-Hilaire,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Fl. Bras. Merid. (A. St.-Hil.).,1833,3(21): 32,8262-2,citation,Fl. Bras. Merid. (A. St.-Hil.). 3(21): 32. 1833 [4 Feb 1833] ,FALSE,TRUE,lectotype P,1.2.2.1.1.1,300079-2,urn:lsid:ipni.org:names:300079-2,wfo-0000721416,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1833&rft.issue=21&rft.spage=32&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/45474&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,4 Feb 1833,NA,Serra da CaraEa,NA,NA,,NA,NA,NA,NA,NA,Contr. Univ. Michigan Herb. 19: 371. 1993 ,W.R.Anderson,NA,NA,NA,NA
Heteropterys_folliana,Amorim,Amorim,,spec.,/n/77210816-1,Malpighiaceae,Heteropterys,folliana,tax. nov.,5464,D.A.Folli,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Edinburgh J. Bot.,2020,77(2): 276,12129-2,citation,"Edinburgh J. Bot. 77(2): 276. 2020 [27 Jan 2020] , as 'follianum' [epublished]",FALSE,TRUE,holotype CEPEC;isotype CVRD;isotype SP,1.1,77210816-1,urn:lsid:ipni.org:names:77210816-1,wfo-1000023095,TRUE,TRUE,TRUE,FALSE,FALSE,NA,27 Jan 2020,19 Jan 2007,"Mun. Linhares, Reserva Natural Vale, estrada municipal do MME",as 'follianum' [epublished],"doi:10.1017/S0960428619000374 The specific epithet honours Domingos A. Folli (born 1953), who collected the type of the species and is one of the most important collectors ever to work in Espírito Santo.",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteropterys_gardneriana,Nied.,Nied.,,spec.,/n/121222-2,Malpighiaceae,Heteropterys,gardneriana,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg,1903,2: 18,8771-2,citation,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg 2: 18. 1903 De genere Heteropteryge,FALSE,TRUE,NA,1.2,121222-2,urn:lsid:ipni.org:names:121222-2,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,De genere Heteropteryge,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteropterys_gigantocarpa,Skottsb.,Skottsb.,,spec.,/n/121227-2,Malpighiaceae,Heteropterys,gigantocarpa,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Kongl. Svenska Vetensk.-Akad. Handl.,1901,"35(6): 25, pl. 5",20010256-1,citation,"Kongl. Svenska Vetensk.-Akad. Handl. 35(6): 25, pl. 5. 1901 ",FALSE,TRUE,NA,1.4,121227-2,urn:lsid:ipni.org:names:121227-2,wfo-0000721430,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1901&rft.issue=6&rft.spage=25&rft.volume=35&rft_id=http://www.biodiversitylibrary.org/bibliography/50688&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteropterys_machaerophora,Nied.,Nied.,,spec.,/n/121253-2,Malpighiaceae,Heteropterys,machaerophora,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg,1903,2: 14,8771-2,citation,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg 2: 14. 1903 De genere Heteropteryge,FALSE,TRUE,NA,1.2,121253-2,urn:lsid:ipni.org:names:121253-2,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,De genere Heteropteryge,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteropterys_micans,Skottsb.,Skottsb.,,spec.,/n/121267-2,Malpighiaceae,Heteropterys,micans,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Kongl. Svenska Vetensk.-Akad. Handl.,1901,"35(6): 26, pl. 6",20010256-1,citation,"Kongl. Svenska Vetensk.-Akad. Handl. 35(6): 26, pl. 6. 1901 ",FALSE,TRUE,NA,1.4,121267-2,urn:lsid:ipni.org:names:121267-2,wfo-0001247076,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1901&rft.issue=6&rft.spage=26&rft.volume=35&rft_id=http://www.biodiversitylibrary.org/bibliography/50688&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
