name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,distribution,hybrid,hybridGenus,inPowo,pageAsText,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,publicationYearNote,collectionDate1,locality,referenceRemarks,remarks,typeCoordinates,infraspecies,speciesAuthor,nameStatus,nameStatusType,otherLinks,bibliographicReference,typeChosenBy,basionymAuthorStr,typeRemarks,originalRemarks,originalTaxonDistribution
Banisteria_prostrata,Mart.,Mart.,,spec.,/n/29101-2,Malpighiaceae,Banisteria,prostrata,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,"Stigmatoph. [Niedenzu, 1899]",1900,"pt. 2, 10",14697-2,citation,"Stigmatoph. [Niedenzu, 1899] pt. 2, 10. 1900 ",FALSE,TRUE,NA,1.2,29101-2,urn:lsid:ipni.org:names:29101-2,wfo-0001351729,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Banisteria_ternata,Vell.,Vell.,,spec.,/n/1062178-2,Malpighiaceae,Banisteria,ternata,tax. nov.,NA,NA,"Sao Paulo (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Fl. Flumin.,1829,190,932-2,citation,Fl. Flumin. 190. 1829 [dt. 1825; issued. 7 Sep-28 Nov 1829] ; later publ.: Fl. Flumin. Icon. 4: t. 159. 1831 [dt. 1827; issued 29 Oct 1831],FALSE,TRUE,NA,1.7.2.1.1.1,1062178-2,urn:lsid:ipni.org:names:1062178-2,NA,TRUE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.spage=190&rft_id=http://www.biodiversitylibrary.org/bibliography/745&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,dt. 1825; issued. 7 Sep-28 Nov 1829,NA,NA,later publ.: Fl. Flumin. Icon. 4: t. 159. 1831 [dt. 1827; issued 29 Oct 1831],NA,,NA,NA,nom. illeg. later homonym    non DC. (1824).,nom. illeg.,NA,NA,NA,NA,NA,NA,NA
Banisteria_versicolor,Mart. ex Nied.,Mart. ex Nied.,,spec.,/n/29156-2,Malpighiaceae,Banisteria,versicolor,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Pflanzenr. (Engler),1928,"[Heft 93] 4, Fam. 141: 420",3295-2,citation,"Pflanzenr. (Engler) [Heft 93] 4, Fam. 141: 420. 1928 In synon",FALSE,TRUE,NA,1.3,29156-2,urn:lsid:ipni.org:names:29156-2,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,In synon,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Banisteriopsis_macedoana,L.B.Sm.,L.B.Sm.,,spec.,/n/29224-2,Malpighiaceae,Banisteriopsis,macedoana,tax. nov.,NA,NA,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,J. Wash. Acad. Sci.,1955,"45: 198, fig. 10-12",686-2,citation,"J. Wash. Acad. Sci. 45: 198, fig. 10-12. 1955 ",FALSE,TRUE,NA,1.3,29224-2,urn:lsid:ipni.org:names:29224-2,wfo-0000559461,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1955&rft.spage=198&rft.volume=45&rft_id=http://www.biodiversitylibrary.org/bibliography/2087&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Byrsonima_cornifolia,Nied.,Nied.,,spec.,/n/38817-2,Malpighiaceae,Byrsonima,cornifolia,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Nat. Pflanzenfam. Nachtr. [Engler & Prantl],1897,1: 206,17977-2,citation,Nat. Pflanzenfam. Nachtr. [Engler & Prantl] 1: 206. 1897 ,FALSE,TRUE,NA,1.7,38817-2,urn:lsid:ipni.org:names:38817-2,wfo-0000576783,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1897&rft.spage=206&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/4635&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Byrsonima_cretacea,Nied.,Nied.,,spec.,/n/38833-2,Malpighiaceae,Byrsonima,cretacea,tax. nov.,NA,NA,Brazil (Amazonas) or Venezuela,FALSE,FALSE,TRUE,NA,,Repert. Spec. Nov. Regni Veg.,1933,33: 71,788-2,citation,Repert. Spec. Nov. Regni Veg. 33: 71. 1933 ,FALSE,TRUE,NA,1.3,38833-2,urn:lsid:ipni.org:names:38833-2,wfo-0000576809,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1933&rft.spage=71&rft.volume=33&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Byrsonima_decipiens,Nied.,Nied.,,spec.,/n/38841-2,Malpighiaceae,Byrsonima,decipiens,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Byrsonima,1901,"pt. 2, 35",14507-2,citation,"Byrsonima pt. 2, 35. 1901 ",FALSE,TRUE,NA,1.2,38841-2,urn:lsid:ipni.org:names:38841-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Byrsonima_glazioviana,Nied.,Nied.,,spec.,/n/38860-2,Malpighiaceae,Byrsonima,glazioviana,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Nat. Pflanzenfam. Nachtr. [Engler & Prantl],1897,1: 206,17977-2,citation,Nat. Pflanzenfam. Nachtr. [Engler & Prantl] 1: 206. 1897 ,FALSE,TRUE,NA,1.7,38860-2,urn:lsid:ipni.org:names:38860-2,wfo-0000576861,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1897&rft.spage=206&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/4635&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Byrsonima_grisebachiana,Nied.,Nied.,,spec.,/n/38861-2,Malpighiaceae,Byrsonima,grisebachiana,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Nat. Pflanzenfam. Nachtr. [Engler & Prantl],1897,1: 207,17977-2,citation,Nat. Pflanzenfam. Nachtr. [Engler & Prantl] 1: 207. 1897 ,FALSE,TRUE,NA,1.7,38861-2,urn:lsid:ipni.org:names:38861-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1897&rft.spage=207&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/4635&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Byrsonima_hoehneana,Nied.,Nied.,,spec.,/n/38865-2,Malpighiaceae,Byrsonima,hoehneana,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg,1926,8: 64,8771-2,citation,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg 8: 64. 1926 ,FALSE,TRUE,NA,1.3,38865-2,urn:lsid:ipni.org:names:38865-2,wfo-0000576872,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
