name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,collectionDate1,distribution,hybrid,hybridGenus,inPowo,locality,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,referenceRemarks,remarks,typeCoordinates,pageAsText,bhlLink,originalRemarks,originalTaxonDistribution,infraspecies,speciesAuthor,typeRemarks,bibliographicReference,typeChosenBy,nameStatus,nameStatusType,typeNote,collectionDate2,bibliographicTypeInfo
Cracca_corumbae,Hoehne,Hoehne,,spec.,/n/67566-2,Fabaceae,Cracca,corumbae,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas,1919,NA,"5, Bot. pt. 8: 63",16436-2,citation,"Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas 5, Bot. pt. 8: 63. 1919 (as Gracca), pl. 153",FALSE,TRUE,NA,1.3,67566-2,urn:lsid:ipni.org:names:67566-2,wfo-0000167803,TRUE,TRUE,TRUE,FALSE,FALSE,"(as Gracca), pl. 153",NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria_bahiaensis,Windler & S.G.Skinner,Windler & S.G.Skinner,,spec.,/n/69713-2,Fabaceae,Crotalaria,bahiaensis,tax. nov.,2827,J.S.Blanchet,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Phytologia,1982,NA,"50: 187, fig",1034-2,citation,"Phytologia 50: 187, fig. 1982 ",FALSE,TRUE,holotype F,1.4,69713-2,urn:lsid:ipni.org:names:69713-2,wfo-0000174891,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1982&rft.spage=187&rft.volume=50&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria_bellii,Windler & S.G.Skinner,Windler & S.G.Skinner,,spec.,/n/69717-2,Fabaceae,Crotalaria,bellii,tax. nov.,12951," R.Souza, J.W.Grear, Jr.,H.S.Irwin, R.Reis dos Santos",NA,"Ca. 30 km. N.W. of Veadeiros, Goiás (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Phytologia,1982,NA,"50: 189 (-192), fig",1034-2,citation,"Phytologia 50: 189 (-192), fig. 1982 ",FALSE,TRUE,holotype US,1.4,69717-2,urn:lsid:ipni.org:names:69717-2,wfo-0000174893,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1982&rft.spage=189&rft.volume=50&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria_brasiliensis,Windler & S.G.Skinner,Windler & S.G.Skinner,,spec.,/n/69719-2,Fabaceae,Crotalaria,brasiliensis,tax. nov.,26425,"H.S.Irwin, R.Souza, J.Ramos, S.F.de Fonseca, R.Reis dos Santos",NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Phytologia,1982,NA,"50: 194 (-196), fig",1034-2,citation,"Phytologia 50: 194 (-196), fig. 1982 ",FALSE,TRUE,holotype MO,1.4,69719-2,urn:lsid:ipni.org:names:69719-2,wfo-0000174896,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1982&rft.spage=194&rft.volume=50&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria_erecta,Pilg.,Pilg.,,spec.,/n/69727-2,Fabaceae,Crotalaria,erecta,tax. nov.,NA,NA,NA,"Mato Grosso (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Bot. Jahrb. Syst.,1901,2 Jul 1901,30(2): 159,553-2,citation,Bot. Jahrb. Syst. 30(2): 159. 1901 [2 Jul 1901] ,FALSE,TRUE,NA,1.5,69727-2,urn:lsid:ipni.org:names:69727-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,211375,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/211375&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria_mucronata,Desv.,Desv.,,spec.,/n/322609-2,Fabaceae,Crotalaria,mucronata,tax. nov.,NA,NA,NA,Naturalized in the New World (Brazil),FALSE,FALSE,TRUE,NA,,J. Bot. Agric.,1814,NA,3: 76,6414-2,citation,J. Bot. Agric. 3: 76. 1814 ,FALSE,TRUE,NA,1.3,322609-2,urn:lsid:ipni.org:names:322609-2,wfo-0000209135,FALSE,TRUE,TRUE,FALSE,FALSE,NA,[Gandhi 22 Mar 2002; NON GCI],,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1814&rft.spage=76&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/14238&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria_regnellii,Benth.,Benth.,,spec.,/n/69788-2,Fabaceae,Crotalaria,regnellii,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Linnaea,1849,NA,22: 511,703-2,citation,Linnaea 22: 511. 1849 ,FALSE,TRUE,NA,1.3,69788-2,urn:lsid:ipni.org:names:69788-2,wfo-0000176459,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1849&rft.spage=511&rft.volume=22&rft_id=http://www.biodiversitylibrary.org/bibliography/626&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria_urbaniana,Taub.,Taub.,,spec.,/n/69816-2,Fabaceae,Crotalaria,urbaniana,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Flora,1889,NA,72 (n. s. 47): 423,648-2,citation,Flora 72 (n. s. 47): 423. 1889 ,FALSE,TRUE,NA,1.3,69816-2,urn:lsid:ipni.org:names:69816-2,wfo-0000165686,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crudia_humboldtiana,Stergios,Stergios,,spec.,/n/20006334-1,Leguminosae,Crudia,humboldtiana,tax. nov.,2913,R.Spruce,Feb 1853,Brazil North (Amazonas),FALSE,FALSE,TRUE,"Rio Uaupes, in vicinity of Panuré; In rivuli ripis umbrosis inundatis decus - Panuré.",,"BioLlania, Ed. Espec.",2001,NA,7: 267,17761-2,citation,"BioLlania, Ed. Espec. 7: 267. 2001 ",FALSE,TRUE,holotype K;isotype BM;isotype NY;isotype K,1.2,20006334-1,urn:lsid:ipni.org:names:20006334-1,wfo-0000627021,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cynometra_humboldtiana,Stergios,Stergios,,spec.,/n/20006336-1,Leguminosae,Cynometra,humboldtiana,tax. nov.,4935,G.T.Prance et al,Jun 1968,Brazil North (Amazonas),FALSE,FALSE,TRUE,"Río Urubu, between Cachoeiras Lindoia and Iracema, nearer to Iracema",,"BioLlania, Ed. Espec.",2001,NA,7: 274,17761-2,citation,"BioLlania, Ed. Espec. 7: 274. 2001 ",FALSE,TRUE,holotype K;isotype A;isotype C;isotype COL;isotype F;isotype G;isotype INPA;isotype M;isotype MG;isotype MICH;isotype MO;isotype NY;isotype P;isotype R;isotype S;isotype US;isotype VEN,1.2,20006336-1,urn:lsid:ipni.org:names:20006336-1,wfo-0000634319,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cytisus_boavista,Vell.,Vell.,,spec.,/n/75708-2,Fabaceae,Cytisus,boavista,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Fl. Flumin.,1829,1825 publ. 7 Sep-28 Nov 1829,309,932-2,citation,Fl. Flumin. 309. 1829 [1825 publ. 7 Sep-28 Nov 1829] ,FALSE,TRUE,NA,1.4,75708-2,urn:lsid:ipni.org:names:75708-2,wfo-0000166721,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.spage=309&rft_id=http://www.biodiversitylibrary.org/bibliography/745&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deguelia_tenuiflora,"R.A.Camargo, R.J.Burnham & Mansano","R.A.Camargo, R.J.Burnham & Mansano",,spec.,/n/77319976-1,Fabaceae,Deguelia,tenuiflora,tax. nov.,8009,R.J.Burnham &amp; J.B.da Silva,31 May 2017,"Amazonas (Brazil North, Brazil, Southern America)",FALSE,FALSE,FALSE,"Manaus, BR-174, km 64, east on ZF-03 about 0.5 km before km 37",,Rodriguésia,2022,NA,73(e00172021): 2,1167-2,citation,Rodriguésia 73(e00172021): 2. 2022 [epublished],FALSE,TRUE,holotype INPA;isotype UEC,1.1,77319976-1,urn:lsid:ipni.org:names:77319976-1,NA,TRUE,FALSE,TRUE,FALSE,FALSE,[epublished],"doi:10.1590/2175-7860202273048 Etymology: 'The etymology refers to its fragile flower parts, in particular the petals and staminal tube'.",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delgadoa_bambuicola,"F.S.Santos, Snak & L.P.Queiroz","F.S.Santos, Snak & L.P.Queiroz",,spec.,/n/77314719-1,Leguminosae,Delgadoa,bambuicola,tax. nov.,60,"F.S. Santos, C. Snak, C. Silva &amp; F.G. Oliveira",11 Feb 2018,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,FALSE,"Santa Maria da Vitória, 600 m",,Taxon,2022,13 Oct 2022,72(1): 72,812-2,citation,Taxon 72(1): 72. 2022 [13 Oct 2022] [epublished],FALSE,TRUE,holotype HUEFS HUEFS000289559;isotype HUEFS HUEFS000233911;isotype K;isotype MEXU;isotype NY;isotype P;isotype RB,1.1,77314719-1,urn:lsid:ipni.org:names:77314719-1,NA,TRUE,FALSE,TRUE,FALSE,FALSE,[epublished],"doi:10.1002/tax.12819 Etymology: name refers to the fact that all specimens were collected on limestone outcrops belonging to the Bambuí group, a mixed sedimentary geology which covers more than 300,000 km2 of the São Francisco Craton in east-central Brazil.",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium_dutrae,Malme,Malme,,spec.,/n/78417-2,Leguminosae,Desmodium,dutrae,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Ark. Bot.,1922,NA,"18, no. 7: 10, pl. 3",536-2,citation,"Ark. Bot. 18, no. 7: 10, pl. 3. 1922 ",FALSE,TRUE,NA,1.4,78417-2,urn:lsid:ipni.org:names:78417-2,wfo-0000170288,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium_pabulare,Hoehne,Hoehne,,spec.,/n/78508-2,Fabaceae,Desmodium,pabulare,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Chacaras & Quintais,1920,NA,"21: 462, with plate",17042-2,citation,"Chacaras & Quintais 21: 462, with plate. 1920 ",FALSE,TRUE,NA,1.3,78508-2,urn:lsid:ipni.org:names:78508-2,wfo-0000170336,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium_pachyrrhizum,Vogel,Vogel,,spec.,/n/78509-2,Leguminosae,Desmodium,pachyrrhizum,tax. nov.,s.n.,F.Sellow,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Linnaea,1838,11-17 Mar 1838,12(1): 97,703-2,citation,Linnaea 12(1): 97. 1838 [11-17 Mar 1838] ,FALSE,TRUE,null B,1.5,78509-2,urn:lsid:ipni.org:names:78509-2,wfo-0001053331,FALSE,TRUE,TRUE,FALSE,FALSE,NA,as D. pachyrhiza,,101962,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/101962&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eperua_cerradoensis,"E.A.Fortes, G.S. da Silva & Mansano","E.A.Fortes, G.S. da Silva & Mansano",,spec.,/n/77317217-1,Leguminosae,Eperua,cerradoensis,tax. nov.,02,Gonçalves A.S.,24 Mar 2022,"Maranhão (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,FALSE,"Caxias, Povoado Morro Agudo, Segundo Distrito, rio Itapecuru",,Phytotaxa,2023,5 Apr 2023,591(3): 199,20011462-1,citation,Phytotaxa 591(3): 199. 2023 [5 Apr 2023] [epublished],FALSE,TRUE,holotype RB 01458708;isotype INPA;isotype UEC;isotype US,1.1,77317217-1,urn:lsid:ipni.org:names:77317217-1,NA,TRUE,FALSE,TRUE,FALSE,FALSE,[epublished],doi:10.11646/phytotaxa.591.3.2 Etymology: name alludes to its occurrence in the Cerrado Biome.,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eperua_manausensis,E.A.Fortes & Mansano,E.A.Fortes & Mansano,,spec.,/n/77317218-1,Leguminosae,Eperua,manausensis,tax. nov.,1561,Cabral F.N. et al.,8 Jun 2017,"Amazonas (Brazil North, Brazil, Southern America)",FALSE,FALSE,FALSE,"Manaus, Reserva Florestal Adolpho Ducke, trilha do Jardim Botânico MUSA",,Phytotaxa,2023,5 Apr 2023,591(3): 204,20011462-1,citation,Phytotaxa 591(3): 204. 2023 [5 Apr 2023] [epublished],FALSE,TRUE,holotype INPA 0284318;isotype RB 01459755,1.1,77317218-1,urn:lsid:ipni.org:names:77317218-1,NA,TRUE,FALSE,TRUE,FALSE,FALSE,[epublished],doi:10.11646/phytotaxa.591.3.2,,NA,NA,NA,NA,NA,NA,Planta marcada JBN 634,NA,NA,NA,NA,NA,NA,NA
Eriosema_erythropilum,Harms,Harms,,spec.,/n/95883-2,Fabaceae,Eriosema,erythropilum,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bot. Jahrb. Syst.,1903,13 Mar 1903,"33(2, Beibl. 72): 32",553-2,citation,"Bot. Jahrb. Syst. 33(2, Beibl. 72): 32. 1903 [13 Mar 1903] ",FALSE,TRUE,NA,1.4,95883-2,urn:lsid:ipni.org:names:95883-2,wfo-0000167914,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriosema_intermedium,Malme,Malme,,spec.,/n/95888-2,Fabaceae,Eriosema,intermedium,tax. nov.,NA,NA,NA,"Mato Grosso (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Ark. Bot.,1931,NA,"23A, no. 13: 93",536-2,citation,"Ark. Bot. 23A, no. 13: 93. 1931 ",FALSE,TRUE,NA,1.3,95888-2,urn:lsid:ipni.org:names:95888-2,wfo-0000176540,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriosema_lagoense,Micheli,Micheli,,spec.,/n/319403-2,Fabaceae,Eriosema,lagoense,tax. nov.,3146,J.E.B.Warming,NA,"Ad Lagoa Santa, in campis, Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn,1875,NA,1875: 93,1089-2,citation,Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn 1875: 93. ,FALSE,TRUE,lectotype G,1.3,319403-2,urn:lsid:ipni.org:names:319403-2,wfo-0000176523,FALSE,TRUE,TRUE,FALSE,FALSE,NA,[Gandhi 18 Feb 2000] The LT. information is from R. H. Fortunato [Kurtziana 27(2): 372. 1999],,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1875&rft.spage=93&rft.volume=1875&rft_id=http://www.biodiversitylibrary.org/bibliography/7547&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriosema_parvifolium,Pavan & Fort.-Perez,Pavan & Fort.-Perez,,spec.,/n/77326611-1,Leguminosae,Eriosema,parvifolium,tax. nov.,8134,H.C.de Lima et al.,11 Feb 2016,"Roraima (Brazil North, Brazil, Southern America);Venezuela (Northern South America, Southern America);",FALSE,FALSE,FALSE,"Brazil: Roraima: Caracaraí. Vista Alegre, 67 m",,Phytotaxa,2023,6 Sep 2023,612(3): 294,20011462-1,citation,Phytotaxa 612(3): 294. 2023 [6 Sep 2023] [epublished],FALSE,TRUE,holotype RB 01096592,1.1,77326611-1,urn:lsid:ipni.org:names:77326611-1,NA,TRUE,FALSE,TRUE,FALSE,FALSE,[epublished],"doi:10.11646/phytotaxa.612.3.5 Etymology: 'The specific epithet parvifolium derives from the combination of parvum plus folium, due to the leaves of reduced proportions in relation to other species of the genus'.",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erythrina_aurantiaca,Ridl.,Ridl.,,spec.,/n/96555-2,Fabaceae,Erythrina,aurantiaca,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,"J. Linn. Soc., Bot.",1890,NA,"27: 30, tab. 1",682-2,citation,"J. Linn. Soc., Bot. 27: 30, tab. 1. 1890 ",FALSE,TRUE,NA,1.3,96555-2,urn:lsid:ipni.org:names:96555-2,wfo-0000186211,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1890&rft.spage=30&rft.volume=27&rft_id=http://www.biodiversitylibrary.org/bibliography/350&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erythrina_compacta,W.Bull ex K.Koch,W.Bull ex K.Koch,,spec.,/n/60454911-2,Fabaceae,Erythrina,compacta,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Wochenschr. Vereines Beförd. Gartenbaues Konigl. Preuss. Staaten,1871,20 May 1871,14(20): 159,7877-2,citation,Wochenschr. Vereines Beförd. Gartenbaues Konigl. Preuss. Staaten 14(20): 159. 1871 [20 May 1871] ,FALSE,TRUE,NA,1.1,60454911-2,urn:lsid:ipni.org:names:60454911-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1871&rft.issue=20&rft.spage=159&rft.volume=14&rft_id=http://www.biodiversitylibrary.org/bibliography/5017&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galactia_cordifolia,Ceolin & Miotto,Ceolin & Miotto,,spec.,/n/77133200-1,Fabaceae,Galactia,cordifolia,tax. nov.,14941,A.Pott &amp; V.J.Pott,24 Feb 2008,"Mato Grosso do Sul (Brazil West-Central, Brazil, Southern America)",FALSE,FALSE,TRUE,"Ribas do Rio Pardo, 376 m",,Phytotaxa,2013,26 Sep 2013,134(1): 5,20011462-1,citation,Phytotaxa 134(1): 5. 2013 [26 Sep 2013] [epublished],FALSE,TRUE,holotype CGMS;isotype ICN,1.3,77133200-1,urn:lsid:ipni.org:names:77133200-1,wfo-0001337265,TRUE,TRUE,TRUE,FALSE,FALSE,[epublished],doi:10.11646/phytotaxa.134.1.1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galactia_cruelsiana,Taub.,Taub.,,spec.,/n/106574-2,Fabaceae,Galactia,cruelsiana,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bot. Jahrb. Syst.,1895,1895,21(4): 437,553-2,citation,Bot. Jahrb. Syst. 21(4): 437. 1895 [1895] ;  a preprint,FALSE,TRUE,NA,1.6,106574-2,urn:lsid:ipni.org:names:106574-2,wfo-0000693647,TRUE,TRUE,TRUE,FALSE,FALSE,a preprint,NA,,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1895&rft.issue=4&rft.spage=437&rft.volume=21&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galactia_glaziovii,Harms,Harms,,spec.,/n/106607-2,Fabaceae,Galactia,glaziovii,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bot. Jahrb. Syst.,1903,13 Mar 1903,"33(2, Beibl. 72): 28",553-2,citation,"Bot. Jahrb. Syst. 33(2, Beibl. 72): 28. 1903 [13 Mar 1903] ",FALSE,TRUE,NA,1.4,106607-2,urn:lsid:ipni.org:names:106607-2,wfo-0000181283,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galactia_linearifolia,Hoehne,Hoehne,,spec.,/n/106634-2,Fabaceae,Galactia,linearifolia,tax. nov.,NA,NA,NA,"Sao Paulo (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Bol. Inst. Brasil. Sci.,1926,NA,"2: 250, pl. 5",3890-2,citation,"Bol. Inst. Brasil. Sci. 2: 250, pl. 5. 1926 ",FALSE,TRUE,NA,1.2,106634-2,urn:lsid:ipni.org:names:106634-2,wfo-0000173592,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galactia_macropoda,R.S.Cowan,R.S.Cowan,,spec.,/n/106640-2,Fabaceae,Galactia,macropoda,tax. nov.,NA,NA,NA,"Paraná (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Bol. Soc. Venez. Ci. Nat.,1961,NA,"22: 283, fig. 2a,b",859-2,citation,"Bol. Soc. Venez. Ci. Nat. 22: 283, fig. 2a,b. 1961 ",FALSE,TRUE,NA,1.3,106640-2,urn:lsid:ipni.org:names:106640-2,wfo-0001049861,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galactia_pyrenea,Taub.,Taub.,,spec.,/n/106680-2,Fabaceae,Galactia,pyrenea,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bot. Jahrb. Syst.,1895,1895,21(4): 438,553-2,citation,Bot. Jahrb. Syst. 21(4): 438. 1895 [1895] ;  a preprint,FALSE,TRUE,NA,1.6,106680-2,urn:lsid:ipni.org:names:106680-2,wfo-0000181284,TRUE,TRUE,TRUE,FALSE,FALSE,a preprint,NA,,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1895&rft.issue=4&rft.spage=438&rft.volume=21&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galactia_whitehornii,S.Moore,S.Moore,,spec.,/n/106745-2,Fabaceae,Galactia,whitehornii,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,"Trans. Linn. Soc. London, Bot.",1895,NA,"ser. 2, 4: 344",1084-2,citation,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 344. 1895 ",FALSE,TRUE,NA,1.3,106745-2,urn:lsid:ipni.org:names:106745-2,wfo-0000693695,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Genistidium_uncinata,P.Taylor & Fromm,P.Taylor & Fromm,,spec.,/n/108137-2,Fabaceae,Genistidium,uncinata,tax. nov.,20980,R.M.Harley et al.,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bradea,1983,NA,"3(41): 365 (-367), fig",1276-2,citation,"Bradea 3(41): 365 (-367), fig. 1983 ",FALSE,TRUE,holotype CEPEC,1.3,108137-2,urn:lsid:ipni.org:names:108137-2,wfo-0001348794,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grazielodendron_riodocense,H.C.Lima,H.C.Lima,,spec.,/n/113383-2,Fabaceae,Grazielodendron,riodocense,tax. nov.,417,D.A.Folli,NA,"Espirito Santo (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Bradea,1983,NA,"3(45): 401 (-403), fig",1276-2,citation,"Bradea 3(45): 401 (-403), fig. 1983 ",FALSE,TRUE,holotype RB,1.2.2.1.1.2,113383-2,urn:lsid:ipni.org:names:113383-2,wfo-0000178444,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hedysarum_brasiliense,Larrañaga,Larrañaga,,spec.,/n/118474-2,Leguminosae,Hedysarum,brasiliense,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Escritos Damaso Antonio Larranaga,1922,NA,1: 409,1322-2,citation,Escritos Damaso Antonio Larranaga 1: 409. 1922 as Hedisarum; Pub. Inst. Hist. Geog. Uruguay,FALSE,TRUE,NA,1.1.1.2,118474-2,urn:lsid:ipni.org:names:118474-2,wfo-0000716718,TRUE,TRUE,TRUE,FALSE,FALSE,as Hedisarum; Pub. Inst. Hist. Geog. Uruguay,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
