name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,collectionNumber,collectorTeam,typeLocations,infraspecies,pageAsText,publicationYearNote,speciesAuthor,nameStatus,nameStatusType,collectionDate1,collectionDate2,locality,referenceRemarks,remarks,typeCoordinates,originalTaxonDistribution
Dialyanthera_olacoides,A.C.Sm.,A.C.Sm.,,spec.,/n/78906-2,Myristicaceae,Dialyanthera,olacoides,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Phytologia,1935,1: 113,1034-2,citation,Phytologia 1: 113. 1935 ,FALSE,TRUE,1.3,78906-2,urn:lsid:ipni.org:names:78906-2,wfo-0000642811,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=113&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Iryanthera_densiflora,Huber,Huber,,spec.,/n/130203-2,Myristicaceae,Iryanthera,densiflora,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bol. Mus. Goeldi Hist. Nat. Ethnogr.,1910,6: 69,4221-2,citation,Bol. Mus. Goeldi Hist. Nat. Ethnogr. 6: 69. 1910 ,FALSE,TRUE,1.4,130203-2,urn:lsid:ipni.org:names:130203-2,wfo-0001085164,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Iryanthera_elongata,Huber,Huber,,spec.,/n/130206-2,Myristicaceae,Iryanthera,elongata,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bol. Mus. Goeldi Hist. Nat. Ethnogr.,1910,6: 68,4221-2,citation,Bol. Mus. Goeldi Hist. Nat. Ethnogr. 6: 68. 1910 ,FALSE,TRUE,1.4,130206-2,urn:lsid:ipni.org:names:130206-2,wfo-0000732328,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Iryanthera_grandiflora,Huber,Huber,,spec.,/n/130207-2,Myristicaceae,Iryanthera,grandiflora,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bol. Mus. Goeldi Hist. Nat. Ethnogr.,1909,5: 358,4221-2,citation,Bol. Mus. Goeldi Hist. Nat. Ethnogr. 5: 358. 1909 ,FALSE,TRUE,1.4,130207-2,urn:lsid:ipni.org:names:130207-2,wfo-0001085165,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Iryanthera_krukovii,A.C.Sm.,A.C.Sm.,,spec.,/n/130211-2,Myristicaceae,Iryanthera,krukovii,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Brittonia,1936,2: 151,561-2,citation,Brittonia 2: 151. 1936 ,FALSE,TRUE,1.3,130211-2,urn:lsid:ipni.org:names:130211-2,wfo-0000732331,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Iryanthera_microcarpa,Ducke,Ducke,,spec.,/n/130218-2,Myristicaceae,Iryanthera,microcarpa,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bol. Tecn. Inst. Agron. N.,1945,no. 4: 8,860-2,citation,Bol. Tecn. Inst. Agron. N. no. 4: 8. 1945 ,FALSE,TRUE,1.3,130218-2,urn:lsid:ipni.org:names:130218-2,wfo-0000732339,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Virola_elliptica,A.C.Sm.,A.C.Sm.,,spec.,/n/267152-2,Myristicaceae,Virola,elliptica,tax. nov.,"Mato Grosso (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bull. Torrey Bot. Club,1933,60: 351,586-2,citation,Bull. Torrey Bot. Club 60: 351. 1933 ,FALSE,TRUE,1.4,267152-2,urn:lsid:ipni.org:names:267152-2,wfo-0000418543,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1933&rft.spage=351&rft.volume=60&rft_id=http://www.biodiversitylibrary.org/bibliography/340&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Virola_excisa,D.Santam.,D.Santam.,,spec.,/n/77298666-1,Myristicaceae,Virola,excisa,tax. nov.,"Ecuador (Western South America, Southern America);Colombia (Western South America, Southern America);Peru (Western South America, Southern America);Acre (Brazil North, Brazil, Southern America);Amazonas (Brazil North, Brazil, Southern America);",FALSE,FALSE,TRUE,,PhytoKeys,2022,"197: 116, fig. 13",20011997-1,citation,"PhytoKeys 197: 116, fig. 13. 2022 [30 May 2022] [epublished]",FALSE,TRUE,1.4,77298666-1,urn:lsid:ipni.org:names:77298666-1,wfo-1000031150,TRUE,TRUE,TRUE,FALSE,FALSE,NA,622,W.Palacios &amp; D.Neill,holotype MO MO-1565775;isotype F V0354346F;isotype INPA;isotype Ny;isotype QCA,NA,NA,30 May 2022,NA,NA,NA,14 Aug 1985,18 Aug 1985,"Ecuador. Pastaza: Río Curaray, dos horas río abajo del pueblo Curaray, en la boca del Río Namoyacu, 275 m",[epublished],"doi:10.3897/phytokeys.197.81367 Etymology: 'The specific epithet of the new species comes from the word excisus, meaning cut out. This makes reference to the fact that several herbarium specimens of this new species come from felled trees that were killed to make way for oil pipes. This has created irreparable damage to nature, destroying the habitat of this and many other species, potentially paving the path toward their extinction'.",,NA
Virola_glaziovii,Warb.,Warb.,,spec.,/n/267159-2,Myristicaceae,Virola,glaziovii,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur.,1897,68: 219,6808-2,citation,Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur. 68: 219. 1897 ,FALSE,TRUE,1.4,267159-2,urn:lsid:ipni.org:names:267159-2,wfo-0000418548,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1897&rft.spage=219&rft.volume=68&rft_id=http://www.biodiversitylibrary.org/bibliography/12266&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Virola_lepidota,A.C.Sm.,A.C.Sm.,,spec.,/n/267167-2,Myristicaceae,Virola,lepidota,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Brittonia,1936,2: 152,561-2,citation,Brittonia 2: 152. 1936 ,FALSE,TRUE,1.4,267167-2,urn:lsid:ipni.org:names:267167-2,wfo-0001224605,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
