name,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,infraspecies,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,authors,publishingAuthor,wfoId,bhlLink,nameStatus,nameStatusType,referenceRemarks,originalTaxonDistribution,publicationYearNote,collectionNumber,collectorTeam,collectionDate1,locality,pageAsText,typeLocations,speciesAuthor,remarks,typeCoordinates,typeRemarks
Setouratea_vellozoi,,spec.,/n/235345-2,Ochnaceae,Setouratea,vellozoi,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,,J. Bot. (Morot),1902,16: 40,3159-2,citation,"J. Bot. (Morot) 16: 40. 1902 Ann. Sci. Nat. Bot. ser. 8, 16: 286.  1902",FALSE,TRUE,1.4,235345-2,urn:lsid:ipni.org:names:235345-2,TRUE,TRUE,TRUE,FALSE,FALSE,Tiegh.,Tiegh.,wfo-0001087044,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1902&rft.spage=40&rft.volume=16&rft_id=http://www.biodiversitylibrary.org/bibliography/2178&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,"Ann. Sci. Nat. Bot. ser. 8, 16: 286.  1902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Setouratea_weddelliana,,spec.,/n/235346-2,Ochnaceae,Setouratea,weddelliana,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,,"Ann. Sci. Nat., Bot.",1902,"sér. 8, 16: 287",525-2,citation,"Ann. Sci. Nat., Bot. sér. 8, 16: 287. 1902 ",FALSE,TRUE,1.4,235346-2,urn:lsid:ipni.org:names:235346-2,FALSE,TRUE,TRUE,FALSE,FALSE,Tiegh.,Tiegh.,wfo-0001087045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Trichouratea_caulipila,,spec.,/n/257673-2,Ochnaceae,Trichouratea,caulipila,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,,"Ann. Sci. Nat., Bot.",1902,"sér. 8, 16: 234",525-2,citation,"Ann. Sci. Nat., Bot. sér. 8, 16: 234. 1902 ",FALSE,TRUE,1.4,257673-2,urn:lsid:ipni.org:names:257673-2,FALSE,TRUE,TRUE,FALSE,FALSE,Tiegh.,Tiegh.,wfo-0000456210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Trichouratea_cearensis,,spec.,/n/257674-2,Ochnaceae,Trichouratea,cearensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,,"Ann. Sci. Nat., Bot.",1902,"sér. 8, 16: 235",525-2,citation,"Ann. Sci. Nat., Bot. sér. 8, 16: 235. 1902 ",FALSE,TRUE,1.4,257674-2,urn:lsid:ipni.org:names:257674-2,FALSE,TRUE,TRUE,FALSE,FALSE,Tiegh.,Tiegh.,wfo-0000456209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Trichouratea_costata,,spec.,/n/257675-2,Ochnaceae,Trichouratea,costata,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,,"Ann. Sci. Nat., Bot.",1902,"sér. 8, 16: 235",525-2,citation,"Ann. Sci. Nat., Bot. sér. 8, 16: 235. 1902 ",FALSE,TRUE,1.4,257675-2,urn:lsid:ipni.org:names:257675-2,FALSE,TRUE,TRUE,FALSE,FALSE,Tiegh.,Tiegh.,wfo-0000456208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Trichouratea_foliosa,,spec.,/n/257677-2,Ochnaceae,Trichouratea,foliosa,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,,Bull. Mus. Hist. Nat. (Paris),1903,9: 157,576-2,citation,"Bull. Mus. Hist. Nat. (Paris) 9: 157. 1903 Ann. Sci. Nat. Bot. ser. 8, 18: 9.  1903",FALSE,TRUE,1.3,257677-2,urn:lsid:ipni.org:names:257677-2,TRUE,TRUE,TRUE,FALSE,FALSE,Tiegh.,Tiegh.,wfo-0000456206,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1903&rft.spage=157&rft.volume=9&rft_id=http://www.biodiversitylibrary.org/bibliography/68686&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,"Ann. Sci. Nat. Bot. ser. 8, 18: 9.  1903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Trichouratea_gardneri,,spec.,/n/257678-2,Ochnaceae,Trichouratea,gardneri,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,,J. Bot. (Morot),1902,16: 188,3159-2,citation,"J. Bot. (Morot) 16: 188. 1902 Ann. Sci. Nat. Bot. ser. 8, 16: 231.  1902",FALSE,TRUE,1.3,257678-2,urn:lsid:ipni.org:names:257678-2,TRUE,TRUE,TRUE,FALSE,FALSE,Tiegh.,Tiegh.,wfo-0000456205,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1902&rft.spage=188&rft.volume=16&rft_id=http://www.biodiversitylibrary.org/bibliography/2178&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,"Ann. Sci. Nat. Bot. ser. 8, 16: 231.  1902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Trichouratea_glabrescens,,spec.,/n/257679-2,Ochnaceae,Trichouratea,glabrescens,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,,"Ann. Sci. Nat., Bot.",1902,"sér. 8, 16: 234",525-2,citation,"Ann. Sci. Nat., Bot. sér. 8, 16: 234. 1902 ",FALSE,TRUE,1.4,257679-2,urn:lsid:ipni.org:names:257679-2,FALSE,TRUE,TRUE,FALSE,FALSE,Tiegh.,Tiegh.,wfo-0000456203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Trichouratea_gracilis,,spec.,/n/257680-2,Ochnaceae,Trichouratea,gracilis,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,,"Ann. Sci. Nat., Bot.",1902,"sér. 8, 16: 234",525-2,citation,"Ann. Sci. Nat., Bot. sér. 8, 16: 234. 1902 ",FALSE,TRUE,1.4,257680-2,urn:lsid:ipni.org:names:257680-2,FALSE,TRUE,TRUE,FALSE,FALSE,Tiegh.,Tiegh.,wfo-0000456194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Trichouratea_laevis,,spec.,/n/257682-2,Ochnaceae,Trichouratea,laevis,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,,"Ann. Sci. Nat., Bot.",1902,"sér. 8, 16: 233",525-2,citation,"Ann. Sci. Nat., Bot. sér. 8, 16: 233. 1902 ",FALSE,TRUE,1.4,257682-2,urn:lsid:ipni.org:names:257682-2,FALSE,TRUE,TRUE,FALSE,FALSE,Tiegh.,Tiegh.,wfo-0000456213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
