name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,distribution,hybrid,hybridGenus,inPowo,pageAsText,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,infraspecies,speciesAuthor,locality,collectionDate1,originalRemarks,referenceRemarks,typeCoordinates,remarks,originalTaxonDistribution,typeRemarks,bibliographicReference,typeChosenBy,nameStatus,nameStatusType,originalBasionymAuthorTeam
Eugenia_robusto-venosa,Kiaersk.,Kiaersk.,,spec.,/n/98953-2,Myrtaceae,Eugenia,robusto-venosa,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Enum. Myrt. Bras.,1893,NA,"137, pl. 21, fig. c",14271-2,citation,"Enum. Myrt. Bras. 137, pl. 21, fig. c. 1893 ",FALSE,TRUE,NA,1.2,98953-2,urn:lsid:ipni.org:names:98953-2,wfo-0000958875,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Eugenia_saxatilis,Sobral & Bünger,Sobral & Bünger,,spec.,/n/77221458-1,Myrtaceae,Eugenia,saxatilis,tax. nov.,137,"L.O. Azevedo, L.A.F. de Paula, R.L. Fernandes &amp; J.R. Stehmann","Minas Gerais (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Phytotaxa,2021,7 Oct 2021,522(2): 157,20011462-1,citation,Phytotaxa 522(2): 157. 2021 [7 Oct 2021] [epublished],FALSE,TRUE,holotype BHCB;isotype RB,1.1,77221458-1,urn:lsid:ipni.org:names:77221458-1,wfo-1000027011,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,"Teófilo Otoni, Pedra São Francisco, fazenda de Cássio Adinny",28 Jan 2014,NA,[epublished],,"doi:10.11646/phytotaxa.522.2.8 The epithet is derived from the Latin word for rock-dwelling, the typical habitat of the species.",NA,NA,NA,NA,NA,NA,NA
Eugenia_schwackeana,Glaz.,Glaz.,,spec.,/n/98998-2,Myrtaceae,Eugenia,schwackeana,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bull. Soc. Bot. France,1908,NA,54(Mém. 3c): 230,578-2,citation,Bull. Soc. Bot. France 54(Mém. 3c): 230. 1908 ,FALSE,TRUE,NA,1.4,98998-2,urn:lsid:ipni.org:names:98998-2,wfo-0001086461,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Eugenia_seislagoana,M.A.D.Souza & Sobral,M.A.D.Souza & Sobral,,spec.,/n/77260812-1,Myrtaceae,Eugenia,seislagoana,tax. nov.,287,M.H.Terra-Araújo,"Amazonas (Brazil North, Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Phytotaxa,2022,28 Feb 2022,536(3): 209,20011462-1,citation,Phytotaxa 536(3): 209. 2022 [28 Feb 2022] [epublished],FALSE,TRUE,holotype INPA;isotype HUFSJ,1.1,77260812-1,urn:lsid:ipni.org:names:77260812-1,wfo-1000030081,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,"São Gabriel da Cachoeira, Morro dos Seis Lagos, igarapé Yá-Mirim, 180 m",26 May 2008,NA,[epublished],,"doi:10.11646/phytotaxa.536.3.1 Etymology: The specific epithet refers to the collection locality, Morro dos Seis Lagos.",NA,NA,NA,NA,NA,NA,NA
Eugenia_seriato-pedunculata,Kiaersk.,Kiaersk.,,spec.,/n/99003-2,Myrtaceae,Eugenia,seriato-pedunculata,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Enum. Myrt. Bras.,1893,NA,"170, tab. 23f",14271-2,citation,"Enum. Myrt. Bras. 170, tab. 23f. 1893 Warming, Symb. Fl. Brasil. Cogn. pt. 39",FALSE,TRUE,NA,1.3,99003-2,urn:lsid:ipni.org:names:99003-2,wfo-0000959030,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"Warming, Symb. Fl. Brasil. Cogn. pt. 39",,NA,NA,NA,NA,NA,NA,NA,NA
Eugenia_seriato-racemosa,Kiaersk.,Kiaersk.,,spec.,/n/99004-2,Myrtaceae,Eugenia,seriato-racemosa,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Enum. Myrt. Bras.,1893,NA,"151, pl. 21, fig. d",14271-2,citation,"Enum. Myrt. Bras. 151, pl. 21, fig. d. 1893 ",FALSE,TRUE,NA,1.2,99004-2,urn:lsid:ipni.org:names:99004-2,wfo-0000959031,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Eugenia_seriato-ramosa,Kiaersk.,Kiaersk.,,spec.,/n/99005-2,Myrtaceae,Eugenia,seriato-ramosa,tax. nov.,NA,NA,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Enum. Myrt. Bras.,1893,NA,"170, tab. 23g",14271-2,citation,"Enum. Myrt. Bras. 170, tab. 23g. 1893 Warming, Symb. Fl. Brasil. Cogn. pt. 39",FALSE,TRUE,NA,1.3,99005-2,urn:lsid:ipni.org:names:99005-2,wfo-0000959032,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"Warming, Symb. Fl. Brasil. Cogn. pt. 39",,NA,NA,NA,NA,NA,NA,NA,NA
Eugenia_sipolisii,Glaz.,Glaz.,,spec.,/n/99021-2,Myrtaceae,Eugenia,sipolisii,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bull. Soc. Bot. France,1908,NA,54(Mém. 3c): 227,578-2,citation,Bull. Soc. Bot. France 54(Mém. 3c): 227. 1908 ,FALSE,TRUE,NA,1.4,99021-2,urn:lsid:ipni.org:names:99021-2,wfo-0001086462,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Eugenia_tenui-pedunculata,Kiaersk.,Kiaersk.,,spec.,/n/99112-2,Myrtaceae,Eugenia,tenui-pedunculata,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Enum. Myrt. Bras.,1893,NA,"131, pl. 21, fig. g",14271-2,citation,"Enum. Myrt. Bras. 131, pl. 21, fig. g. 1893 ",FALSE,TRUE,NA,1.3,99112-2,urn:lsid:ipni.org:names:99112-2,wfo-0000959278,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Eugenia_xinguana,"Sobral, M.A.D.Souza & G.Amorim","Sobral, M.A.D.Souza & G.Amorim",,spec.,/n/77260814-1,Myrtaceae,Eugenia,xinguana,tax. nov.,PSACF_EX03557,E.Menezes Júnior,"Maranhão (Brazil Northeast, Brazil, Southern America);Pará (Brazil North, Brazil, Southern America);",FALSE,FALSE,TRUE,NA,,Phytotaxa,2022,28 Feb 2022,536(3): 209,20011462-1,citation,Phytotaxa 536(3): 209. 2022 [28 Feb 2022] [epublished],FALSE,TRUE,holotype RB;isotype RBR,1.1,77260814-1,urn:lsid:ipni.org:names:77260814-1,wfo-1000030082,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,Pará: Vitória do Xingu,15 Sep 2014,NA,[epublished],,doi:10.11646/phytotaxa.536.3.1 Etymology: The specific epithet refers to the collection locality.,NA,NA,NA,NA,NA,NA,NA
Feijoa_schenkiana,Kiaersk.,Kiaersk.,,spec.,/n/103527-2,Myrtaceae,Feijoa,schenkiana,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Enum. Myrt. Bras.,1893,NA,"186, pl. 24, fig. a",14271-2,citation,"Enum. Myrt. Bras. 186, pl. 24, fig. a. 1893 ",FALSE,TRUE,NA,1.3,103527-2,urn:lsid:ipni.org:names:103527-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Hexachlamys_emerichii,Mattos,Mattos,,spec.,/n/902211-1,Myrtaceae,Hexachlamys,emerichii,tax. nov.,NA,NA,Brazil.,FALSE,FALSE,TRUE,NA,,Loefgrenia,1983,1983,78: 2 (1983),994-2,citation,Loefgrenia 78: 2 (1983). ,FALSE,TRUE,NA,1.4,902211-1,urn:lsid:ipni.org:names:902211-1,wfo-0000982178,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,Brazil.,NA,NA,NA,NA,NA,NA
Marlierea_leal-costae,G.M.Barroso & Peixoto,G.M.Barroso & Peixoto,,spec.,/n/991727-1,Myrtaceae,Marlierea,leal-costae,tax. nov.,NA,NA,Brazil Northeast (Bahia).,FALSE,FALSE,TRUE,NA,,Revista Brasil. Bot.,1995,1995,18(1): 105 (1995),2800-2,citation,Revista Brasil. Bot. 18(1): 105 (1995). ,FALSE,TRUE,NA,1.5,991727-1,urn:lsid:ipni.org:names:991727-1,wfo-0000236437,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,Brazil Northeast (Bahia).,NA,NA,NA,NA,NA,NA
Myrceugenia_catherinae,D.Legrand,D.Legrand,,spec.,/n/165411-2,Myrtaceae,Myrceugenia,catherinae,tax. nov.,10089,"R.M.Klein, A.Bresolin",Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Fl. Ilustr. Catarin.,1977,NA,"MIRT (Supl.): 30 (-33), fig.",2164-2,citation,"Fl. Ilustr. Catarin. MIRT (Supl.): 30 (-33), fig. 1977 ",FALSE,TRUE,holotype MVM,1.2,165411-2,urn:lsid:ipni.org:names:165411-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Myrceugenia_euosmoides,Mattos & D.Legrand,Mattos & D.Legrand,,spec.,/n/165423-2,Myrtaceae,Myrceugenia,euosmoides,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Loefgrenia,1975,NA,no. 67: 17,994-2,citation,Loefgrenia no. 67: 17. 1975 ,FALSE,TRUE,NA,1.4,165423-2,urn:lsid:ipni.org:names:165423-2,wfo-0001086281,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
