name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,infraspecies,remarks,speciesAuthor,bhlLink,pageAsText,publicationYearNote,referenceRemarks,collectionDate1,locality,typeCoordinates,originalTaxonDistribution
Siparuna_mourae,Perkins,Perkins,,spec.,/n/237238-2,Monimiaceae,Siparuna,mourae,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1901,28(5): 675,553-2,citation,Bot. Jahrb. Syst. 28(5): 675. 1901 [11 Jan 1901] ,FALSE,TRUE,NA,1.5,237238-2,urn:lsid:ipni.org:names:237238-2,wfo-0001084473,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1901&rft.issue=5&rft.spage=675&rft.volume=28&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,11 Jan 1901,NA,NA,NA,,NA
Siparuna_obconica,Jangoux,Jangoux,,spec.,/n/300792-2,Monimiaceae,Siparuna,obconica,tax. nov.,15842,G.T.Prance et al.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot.",1991,"7: 135, figs. 10, 11c",1871-2,citation,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot. 7: 135, figs. 10, 11c. 1991 ",FALSE,TRUE,holotype NY;isotype F;isotype INPA;isotype K;isotype US,1.4,300792-2,urn:lsid:ipni.org:names:300792-2,wfo-0001232873,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Siparuna_pachyantha,A.C.Sm.,A.C.Sm.,,spec.,/n/237245-2,Monimiaceae,Siparuna,pachyantha,tax. nov.,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,J. Arnold Arbor.,1939,20: 293,981-2,citation,J. Arnold Arbor. 20: 293. 1939 ,FALSE,TRUE,NA,1.5,237245-2,urn:lsid:ipni.org:names:237245-2,wfo-0001084595,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1939&rft.spage=293&rft.volume=20&rft_id=http://www.biodiversitylibrary.org/bibliography/480&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,,NA
Siparuna_petasiformis,Jangoux,Jangoux,,spec.,/n/302646-2,Monimiaceae,Siparuna,petasiformis,tax. nov.,14430,G.T.Prance et al.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot.",1991,"7: 139, fig. 12, 14a",1871-2,citation,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot. 7: 139, fig. 12, 14a. 1991 ",FALSE,TRUE,holotype NY;isotype F;isotype INPA,1.4,302646-2,urn:lsid:ipni.org:names:302646-2,wfo-0001253739,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Siparuna_rionegrensis,Jangoux,Jangoux,,spec.,/n/306571-2,Monimiaceae,Siparuna,rionegrensis,tax. nov.,30," J.M.Pires,J.S.Rodrigues, N.T.da Silva","Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot.",1991,"7: 141, fig. 13, 14b",1871-2,citation,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot. 7: 141, fig. 13, 14b. 1991 ",FALSE,TRUE,holotype IAN,1.4,306571-2,urn:lsid:ipni.org:names:306571-2,wfo-0001232869,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Siparuna_sarmentosa,Perkins,Perkins,,spec.,/n/237268-2,Monimiaceae,Siparuna,sarmentosa,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Verh. Bot. Vereins Prov. Brandenburg,1905,47: 145,823-2,citation,Verh. Bot. Vereins Prov. Brandenburg 47: 145. 1905 ,FALSE,TRUE,NA,1.4,237268-2,urn:lsid:ipni.org:names:237268-2,wfo-0001084492,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1905&rft.spage=145&rft.volume=47&rft_id=http://www.biodiversitylibrary.org/bibliography/49731&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,,NA
Siparuna_saurauiifolia,Perkins,Perkins,,spec.,/n/237269-2,Monimiaceae,Siparuna,saurauiifolia,tax. nov.,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Repert. Spec. Nov. Regni Veg.,1905,1: 155,788-2,citation,Repert. Spec. Nov. Regni Veg. 1: 155. 1905 ,FALSE,TRUE,NA,1.5,237269-2,urn:lsid:ipni.org:names:237269-2,wfo-0001084493,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/233881&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,233881,NA,NA,NA,NA,,NA
Siparuna_savanicola,Jangoux,Jangoux,,spec.,/n/305844-2,Monimiaceae,Siparuna,savanicola,tax. nov.,25275,G.T.Prance et al.,"Mato Grosso (Brazil, Southern America)",FALSE,FALSE,TRUE,,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot.",1991,"7: 144, fig. 15, 18a",1871-2,citation,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot. 7: 144, fig. 15, 18a. 1991 ",FALSE,TRUE,holotype MG;isotype MO;isotype NY,1.4,305844-2,urn:lsid:ipni.org:names:305844-2,wfo-0001084634,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Siparuna_solimonensis,Jangoux,Jangoux,,spec.,/n/305872-2,Monimiaceae,Siparuna,solimonensis,tax. nov.,8802,B.A.Krukoff,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot.",1991,"7: 147, fig. 16, 18b",1871-2,citation,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot. 7: 147, fig. 16, 18b. 1991 ",FALSE,TRUE,holotype F;isotype K;isotype NY,1.4,305872-2,urn:lsid:ipni.org:names:305872-2,wfo-0001084602,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Siparuna_tenuipes,Perkins,Perkins,,spec.,/n/237283-2,Monimiaceae,Siparuna,tenuipes,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1901,"28(5): 680, pl. 13",553-2,citation,"Bot. Jahrb. Syst. 28(5): 680, pl. 13. 1901 [11 Jan 1901] ",FALSE,TRUE,NA,1.5,237283-2,urn:lsid:ipni.org:names:237283-2,wfo-0001084498,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1901&rft.issue=5&rft.spage=680&rft.volume=28&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,11 Jan 1901,NA,NA,NA,,NA
Siparuna_tupinambarum,Jangoux,Jangoux,,spec.,/n/304671-2,Monimiaceae,Siparuna,tupinambarum,tax. nov.,159," T.S.Santos,J.Almeida","Bahia (Brazil, Southern America)",FALSE,FALSE,TRUE,,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot.",1991,"7: 149, fig. 17, 18c",1871-2,citation,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot. 7: 149, fig. 17, 18c. 1991 ",FALSE,TRUE,holotype CEPEC;isotype MG,1.4,304671-2,urn:lsid:ipni.org:names:304671-2,wfo-0001241265,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
